<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
+МосЭнерго;60;20170124;100000;2.961;2.993;2.925;2.993;2834;0
+МосЭнерго;60;20170124;110000;2.994;3.02;2.994;3.0085;4340;0
+МосЭнерго;60;20170124;120000;3.0085;3.01;2.9995;3;714;0
+МосЭнерго;60;20170124;130000;2.999;3.008;2.997;2.9995;1352;0
+МосЭнерго;60;20170124;140000;2.9995;3;2.9805;3;1728;0
+МосЭнерго;60;20170124;150000;3;3;2.9845;2.9995;732;0
+МосЭнерго;60;20170124;160000;2.9995;3.0245;2.9995;3;5846;0
+МосЭнерго;60;20170124;170000;3;3.0005;2.96;2.961;3940;0
+МосЭнерго;60;20170124;180000;2.9705;2.9725;2.961;2.9645;933;0
+МосЭнерго;60;20170125;100000;2.9775;2.98;2.9615;2.969;617;0
+МосЭнерго;60;20170125;110000;2.964;2.9685;2.95;2.959;583;0
+МосЭнерго;60;20170125;120000;2.958;2.96;2.9535;2.959;1626;0
+МосЭнерго;60;20170125;130000;2.957;2.96;2.9505;2.96;432;0
+МосЭнерго;60;20170125;140000;2.96;2.96;2.9595;2.96;1521;0
+МосЭнерго;60;20170125;150000;2.96;2.961;2.9595;2.9595;3105;0
+МосЭнерго;60;20170125;160000;2.96;2.96;2.9595;2.9595;2227;0
+МосЭнерго;60;20170125;170000;2.9595;2.96;2.959;2.9595;1640;0
+МосЭнерго;60;20170125;180000;2.9595;2.9625;2.95;2.958;1758;0
+МосЭнерго;60;20170126;100000;2.958;2.974;2.958;2.9705;653;0
+МосЭнерго;60;20170126;110000;2.971;2.973;2.9675;2.969;1647;0
+МосЭнерго;60;20170126;120000;2.969;2.9865;2.9675;2.9675;4438;0
+МосЭнерго;60;20170126;130000;2.9675;2.97;2.9675;2.969;1854;0
+МосЭнерго;60;20170126;140000;2.97;2.9905;2.9675;2.97;2398;0
+МосЭнерго;60;20170126;150000;2.9695;2.97;2.9675;2.9675;890;0
+МосЭнерго;60;20170126;160000;2.968;2.97;2.9675;2.968;1004;0
+МосЭнерго;60;20170126;170000;2.969;2.97;2.968;2.969;246;0
+МосЭнерго;60;20170126;180000;2.969;2.969;2.9615;2.9615;1090;0
+МосЭнерго;60;20170127;090000;2.9745;2.9745;2.9745;2.9745;1;0
+МосЭнерго;60;20170127;100000;2.9845;2.9845;2.9605;2.968;1717;0
+МосЭнерго;60;20170127;110000;2.9665;2.9665;2.9335;2.947;1077;0
+МосЭнерго;60;20170127;120000;2.9415;2.9545;2.914;2.916;2089;0
+МосЭнерго;60;20170127;130000;2.9155;2.9355;2.914;2.925;2538;0
+МосЭнерго;60;20170127;140000;2.9215;2.9215;2.905;2.912;2213;0
+МосЭнерго;60;20170127;150000;2.915;2.919;2.905;2.9085;2171;0
+МосЭнерго;60;20170127;160000;2.906;2.9125;2.9;2.91;3495;0
+МосЭнерго;60;20170127;170000;2.9105;2.9275;2.905;2.909;9322;0
+МосЭнерго;60;20170127;180000;2.9135;2.919;2.9;2.9;4611;0
+МосЭнерго;60;20170130;090000;2.88;2.88;2.88;2.88;20;0
+МосЭнерго;60;20170130;100000;2.896;2.921;2.833;2.9075;5390;0
+МосЭнерго;60;20170130;110000;2.9095;2.913;2.861;2.899;2918;0
+МосЭнерго;60;20170130;120000;2.8885;2.8995;2.882;2.8995;650;0
+МосЭнерго;60;20170130;130000;2.8995;2.909;2.862;2.8625;1453;0
+МосЭнерго;60;20170130;140000;2.867;2.87;2.861;2.865;1335;0
+МосЭнерго;60;20170130;150000;2.8665;2.868;2.862;2.867;288;0
+МосЭнерго;60;20170130;160000;2.8675;2.8725;2.863;2.866;613;0
+МосЭнерго;60;20170130;170000;2.8665;2.87;2.8625;2.8665;616;0
+МосЭнерго;60;20170130;180000;2.868;2.8765;2.8655;2.8765;535;0
+МосЭнерго;60;20170131;090000;2.8605;2.8605;2.8605;2.8605;2;0
+МосЭнерго;60;20170131;100000;2.8855;2.8925;2.8205;2.878;2494;0
+МосЭнерго;60;20170131;110000;2.8795;2.8795;2.869;2.8745;719;0
+МосЭнерго;60;20170131;120000;2.8745;2.8765;2.8705;2.874;168;0
+МосЭнерго;60;20170131;130000;2.874;2.8755;2.869;2.87;1967;0
+МосЭнерго;60;20170131;140000;2.8685;2.871;2.858;2.87;741;0
+МосЭнерго;60;20170131;150000;2.867;2.87;2.849;2.85;1931;0
+МосЭнерго;60;20170131;160000;2.8545;2.855;2.807;2.84;3684;0
+МосЭнерго;60;20170131;170000;2.8385;2.845;2.833;2.838;1623;0
+МосЭнерго;60;20170131;180000;2.8395;2.8415;2.8305;2.8305;1664;0
+МосЭнерго;60;20170201;090000;2.849;2.849;2.849;2.849;1;0
+МосЭнерго;60;20170201;100000;2.849;2.855;2.808;2.818;2731;0
+МосЭнерго;60;20170201;110000;2.817;2.82;2.8045;2.8045;2813;0
+МосЭнерго;60;20170201;120000;2.805;2.81;2.8;2.8075;3000;0
+МосЭнерго;60;20170201;130000;2.81;2.83;2.8;2.817;2630;0
+МосЭнерго;60;20170201;140000;2.815;2.8275;2.81;2.826;1037;0
+МосЭнерго;60;20170201;150000;2.8225;2.8305;2.808;2.8165;1176;0
+МосЭнерго;60;20170201;160000;2.8175;2.8195;2.805;2.81;753;0
+МосЭнерго;60;20170201;170000;2.8075;2.8135;2.801;2.8045;926;0
+МосЭнерго;60;20170201;180000;2.8025;2.8095;2.801;2.801;1403;0
+МосЭнерго;60;20170202;090000;2.8195;2.8195;2.8195;2.8195;1;0
+МосЭнерго;60;20170202;100000;2.8065;2.8145;2.8;2.81;1851;0
+МосЭнерго;60;20170202;110000;2.81;2.8195;2.805;2.81;1229;0
+МосЭнерго;60;20170202;120000;2.8095;2.8235;2.8055;2.8235;2242;0
+МосЭнерго;60;20170202;130000;2.8225;2.828;2.81;2.814;3678;0
+МосЭнерго;60;20170202;140000;2.8145;2.827;2.8125;2.82;606;0
+МосЭнерго;60;20170202;150000;2.82;2.8225;2.814;2.819;588;0
+МосЭнерго;60;20170202;160000;2.818;2.819;2.808;2.818;744;0
+МосЭнерго;60;20170202;170000;2.818;2.818;2.813;2.8175;332;0
+МосЭнерго;60;20170202;180000;2.8175;2.82;2.8035;2.817;3034;0
+МосЭнерго;60;20170203;100000;2.818;2.8185;2.8005;2.81;402;0
+МосЭнерго;60;20170203;110000;2.813;2.8135;2.809;2.809;205;0
+МосЭнерго;60;20170203;120000;2.809;2.8135;2.7985;2.7985;2383;0
+МосЭнерго;60;20170203;130000;2.7985;2.82;2.795;2.8095;6697;0
+МосЭнерго;60;20170203;140000;2.8095;2.817;2.803;2.8095;391;0
+МосЭнерго;60;20170203;150000;2.807;2.819;2.8;2.8045;4014;0
+МосЭнерго;60;20170203;160000;2.805;2.81;2.798;2.8095;2071;0
+МосЭнерго;60;20170203;170000;2.81;2.8785;2.805;2.864;11944;0
+МосЭнерго;60;20170203;180000;2.8645;2.8765;2.8495;2.87;4990;0
+МосЭнерго;60;20170206;090000;2.856;2.856;2.856;2.856;10;0
+МосЭнерго;60;20170206;100000;2.856;2.878;2.8515;2.863;841;0
+МосЭнерго;60;20170206;110000;2.864;2.867;2.81;2.8305;2006;0
+МосЭнерго;60;20170206;120000;2.8345;2.85;2.8125;2.818;3486;0
+МосЭнерго;60;20170206;130000;2.8175;2.832;2.816;2.832;412;0
+МосЭнерго;60;20170206;140000;2.8325;2.836;2.83;2.83;51;0
+МосЭнерго;60;20170206;150000;2.8305;2.835;2.83;2.83;2552;0
+МосЭнерго;60;20170206;160000;2.8335;2.8415;2.8335;2.8365;165;0
+МосЭнерго;60;20170206;170000;2.8405;2.85;2.8405;2.8495;806;0
+МосЭнерго;60;20170206;180000;2.8455;2.85;2.8305;2.8405;420;0
+МосЭнерго;60;20170207;100000;2.8405;2.8405;2.8;2.8205;253;0
+МосЭнерго;60;20170207;110000;2.824;2.84;2.824;2.8305;369;0
+МосЭнерго;60;20170207;120000;2.829;2.85;2.82;2.84;1573;0
+МосЭнерго;60;20170207;130000;2.839;2.8395;2.83;2.8335;25;0
+МосЭнерго;60;20170207;140000;2.8345;2.848;2.826;2.8445;551;0
+МосЭнерго;60;20170207;150000;2.847;2.85;2.842;2.8475;530;0
+МосЭнерго;60;20170207;160000;2.845;2.85;2.841;2.847;984;0
+МосЭнерго;60;20170207;170000;2.8485;2.85;2.845;2.845;533;0
+МосЭнерго;60;20170207;180000;2.846;2.85;2.84;2.8495;1378;0
+МосЭнерго;60;20170208;090000;2.85;2.85;2.85;2.85;45;0
+МосЭнерго;60;20170208;100000;2.85;2.8665;2.8055;2.8265;2086;0
+МосЭнерго;60;20170208;110000;2.829;2.8485;2.8235;2.8295;1955;0
+МосЭнерго;60;20170208;120000;2.8285;2.84;2.825;2.84;1687;0
+МосЭнерго;60;20170208;130000;2.839;2.84;2.825;2.825;472;0
+МосЭнерго;60;20170208;140000;2.826;2.831;2.8215;2.822;689;0
+МосЭнерго;60;20170208;150000;2.822;2.834;2.8205;2.826;225;0
+МосЭнерго;60;20170208;160000;2.8255;2.8315;2.8245;2.829;122;0
+МосЭнерго;60;20170208;170000;2.825;2.832;2.823;2.8245;307;0
+МосЭнерго;60;20170208;180000;2.824;2.84;2.819;2.8235;2793;0
+МосЭнерго;60;20170209;100000;2.824;2.86;2.813;2.845;3208;0
+МосЭнерго;60;20170209;110000;2.845;2.8535;2.8305;2.85;2798;0
+МосЭнерго;60;20170209;120000;2.851;2.87;2.85;2.8675;9363;0
+МосЭнерго;60;20170209;130000;2.868;2.879;2.8585;2.8585;2139;0
+МосЭнерго;60;20170209;140000;2.858;2.8595;2.8345;2.855;1435;0
+МосЭнерго;60;20170209;150000;2.855;2.855;2.81;2.812;1472;0
+МосЭнерго;60;20170209;160000;2.816;2.849;2.815;2.8485;732;0
+МосЭнерго;60;20170209;170000;2.849;2.8685;2.849;2.8675;642;0
+МосЭнерго;60;20170209;180000;2.868;2.869;2.841;2.869;534;0
+МосЭнерго;60;20170210;090000;2.86;2.86;2.86;2.86;1;0
+МосЭнерго;60;20170210;100000;2.8525;2.8725;2.8525;2.8565;608;0
+МосЭнерго;60;20170210;110000;2.857;2.863;2.85;2.854;1294;0
+МосЭнерго;60;20170210;120000;2.85;2.853;2.84;2.841;371;0
+МосЭнерго;60;20170210;130000;2.841;2.854;2.82;2.839;2488;0
+МосЭнерго;60;20170210;140000;2.8475;2.855;2.834;2.834;453;0
+МосЭнерго;60;20170210;150000;2.833;2.86;2.833;2.86;365;0
+МосЭнерго;60;20170210;160000;2.8595;2.8595;2.8435;2.8455;76;0
+МосЭнерго;60;20170210;170000;2.847;2.8505;2.8415;2.8415;134;0
+МосЭнерго;60;20170210;180000;2.8425;2.855;2.833;2.855;3652;0
+МосЭнерго;60;20170213;100000;2.85;2.851;2.83;2.8415;329;0
+МосЭнерго;60;20170213;110000;2.8415;2.8425;2.8075;2.827;2407;0
+МосЭнерго;60;20170213;120000;2.83;2.8405;2.8295;2.84;519;0
+МосЭнерго;60;20170213;130000;2.839;2.8395;2.834;2.8345;171;0
+МосЭнерго;60;20170213;140000;2.835;2.835;2.8225;2.8225;296;0
+МосЭнерго;60;20170213;150000;2.823;2.844;2.821;2.844;517;0
+МосЭнерго;60;20170213;160000;2.8435;2.849;2.8415;2.846;696;0
+МосЭнерго;60;20170213;170000;2.846;2.848;2.845;2.8465;322;0
+МосЭнерго;60;20170213;180000;2.8465;2.848;2.841;2.845;747;0
+МосЭнерго;60;20170214;090000;2.86;2.86;2.86;2.86;17;0
