<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
AGRO-гдр;60;20170124;100000;839;842;839;839;813;0
AGRO-гдр;60;20170124;110000;839;840;834;834;3179;0
AGRO-гдр;60;20170124;120000;835;836;833;835;4705;0
AGRO-гдр;60;20170124;130000;835;835;831;831;3122;0
AGRO-гдр;60;20170124;140000;831;835;831;834;823;0
AGRO-гдр;60;20170124;150000;835;840;834;834;2852;0
AGRO-гдр;60;20170124;160000;836;836;834;835;1920;0
AGRO-гдр;60;20170124;170000;835;836;834;835;1439;0
AGRO-гдр;60;20170124;180000;836;838;835;837;538;0
AGRO-гдр;60;20170125;100000;842;845;838;842;2248;0
AGRO-гдр;60;20170125;110000;843;844;835;837;3826;0
AGRO-гдр;60;20170125;120000;836;837;833;836;794;0
AGRO-гдр;60;20170125;130000;838;838;837;838;1025;0
AGRO-гдр;60;20170125;140000;838;838;835;838;385;0
AGRO-гдр;60;20170125;150000;838;840;833;833;4005;0
AGRO-гдр;60;20170125;160000;836;838;836;837;657;0
AGRO-гдр;60;20170125;170000;836;844;835;841;4543;0
AGRO-гдр;60;20170125;180000;840;842;838;838;766;0
AGRO-гдр;60;20170126;090000;841;841;841;841;2;0
AGRO-гдр;60;20170126;100000;840;855;840;851;7620;0
AGRO-гдр;60;20170126;110000;852;859;845;847;10431;0
AGRO-гдр;60;20170126;120000;847;854;847;852;2534;0
AGRO-гдр;60;20170126;130000;853;857;852;857;2318;0
AGRO-гдр;60;20170126;140000;856;863;853;861;7836;0
AGRO-гдр;60;20170126;150000;856;864;856;862;2311;0
AGRO-гдр;60;20170126;160000;863;865;862;862;2228;0
AGRO-гдр;60;20170126;170000;862;864;856;860;3072;0
AGRO-гдр;60;20170126;180000;860;861;859;860;1650;0
AGRO-гдр;60;20170127;100000;860;875;858;867;8289;0
AGRO-гдр;60;20170127;110000;865;879;865;874;7196;0
AGRO-гдр;60;20170127;120000;874;884;874;875;10625;0
AGRO-гдр;60;20170127;130000;875;878;866;866;4742;0
AGRO-гдр;60;20170127;140000;867;870;866;868;755;0
AGRO-гдр;60;20170127;150000;868;870;865;870;2124;0
AGRO-гдр;60;20170127;160000;868;873;860;863;5448;0
AGRO-гдр;60;20170127;170000;862;862;856;860;4927;0
AGRO-гдр;60;20170127;180000;860;862;853;857;5614;0
AGRO-гдр;60;20170130;100000;859;860;853;860;2527;0
AGRO-гдр;60;20170130;110000;859;860;858;859;1445;0
AGRO-гдр;60;20170130;120000;860;860;858;859;762;0
AGRO-гдр;60;20170130;130000;859;860;858;859;3304;0
AGRO-гдр;60;20170130;140000;858;860;858;860;2503;0
AGRO-гдр;60;20170130;150000;860;860;858;858;4713;0
AGRO-гдр;60;20170130;160000;860;864;858;864;1552;0
AGRO-гдр;60;20170130;170000;865;869;864;865;1557;0
AGRO-гдр;60;20170130;180000;865;866;859;859;1217;0
AGRO-гдр;60;20170131;090000;870;870;870;870;10;0
AGRO-гдр;60;20170131;100000;867;867;861;865;917;0
AGRO-гдр;60;20170131;110000;863;864;858;859;1543;0
AGRO-гдр;60;20170131;120000;861;861;855;858;1524;0
AGRO-гдр;60;20170131;130000;858;858;855;857;182;0
