<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ENPL-гдр;60;20171108;130000;840;840;782;785.1;7679;0
ENPL-гдр;60;20171108;140000;794.9;800;790.1;792;2073;0
ENPL-гдр;60;20171108;150000;790.2;790.2;782.9;783.6;4511;0
ENPL-гдр;60;20171108;160000;784.9;784.9;780.7;783.9;3968;0
ENPL-гдр;60;20171108;170000;783.9;785;783;785;618;0
ENPL-гдр;60;20171108;180000;785;794;783;794;1736;0
ENPL-гдр;60;20171109;100000;794;819.8;786.1;818;475;0
ENPL-гдр;60;20171109;110000;795.3;799.2;781.1;796.8;3112;0
ENPL-гдр;60;20171109;120000;786;790;785;787.9;51;0
ENPL-гдр;60;20171109;130000;785.5;785.5;779.8;779.8;4052;0
ENPL-гдр;60;20171109;140000;783;783.1;779.8;783.1;155;0
ENPL-гдр;60;20171109;150000;780.2;780.2;777;779;1146;0
ENPL-гдр;60;20171109;160000;780;780;773;773;704;0
ENPL-гдр;60;20171109;170000;772.3;775.8;772.1;772.1;2181;0
ENPL-гдр;60;20171109;180000;772.2;780;772.1;780;1237;0
ENPL-гдр;60;20171110;100000;765.4;780;765.4;780;1045;0
ENPL-гдр;60;20171110;110000;772.1;773;770;770;854;0
ENPL-гдр;60;20171110;120000;780;780;780;780;2;0
ENPL-гдр;60;20171110;130000;774;779.9;773;773.1;138;0
ENPL-гдр;60;20171110;140000;773.2;777.9;771;777.3;199;0
ENPL-гдр;60;20171110;150000;774.9;775;770;770;114;0
ENPL-гдр;60;20171110;160000;774.1;784.9;770;770;1050;0
ENPL-гдр;60;20171110;170000;775;780;772.4;772.4;3671;0
ENPL-гдр;60;20171110;180000;770.5;776.6;770.3;770.3;422;0
ENPL-гдр;60;20171113;100000;785;785;771;780;85;0
ENPL-гдр;60;20171113;110000;780;783;780;780;73;0
ENPL-гдр;60;20171113;120000;781.9;782.9;777.9;777.9;143;0
ENPL-гдр;60;20171113;130000;775.2;775.3;775;775;118;0
ENPL-гдр;60;20171113;140000;777.8;777.8;775;775;524;0
ENPL-гдр;60;20171113;160000;775;775;770;770;452;0
ENPL-гдр;60;20171113;170000;770.1;770.1;767;768.2;685;0
ENPL-гдр;60;20171113;180000;768;770;766.2;770;100;0
ENPL-гдр;60;20171114;100000;770.1;775;769.9;774;2777;0
ENPL-гдр;60;20171114;120000;776;776;770;770;168;0
ENPL-гдр;60;20171114;130000;769.9;770;769.8;770;3;0
ENPL-гдр;60;20171114;140000;770.1;770.1;767.1;767.1;211;0
ENPL-гдр;60;20171114;150000;772.3;772.4;771.4;771.4;40;0
ENPL-гдр;60;20171114;160000;771.4;772.5;768.6;768.6;546;0
ENPL-гдр;60;20171114;170000;767.3;767.9;767.3;767.9;6;0
ENPL-гдр;60;20171114;180000;768;780;768;780;618;0
ENPL-гдр;60;20171115;100000;767.7;770.1;767.7;770;21;0
ENPL-гдр;60;20171115;110000;774.4;783.9;774.4;783.9;353;0
ENPL-гдр;60;20171115;120000;781;781;781;781;1;0
ENPL-гдр;60;20171115;130000;781;783.9;781;783.9;180;0
ENPL-гдр;60;20171115;160000;776.4;776.4;773;773;37;0
ENPL-гдр;60;20171115;170000;770.4;770.4;770.3;770.3;88;0
ENPL-гдр;60;20171115;180000;770.4;772.6;770.3;772.6;214;0
ENPL-гдр;60;20171116;100000;783.8;783.8;783.8;783.8;1;0
ENPL-гдр;60;20171116;110000;783.7;783.7;781;781;3;0
ENPL-гдр;60;20171116;120000;780.1;780.1;767.1;779.9;94;0
ENPL-гдр;60;20171116;130000;767.3;770;765;770;262;0
ENPL-гдр;60;20171116;140000;770.2;776.5;765;776;170;0
ENPL-гдр;60;20171116;150000;769.9;770;760;760.3;50;0
ENPL-гдр;60;20171116;160000;761.1;761.1;761;761;105;0
ENPL-гдр;60;20171116;170000;763.5;763.5;763.5;763.5;1;0
ENPL-гдр;60;20171117;100000;763.5;770.2;763.5;770.2;94;0
ENPL-гдр;60;20171117;110000;771.6;780.2;771.6;780;21;0
ENPL-гдр;60;20171117;120000;780;780;780;780;3;0
ENPL-гдр;60;20171117;130000;779.9;779.9;772;772;32;0
ENPL-гдр;60;20171117;140000;779.9;780;779.9;780;17;0
ENPL-гдр;60;20171117;150000;779.8;780.1;779.8;780.1;128;0
ENPL-гдр;60;20171117;160000;777.5;777.5;777.5;777.5;1;0
ENPL-гдр;60;20171117;180000;777.4;777.5;777.4;777.5;13;0
ENPL-гдр;60;20171120;100000;778;778;775.3;775.3;21;0
ENPL-гдр;60;20171120;110000;778;779;778;779;115;0
ENPL-гдр;60;20171120;120000;775.3;775.3;775.3;775.3;1;0
ENPL-гдр;60;20171120;130000;775.3;779;775.3;779;4;0
ENPL-гдр;60;20171120;140000;775.4;775.4;775.4;775.4;170;0
ENPL-гдр;60;20171120;150000;775.3;779;772.6;775;251;0
ENPL-гдр;60;20171120;170000;776;776;771;771;68;0
ENPL-гдр;60;20171120;180000;771;772.7;771;772.7;32;0
ENPL-гдр;60;20171121;100000;770.5;770.5;770;770.4;30;0
ENPL-гдр;60;20171121;110000;770.3;770.3;770.1;770.3;3;0
ENPL-гдр;60;20171121;120000;770.1;770.1;770;770;24;0
ENPL-гдр;60;20171121;130000;767.3;767.3;766.2;766.2;11;0
ENPL-гдр;60;20171121;140000;766;766;764;764;1938;0
ENPL-гдр;60;20171121;150000;764;764;763.9;764;19;0
ENPL-гдр;60;20171121;160000;764;764;764;764;20;0
ENPL-гдр;60;20171121;180000;763.9;763.9;762.5;763.9;70;0
ENPL-гдр;60;20171122;100000;761.2;768;761.2;768;129;0
ENPL-гдр;60;20171122;110000;768;768;768;768;10;0
ENPL-гдр;60;20171122;130000;765;765;764;764;3;0
ENPL-гдр;60;20171122;140000;764;764;764;764;12;0
ENPL-гдр;60;20171122;150000;764;768;764;768;3781;0
ENPL-гдр;60;20171122;170000;768;768;768;768;1;0
