<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
FXAU ETF;60;20170124;100000;1561;1561;1561;1561;2;0
FXAU ETF;60;20170125;110000;1559;1559;1558;1558;18;0
FXAU ETF;60;20170126;100000;1584;1585;1584;1585;7;0
FXAU ETF;60;20170126;180000;1598;1598;1598;1598;19;0
FXAU ETF;60;20170127;120000;1597;1597;1590;1590;3;0
FXAU ETF;60;20170127;140000;1589;1591;1589;1591;3;0
FXAU ETF;60;20170127;150000;1588;1590;1588;1590;4;0
FXAU ETF;60;20170127;180000;1587;1587;1587;1587;19;0
FXAU ETF;60;20170130;100000;1587;1587;1587;1587;2;0
FXAU ETF;60;20170130;110000;1583;1583;1583;1583;1;0
FXAU ETF;60;20170130;140000;1572;1572;1572;1572;2;0
FXAU ETF;60;20170131;090000;1728;1728;1728;1728;1;0
FXAU ETF;60;20170201;100000;1594;1596;1590;1590;63;0
FXAU ETF;60;20170201;160000;1596;1596;1596;1596;1;0
FXAU ETF;60;20170202;100000;1598;1598;1598;1598;3;0
FXAU ETF;60;20170202;130000;1588;1588;1588;1588;26;0
FXAU ETF;60;20170202;180000;1600;1600;1600;1600;3;0
FXAU ETF;60;20170203;100000;1577;1577;1577;1577;5;0
FXAU ETF;60;20170203;110000;1582;1585;1582;1585;5;0
FXAU ETF;60;20170203;140000;1576;1576;1576;1576;6;0
FXAU ETF;60;20170206;100000;1570;1570;1556;1556;4;0
FXAU ETF;60;20170206;120000;1563;1563;1563;1563;1;0
FXAU ETF;60;20170206;130000;1561;1561;1561;1561;3;0
FXAU ETF;60;20170206;150000;1551;1551;1551;1551;2;0
FXAU ETF;60;20170206;160000;1553;1554;1553;1554;64;0
FXAU ETF;60;20170207;140000;1573;1573;1573;1573;26;0
FXAU ETF;60;20170207;170000;1567;1567;1559;1559;64;0
FXAU ETF;60;20170207;180000;1568;1568;1568;1568;1;0
FXAU ETF;60;20170208;100000;1586;1586;1586;1586;7;0
FXAU ETF;60;20170208;110000;1585;1585;1585;1585;8;0
FXAU ETF;60;20170208;140000;1581;1581;1580;1580;13;0
FXAU ETF;60;20170208;150000;1574;1574;1574;1574;8;0
FXAU ETF;60;20170208;160000;1577;1577;1577;1577;2;0
FXAU ETF;60;20170208;180000;1579;1579;1579;1579;1;0
FXAU ETF;60;20170209;100000;1570;1570;1570;1570;3;0
FXAU ETF;60;20170209;150000;1575;1575;1575;1575;25;0
FXAU ETF;60;20170209;170000;1570;1570;1568;1568;12;0
FXAU ETF;60;20170210;110000;1588;1588;1583;1583;11;0
FXAU ETF;60;20170210;120000;1583;1583;1583;1583;3;0
FXAU ETF;60;20170210;130000;1583;1583;1583;1583;46;0
FXAU ETF;60;20170210;150000;1575;1575;1575;1575;65;0
FXAU ETF;60;20170210;170000;1580;1580;1580;1580;1;0
FXAU ETF;60;20170210;180000;1580;1580;1580;1580;1;0
FXAU ETF;60;20170213;100000;1580;1580;1580;1580;13;0
FXAU ETF;60;20170213;140000;1578;1578;1578;1578;20;0
FXAU ETF;60;20170213;160000;1578;1578;1578;1578;1;0
FXAU ETF;60;20170214;100000;1571;1571;1571;1571;1;0
FXAU ETF;60;20170214;110000;1567;1567;1567;1567;2;0
FXAU ETF;60;20170214;120000;1567;1567;1567;1567;3;0
FXAU ETF;60;20170214;150000;1560;1560;1560;1560;3;0
FXAU ETF;60;20170215;100000;1558;1558;1558;1558;1;0
FXAU ETF;60;20170215;150000;1580;1586;1580;1586;5;0
FXAU ETF;60;20170215;160000;1587;1587;1587;1587;20;0
FXAU ETF;60;20170216;100000;1580;1580;1580;1580;5;0
FXAU ETF;60;20170216;130000;1583;1583;1583;1583;32;0
FXAU ETF;60;20170216;150000;1580;1580;1580;1580;85;0
FXAU ETF;60;20170216;180000;1593;1594;1593;1594;4;0
FXAU ETF;60;20170217;110000;1594;1594;1594;1594;29;0
FXAU ETF;60;20170217;120000;1583;1583;1583;1583;3;0
FXAU ETF;60;20170217;130000;1596;1596;1596;1596;2;0
FXAU ETF;60;20170217;160000;1601;1601;1601;1601;25;0
FXAU ETF;60;20170217;180000;1605;1605;1605;1605;4;0
FXAU ETF;60;20170220;110000;1601;1601;1601;1601;5;0
