<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
FXCN ETF;60;20170124;100000;1810;1810;1810;1810;7;0
FXCN ETF;60;20170124;120000;1805;1805;1805;1805;4;0
FXCN ETF;60;20170124;180000;1805;1805;1805;1805;40;0
FXCN ETF;60;20170125;110000;1815;1820;1815;1820;15;0
FXCN ETF;60;20170125;170000;1825;1825;1825;1825;2000;0
FXCN ETF;60;20170125;180000;1830;1830;1830;1830;1;0
FXCN ETF;60;20170126;100000;1850;1850;1850;1850;16;0
FXCN ETF;60;20170126;150000;1865;1870;1865;1870;21;0
FXCN ETF;60;20170126;160000;1955;1955;1880;1880;3;0
FXCN ETF;60;20170126;180000;1870;1870;1870;1870;16;0
FXCN ETF;60;20170127;100000;1870;1870;1870;1870;1;0
FXCN ETF;60;20170127;120000;1865;1865;1865;1865;3;0
FXCN ETF;60;20170127;140000;1850;1850;1850;1850;5;0
FXCN ETF;60;20170127;150000;1845;1845;1845;1845;2;0
FXCN ETF;60;20170127;160000;1860;1860;1860;1860;1;0
FXCN ETF;60;20170127;170000;1840;1840;1840;1840;1;0
FXCN ETF;60;20170127;180000;1840;1840;1840;1840;16;0
FXCN ETF;60;20170130;100000;1855;1855;1855;1855;1;0
FXCN ETF;60;20170130;120000;1845;1845;1845;1845;20;0
FXCN ETF;60;20170130;130000;1835;1835;1835;1835;2;0
FXCN ETF;60;20170131;100000;1835;1835;1835;1835;1;0
FXCN ETF;60;20170201;100000;1860;1860;1860;1860;9;0
FXCN ETF;60;20170201;170000;1865;1865;1855;1855;9;0
FXCN ETF;60;20170202;100000;1840;1840;1840;1840;5;0
FXCN ETF;60;20170202;120000;1840;1840;1840;1840;1;0
FXCN ETF;60;20170202;130000;1820;1820;1820;1820;23;0
FXCN ETF;60;20170202;140000;1835;1835;1835;1835;10;0
FXCN ETF;60;20170202;150000;1835;1835;1835;1835;3;0
FXCN ETF;60;20170202;160000;1830;1830;1830;1830;1;0
FXCN ETF;60;20170202;180000;1825;1840;1825;1840;44;0
FXCN ETF;60;20170203;100000;1815;1815;1815;1815;9;0
FXCN ETF;60;20170203;110000;1830;1830;1830;1830;3;0
FXCN ETF;60;20170203;150000;1820;1820;1820;1820;6;0
FXCN ETF;60;20170206;130000;1825;1825;1825;1825;5;0
FXCN ETF;60;20170206;150000;1815;1815;1815;1815;2;0
FXCN ETF;60;20170206;160000;1825;1825;1825;1825;54;0
FXCN ETF;60;20170206;170000;1820;1820;1820;1820;1;0
FXCN ETF;60;20170206;180000;1820;1820;1820;1820;7;0
FXCN ETF;60;20170207;100000;1830;1830;1830;1830;1;0
FXCN ETF;60;20170207;120000;1845;1845;1845;1845;1;0
FXCN ETF;60;20170207;130000;1840;1840;1840;1840;6;0
FXCN ETF;60;20170207;140000;1840;1840;1840;1840;29;0
FXCN ETF;60;20170207;170000;1850;1850;1850;1850;5;0
FXCN ETF;60;20170207;180000;1850;1850;1850;1850;1;0
FXCN ETF;60;20170208;100000;1865;1865;1865;1865;6;0
FXCN ETF;60;20170208;110000;1860;1865;1860;1860;12;0
FXCN ETF;60;20170208;140000;1860;1860;1860;1860;5;0
FXCN ETF;60;20170208;180000;1845;1845;1845;1845;4;0
FXCN ETF;60;20170209;100000;1870;1870;1870;1870;1;0
FXCN ETF;60;20170209;130000;1860;1860;1860;1860;2;0
FXCN ETF;60;20170209;150000;1865;1865;1860;1860;23;0
FXCN ETF;60;20170209;170000;1855;1860;1855;1860;16;0
FXCN ETF;60;20170209;180000;1860;1860;1860;1860;1;0
FXCN ETF;60;20170210;100000;1860;1860;1860;1860;2;0
FXCN ETF;60;20170210;110000;1860;1860;1850;1850;56;0
FXCN ETF;60;20170210;130000;1855;1855;1855;1855;91;0
FXCN ETF;60;20170210;180000;1855;1855;1845;1845;9;0
FXCN ETF;60;20170213;100000;1845;1850;1845;1850;22;0
FXCN ETF;60;20170213;140000;1845;1845;1845;1845;3;0
FXCN ETF;60;20170213;160000;1845;1845;1845;1845;3;0
FXCN ETF;60;20170215;100000;1825;1825;1825;1825;1;0
FXCN ETF;60;20170215;110000;1820;1820;1820;1820;3;0
FXCN ETF;60;20170215;120000;1835;1835;1835;1835;1;0
FXCN ETF;60;20170215;160000;1855;1860;1855;1855;18;0
FXCN ETF;60;20170216;100000;1835;1835;1835;1835;2;0
FXCN ETF;60;20170216;130000;1845;1845;1845;1845;38;0
FXCN ETF;60;20170217;100000;1850;1850;1850;1850;2;0
FXCN ETF;60;20170217;110000;1850;1850;1850;1850;3;0
FXCN ETF;60;20170217;120000;1840;1840;1840;1840;5;0
FXCN ETF;60;20170217;130000;1850;1860;1850;1860;22;0
FXCN ETF;60;20170217;140000;1865;1865;1855;1855;34;0
FXCN ETF;60;20170217;150000;1855;1855;1855;1855;43;0
FXCN ETF;60;20170217;180000;1865;1865;1865;1865;3;0
FXCN ETF;60;20170220;100000;1880;1880;1880;1880;5;0
FXCN ETF;60;20170220;110000;1865;1880;1865;1880;4;0
