<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
FXDE ETF;60;20170124;100000;1777;1777;1777;1777;7;0
FXDE ETF;60;20170124;120000;1772.5;1772.5;1772.5;1772.5;5;0
FXDE ETF;60;20170124;130000;1770.5;1770.5;1770.5;1770.5;10;0
FXDE ETF;60;20170124;150000;1777;1777;1777;1777;6;0
FXDE ETF;60;20170124;180000;1776.5;1777;1776.5;1777;102;0
FXDE ETF;60;20170125;110000;1785.5;1793.5;1785.5;1793.5;9;0
FXDE ETF;60;20170125;120000;1798.5;1798.5;1798.5;1798.5;1;0
FXDE ETF;60;20170125;130000;1802;1802;1802;1802;1;0
FXDE ETF;60;20170125;170000;1805;1805;1805;1805;11;0
FXDE ETF;60;20170125;180000;1806.5;1806.5;1806.5;1806.5;2;0
FXDE ETF;60;20170126;120000;1830;1830;1830;1830;1;0
FXDE ETF;60;20170126;130000;1835;1836;1835;1836;3;0
FXDE ETF;60;20170126;150000;1842;1842;1842;1842;1;0
FXDE ETF;60;20170126;160000;1827;1827;1827;1827;1;0
FXDE ETF;60;20170126;180000;1839;1839;1839;1839;16;0
FXDE ETF;60;20170127;100000;1837;1837;1837;1837;2;0
FXDE ETF;60;20170127;110000;1836.5;1836.5;1836;1836;3;0
FXDE ETF;60;20170127;120000;1828.5;1830;1828.5;1830;4;0
FXDE ETF;60;20170127;150000;1837;1837;1824.5;1829;17;0
FXDE ETF;60;20170127;160000;1820;1820;1818.5;1818.5;2;0
FXDE ETF;60;20170127;180000;1818.5;1819;1818.5;1819;68;0
FXDE ETF;60;20170130;100000;1830.5;1830.5;1830.5;1830.5;1;0
FXDE ETF;60;20170130;120000;1815;1815;1815;1815;1;0
FXDE ETF;60;20170130;160000;1800;1800;1800;1800;12;0
FXDE ETF;60;20170130;170000;1804.5;1804.5;1804.5;1804.5;50;0
FXDE ETF;60;20170130;180000;1805.5;1805.5;1801.5;1801.5;73;0
FXDE ETF;60;20170131;180000;1811;1811;1811;1811;9;0
FXDE ETF;60;20170201;100000;1820.5;1822.5;1820.5;1822.5;2;0
FXDE ETF;60;20170201;120000;1825;1825;1825;1825;190;0
FXDE ETF;60;20170201;160000;1822.5;1822.5;1822.5;1822.5;1;0
FXDE ETF;60;20170201;170000;1823.5;1823.5;1823.5;1823.5;2;0
FXDE ETF;60;20170201;180000;1820;1820;1820;1820;2;0
FXDE ETF;60;20170202;100000;1810.5;1810.5;1810.5;1810.5;4;0
FXDE ETF;60;20170202;120000;1803.5;1803.5;1801.5;1801.5;2;0
FXDE ETF;60;20170202;130000;1798.5;1798.5;1797.5;1797.5;22;0
FXDE ETF;60;20170202;140000;1806.5;1806.5;1806.5;1806.5;9;0
FXDE ETF;60;20170202;160000;1800.5;1800.5;1800.5;1800.5;1;0
FXDE ETF;60;20170203;100000;1787.5;1787.5;1787.5;1787.5;4;0
FXDE ETF;60;20170203;120000;1796.5;1796.5;1793;1793;34;0
FXDE ETF;60;20170203;150000;1784;1784;1784;1784;1;0
FXDE ETF;60;20170203;170000;1790;1790;1790;1790;25;0
FXDE ETF;60;20170206;100000;1769;1769;1769;1769;2;0
FXDE ETF;60;20170206;150000;1759.5;1759.5;1753;1753;4;0
FXDE ETF;60;20170206;160000;1751;1751;1751;1751;50;0
FXDE ETF;60;20170207;100000;1750;1750;1746.5;1746.5;59;0
FXDE ETF;60;20170207;110000;1750;1751;1750;1751;74;0
FXDE ETF;60;20170207;120000;1760.5;1760.5;1760.5;1760.5;3;0
FXDE ETF;60;20170207;130000;1762;1762;1762;1762;1;0
FXDE ETF;60;20170207;140000;1766.5;1766.5;1766.5;1766.5;1;0
FXDE ETF;60;20170207;150000;1767.5;1767.5;1767.5;1767.5;1;0
FXDE ETF;60;20170207;160000;1764;1764;1764;1764;8;0
FXDE ETF;60;20170207;180000;1770;1770;1770;1770;1;0
FXDE ETF;60;20170208;100000;1769;1769;1769;1769;7;0
FXDE ETF;60;20170208;110000;1765;1765;1764;1765;35;0
FXDE ETF;60;20170208;140000;1759.5;1759.5;1759.5;1759.5;11;0
FXDE ETF;60;20170208;150000;1760;1760;1760;1760;4;0
FXDE ETF;60;20170208;170000;1753;1754.5;1753;1754.5;31;0
FXDE ETF;60;20170208;180000;1761.5;1761.5;1761.5;1761.5;1;0
FXDE ETF;60;20170209;100000;1757.5;1757.5;1757.5;1757.5;5;0
FXDE ETF;60;20170209;110000;1759.5;1759.5;1759.5;1759.5;1;0
FXDE ETF;60;20170209;120000;1762.5;1762.5;1762.5;1762.5;2;0
