<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
FXGD ETF;60;20170124;090000;517.5;517.5;517.5;517.5;36;0
FXGD ETF;60;20170124;100000;513.5;513.5;511;511;1992;0
FXGD ETF;60;20170124;110000;511;511;510.5;510.5;18;0
FXGD ETF;60;20170124;120000;510.5;511.5;510;511.5;21;0
FXGD ETF;60;20170124;130000;511.5;511.5;511.5;511.5;2;0
FXGD ETF;60;20170124;140000;510.5;512;510.5;511;151;0
FXGD ETF;60;20170124;150000;512.5;513;512.5;513;829;0
FXGD ETF;60;20170124;160000;513;513;511.5;511.5;3;0
FXGD ETF;60;20170124;170000;512.5;512.5;512;512;240;0
FXGD ETF;60;20170125;100000;510;510;505.5;507.5;65;0
FXGD ETF;60;20170125;110000;508;508;507;507;119;0
FXGD ETF;60;20170125;120000;507;507;506;506;35;0
FXGD ETF;60;20170125;130000;509.5;509.5;508;508.5;219;0
FXGD ETF;60;20170125;140000;509;509;509;509;11;0
FXGD ETF;60;20170125;150000;509.5;509.5;508.5;508.5;229;0
FXGD ETF;60;20170125;160000;508;508.5;507.5;507.5;92;0
FXGD ETF;60;20170125;170000;507;507;504.5;505;199;0
FXGD ETF;60;20170125;180000;506.5;506.5;505;505;42;0
FXGD ETF;60;20170126;100000;508;509.5;507.5;509.5;22;0
FXGD ETF;60;20170126;110000;507.5;508.5;507.5;508.5;5;0
FXGD ETF;60;20170126;120000;510.5;510.5;507.5;507.5;15;0
FXGD ETF;60;20170126;130000;510;510.5;508.5;508.5;360;0
FXGD ETF;60;20170126;140000;510.5;511;510;511;255;0
FXGD ETF;60;20170126;150000;511;511;510;511;155;0
FXGD ETF;60;20170126;160000;511;511;510;511;608;0
FXGD ETF;60;20170126;170000;512;512;510;510;41;0
FXGD ETF;60;20170126;180000;509.5;511;509;510.5;208;0
FXGD ETF;60;20170127;100000;506.5;508.5;506.5;508;539;0
FXGD ETF;60;20170127;110000;508;509.5;508;508;33;0
FXGD ETF;60;20170127;120000;508;508;506;506;570;0
FXGD ETF;60;20170127;130000;507.5;507.5;506;506;15;0
FXGD ETF;60;20170127;140000;506;506;505.5;506;110;0
FXGD ETF;60;20170127;150000;505;506;505;505;85;0
FXGD ETF;60;20170127;160000;506;506;503;503;103;0
FXGD ETF;60;20170127;170000;504;505.5;504;505;35;0
FXGD ETF;60;20170127;180000;505;506;504;506;1477;0
FXGD ETF;60;20170130;100000;508;512;508;511;836;0
FXGD ETF;60;20170130;110000;510;510;509;509;22;0
FXGD ETF;60;20170130;120000;508;509;506;506;721;0
FXGD ETF;60;20170130;130000;507.5;508.5;506.5;507;46;0
FXGD ETF;60;20170130;140000;508;508;507.5;508;172;0
FXGD ETF;60;20170130;150000;509.5;509.5;508;508;142;0
FXGD ETF;60;20170130;160000;509.5;509.5;509.5;509.5;3;0
FXGD ETF;60;20170130;170000;511;511.5;510;511.5;72;0
FXGD ETF;60;20170130;180000;511;512;510.5;511;163;0
FXGD ETF;60;20170131;090000;517.5;517.5;517.5;517.5;3;0
FXGD ETF;60;20170131;100000;517;517;511.5;513.5;100;0
FXGD ETF;60;20170131;110000;515;515;512.5;512.5;348;0
FXGD ETF;60;20170131;120000;512;512;511;511;10;0
FXGD ETF;60;20170131;130000;512.5;513;512;512;10657;0
FXGD ETF;60;20170131;140000;511.5;513.5;511.5;513.5;7;0
FXGD ETF;60;20170131;150000;514;515;513.5;514.5;1710;0
FXGD ETF;60;20170131;160000;513;514.5;513;513.5;2114;0
FXGD ETF;60;20170131;170000;513;518;513;518;2883;0
FXGD ETF;60;20170131;180000;517.5;518;517;517;368;0
FXGD ETF;60;20170201;100000;517;519.5;517;517;1454;0
FXGD ETF;60;20170201;110000;518.5;520;518;519.5;284;0
FXGD ETF;60;20170201;120000;519.5;520.5;518.5;520;701;0
FXGD ETF;60;20170201;130000;520.5;521;518.5;519.5;6637;0
FXGD ETF;60;20170201;140000;520.5;520.5;519;519;55;0
FXGD ETF;60;20170201;150000;518.5;519;517.5;518.5;429;0
FXGD ETF;60;20170201;160000;518.5;518.5;515;516.5;387;0
FXGD ETF;60;20170201;170000;516;520;515.5;515.5;314;0
FXGD ETF;60;20170201;180000;517;517;513;514;108;0
FXGD ETF;60;20170202;100000;518.5;519.5;517.5;518.5;227;0
FXGD ETF;60;20170202;110000;517.5;518;517;518;846;0
FXGD ETF;60;20170202;120000;516.5;516.5;516.5;516.5;76;0
FXGD ETF;60;20170202;130000;516.5;519.5;516;519;361;0
FXGD ETF;60;20170202;140000;519;519;518.5;519;4;0
FXGD ETF;60;20170202;150000;518.5;518.5;518.5;518.5;50;0
FXGD ETF;60;20170202;160000;518;519;517;518.5;89;0
FXGD ETF;60;20170202;170000;518;518;517;517;196;0
FXGD ETF;60;20170202;180000;517.5;520;516.5;520;105;0
FXGD ETF;60;20170203;100000;513.5;513.5;511;513;730;0
FXGD ETF;60;20170203;110000;513;514.5;512;514.5;346;0
FXGD ETF;60;20170203;120000;515;515;515;515;8;0
FXGD ETF;60;20170203;130000;515;515;513;513.5;190;0
FXGD ETF;60;20170203;140000;513;513;511.5;511.5;4842;0
FXGD ETF;60;20170203;150000;512;512;510;510;6061;0
FXGD ETF;60;20170203;160000;511.5;519.5;510.5;511;203;0
FXGD ETF;60;20170203;170000;513;513;511.5;512.5;5006;0
FXGD ETF;60;20170203;180000;512.5;512.5;510;512;2014;0
FXGD ETF;60;20170206;090000;509.5;509.5;509.5;509.5;1;0
FXGD ETF;60;20170206;100000;511.5;512;510.5;510.5;83;0
FXGD ETF;60;20170206;110000;512.5;512.5;511;512.5;264;0
FXGD ETF;60;20170206;120000;511.5;512.5;511.5;512.5;54;0
FXGD ETF;60;20170206;130000;512;512.5;512;512.5;53;0
FXGD ETF;60;20170206;140000;514;514;513.5;514;3103;0
FXGD ETF;60;20170206;150000;514;514;512;512.5;70;0
FXGD ETF;60;20170206;160000;515;515.5;514.5;514.5;36;0
FXGD ETF;60;20170206;170000;516;516;514.5;514.5;237;0
FXGD ETF;60;20170206;180000;514.5;515.5;514;515.5;24;0
FXGD ETF;60;20170207;090000;520;520;520;520;12;0
FXGD ETF;60;20170207;100000;519.5;519.5;517.5;518;222;0
FXGD ETF;60;20170207;110000;517.5;519;517.5;519;1908;0
FXGD ETF;60;20170207;120000;519;519.5;518;519.5;478;0
FXGD ETF;60;20170207;130000;519.5;520.5;519.5;519.5;714;0
FXGD ETF;60;20170207;140000;520.5;520.5;519.5;519.5;71;0
FXGD ETF;60;20170207;150000;519.5;520;519.5;520;16;0
FXGD ETF;60;20170207;160000;520;520;518.5;518.5;523;0
FXGD ETF;60;20170207;170000;520;520;520;520;25;0
FXGD ETF;60;20170207;180000;520.5;520.5;520;520;9;0
FXGD ETF;60;20170208;100000;520.5;522;520.5;522;376;0
FXGD ETF;60;20170208;110000;522;524;521.5;524;628;0
FXGD ETF;60;20170208;120000;523;524.5;522;523.5;283;0
FXGD ETF;60;20170208;130000;523.5;523.5;522;523.5;196;0
FXGD ETF;60;20170208;140000;523;523.5;522.5;523;158;0
FXGD ETF;60;20170208;150000;522.5;524;520.5;524;489;0
FXGD ETF;60;20170208;160000;523;523.5;522;523;100;0
FXGD ETF;60;20170208;170000;523;525;522;525;172;0
FXGD ETF;60;20170208;180000;523.5;525;523.5;523.5;162;0
FXGD ETF;60;20170209;100000;523;523;520.5;521;19;0
FXGD ETF;60;20170209;110000;521.5;522;520.5;521.5;5;0
FXGD ETF;60;20170209;120000;522.5;522.5;521.5;521.5;257;0
FXGD ETF;60;20170209;130000;521;521;519;519;20406;0
FXGD ETF;60;20170209;140000;519.5;519.5;517.5;517.5;249;0
FXGD ETF;60;20170209;150000;520;520;519.5;519.5;46;0
FXGD ETF;60;20170209;160000;519.5;519.5;518;518;3855;0
FXGD ETF;60;20170209;170000;519.5;519.5;518.5;519;1041;0
FXGD ETF;60;20170209;180000;518;518;517;517;93;0
FXGD ETF;60;20170210;100000;514.5;514.5;510.5;512.5;203;0
FXGD ETF;60;20170210;110000;512;513.5;512;512;1984;0
FXGD ETF;60;20170210;120000;513;513;511.5;511.5;121;0
FXGD ETF;60;20170210;130000;512.5;512.5;512;512;44;0
FXGD ETF;60;20170210;140000;512.5;512.5;512.5;512.5;4;0
FXGD ETF;60;20170210;150000;512.5;513;511;511.5;271;0
FXGD ETF;60;20170210;160000;511;512;510.5;510.5;2052;0
FXGD ETF;60;20170210;170000;510.5;510.5;510.5;510.5;10;0
FXGD ETF;60;20170210;180000;512;512;512;512;30;0
FXGD ETF;60;20170213;100000;511;511;507.5;508.5;4987;0
FXGD ETF;60;20170213;110000;509;509;507;508.5;180;0
FXGD ETF;60;20170213;120000;508;508.5;506.5;506.5;173;0
FXGD ETF;60;20170213;130000;507;507;506;506;1361;0
FXGD ETF;60;20170213;140000;507;508;506.5;508;69;0
FXGD ETF;60;20170213;150000;507.5;508;507;508;834;0
FXGD ETF;60;20170213;160000;506.5;507.5;504.5;504.5;822;0
FXGD ETF;60;20170213;170000;505;506.5;504.5;505.5;112;0
FXGD ETF;60;20170213;180000;505.5;505.5;504;504;740;0
FXGD ETF;60;20170214;100000;504;504;504;504;1;0
FXGD ETF;60;20170214;110000;503.5;505;503;504.5;576;0
FXGD ETF;60;20170214;120000;504;504;503.5;503.5;32;0
FXGD ETF;60;20170214;130000;504;504.5;502;503;1342;0
FXGD ETF;60;20170214;140000;502.5;502.5;501.5;501.5;517;0
FXGD ETF;60;20170214;150000;502.5;502.5;502.5;502.5;77;0
FXGD ETF;60;20170214;160000;503;504;503;503;216;0
FXGD ETF;60;20170214;170000;502.5;504.5;502.5;502.5;239;0
FXGD ETF;60;20170214;180000;504;504;499.5;501;888;0
FXGD ETF;60;20170215;100000;499;499;492.5;493;1821;0
FXGD ETF;60;20170215;110000;494;495.5;493;495;251;0
FXGD ETF;60;20170215;120000;497.5;501.5;497.5;501.5;362;0
FXGD ETF;60;20170215;130000;500;501;499;499;32;0
FXGD ETF;60;20170215;140000;500;500.5;498.5;500.5;1119;0
FXGD ETF;60;20170215;150000;501.5;503;501;503;189;0
FXGD ETF;60;20170215;160000;503.5;503.5;500;500.5;169;0
FXGD ETF;60;20170215;170000;500;500.5;500;500;60;0
