<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
FXJP ETF;60;20170124;100000;1899;1899;1899;1899;7;0
FXJP ETF;60;20170124;120000;1894;1894;1894;1894;3;0
FXJP ETF;60;20170124;170000;1894;1894;1894;1894;65;0
FXJP ETF;60;20170125;110000;1904;1907;1904;1907;17;0
FXJP ETF;60;20170125;120000;1906;1906;1906;1906;4;0
FXJP ETF;60;20170126;100000;1947;1947;1947;1947;2;0
FXJP ETF;60;20170126;120000;1964;1964;1964;1964;4;0
FXJP ETF;60;20170126;180000;1972;1972;1972;1972;46;0
FXJP ETF;60;20170127;100000;1954;1954;1954;1954;1;0
FXJP ETF;60;20170127;110000;1947;1952;1947;1951;4;0
FXJP ETF;60;20170127;150000;1940;1940;1940;1940;2;0
FXJP ETF;60;20170127;180000;1943;1943;1943;1943;46;0
FXJP ETF;60;20170130;110000;1949;1949;1945;1945;5;0
FXJP ETF;60;20170130;180000;1934;1934;1934;1934;1;0
FXJP ETF;60;20170131;100000;1932;1933;1932;1933;2;0
FXJP ETF;60;20170131;150000;1936;1936;1936;1936;1;0
FXJP ETF;60;20170201;100000;1961;1961;1961;1961;1;0
FXJP ETF;60;20170201;160000;1957;1958;1957;1958;3;0
FXJP ETF;60;20170202;100000;1937;1937;1937;1937;2;0
FXJP ETF;60;20170202;120000;1924;1924;1924;1924;11;0
FXJP ETF;60;20170202;140000;1931;1931;1930;1930;9;0
FXJP ETF;60;20170203;100000;1916;1916;1916;1916;4;0
FXJP ETF;60;20170203;120000;1926;1926;1926;1926;3;0
FXJP ETF;60;20170203;140000;1921;1921;1921;1921;5;0
FXJP ETF;60;20170206;120000;1912;1912;1912;1912;1;0
FXJP ETF;60;20170206;130000;1911;1911;1911;1911;5;0
FXJP ETF;60;20170206;150000;1905;1905;1905;1905;2;0
FXJP ETF;60;20170206;160000;1911;1911;1911;1911;40;0
FXJP ETF;60;20170207;130000;1931;1931;1931;1931;2;0
FXJP ETF;60;20170207;140000;1937;1937;1937;1937;47;0
FXJP ETF;60;20170207;170000;1928;1928;1928;1928;39;0
FXJP ETF;60;20170207;180000;1933;1933;1929;1929;2;0
FXJP ETF;60;20170208;100000;1945;1945;1945;1945;6;0
FXJP ETF;60;20170208;110000;1946;1946;1946;1946;7;0
FXJP ETF;60;20170208;150000;1939;1939;1939;1939;11;0
FXJP ETF;60;20170208;180000;1933;1933;1933;1933;1;0
