<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
FXMM ETF;60;20170124;100000;1306.2;1306.7;1306.2;1306.7;1737;0
FXMM ETF;60;20170124;110000;1306.6;1306.7;1306.5;1306.7;1410;0
FXMM ETF;60;20170124;120000;1306.5;1306.5;1306.5;1306.5;82;0
FXMM ETF;60;20170124;130000;1306.5;1306.7;1306.5;1306.7;1870;0
FXMM ETF;60;20170124;140000;1306.5;1306.5;1306.5;1306.5;26;0
FXMM ETF;60;20170124;150000;1306.7;1306.7;1306.5;1306.6;1118;0
FXMM ETF;60;20170124;160000;1306.6;1306.7;1306.5;1306.7;2056;0
FXMM ETF;60;20170124;170000;1306.5;1306.7;1306.5;1306.7;55;0
FXMM ETF;60;20170124;180000;1306.6;1306.7;1306.6;1306.7;423;0
FXMM ETF;60;20170125;100000;1306.9;1307;1306.9;1306.9;3410;0
FXMM ETF;60;20170125;110000;1306.9;1307;1306.9;1306.9;2087;0
FXMM ETF;60;20170125;120000;1306.9;1307;1306.9;1306.9;670;0
FXMM ETF;60;20170125;130000;1306.9;1306.9;1306.9;1306.9;90;0
FXMM ETF;60;20170125;140000;1307;1307;1307;1307;1883;0
FXMM ETF;60;20170125;150000;1307;1307.1;1306.9;1306.9;3057;0
FXMM ETF;60;20170125;160000;1307;1307.1;1307;1307.1;445;0
FXMM ETF;60;20170125;170000;1307.1;1307.1;1306.9;1307;459;0
FXMM ETF;60;20170125;180000;1307;1307.1;1306.9;1307.1;1017;0
FXMM ETF;60;20170126;100000;1307.6;1307.6;1307.5;1307.5;1194;0
FXMM ETF;60;20170126;110000;1307.6;1307.7;1307.5;1307.5;866;0
FXMM ETF;60;20170126;120000;1307.6;1307.6;1307.6;1307.6;336;0
FXMM ETF;60;20170126;130000;1307.6;1307.6;1307.5;1307.5;2265;0
FXMM ETF;60;20170126;140000;1307.5;1307.6;1307.5;1307.5;263;0
FXMM ETF;60;20170126;150000;1307.5;1307.7;1307.5;1307.6;1888;0
FXMM ETF;60;20170126;160000;1307.6;1307.7;1307.6;1307.6;85;0
FXMM ETF;60;20170126;170000;1307.6;1307.7;1307.6;1307.7;7088;0
FXMM ETF;60;20170126;180000;1307.7;1307.7;1307.6;1307.7;1263;0
FXMM ETF;60;20170127;090000;1307.6;1307.6;1307.6;1307.6;21;0
FXMM ETF;60;20170127;100000;1307.6;1308.9;1307.6;1307.9;341;0
FXMM ETF;60;20170127;110000;1307.9;1308;1307.8;1307.8;761;0
FXMM ETF;60;20170127;120000;1308;1308;1307.8;1307.9;576;0
FXMM ETF;60;20170127;130000;1307.9;1308;1307.8;1307.8;828;0
FXMM ETF;60;20170127;140000;1307.8;1308;1307.8;1308;395;0
FXMM ETF;60;20170127;150000;1308;1308;1307.8;1308;1061;0
FXMM ETF;60;20170127;160000;1308;1308;1307.9;1308;312;0
FXMM ETF;60;20170127;170000;1307.9;1308;1307.8;1307.9;3197;0
FXMM ETF;60;20170127;180000;1308;1308;1307.8;1308;1889;0
FXMM ETF;60;20170130;100000;1308.2;1308.3;1308.2;1308.2;1206;0
FXMM ETF;60;20170130;110000;1308.3;1308.3;1308.2;1308.2;434;0
FXMM ETF;60;20170130;120000;1308.2;1308.3;1308.2;1308.3;1074;0
FXMM ETF;60;20170130;130000;1308.2;1308.3;1308.2;1308.3;395;0
FXMM ETF;60;20170130;140000;1308.4;1308.4;1308.3;1308.3;133;0
FXMM ETF;60;20170130;150000;1308.3;1308.4;1308.3;1308.4;18;0
FXMM ETF;60;20170130;160000;1308.4;1308.4;1308.3;1308.4;325;0
FXMM ETF;60;20170130;170000;1308.3;1308.4;1308.3;1308.4;332;0
FXMM ETF;60;20170130;180000;1308.4;1308.4;1308.3;1308.4;1406;0
FXMM ETF;60;20170131;090000;1308.6;1308.6;1308.6;1308.6;1;0
FXMM ETF;60;20170131;100000;1308.6;1308.7;1308.5;1308.6;6587;0
FXMM ETF;60;20170131;110000;1308.7;1308.7;1308.5;1308.6;147;0
FXMM ETF;60;20170131;120000;1308.5;1308.5;1308.5;1308.5;7863;0
FXMM ETF;60;20170131;130000;1308.6;1308.7;1308.6;1308.7;116;0
FXMM ETF;60;20170131;140000;1308.6;1308.6;1308.6;1308.6;721;0
FXMM ETF;60;20170131;150000;1308.5;1308.6;1308.5;1308.5;15;0
FXMM ETF;60;20170131;160000;1308.5;1308.6;1308.5;1308.6;45;0
FXMM ETF;60;20170131;170000;1308.5;1308.6;1308.5;1308.6;517;0
FXMM ETF;60;20170131;180000;1308.5;1308.6;1308.5;1308.6;512;0
FXMM ETF;60;20170201;100000;1308.5;1308.8;1308.5;1308.6;9295;0
FXMM ETF;60;20170201;110000;1308.7;1308.8;1308.6;1308.7;788;0
FXMM ETF;60;20170201;120000;1308.8;1308.8;1308.6;1308.6;650;0
FXMM ETF;60;20170201;130000;1308.6;1308.6;1308.6;1308.6;19;0
FXMM ETF;60;20170201;140000;1308.6;1308.7;1308.6;1308.7;453;0
FXMM ETF;60;20170201;150000;1308.7;1308.7;1308.6;1308.7;499;0
FXMM ETF;60;20170201;160000;1308.6;1308.8;1308.6;1308.8;2024;0
FXMM ETF;60;20170201;170000;1308.8;1308.8;1308.7;1308.7;420;0
FXMM ETF;60;20170201;180000;1308.6;1308.7;1308.6;1308.6;340;0
FXMM ETF;60;20170202;100000;1308.7;1308.9;1308.7;1308.7;813;0
FXMM ETF;60;20170202;110000;1308.7;1308.8;1308.7;1308.7;552;0
FXMM ETF;60;20170202;120000;1308.7;1308.8;1308.7;1308.7;475;0
FXMM ETF;60;20170202;130000;1308.8;1308.8;1308.7;1308.7;1298;0
FXMM ETF;60;20170202;140000;1308.8;1308.8;1308.7;1308.8;650;0
FXMM ETF;60;20170202;150000;1308.8;1308.8;1308.7;1308.8;364;0
FXMM ETF;60;20170202;160000;1308.8;1308.8;1308.7;1308.7;221;0
FXMM ETF;60;20170202;170000;1308.7;1308.9;1308.7;1308.7;724;0
FXMM ETF;60;20170202;180000;1308.8;1308.9;1308.7;1308.7;244;0
FXMM ETF;60;20170203;100000;1309.1;1309.1;1309;1309;1797;0
FXMM ETF;60;20170203;110000;1309;1309.2;1309;1309;1307;0
FXMM ETF;60;20170203;120000;1309.1;1309.1;1309.1;1309.1;129;0
FXMM ETF;60;20170203;130000;1309.1;1309.2;1309.1;1309.1;316;0
FXMM ETF;60;20170203;140000;1309.1;1309.1;1309.1;1309.1;46;0
FXMM ETF;60;20170203;150000;1309.1;1309.2;1309.1;1309.1;546;0
FXMM ETF;60;20170203;160000;1309.2;1309.2;1309.1;1309.1;763;0
FXMM ETF;60;20170203;170000;1309.1;1309.2;1309;1309.1;416;0
FXMM ETF;60;20170203;180000;1309.1;1309.2;1309;1309;492;0
FXMM ETF;60;20170206;090000;1308.6;1308.6;1308.6;1308.6;16;0
FXMM ETF;60;20170206;100000;1309.6;1309.6;1309.5;1309.6;2749;0
FXMM ETF;60;20170206;110000;1309.6;1309.6;1309.5;1309.6;1380;0
FXMM ETF;60;20170206;120000;1309.5;1309.6;1309.5;1309.6;202;0
FXMM ETF;60;20170206;130000;1309.6;1309.6;1309.5;1309.5;292;0
FXMM ETF;60;20170206;140000;1309.6;1309.6;1309.5;1309.5;3430;0
FXMM ETF;60;20170206;150000;1309.5;1309.6;1309.5;1309.6;4;0
FXMM ETF;60;20170206;160000;1309.6;1309.7;1309.6;1309.6;492;0
FXMM ETF;60;20170206;170000;1309.6;1309.7;1309.6;1309.6;1272;0
FXMM ETF;60;20170206;180000;1309.7;1309.7;1309.5;1309.5;1622;0
FXMM ETF;60;20170207;100000;1309.7;1309.9;1309.7;1309.7;682;0
FXMM ETF;60;20170207;110000;1309.7;1309.9;1309.7;1309.8;22;0
FXMM ETF;60;20170207;120000;1309.9;1309.9;1309.8;1309.8;504;0
FXMM ETF;60;20170207;130000;1309.8;1309.9;1309.7;1309.8;320;0
FXMM ETF;60;20170207;140000;1309.8;1309.8;1309.7;1309.8;1414;0
FXMM ETF;60;20170207;150000;1309.8;1309.9;1309.8;1309.8;112;0
FXMM ETF;60;20170207;160000;1309.8;1309.9;1309.7;1309.7;809;0
FXMM ETF;60;20170207;170000;1309.8;1309.9;1309.7;1309.9;952;0
FXMM ETF;60;20170207;180000;1309.9;1309.9;1309.7;1309.7;334;0
FXMM ETF;60;20170208;100000;1310;1310.2;1310;1310.1;273;0
FXMM ETF;60;20170208;110000;1310.1;1310.2;1310;1310;1218;0
FXMM ETF;60;20170208;120000;1310.1;1310.2;1310;1310;689;0
FXMM ETF;60;20170208;130000;1310.1;1310.2;1310;1310.2;62;0
FXMM ETF;60;20170208;140000;1310;1310.1;1310;1310;34;0
FXMM ETF;60;20170208;150000;1310.1;1310.2;1310;1310.2;282;0
FXMM ETF;60;20170208;160000;1310;1310.2;1310;1310.2;5267;0
FXMM ETF;60;20170208;170000;1310;1310.2;1310;1310.1;2767;0
FXMM ETF;60;20170208;180000;1310.1;1310.2;1310;1310.2;511;0
FXMM ETF;60;20170209;100000;1310.5;1310.6;1310.4;1310.6;346;0
FXMM ETF;60;20170209;110000;1310.4;1310.5;1310.4;1310.4;504;0
FXMM ETF;60;20170209;120000;1310.5;1310.6;1310.4;1310.4;1004;0
FXMM ETF;60;20170209;130000;1310.4;1310.5;1310.4;1310.5;473;0
FXMM ETF;60;20170209;140000;1310.5;1310.5;1310.4;1310.5;248;0
FXMM ETF;60;20170209;150000;1310.5;1310.6;1310.5;1310.5;85;0
FXMM ETF;60;20170209;160000;1310.6;1310.6;1310.5;1310.6;431;0
FXMM ETF;60;20170209;170000;1310.5;1310.6;1310.4;1310.4;2681;0
FXMM ETF;60;20170209;180000;1310.5;1310.6;1310.4;1310.4;798;0
FXMM ETF;60;20170210;100000;1310.9;1311.1;1310.9;1311;231;0
FXMM ETF;60;20170210;110000;1311.1;1311.1;1311;1311;160;0
FXMM ETF;60;20170210;120000;1311;1311.1;1311;1311;1929;0
FXMM ETF;60;20170210;130000;1311;1311.1;1311;1311;642;0
FXMM ETF;60;20170210;140000;1311;1311.1;1311;1311;610;0
FXMM ETF;60;20170210;150000;1311.1;1311.2;1311.1;1311.1;570;0
FXMM ETF;60;20170210;160000;1311.2;1311.2;1311;1311;1554;0
FXMM ETF;60;20170210;170000;1311.1;1311.1;1311;1311.1;314;0
FXMM ETF;60;20170210;180000;1311;1311.1;1311;1311;480;0
FXMM ETF;60;20170213;090000;1312;1312;1312;1312;2;0
FXMM ETF;60;20170213;100000;1312;1312;1311.5;1311.6;7121;0
FXMM ETF;60;20170213;110000;1311.5;1311.6;1311.5;1311.5;644;0
FXMM ETF;60;20170213;120000;1311.6;1311.7;1311.5;1311.6;914;0
FXMM ETF;60;20170213;130000;1311.7;1311.7;1311.6;1311.7;590;0
FXMM ETF;60;20170213;140000;1311.6;1311.7;1311.6;1311.7;324;0
FXMM ETF;60;20170213;150000;1311.6;1311.7;1311.6;1311.6;208;0
FXMM ETF;60;20170213;160000;1311.6;1311.7;1311.6;1311.6;164;0
FXMM ETF;60;20170213;170000;1311.7;1311.7;1311.5;1311.6;568;0
FXMM ETF;60;20170213;180000;1311.7;1311.7;1311.5;1311.7;590;0
FXMM ETF;60;20170214;100000;1312;1312;1311.8;1311.8;495;0
FXMM ETF;60;20170214;110000;1311.8;1311.9;1311.8;1311.8;654;0
FXMM ETF;60;20170214;120000;1311.8;1312;1311.8;1311.9;3590;0
FXMM ETF;60;20170214;130000;1311.9;1312;1311.9;1311.9;988;0
FXMM ETF;60;20170214;140000;1311.8;1312;1311.8;1311.9;2743;0
FXMM ETF;60;20170214;150000;1311.8;1311.9;1311.8;1311.8;142;0
FXMM ETF;60;20170214;160000;1311.8;1311.9;1311.8;1311.8;394;0
FXMM ETF;60;20170214;170000;1311.8;1312;1311.8;1311.8;1699;0
FXMM ETF;60;20170214;180000;1311.9;1312;1311.8;1311.8;260;0
FXMM ETF;60;20170215;100000;1312;1312.3;1312;1312.2;1501;0
FXMM ETF;60;20170215;110000;1312.2;1312.2;1312.1;1312.2;1317;0
FXMM ETF;60;20170215;120000;1312.2;1312.2;1312.1;1312.1;1605;0
FXMM ETF;60;20170215;130000;1312.1;1312.3;1312.1;1312.3;161;0
FXMM ETF;60;20170215;140000;1312.1;1312.3;1312.1;1312.1;235;0
FXMM ETF;60;20170215;150000;1312.1;1312.2;1312.1;1312.1;162;0
FXMM ETF;60;20170215;160000;1312.1;1312.2;1312.1;1312.2;72;0
FXMM ETF;60;20170215;170000;1312.2;1312.2;1312.1;1312.2;138;0
FXMM ETF;60;20170215;180000;1312.1;1312.3;1312.1;1312.1;169;0
FXMM ETF;60;20170216;090000;1312.3;1312.3;1312.3;1312.3;7;0
FXMM ETF;60;20170216;100000;1312.3;1312.7;1312.3;1312.6;407;0
FXMM ETF;60;20170216;110000;1312.5;1312.5;1312.5;1312.5;10;0
FXMM ETF;60;20170216;120000;1312.6;1312.7;1312.6;1312.6;163;0
FXMM ETF;60;20170216;130000;1312.6;1312.7;1312.6;1312.7;180;0
FXMM ETF;60;20170216;140000;1312.6;1312.7;1312.6;1312.7;673;0
FXMM ETF;60;20170216;150000;1312.6;1312.7;1312.6;1312.6;565;0
FXMM ETF;60;20170216;160000;1312.7;1312.7;1312.6;1312.7;158;0
FXMM ETF;60;20170216;170000;1312.6;1312.7;1312.5;1312.7;623;0
FXMM ETF;60;20170216;180000;1312.7;1312.7;1312.5;1312.7;841;0
FXMM ETF;60;20170217;100000;1312.7;1314.5;1312.7;1314.4;1892;0
FXMM ETF;60;20170217;110000;1314.4;1314.4;1314.3;1314.3;615;0
FXMM ETF;60;20170217;120000;1314.3;1314.4;1314.3;1314.4;118;0
FXMM ETF;60;20170217;130000;1314.4;1314.4;1314.3;1314.3;59;0
FXMM ETF;60;20170217;140000;1314.3;1314.4;1314.3;1314.3;227;0
FXMM ETF;60;20170217;150000;1314.3;1314.5;1314.3;1314.5;215;0
FXMM ETF;60;20170217;160000;1314.5;1314.5;1314.3;1314.4;406;0
FXMM ETF;60;20170217;170000;1314.3;1314.5;1314.3;1314.5;1371;0
FXMM ETF;60;20170217;180000;1314.4;1314.5;1314.4;1314.5;577;0
FXMM ETF;60;20170220;100000;1314.9;1314.9;1314.7;1314.8;103;0
FXMM ETF;60;20170220;110000;1314.8;1314.9;1314.8;1314.8;632;0
FXMM ETF;60;20170220;120000;1314.9;1314.9;1314.8;1314.8;271;0
FXMM ETF;60;20170220;130000;1314.8;1314.9;1314.8;1314.8;28;0
FXMM ETF;60;20170220;140000;1314.8;1314.9;1314.7;1314.9;2461;0
FXMM ETF;60;20170220;150000;1314.8;1314.9;1314.7;1314.7;131;0
FXMM ETF;60;20170220;160000;1314.7;1314.8;1314.7;1314.8;433;0
FXMM ETF;60;20170220;170000;1314.8;1314.8;1314.7;1314.7;238;0
FXMM ETF;60;20170220;180000;1314.8;1314.9;1314.7;1314.9;895;0
FXMM ETF;60;20170221;100000;1314.9;1315.2;1314.9;1315.1;777;0
FXMM ETF;60;20170221;110000;1315.1;1315.2;1315.1;1315.2;255;0
FXMM ETF;60;20170221;120000;1315.1;1315.2;1315.1;1315.2;193;0
FXMM ETF;60;20170221;130000;1315.1;1315.2;1315.1;1315.1;96;0
FXMM ETF;60;20170221;140000;1315.1;1315.2;1315.1;1315.2;2958;0
FXMM ETF;60;20170221;150000;1315;1315.2;1315;1315.2;1305;0
FXMM ETF;60;20170221;160000;1315.2;1315.2;1315.1;1315.1;635;0
FXMM ETF;60;20170221;170000;1315.1;1315.2;1315.1;1315.1;266;0
FXMM ETF;60;20170221;180000;1315.1;1315.2;1315;1315;1046;0
FXMM ETF;60;20170222;100000;1315.3;1315.3;1315.3;1315.3;338;0
FXMM ETF;60;20170222;110000;1315.4;1315.5;1315.3;1315.3;663;0
FXMM ETF;60;20170222;120000;1315.3;1315.4;1315.3;1315.4;128;0
FXMM ETF;60;20170222;130000;1315.4;1315.4;1315.4;1315.4;1;0
FXMM ETF;60;20170222;140000;1315.5;1315.5;1315.4;1315.4;900;0
FXMM ETF;60;20170222;150000;1315.4;1315.5;1315.3;1315.3;314;0
FXMM ETF;60;20170222;160000;1315.3;1315.5;1315.3;1315.4;741;0
FXMM ETF;60;20170222;170000;1315.4;1315.5;1315.4;1315.4;2198;0
FXMM ETF;60;20170222;180000;1315.4;1315.5;1315.3;1315.3;2175;0
FXMM ETF;60;20170224;100000;1317.1;1317.3;1317;1317.3;312;0
FXMM ETF;60;20170224;110000;1317;1317.1;1317;1317.1;5;0
FXMM ETF;60;20170224;120000;1317;1317.3;1317;1317;326;0
FXMM ETF;60;20170224;130000;1317.2;1317.2;1317.1;1317.1;82;0
FXMM ETF;60;20170224;140000;1317.1;1317.1;1317;1317;374;0
FXMM ETF;60;20170224;150000;1317;1317;1317;1317;301;0
FXMM ETF;60;20170224;160000;1317;1317.1;1317;1317.1;313;0
FXMM ETF;60;20170224;170000;1317.1;1317.1;1317;1317.1;73;0
FXMM ETF;60;20170224;180000;1317.1;1317.3;1317.1;1317.1;718;0
FXMM ETF;60;20170227;100000;1317.1;1317.1;1317;1317;303;0
FXMM ETF;60;20170227;110000;1317.1;1317.1;1317;1317.1;315;0
FXMM ETF;60;20170227;120000;1317.1;1317.2;1317;1317.2;929;0
FXMM ETF;60;20170227;130000;1317.1;1317.2;1317.1;1317.2;61;0
FXMM ETF;60;20170227;140000;1317.1;1317.1;1317;1317;1608;0
FXMM ETF;60;20170227;150000;1317;1317.1;1317;1317;5806;0
FXMM ETF;60;20170227;160000;1317;1317.2;1317;1317.2;574;0
FXMM ETF;60;20170227;170000;1317;1317.1;1317;1317;1042;0
FXMM ETF;60;20170227;180000;1317.1;1317.2;1317;1317.2;616;0
FXMM ETF;60;20170228;090000;1317.2;1317.2;1317.2;1317.2;13;0
FXMM ETF;60;20170228;100000;1317.1;1317.2;1315;1317.2;13495;0
FXMM ETF;60;20170228;110000;1317.1;1317.1;1317;1317;1538;0
FXMM ETF;60;20170228;120000;1317;1317.1;1317;1317.1;826;0
FXMM ETF;60;20170228;130000;1317.1;1317.1;1317;1317;519;0
FXMM ETF;60;20170228;140000;1317;1317.2;1317;1317.1;218;0
