<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
FXRB ETF;60;20170124;100000;1253;1262;1253;1260;42;0
FXRB ETF;60;20170124;110000;1260;1260;1256;1259;1854;0
FXRB ETF;60;20170124;120000;1259;1261;1259;1259;60;0
FXRB ETF;60;20170124;140000;1261;1261;1260;1260;8;0
FXRB ETF;60;20170124;150000;1261;1261;1261;1261;4;0
FXRB ETF;60;20170124;170000;1259;1261;1259;1261;3;0
FXRB ETF;60;20170125;100000;1262;1262;1257;1257;825;0
FXRB ETF;60;20170125;110000;1260;1262;1256;1256;642;0
FXRB ETF;60;20170125;120000;1262;1264;1261;1264;476;0
FXRB ETF;60;20170125;150000;1264;1265;1264;1264;68;0
FXRB ETF;60;20170125;160000;1261;1261;1261;1261;7;0
FXRB ETF;60;20170125;170000;1264;1265;1259;1259;212;0
FXRB ETF;60;20170125;180000;1261;1265;1261;1265;28;0
FXRB ETF;60;20170126;100000;1258;1267;1258;1265;45;0
FXRB ETF;60;20170126;110000;1264;1264;1260;1260;209;0
FXRB ETF;60;20170126;120000;1260;1264;1259;1264;100;0
FXRB ETF;60;20170126;140000;1263;1263;1263;1263;2;0
FXRB ETF;60;20170126;150000;1260;1264;1260;1264;130;0
FXRB ETF;60;20170126;160000;1264;1264;1264;1264;10;0
FXRB ETF;60;20170126;170000;1264;1265;1261;1261;118;0
FXRB ETF;60;20170126;180000;1265;1266;1265;1266;118;0
FXRB ETF;60;20170127;100000;1260;1263;1260;1263;267;0
FXRB ETF;60;20170127;110000;1263;1266;1261;1261;1219;0
FXRB ETF;60;20170127;120000;1262;1266;1260;1262;182;0
FXRB ETF;60;20170127;130000;1264;1266;1261;1261;311;0
FXRB ETF;60;20170127;140000;1260;1260;1260;1260;3;0
FXRB ETF;60;20170127;170000;1260;1260;1260;1260;10;0
FXRB ETF;60;20170127;180000;1263;1263;1260;1260;137;0
FXRB ETF;60;20170130;100000;1261;1266;1261;1265;599;0
FXRB ETF;60;20170130;120000;1264;1266;1263;1263;234;0
FXRB ETF;60;20170130;130000;1265;1265;1264;1264;7;0
FXRB ETF;60;20170130;140000;1265;1266;1265;1266;29;0
FXRB ETF;60;20170130;150000;1263;1266;1263;1266;176;0
FXRB ETF;60;20170130;160000;1263;1263;1263;1263;102;0
FXRB ETF;60;20170130;180000;1266;1266;1265;1265;361;0
FXRB ETF;60;20170131;090000;1267;1267;1267;1267;1;0
FXRB ETF;60;20170131;100000;1265;1265;1263;1264;336;0
FXRB ETF;60;20170131;110000;1263;1263;1263;1263;5;0
FXRB ETF;60;20170131;120000;1264;1264;1263;1263;66;0
FXRB ETF;60;20170131;130000;1263;1265;1262;1265;202;0
FXRB ETF;60;20170131;150000;1265;1267;1265;1267;207;0
FXRB ETF;60;20170131;170000;1267;1267;1267;1267;35;0
FXRB ETF;60;20170131;180000;1267;1267;1267;1267;42;0
FXRB ETF;60;20170201;100000;1266;1267;1265;1265;59;0
FXRB ETF;60;20170201;110000;1266;1266;1266;1266;3;0
FXRB ETF;60;20170201;120000;1265;1265;1265;1265;10;0
FXRB ETF;60;20170201;130000;1265;1266;1265;1266;101;0
FXRB ETF;60;20170201;140000;1265;1266;1265;1265;143;0
FXRB ETF;60;20170201;150000;1265;1266;1265;1265;101;0
FXRB ETF;60;20170201;160000;1266;1266;1264;1265;109;0
FXRB ETF;60;20170202;100000;1266;1268;1265;1265;60;0
FXRB ETF;60;20170202;110000;1266;1266;1266;1266;294;0
FXRB ETF;60;20170202;120000;1265;1266;1265;1266;344;0
FXRB ETF;60;20170202;130000;1265;1266;1265;1266;235;0
FXRB ETF;60;20170202;140000;1267;1267;1267;1267;99;0
FXRB ETF;60;20170202;150000;1265;1266;1265;1266;46;0
FXRB ETF;60;20170202;160000;1265;1266;1265;1266;131;0
FXRB ETF;60;20170202;170000;1266;1266;1265;1266;313;0
FXRB ETF;60;20170202;180000;1266;1266;1266;1266;32;0
FXRB ETF;60;20170203;100000;1267;1267;1267;1267;2;0
FXRB ETF;60;20170203;110000;1267;1267;1267;1267;9;0
FXRB ETF;60;20170203;120000;1267;1271;1266;1267;437;0
FXRB ETF;60;20170203;130000;1266;1268;1266;1266;64;0
FXRB ETF;60;20170203;140000;1267;1268;1260;1260;952;0
FXRB ETF;60;20170203;150000;1265;1265;1261;1261;134;0
FXRB ETF;60;20170203;170000;1266;1266;1265;1265;2;0
FXRB ETF;60;20170203;180000;1263;1266;1261;1265;178;0
FXRB ETF;60;20170206;100000;1268;1268;1266;1268;108;0
FXRB ETF;60;20170206;110000;1266;1269;1262;1268;789;0
