<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
FXRL ETF;60;20170124;100000;1878.5;1883;1878.5;1883;102;0
FXRL ETF;60;20170124;120000;1879;1879;1879;1879;22;0
FXRL ETF;60;20170124;130000;1885.5;1885.5;1885.5;1885.5;3;0
FXRL ETF;60;20170124;150000;1891.5;1892.5;1891.5;1892.5;71;0
FXRL ETF;60;20170124;160000;1892;1892;1892;1892;1;0
FXRL ETF;60;20170125;100000;1895;1895;1895;1895;10;0
FXRL ETF;60;20170125;110000;1890.5;1891;1885;1889;217;0
FXRL ETF;60;20170125;150000;1895;1895;1895;1895;4;0
FXRL ETF;60;20170125;170000;1900;1900;1900;1900;11;0
FXRL ETF;60;20170126;100000;1897;1908;1897;1908;183;0
FXRL ETF;60;20170126;140000;1931;1932.5;1931;1932.5;88;0
FXRL ETF;60;20170126;150000;1941;1941;1941;1941;20;0
FXRL ETF;60;20170126;180000;1940;1947.5;1940;1947.5;20;0
FXRL ETF;60;20170127;110000;1947.5;1947.5;1947.5;1947.5;1;0
FXRL ETF;60;20170127;120000;1947;1958.5;1947;1958.5;246;0
FXRL ETF;60;20170127;140000;1953.5;1953.5;1953.5;1953.5;5;0
FXRL ETF;60;20170127;150000;1949.5;1959.5;1949.5;1959.5;16;0
FXRL ETF;60;20170127;160000;1959.5;1959.5;1959.5;1959.5;6;0
FXRL ETF;60;20170127;170000;1969;1969;1968;1968;35;0
FXRL ETF;60;20170127;180000;1973;1973;1973;1973;8;0
FXRL ETF;60;20170130;100000;1969.5;1969.5;1967;1968;25;0
FXRL ETF;60;20170130;110000;1964;1964;1964;1964;1;0
FXRL ETF;60;20170130;120000;1957;1957;1954.5;1954.5;151;0
FXRL ETF;60;20170130;130000;1954.5;1954.5;1951.5;1951.5;51;0
FXRL ETF;60;20170130;160000;1950;1950;1950;1950;4;0
FXRL ETF;60;20170130;170000;1949.5;1949.5;1949.5;1949.5;35;0
FXRL ETF;60;20170130;180000;1948.5;1948.5;1948.5;1948.5;150;0
FXRL ETF;60;20170131;100000;1950.5;1950.5;1950.5;1950.5;17;0
FXRL ETF;60;20170131;130000;1937.5;1937.5;1937.5;1937.5;206;0
FXRL ETF;60;20170131;140000;1940;1940;1940;1940;5;0
FXRL ETF;60;20170131;150000;1936.5;1936.5;1936.5;1936.5;72;0
FXRL ETF;60;20170131;170000;1942;1942;1942;1942;11;0
FXRL ETF;60;20170131;180000;1937;1937;1936.5;1936.5;35;0
FXRL ETF;60;20170201;100000;1941;1941;1941;1941;8;0
FXRL ETF;60;20170201;110000;1935;1935;1935;1935;2;0
FXRL ETF;60;20170201;120000;1934;1934;1934;1934;12;0
FXRL ETF;60;20170201;130000;1940;1940;1940;1940;62;0
FXRL ETF;60;20170201;140000;1940;1940;1940;1940;1;0
FXRL ETF;60;20170201;160000;1942;1942;1942;1942;1;0
