<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
FXRU ETF;60;20170124;100000;6200;6220;6190;6220;12;0
FXRU ETF;60;20170124;110000;6200;6200;6190;6190;24;0
FXRU ETF;60;20170124;120000;6200;6210;6200;6210;3;0
FXRU ETF;60;20170124;130000;6200;6200;6200;6200;2;0
FXRU ETF;60;20170124;140000;6200;6200;6180;6180;31;0
FXRU ETF;60;20170124;160000;6180;6180;6170;6170;72;0
FXRU ETF;60;20170124;180000;6200;6200;6200;6200;1;0
FXRU ETF;60;20170125;100000;6200;6210;6200;6210;32;0
FXRU ETF;60;20170125;110000;6210;6210;6190;6190;75;0
FXRU ETF;60;20170125;120000;6210;6220;6210;6220;22;0
FXRU ETF;60;20170125;130000;6210;6220;6210;6220;11;0
FXRU ETF;60;20170125;150000;6200;6200;6200;6200;1;0
FXRU ETF;60;20170125;170000;6210;6230;6210;6210;53;0
FXRU ETF;60;20170125;180000;6220;6220;6200;6220;6;0
FXRU ETF;60;20170126;100000;6240;6260;6230;6240;32;0
FXRU ETF;60;20170126;120000;6240;6270;6240;6270;94;0
FXRU ETF;60;20170126;130000;6260;6260;6260;6260;1;0
FXRU ETF;60;20170126;140000;6280;6300;6280;6300;14;0
FXRU ETF;60;20170126;150000;6300;6320;6280;6320;129;0
FXRU ETF;60;20170126;160000;6320;6330;6300;6320;42;0
FXRU ETF;60;20170126;170000;6320;6340;6300;6300;3;0
FXRU ETF;60;20170126;180000;6300;6300;6300;6300;7;0
FXRU ETF;60;20170127;100000;6300;6320;6300;6310;21;0
FXRU ETF;60;20170127;110000;6320;6320;6300;6300;54;0
FXRU ETF;60;20170127;120000;6300;6310;6270;6270;12;0
FXRU ETF;60;20170127;130000;6280;6310;6280;6290;10;0
FXRU ETF;60;20170127;140000;6280;6280;6260;6280;74;0
FXRU ETF;60;20170127;150000;6300;6310;6260;6260;63;0
FXRU ETF;60;20170127;180000;6260;6290;6240;6290;33;0
FXRU ETF;60;20170130;100000;6330;6330;6320;6320;14;0
FXRU ETF;60;20170130;110000;6300;6310;6300;6310;53;0
FXRU ETF;60;20170130;120000;6300;6310;6280;6280;16;0
FXRU ETF;60;20170130;130000;6280;6280;6260;6260;48;0
FXRU ETF;60;20170130;140000;6280;6290;6280;6290;10;0
FXRU ETF;60;20170130;150000;6280;6280;6280;6280;1;0
FXRU ETF;60;20170130;160000;6270;6290;6270;6290;2;0
FXRU ETF;60;20170130;180000;6280;6290;6280;6280;15;0
FXRU ETF;60;20170131;100000;6290;6310;6280;6280;6;0
FXRU ETF;60;20170131;110000;6280;6280;6280;6280;1;0
FXRU ETF;60;20170131;120000;6290;6310;6280;6310;1613;0
FXRU ETF;60;20170131;140000;6310;6310;6290;6290;9;0
FXRU ETF;60;20170131;150000;6280;6280;6280;6280;10;0
FXRU ETF;60;20170131;160000;6280;6300;6280;6300;5;0
FXRU ETF;60;20170131;170000;6280;6310;6280;6310;3;0
FXRU ETF;60;20170131;180000;6280;6310;6270;6310;33;0
FXRU ETF;60;20170201;100000;6320;6350;6310;6340;149;0
FXRU ETF;60;20170201;110000;6310;6310;6310;6310;1;0
FXRU ETF;60;20170201;120000;6310;6320;6310;6320;56;0
FXRU ETF;60;20170201;130000;6310;6310;6310;6310;1;0
FXRU ETF;60;20170201;140000;6310;6310;6310;6310;4;0
FXRU ETF;60;20170201;160000;6320;6320;6320;6320;7;0
FXRU ETF;60;20170201;170000;6310;6310;6310;6310;2;0
FXRU ETF;60;20170201;180000;6310;6310;6310;6310;1;0
FXRU ETF;60;20170202;100000;6320;6320;6300;6300;8;0
FXRU ETF;60;20170202;110000;6300;6300;6290;6290;5;0
FXRU ETF;60;20170202;120000;6280;6280;6260;6260;14;0
FXRU ETF;60;20170202;130000;6260;6270;6250;6260;117;0
FXRU ETF;60;20170202;140000;6270;6290;6260;6260;11;0
FXRU ETF;60;20170202;150000;6260;6260;6260;6260;2;0
FXRU ETF;60;20170202;160000;6250;6250;6240;6240;26;0
FXRU ETF;60;20170202;170000;6230;6280;6230;6240;31;0
FXRU ETF;60;20170202;180000;6240;6240;6240;6240;1;0
FXRU ETF;60;20170203;100000;6230;6230;6210;6220;36;0
FXRU ETF;60;20170203;120000;6240;6250;6240;6240;11;0
FXRU ETF;60;20170203;140000;6220;6220;6180;6180;437;0
FXRU ETF;60;20170203;150000;6200;6200;6200;6200;21;0
FXRU ETF;60;20170203;160000;6190;6200;6190;6190;31;0
FXRU ETF;60;20170203;180000;6200;6210;6170;6180;258;0
FXRU ETF;60;20170206;100000;6180;6180;6130;6130;120;0
FXRU ETF;60;20170206;110000;6160;6160;6160;6160;18;0
FXRU ETF;60;20170206;130000;6180;6190;6170;6170;8;0
FXRU ETF;60;20170206;140000;6180;6190;6170;6170;8;0
FXRU ETF;60;20170206;150000;6160;6160;6160;6160;63;0
FXRU ETF;60;20170206;160000;6170;6190;6170;6190;538;0
FXRU ETF;60;20170206;170000;6170;6170;6170;6170;31;0
FXRU ETF;60;20170207;100000;6190;6200;6170;6200;76;0
FXRU ETF;60;20170207;110000;6200;6200;6200;6200;61;0
FXRU ETF;60;20170207;120000;6220;6220;6220;6220;1;0
FXRU ETF;60;20170207;130000;6200;6240;6190;6240;47;0
FXRU ETF;60;20170207;140000;6220;6240;6220;6220;5;0
FXRU ETF;60;20170207;150000;6210;6210;6210;6210;2;0
FXRU ETF;60;20170207;160000;6220;6220;6220;6220;1;0
FXRU ETF;60;20170207;170000;6220;6240;6200;6200;47;0
FXRU ETF;60;20170207;180000;6220;6230;6210;6230;21;0
FXRU ETF;60;20170208;100000;6240;6240;6230;6230;5;0
FXRU ETF;60;20170208;110000;6230;6240;6230;6230;45;0
FXRU ETF;60;20170208;120000;6230;6230;6220;6220;4;0
FXRU ETF;60;20170208;140000;6240;6240;6220;6220;14;0
FXRU ETF;60;20170208;150000;6210;6210;6210;6210;5;0
FXRU ETF;60;20170208;160000;6200;6230;6200;6210;402;0
FXRU ETF;60;20170208;170000;6220;6230;6210;6210;4;0
FXRU ETF;60;20170208;180000;6220;6220;6220;6220;1;0
FXRU ETF;60;20170209;100000;6180;6200;6170;6190;35;0
FXRU ETF;60;20170209;110000;6200;6210;6190;6190;88;0
FXRU ETF;60;20170209;130000;6200;6210;6180;6180;27;0
FXRU ETF;60;20170209;140000;6180;6180;6170;6170;241;0
FXRU ETF;60;20170209;150000;6190;6200;6190;6200;86;0
FXRU ETF;60;20170209;160000;6180;6180;6170;6170;33;0
FXRU ETF;60;20170209;170000;6170;6170;6170;6170;8;0
FXRU ETF;60;20170209;180000;6170;6170;6170;6170;10;0
FXRU ETF;60;20170210;100000;6160;6160;6150;6160;106;0
FXRU ETF;60;20170210;110000;6160;6160;6150;6150;955;0
FXRU ETF;60;20170210;120000;6180;6180;6150;6160;24;0
FXRU ETF;60;20170210;130000;6150;6170;6130;6170;152;0
FXRU ETF;60;20170210;140000;6140;6140;6140;6140;4;0
FXRU ETF;60;20170210;150000;6160;6160;6130;6130;43;0
FXRU ETF;60;20170210;160000;6140;6140;6130;6130;4;0
FXRU ETF;60;20170210;170000;6140;6150;6120;6120;32;0
FXRU ETF;60;20170210;180000;6140;6140;6130;6130;4;0
FXRU ETF;60;20170213;100000;6120;6120;6090;6090;39;0
FXRU ETF;60;20170213;110000;6100;6110;6100;6110;3;0
FXRU ETF;60;20170213;120000;6080;6080;6080;6080;6;0
FXRU ETF;60;20170213;130000;6090;6090;6090;6090;2;0
FXRU ETF;60;20170213;140000;6090;6100;6090;6100;39;0
FXRU ETF;60;20170213;150000;6090;6100;6090;6090;19;0
FXRU ETF;60;20170213;160000;6100;6100;6080;6100;38;0
FXRU ETF;60;20170213;170000;6100;6100;6080;6080;7;0
FXRU ETF;60;20170213;180000;6070;6080;6070;6080;28;0
FXRU ETF;60;20170214;100000;6080;6100;6050;6050;127;0
FXRU ETF;60;20170214;110000;6060;6060;6050;6050;52;0
FXRU ETF;60;20170214;120000;6050;6060;6050;6060;89;0
FXRU ETF;60;20170214;130000;6050;6050;6040;6050;49;0
FXRU ETF;60;20170214;140000;6050;6050;6020;6020;104;0
FXRU ETF;60;20170214;150000;6030;6030;6010;6010;32;0
FXRU ETF;60;20170214;160000;6030;6040;6000;6010;50;0
FXRU ETF;60;20170214;170000;6020;6020;6020;6020;7;0
FXRU ETF;60;20170214;180000;6040;6040;6010;6020;11;0
FXRU ETF;60;20170215;100000;5970;5990;5930;5950;225;0
FXRU ETF;60;20170215;110000;5950;5960;5940;5960;125;0
FXRU ETF;60;20170215;120000;6010;6010;6010;6010;6;0
FXRU ETF;60;20170215;130000;6000;6010;6000;6010;6;0
FXRU ETF;60;20170215;140000;6030;6030;6020;6020;140;0
FXRU ETF;60;20170215;150000;6020;6040;6010;6040;29;0
FXRU ETF;60;20170215;160000;6060;6070;6020;6020;9;0
FXRU ETF;60;20170215;180000;6010;6010;6000;6000;14;0
FXRU ETF;60;20170216;100000;6000;6040;5980;6030;67;0
FXRU ETF;60;20170216;110000;6010;6020;6010;6020;16;0
FXRU ETF;60;20170216;120000;6020;6030;6010;6010;6;0
FXRU ETF;60;20170216;130000;6020;6020;6000;6000;22;0
FXRU ETF;60;20170216;140000;6020;6020;6000;6010;52;0
FXRU ETF;60;20170216;150000;6000;6000;5990;6000;144;0
FXRU ETF;60;20170216;160000;6000;6010;6000;6010;26;0
FXRU ETF;60;20170216;170000;6000;6010;6000;6000;144;0
FXRU ETF;60;20170216;180000;6030;6030;6030;6030;1;0
FXRU ETF;60;20170217;100000;6040;6080;6040;6080;3;0
FXRU ETF;60;20170217;110000;6070;6080;6030;6080;111;0
FXRU ETF;60;20170217;120000;6060;6090;6060;6090;70;0
FXRU ETF;60;20170217;130000;6100;6100;6090;6090;18;0
FXRU ETF;60;20170217;140000;6120;6140;6120;6120;9;0
FXRU ETF;60;20170217;150000;6130;6130;6110;6130;45;0
FXRU ETF;60;20170217;160000;6130;6130;6110;6110;3;0
FXRU ETF;60;20170217;170000;6120;6130;6100;6100;29;0
FXRU ETF;60;20170217;180000;6120;6130;6110;6130;56;0
FXRU ETF;60;20170220;100000;6120;6120;6110;6110;307;0
FXRU ETF;60;20170220;110000;6120;6120;6120;6120;74;0
FXRU ETF;60;20170220;120000;6120;6120;6110;6110;23;0
FXRU ETF;60;20170220;130000;6100;6120;6100;6120;14;0
FXRU ETF;60;20170220;170000;6110;6110;6110;6110;1;0
FXRU ETF;60;20170220;180000;6100;6120;6100;6120;9;0
FXRU ETF;60;20170221;100000;6090;6090;6090;6090;51;0
FXRU ETF;60;20170221;110000;6100;6100;6100;6100;1;0
FXRU ETF;60;20170221;120000;6100;6100;6100;6100;13;0
FXRU ETF;60;20170221;130000;6090;6090;6070;6070;82;0
FXRU ETF;60;20170221;140000;6060;6060;6050;6050;21;0
FXRU ETF;60;20170221;150000;6070;6070;6070;6070;7;0
FXRU ETF;60;20170221;160000;6070;6080;6070;6070;34;0
FXRU ETF;60;20170221;170000;6050;6050;6050;6050;18;0
FXRU ETF;60;20170221;180000;6050;6050;6040;6040;117;0
FXRU ETF;60;20170222;100000;6040;6040;6040;6040;1;0
FXRU ETF;60;20170222;110000;6030;6060;6030;6060;83;0
FXRU ETF;60;20170222;130000;6050;6050;6050;6050;1;0
FXRU ETF;60;20170222;140000;6080;6080;6060;6060;2;0
FXRU ETF;60;20170222;150000;6070;6080;6050;6060;12;0
FXRU ETF;60;20170222;160000;6070;6090;6060;6090;19;0
FXRU ETF;60;20170222;170000;6110;6110;6080;6080;17;0
FXRU ETF;60;20170222;180000;6070;6110;6070;6110;42;0
FXRU ETF;60;20170224;100000;6110;6110;6110;6110;2;0
FXRU ETF;60;20170224;110000;6110;6110;6110;6110;1;0
FXRU ETF;60;20170224;120000;6100;6110;6100;6110;20;0
FXRU ETF;60;20170224;130000;6110;6110;6110;6110;11;0
FXRU ETF;60;20170224;160000;6140;6140;6140;6140;1;0
FXRU ETF;60;20170224;170000;6140;6150;6140;6150;5;0
FXRU ETF;60;20170227;100000;6120;6120;6080;6080;5;0
FXRU ETF;60;20170227;110000;6100;6100;6100;6100;1;0
FXRU ETF;60;20170227;120000;6090;6100;6070;6080;11;0
FXRU ETF;60;20170227;130000;6060;6060;6060;6060;17;0
FXRU ETF;60;20170227;140000;6060;6060;6050;6050;50;0
FXRU ETF;60;20170227;150000;6050;6080;6040;6080;13;0
FXRU ETF;60;20170227;160000;6070;6070;6070;6070;4;0
FXRU ETF;60;20170227;170000;6080;6080;6080;6080;26;0
FXRU ETF;60;20170227;180000;6080;6110;6080;6110;35;0
FXRU ETF;60;20170228;100000;6110;6110;6080;6110;7;0
FXRU ETF;60;20170228;110000;6110;6110;6080;6080;8;0
FXRU ETF;60;20170228;130000;6090;6100;6080;6080;6;0
FXRU ETF;60;20170228;140000;6100;6120;6100;6120;21;0
FXRU ETF;60;20170228;150000;6120;6120;6120;6120;4;0
FXRU ETF;60;20170228;160000;6120;6130;6120;6130;68;0
