<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
FXUK ETF;60;20170124;100000;1606;1606;1606;1606;10;0
FXUK ETF;60;20170124;110000;1596;1596;1596;1596;1;0
FXUK ETF;60;20170124;140000;1600;1600;1600;1600;6;0
FXUK ETF;60;20170124;150000;1601;1601;1601;1601;243;0
FXUK ETF;60;20170125;110000;1615;1615;1615;1615;15;0
FXUK ETF;60;20170125;120000;1617;1617;1617;1617;2;0
FXUK ETF;60;20170125;160000;1616;1616;1616;1616;10;0
FXUK ETF;60;20170125;170000;1617;1617;1617;1617;10;0
FXUK ETF;60;20170125;180000;1621;1621;1621;1621;1;0
FXUK ETF;60;20170126;100000;1637;1637;1637;1637;1;0
FXUK ETF;60;20170126;120000;1640;1641;1640;1641;4;0
FXUK ETF;60;20170126;130000;1641;1643;1641;1643;31;0
FXUK ETF;60;20170126;150000;1644;1644;1644;1644;1;0
FXUK ETF;60;20170126;160000;1651;1651;1649;1649;4;0
FXUK ETF;60;20170126;180000;1648;1648;1648;1648;18;0
FXUK ETF;60;20170127;110000;1640;1640;1639;1639;3;0
FXUK ETF;60;20170127;120000;1640;1640;1635;1635;3;0
FXUK ETF;60;20170127;140000;1625;1625;1625;1625;4;0
FXUK ETF;60;20170127;150000;1623;1629;1623;1629;6;0
FXUK ETF;60;20170127;170000;1632;1632;1628;1628;100;0
FXUK ETF;60;20170127;180000;1626;1627;1626;1627;73;0
FXUK ETF;60;20170130;100000;1636;1636;1636;1636;1;0
FXUK ETF;60;20170130;110000;1627;1627;1620;1620;5;0
FXUK ETF;60;20170130;120000;1620;1620;1620;1620;1;0
FXUK ETF;60;20170130;130000;1619;1619;1619;1619;11;0
FXUK ETF;60;20170130;140000;1620;1620;1620;1620;2;0
FXUK ETF;60;20170130;180000;1615;1615;1615;1615;2;0
FXUK ETF;60;20170131;150000;1616;1616;1616;1616;19;0
FXUK ETF;60;20170201;100000;1636;1636;1636;1636;1;0
FXUK ETF;60;20170202;100000;1630;1630;1630;1630;4;0
FXUK ETF;60;20170202;120000;1628;1628;1624;1624;30;0
FXUK ETF;60;20170202;140000;1629;1629;1629;1629;11;0
FXUK ETF;60;20170202;160000;1618;1618;1615;1615;2;0
FXUK ETF;60;20170203;100000;1603;1603;1603;1603;6;0
FXUK ETF;60;20170203;120000;1613;1613;1613;1613;10;0
FXUK ETF;60;20170203;130000;1610;1610;1610;1610;2;0
FXUK ETF;60;20170203;160000;1604;1604;1604;1604;1;0
FXUK ETF;60;20170203;180000;1605;1605;1605;1605;2;0
FXUK ETF;60;20170206;100000;1594;1594;1594;1594;2;0
FXUK ETF;60;20170206;120000;1598;1598;1598;1598;3;0
FXUK ETF;60;20170206;130000;1600;1600;1600;1600;5;0
FXUK ETF;60;20170206;160000;1592;1592;1591;1591;28;0
FXUK ETF;60;20170207;110000;1597;1597;1597;1597;1;0
FXUK ETF;60;20170207;130000;1603;1603;1603;1603;1;0
FXUK ETF;60;20170207;140000;1604;1604;1604;1604;1;0
FXUK ETF;60;20170207;150000;1606;1606;1606;1606;1;0
FXUK ETF;60;20170207;160000;1604;1604;1604;1604;1;0
FXUK ETF;60;20170207;170000;1606;1606;1606;1606;1;0
FXUK ETF;60;20170207;180000;1606;1606;1605;1605;77;0
FXUK ETF;60;20170208;100000;1620;1620;1620;1620;7;0
FXUK ETF;60;20170208;110000;1617;1617;1616;1616;36;0
FXUK ETF;60;20170209;100000;1610;1610;1610;1610;1;0
FXUK ETF;60;20170209;120000;1616;1616;1616;1616;3;0
FXUK ETF;60;20170209;150000;1615;1615;1615;1615;19;0
FXUK ETF;60;20170209;170000;1607;1607;1607;1607;10;0
FXUK ETF;60;20170209;180000;1614;1614;1614;1614;1;0
FXUK ETF;60;20170210;110000;1612;1612;1612;1612;9;0
FXUK ETF;60;20170210;120000;1612;1612;1612;1612;3;0
FXUK ETF;60;20170210;130000;1611;1613;1611;1613;13;0
FXUK ETF;60;20170210;150000;1606;1606;1606;1606;8;0
FXUK ETF;60;20170210;160000;1600;1600;1600;1600;63;0
FXUK ETF;60;20170213;100000;1598;1598;1598;1598;13;0
FXUK ETF;60;20170213;160000;1595;1595;1595;1595;1;0
FXUK ETF;60;20170213;180000;1597;1597;1597;1597;50;0
FXUK ETF;60;20170214;110000;1588;1588;1586;1586;4;0
FXUK ETF;60;20170214;160000;1574;1574;1574;1574;1;0
FXUK ETF;60;20170214;180000;1575;1575;1575;1575;15;0
FXUK ETF;60;20170215;120000;1580;1580;1580;1580;2;0
FXUK ETF;60;20170215;150000;1580;1580;1580;1580;7;0
FXUK ETF;60;20170215;160000;1588;1588;1587;1587;40;0
FXUK ETF;60;20170215;170000;1577;1577;1577;1577;3;0
FXUK ETF;60;20170216;110000;1576;1576;1576;1576;8;0
FXUK ETF;60;20170216;120000;1572;1577;1572;1577;49;0
FXUK ETF;60;20170216;180000;1589;1590;1589;1590;2;0
FXUK ETF;60;20170217;100000;1593;1593;1593;1593;1;0
FXUK ETF;60;20170217;110000;1590;1590;1590;1590;3;0
FXUK ETF;60;20170217;120000;1579;1579;1579;1579;6;0
FXUK ETF;60;20170217;140000;1600;1600;1600;1600;33;0
FXUK ETF;60;20170217;160000;1597;1597;1597;1597;1;0
