<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
FXUS ETF;60;20170124;100000;2358;2358;2358;2358;5;0
FXUS ETF;60;20170124;110000;2351;2351;2351;2351;2;0
FXUS ETF;60;20170124;120000;2352;2352;2352;2352;3;0
FXUS ETF;60;20170124;140000;2361;2361;2361;2361;1;0
FXUS ETF;60;20170124;150000;2358;2359;2358;2359;4;0
FXUS ETF;60;20170125;100000;2372;2372;2372;2372;193;0
FXUS ETF;60;20170125;110000;2371;2376;2371;2376;12;0
FXUS ETF;60;20170125;120000;2370;2376;2370;2373;165;0
FXUS ETF;60;20170125;140000;2378;2379;2378;2379;22;0
FXUS ETF;60;20170125;150000;2374;2374;2374;2374;47;0
FXUS ETF;60;20170125;180000;2385;2385;2385;2385;8;0
FXUS ETF;60;20170126;100000;2404;2411;2404;2411;37;0
FXUS ETF;60;20170126;110000;2409;2409;2409;2409;5;0
FXUS ETF;60;20170126;120000;2411;2419;2410;2414;524;0
FXUS ETF;60;20170126;140000;2420;2420;2420;2420;1;0
FXUS ETF;60;20170126;150000;2421;2422;2421;2422;11;0
FXUS ETF;60;20170126;180000;2436;2436;2435;2435;37;0
FXUS ETF;60;20170127;100000;2433;2433;2433;2433;1;0
FXUS ETF;60;20170127;110000;2436;2436;2430;2430;8;0
FXUS ETF;60;20170127;120000;2430;2430;2418;2418;62;0
FXUS ETF;60;20170127;130000;2421;2421;2421;2421;2;0
FXUS ETF;60;20170127;140000;2408;2412;2408;2412;14;0
FXUS ETF;60;20170127;150000;2417;2417;2417;2417;4;0
FXUS ETF;60;20170127;160000;2426;2426;2407;2407;4;0
FXUS ETF;60;20170127;180000;2401;2404;2401;2404;149;0
FXUS ETF;60;20170130;100000;2417;2417;2417;2417;20;0
FXUS ETF;60;20170130;110000;2413;2413;2413;2413;5;0
FXUS ETF;60;20170130;150000;2409;2409;2409;2409;2;0
FXUS ETF;60;20170130;160000;2408;2408;2408;2408;1;0
FXUS ETF;60;20170130;170000;2401;2401;2401;2401;5;0
FXUS ETF;60;20170130;180000;2400;2400;2392;2392;18;0
FXUS ETF;60;20170131;090000;2544;2544;2544;2544;1;0
FXUS ETF;60;20170131;100000;2395;2396;2395;2396;3;0
FXUS ETF;60;20170131;120000;2404;2404;2404;2404;25;0
FXUS ETF;60;20170131;130000;2401;2401;2401;2401;3;0
FXUS ETF;60;20170131;150000;2393;2393;2393;2393;5;0
FXUS ETF;60;20170131;170000;2396;2396;2396;2396;3;0
FXUS ETF;60;20170201;100000;2417;2417;2417;2417;1;0
FXUS ETF;60;20170201;110000;2408;2408;2408;2408;1;0
FXUS ETF;60;20170201;160000;2414;2414;2414;2414;1;0
FXUS ETF;60;20170201;170000;2414;2414;2414;2414;6;0
FXUS ETF;60;20170201;180000;2414;2414;2414;2414;10;0
FXUS ETF;60;20170202;100000;2389;2391;2389;2391;15;0
FXUS ETF;60;20170202;110000;2387;2387;2387;2387;3;0
FXUS ETF;60;20170202;120000;2380;2380;2380;2380;1;0
FXUS ETF;60;20170202;130000;2376;2379;2376;2379;20;0
FXUS ETF;60;20170202;140000;2381;2381;2381;2381;19;0
FXUS ETF;60;20170202;150000;2380;2380;2380;2380;1;0
FXUS ETF;60;20170202;160000;2380;2380;2374;2374;30;0
FXUS ETF;60;20170202;170000;2377;2379;2375;2379;43;0
FXUS ETF;60;20170202;180000;2379;2379;2379;2379;1;0
FXUS ETF;60;20170203;100000;2370;2375;2370;2375;9;0
FXUS ETF;60;20170203;120000;2382;2382;2382;2382;2;0
FXUS ETF;60;20170203;130000;2377;2380;2377;2380;31;0
FXUS ETF;60;20170203;140000;2375;2375;2375;2375;1;0
FXUS ETF;60;20170203;150000;2370;2370;2370;2370;5;0
FXUS ETF;60;20170203;160000;2378;2378;2376;2376;168;0
FXUS ETF;60;20170203;180000;2371;2371;2371;2371;1;0
FXUS ETF;60;20170206;100000;2370;2370;2370;2370;6;0
FXUS ETF;60;20170206;110000;2366;2366;2366;2366;8;0
FXUS ETF;60;20170206;120000;2372;2373;2372;2373;8;0
FXUS ETF;60;20170206;140000;2372;2372;2372;2372;1;0
FXUS ETF;60;20170206;170000;2376;2376;2376;2376;5;0
FXUS ETF;60;20170207;100000;2377;2377;2377;2377;10;0
FXUS ETF;60;20170207;110000;2379;2379;2379;2379;53;0
FXUS ETF;60;20170207;120000;2383;2387;2383;2387;22;0
FXUS ETF;60;20170207;130000;2394;2394;2394;2394;1;0
FXUS ETF;60;20170207;140000;2399;2399;2399;2399;1;0
FXUS ETF;60;20170207;180000;2396;2396;2390;2390;9;0
FXUS ETF;60;20170208;100000;2396;2400;2396;2400;67;0
FXUS ETF;60;20170208;110000;2402;2402;2398;2398;37;0
FXUS ETF;60;20170208;120000;2395;2395;2395;2395;3;0
FXUS ETF;60;20170208;160000;2383;2383;2383;2383;15;0
FXUS ETF;60;20170208;170000;2377;2378;2377;2378;27;0
FXUS ETF;60;20170208;180000;2386;2386;2386;2386;2;0
FXUS ETF;60;20170209;100000;2382;2382;2380;2380;50;0
FXUS ETF;60;20170209;120000;2381;2381;2381;2381;2;0
FXUS ETF;60;20170209;130000;2375;2375;2368;2368;5;0
FXUS ETF;60;20170209;150000;2381;2381;2375;2375;27;0
FXUS ETF;60;20170209;170000;2375;2375;2374;2374;11;0
FXUS ETF;60;20170210;110000;2386;2386;2386;2386;40;0
FXUS ETF;60;20170210;120000;2385;2385;2383;2383;5;0
FXUS ETF;60;20170210;130000;2383;2385;2376;2376;13;0
FXUS ETF;60;20170210;150000;2384;2384;2373;2373;12;0
FXUS ETF;60;20170210;180000;2379;2379;2379;2379;4;0
FXUS ETF;60;20170213;100000;2371;2371;2361;2365;17;0
FXUS ETF;60;20170213;110000;2362;2362;2362;2362;1;0
FXUS ETF;60;20170213;120000;2358;2358;2358;2358;2;0
FXUS ETF;60;20170213;150000;2366;2366;2365;2365;5;0
FXUS ETF;60;20170213;160000;2361;2361;2361;2361;1;0
FXUS ETF;60;20170213;170000;2368;2368;2368;2368;40;0
FXUS ETF;60;20170214;100000;2405;2405;2356;2360;10;0
FXUS ETF;60;20170214;120000;2358;2358;2358;2358;1;0
FXUS ETF;60;20170214;130000;2358;2358;2353;2353;26;0
FXUS ETF;60;20170214;160000;2341;2341;2341;2341;1;0
FXUS ETF;60;20170214;170000;2349;2349;2340;2347;3008;0
FXUS ETF;60;20170214;180000;2341;2343;2341;2343;8;0
FXUS ETF;60;20170215;100000;2342;2342;2328;2328;63;0
FXUS ETF;60;20170215;110000;2327;2333;2327;2333;12;0
FXUS ETF;60;20170215;120000;2348;2360;2348;2360;16;0
FXUS ETF;60;20170215;130000;2352;2352;2352;2352;9;0
FXUS ETF;60;20170215;140000;2355;2355;2355;2355;2;0
FXUS ETF;60;20170215;150000;2363;2373;2363;2373;10;0
FXUS ETF;60;20170215;160000;2374;2374;2374;2374;27;0
FXUS ETF;60;20170215;180000;2353;2353;2353;2353;1;0
FXUS ETF;60;20170216;100000;2369;2369;2369;2369;4;0
FXUS ETF;60;20170216;110000;2365;2365;2365;2365;95;0
FXUS ETF;60;20170216;120000;2356;2356;2356;2356;1;0
FXUS ETF;60;20170216;130000;2361;2361;2360;2360;17;0
FXUS ETF;60;20170216;160000;2358;2358;2358;2358;2;0
FXUS ETF;60;20170216;180000;2364;2368;2364;2368;3;0
FXUS ETF;60;20170217;100000;2320;2375;2310;2375;5;0
FXUS ETF;60;20170217;110000;2377;2377;2377;2377;67;0
FXUS ETF;60;20170217;120000;2369;2376;2369;2376;13;0
FXUS ETF;60;20170217;140000;2388;2393;2388;2390;87;0
FXUS ETF;60;20170217;150000;2390;2390;2390;2390;2;0
FXUS ETF;60;20170217;160000;2390;2390;2388;2388;2;0
FXUS ETF;60;20170217;170000;2388;2388;2386;2386;84;0
FXUS ETF;60;20170220;100000;2411;2411;2411;2411;15;0
FXUS ETF;60;20170220;110000;2404;2404;2404;2404;5;0
FXUS ETF;60;20170220;120000;2396;2396;2396;2396;1;0
FXUS ETF;60;20170220;130000;2399;2402;2399;2402;204;0
FXUS ETF;60;20170220;140000;2404;2404;2404;2404;1;0
FXUS ETF;60;20170220;150000;2398;2402;2398;2402;11;0
FXUS ETF;60;20170220;160000;2400;2400;2400;2400;14;0
FXUS ETF;60;20170220;180000;2406;2406;2397;2402;32;0
FXUS ETF;60;20170221;100000;2392;2392;2392;2392;1;0
FXUS ETF;60;20170221;110000;2396;2396;2392;2392;19;0
FXUS ETF;60;20170221;120000;2400;2400;2400;2400;15;0
FXUS ETF;60;20170221;130000;2395;2395;2395;2395;8;0
FXUS ETF;60;20170221;140000;2387;2387;2380;2380;30;0
FXUS ETF;60;20170221;180000;2394;2396;2386;2390;10;0
FXUS ETF;60;20170222;110000;2394;2394;2388;2388;23;0
FXUS ETF;60;20170222;120000;2400;2400;2400;2400;3;0
FXUS ETF;60;20170222;130000;2401;2401;2401;2401;1;0
FXUS ETF;60;20170222;140000;2399;2399;2399;2399;6;0
FXUS ETF;60;20170222;150000;2399;2399;2399;2399;4;0
FXUS ETF;60;20170222;160000;2400;2400;2400;2400;22;0
FXUS ETF;60;20170222;180000;2402;2402;2402;2402;10;0
FXUS ETF;60;20170224;100000;2399;2399;2399;2399;8;0
FXUS ETF;60;20170224;110000;2404;2404;2404;2404;17;0
FXUS ETF;60;20170224;120000;2397;2403;2397;2401;14;0
FXUS ETF;60;20170224;150000;2400;2400;2400;2400;61;0
FXUS ETF;60;20170224;170000;2407;2419;2407;2419;17;0
FXUS ETF;60;20170224;180000;2413;2413;2413;2413;1;0
FXUS ETF;60;20170227;100000;2408;2410;2408;2409;29;0
