<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
GTL ао;60;20170124;100000;0.432;0.434;0.42;0.424;8710;0
GTL ао;60;20170124;110000;0.423;0.424;0.411;0.421;7002;0
GTL ао;60;20170124;120000;0.42;0.426;0.415;0.423;3208;0
GTL ао;60;20170124;130000;0.421;0.426;0.42;0.423;361;0
GTL ао;60;20170124;140000;0.425;0.426;0.418;0.423;8679;0
GTL ао;60;20170124;150000;0.422;0.424;0.42;0.42;486;0
GTL ао;60;20170124;160000;0.422;0.429;0.417;0.428;7186;0
GTL ао;60;20170124;170000;0.428;0.43;0.42;0.43;6413;0
GTL ао;60;20170124;180000;0.428;0.43;0.422;0.428;12155;0
GTL ао;60;20170125;100000;0.432;0.44;0.428;0.439;16395;0
GTL ао;60;20170125;110000;0.439;0.44;0.432;0.437;19536;0
GTL ао;60;20170125;120000;0.437;0.439;0.434;0.435;2224;0
GTL ао;60;20170125;130000;0.435;0.438;0.434;0.438;881;0
GTL ао;60;20170125;140000;0.437;0.439;0.437;0.439;2046;0
GTL ао;60;20170125;150000;0.438;0.439;0.436;0.438;478;0
GTL ао;60;20170125;160000;0.439;0.439;0.436;0.439;816;0
GTL ао;60;20170125;170000;0.437;0.439;0.436;0.439;2407;0
GTL ао;60;20170125;180000;0.437;0.439;0.435;0.439;12763;0
GTL ао;60;20170126;100000;0.441;0.442;0.436;0.437;2970;0
GTL ао;60;20170126;110000;0.437;0.439;0.435;0.438;3808;0
GTL ао;60;20170126;120000;0.437;0.439;0.435;0.436;2667;0
GTL ао;60;20170126;130000;0.437;0.439;0.435;0.437;2172;0
GTL ао;60;20170126;140000;0.437;0.438;0.436;0.437;1146;0
GTL ао;60;20170126;150000;0.438;0.438;0.436;0.437;837;0
GTL ао;60;20170126;160000;0.437;0.438;0.427;0.427;6147;0
GTL ао;60;20170126;170000;0.429;0.43;0.42;0.426;9108;0
GTL ао;60;20170126;180000;0.426;0.427;0.421;0.424;8040;0
GTL ао;60;20170127;100000;0.418;0.43;0.412;0.428;5316;0
GTL ао;60;20170127;110000;0.426;0.429;0.423;0.424;1500;0
GTL ао;60;20170127;120000;0.424;0.428;0.424;0.427;1433;0
GTL ао;60;20170127;130000;0.426;0.426;0.424;0.424;1409;0
GTL ао;60;20170127;140000;0.425;0.427;0.424;0.424;1029;0
GTL ао;60;20170127;150000;0.424;0.426;0.424;0.425;541;0
GTL ао;60;20170127;160000;0.425;0.428;0.423;0.426;4250;0
GTL ао;60;20170127;170000;0.425;0.427;0.423;0.425;2066;0
GTL ао;60;20170127;180000;0.425;0.427;0.423;0.427;6329;0
GTL ао;60;20170130;100000;0.429;0.43;0.424;0.425;4438;0
GTL ао;60;20170130;110000;0.425;0.429;0.425;0.427;1022;0
GTL ао;60;20170130;120000;0.427;0.428;0.426;0.428;875;0
GTL ао;60;20170130;130000;0.426;0.428;0.426;0.427;396;0
GTL ао;60;20170130;140000;0.427;0.43;0.427;0.429;1223;0
GTL ао;60;20170130;150000;0.428;0.43;0.427;0.428;1455;0
GTL ао;60;20170130;160000;0.427;0.439;0.427;0.432;18827;0
GTL ао;60;20170130;170000;0.432;0.437;0.431;0.434;5026;0
GTL ао;60;20170130;180000;0.434;0.436;0.432;0.436;4403;0
GTL ао;60;20170131;100000;0.442;0.467;0.43;0.431;1998;0
GTL ао;60;20170131;110000;0.431;0.434;0.43;0.432;910;0
GTL ао;60;20170131;120000;0.431;0.432;0.427;0.427;2407;0
GTL ао;60;20170131;130000;0.43;0.435;0.429;0.435;792;0
GTL ао;60;20170131;140000;0.435;0.438;0.432;0.437;3346;0
GTL ао;60;20170131;150000;0.437;0.437;0.431;0.431;723;0
GTL ао;60;20170131;160000;0.432;0.433;0.43;0.43;1926;0
GTL ао;60;20170131;170000;0.431;0.435;0.43;0.435;3154;0
GTL ао;60;20170131;180000;0.432;0.435;0.426;0.432;16194;0
GTL ао;60;20170201;100000;0.435;0.436;0.426;0.431;7784;0
GTL ао;60;20170201;110000;0.431;0.432;0.43;0.431;347;0
GTL ао;60;20170201;120000;0.43;0.432;0.429;0.431;513;0
GTL ао;60;20170201;130000;0.43;0.431;0.428;0.43;1199;0
GTL ао;60;20170201;140000;0.43;0.431;0.429;0.43;2136;0
GTL ао;60;20170201;150000;0.431;0.431;0.429;0.43;1213;0
GTL ао;60;20170201;160000;0.43;0.433;0.429;0.431;2007;0
GTL ао;60;20170201;170000;0.429;0.434;0.428;0.431;5421;0
GTL ао;60;20170201;180000;0.431;0.434;0.429;0.434;4697;0
GTL ао;60;20170202;100000;0.432;0.435;0.431;0.434;1921;0
GTL ао;60;20170202;110000;0.434;0.434;0.432;0.434;660;0
GTL ао;60;20170202;120000;0.433;0.434;0.427;0.429;11848;0
GTL ао;60;20170202;130000;0.427;0.43;0.425;0.428;1248;0
GTL ао;60;20170202;140000;0.428;0.428;0.424;0.426;877;0
GTL ао;60;20170202;150000;0.426;0.429;0.423;0.425;2118;0
GTL ао;60;20170202;160000;0.427;0.428;0.426;0.426;20;0
GTL ао;60;20170202;170000;0.426;0.428;0.424;0.426;562;0
GTL ао;60;20170202;180000;0.426;0.427;0.419;0.427;3328;0
GTL ао;60;20170203;100000;0.417;0.459;0.3;0.416;6153;0
GTL ао;60;20170203;110000;0.416;0.417;0.412;0.414;2503;0
GTL ао;60;20170203;120000;0.414;0.419;0.402;0.406;8719;0
GTL ао;60;20170203;130000;0.408;0.408;0.38;0.382;23241;0
GTL ао;60;20170203;140000;0.383;0.385;0.36;0.383;25691;0
GTL ао;60;20170203;150000;0.383;0.383;0.37;0.374;8219;0
GTL ао;60;20170203;160000;0.374;0.383;0.373;0.38;5529;0
GTL ао;60;20170203;170000;0.38;0.39;0.378;0.382;20864;0
GTL ао;60;20170203;180000;0.383;0.389;0.375;0.382;13288;0
GTL ао;60;20170206;100000;0.372;0.388;0.361;0.381;9402;0
GTL ао;60;20170206;110000;0.381;0.383;0.38;0.382;1385;0
GTL ао;60;20170206;120000;0.382;0.384;0.375;0.375;2816;0
GTL ао;60;20170206;130000;0.378;0.381;0.375;0.378;792;0
GTL ао;60;20170206;140000;0.378;0.379;0.375;0.377;1347;0
GTL ао;60;20170206;150000;0.378;0.38;0.374;0.377;1729;0
GTL ао;60;20170206;160000;0.378;0.378;0.375;0.377;435;0
GTL ао;60;20170206;170000;0.377;0.378;0.376;0.377;797;0
GTL ао;60;20170206;180000;0.376;0.377;0.371;0.374;1601;0
GTL ао;60;20170207;100000;0.378;0.379;0.371;0.377;4385;0
GTL ао;60;20170207;110000;0.377;0.379;0.376;0.378;1629;0
GTL ао;60;20170207;120000;0.377;0.379;0.375;0.377;3420;0
GTL ао;60;20170207;130000;0.375;0.378;0.375;0.376;608;0
GTL ао;60;20170207;140000;0.377;0.377;0.372;0.375;2512;0
GTL ао;60;20170207;150000;0.375;0.375;0.371;0.373;599;0
