<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
RUSAL plc;60;20170124;090000;30.31;30.31;30.31;30.31;105;0
RUSAL plc;60;20170124;100000;30.31;30.87;30.25;30.25;848;0
RUSAL plc;60;20170124;110000;30.25;30.3;30.08;30.3;421;0
RUSAL plc;60;20170124;120000;30.35;30.43;30.27;30.3;202;0
RUSAL plc;60;20170124;130000;30.3;30.58;30.29;30.38;245;0
RUSAL plc;60;20170124;140000;30.38;30.54;30.38;30.42;176;0
RUSAL plc;60;20170124;150000;30.42;30.56;30.41;30.48;233;0
RUSAL plc;60;20170124;160000;30.48;30.91;30.48;30.73;642;0
RUSAL plc;60;20170124;170000;30.78;31;30.71;30.84;430;0
RUSAL plc;60;20170124;180000;30.83;30.91;30.61;30.8;3197;0
RUSAL plc;60;20170125;090000;31.41;31.41;31.41;31.41;31;0
RUSAL plc;60;20170125;100000;31.42;31.96;31.4;31.91;1249;0
RUSAL plc;60;20170125;110000;31.91;32.41;31.91;32.15;1462;0
RUSAL plc;60;20170125;120000;32.18;32.4;32.08;32.29;832;0
RUSAL plc;60;20170125;130000;32.22;32.73;32.2;32.27;1473;0
RUSAL plc;60;20170125;140000;32.35;32.35;32.2;32.33;230;0
RUSAL plc;60;20170125;150000;32.33;32.45;32.31;32.31;227;0
RUSAL plc;60;20170125;160000;32.31;32.31;31.67;31.68;611;0
RUSAL plc;60;20170125;170000;31.6;31.71;31.56;31.63;7858;0
RUSAL plc;60;20170125;180000;31.6;31.69;31.6;31.61;224;0
RUSAL plc;60;20170126;090000;33.51;33.51;33.51;33.51;10072;0
RUSAL plc;60;20170126;100000;34;35;33.22;34.29;2538;0
RUSAL plc;60;20170126;110000;34.3;34.9;34.3;34.9;1609;0
RUSAL plc;60;20170126;120000;34.86;35.09;33.7;34.15;2421;0
RUSAL plc;60;20170126;130000;34.15;34.24;33.95;34.18;10052;0
RUSAL plc;60;20170126;140000;34.11;34.11;33.85;34.05;963;0
RUSAL plc;60;20170126;150000;34.01;34.06;33.5;34.01;1305;0
RUSAL plc;60;20170126;160000;34.09;34.1;33.85;34;1078;0
RUSAL plc;60;20170126;170000;34;34;33.76;33.92;674;0
RUSAL plc;60;20170126;180000;33.95;34.39;33.94;34.39;1184;0
