<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Yandex clA;60;20170124;090000;1301.5;1301.5;1301.5;1301.5;13;0
Yandex clA;60;20170124;100000;1306.5;1314;1303.5;1305;2037;0
Yandex clA;60;20170124;110000;1303.5;1313.5;1303.5;1313;1372;0
Yandex clA;60;20170124;120000;1312.5;1312.5;1309;1310;398;0
Yandex clA;60;20170124;130000;1308.5;1311.5;1308.5;1309.5;624;0
Yandex clA;60;20170124;140000;1310.5;1312.5;1309.5;1311.5;1155;0
Yandex clA;60;20170124;150000;1312;1313.5;1310.5;1312;644;0
Yandex clA;60;20170124;160000;1313;1331.5;1313;1327.5;11707;0
Yandex clA;60;20170124;170000;1327.5;1347;1322;1341.5;18493;0
Yandex clA;60;20170124;180000;1343;1350;1335.5;1349;34572;0
Yandex clA;60;20170125;090000;1350;1350;1350;1350;11;0
Yandex clA;60;20170125;100000;1354;1371;1350.5;1364.5;6960;0
Yandex clA;60;20170125;110000;1364.5;1369;1360;1361;7763;0
Yandex clA;60;20170125;120000;1362.5;1370;1361.5;1366;8114;0
Yandex clA;60;20170125;130000;1369;1370;1365;1365.5;1623;0
Yandex clA;60;20170125;140000;1367;1369;1361;1367;2885;0
Yandex clA;60;20170125;150000;1367;1368;1362;1362;3531;0
Yandex clA;60;20170125;160000;1364.5;1370;1363;1366.5;4630;0
Yandex clA;60;20170125;170000;1368;1393.5;1368;1390;39671;0
Yandex clA;60;20170125;180000;1390;1393;1378.5;1381;4765;0
Yandex clA;60;20170126;090000;1394;1394;1394;1394;22;0
Yandex clA;60;20170126;100000;1395;1410;1394;1403;8963;0
Yandex clA;60;20170126;110000;1404.5;1409;1403.5;1408;1436;0
Yandex clA;60;20170126;120000;1408;1413.5;1406;1411;3412;0
Yandex clA;60;20170126;130000;1411.5;1421;1410;1420;8549;0
Yandex clA;60;20170126;140000;1418;1420;1412.5;1419.5;4018;0
Yandex clA;60;20170126;150000;1419.5;1423;1412.5;1422.5;11910;0
Yandex clA;60;20170126;160000;1422.5;1424.5;1414.5;1420;3849;0
Yandex clA;60;20170126;170000;1422.5;1423;1386;1399.5;21755;0
Yandex clA;60;20170126;180000;1400;1413.5;1396;1411;11045;0
Yandex clA;60;20170127;100000;1411.5;1416;1391;1407;3110;0
Yandex clA;60;20170127;110000;1407;1410.5;1391;1401.5;6441;0
Yandex clA;60;20170127;120000;1396.5;1412;1392.5;1409;5962;0
Yandex clA;60;20170127;130000;1409;1415;1406.5;1414;4027;0
Yandex clA;60;20170127;140000;1413;1414.5;1405.5;1405.5;796;0
Yandex clA;60;20170127;150000;1405;1407.5;1398;1407;1967;0
Yandex clA;60;20170127;160000;1407.5;1420;1401.5;1419;8964;0
Yandex clA;60;20170127;170000;1415.5;1425;1404.5;1409;9836;0
Yandex clA;60;20170127;180000;1411.5;1419.5;1407.5;1418.5;2788;0
Yandex clA;60;20170130;100000;1408.5;1417;1400;1401;2533;0
Yandex clA;60;20170130;110000;1402;1415;1400.5;1410.5;2736;0
Yandex clA;60;20170130;120000;1411.5;1416.5;1405;1405;872;0
Yandex clA;60;20170130;130000;1407;1416;1405;1416;1511;0
Yandex clA;60;20170130;140000;1415;1416.5;1408;1413.5;670;0
Yandex clA;60;20170130;150000;1413;1415;1413;1414;432;0
Yandex clA;60;20170130;160000;1415;1416;1405;1409;2205;0
Yandex clA;60;20170130;170000;1408.5;1412;1362.5;1374;36230;0
Yandex clA;60;20170130;180000;1375;1379.5;1370;1370;4811;0
Yandex clA;60;20170131;100000;1375;1389;1375;1386.5;2428;0
Yandex clA;60;20170131;110000;1385;1389;1380;1384;1775;0
Yandex clA;60;20170131;120000;1386.5;1387.5;1380;1383.5;1373;0
Yandex clA;60;20170131;130000;1381.5;1383.5;1380.5;1382;373;0
Yandex clA;60;20170131;140000;1382;1382;1376.5;1376.5;1497;0
Yandex clA;60;20170131;150000;1377;1383.5;1376.5;1382.5;1437;0
Yandex clA;60;20170131;160000;1380.5;1384;1377;1384;332;0
Yandex clA;60;20170131;170000;1383.5;1395;1376.5;1387;3937;0
Yandex clA;60;20170131;180000;1387.5;1388;1377;1379;1730;0
Yandex clA;60;20170201;090000;1380;1380;1380;1380;4;0
Yandex clA;60;20170201;100000;1380.5;1394.5;1380.5;1388.5;1565;0
Yandex clA;60;20170201;110000;1390;1390;1381.5;1386.5;1391;0
Yandex clA;60;20170201;120000;1384;1390;1383.5;1384;1555;0
Yandex clA;60;20170201;130000;1385;1389.5;1384;1389.5;2136;0
Yandex clA;60;20170201;140000;1389;1398;1389;1394;1734;0
Yandex clA;60;20170201;150000;1394.5;1398.5;1387.5;1392.5;1194;0
Yandex clA;60;20170201;160000;1393;1400;1393;1398;1506;0
