<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
iFXIT ETF;60;20170124;120000;2768;2768;2768;2768;1;0
iFXIT ETF;60;20170124;150000;2774;2774;2774;2774;19;0
iFXIT ETF;60;20170124;170000;2776;2776;2776;2776;7;0
iFXIT ETF;60;20170125;110000;2805;2805;2805;2805;18;0
iFXIT ETF;60;20170125;120000;2805;2805;2805;2805;117;0
iFXIT ETF;60;20170125;130000;2808;2808;2808;2808;15;0
iFXIT ETF;60;20170125;140000;2808;2808;2808;2808;72;0
iFXIT ETF;60;20170125;160000;2807;2807;2807;2807;36;0
iFXIT ETF;60;20170126;100000;2841;2847;2839;2847;38;0
iFXIT ETF;60;20170126;110000;2850;2850;2850;2850;4;0
iFXIT ETF;60;20170126;120000;2861;2861;2861;2861;8;0
iFXIT ETF;60;20170126;130000;2856;2862;2856;2862;57;0
iFXIT ETF;60;20170126;150000;2868;2878;2868;2878;11;0
iFXIT ETF;60;20170126;160000;2882;2882;2882;2882;27;0
iFXIT ETF;60;20170126;170000;2861;2861;2861;2861;1;0
iFXIT ETF;60;20170126;180000;2873;2873;2873;2873;10;0
iFXIT ETF;60;20170127;100000;2877;2878;2870;2877;6;0
iFXIT ETF;60;20170127;110000;2871;2871;2871;2871;4;0
iFXIT ETF;60;20170127;120000;2856;2856;2856;2856;2;0
iFXIT ETF;60;20170127;140000;2854;2854;2854;2854;1;0
iFXIT ETF;60;20170127;150000;2853;2858;2853;2858;11;0
iFXIT ETF;60;20170127;170000;2852;2852;2852;2852;3;0
iFXIT ETF;60;20170127;180000;2857;2857;2847;2856;45;0
iFXIT ETF;60;20170130;100000;2861;2870;2861;2870;22;0
iFXIT ETF;60;20170130;110000;2868;2868;2867;2867;23;0
iFXIT ETF;60;20170130;130000;2859;2859;2858;2858;3;0
iFXIT ETF;60;20170130;150000;2858;2858;2858;2858;3;0
iFXIT ETF;60;20170130;160000;2852;2852;2852;2852;1;0
iFXIT ETF;60;20170130;180000;2833;2833;2832;2832;3;0
iFXIT ETF;60;20170131;090000;3019;3019;3019;3019;1;0
iFXIT ETF;60;20170131;120000;2850;2850;2850;2850;1;0
iFXIT ETF;60;20170131;150000;2835;2835;2835;2835;2;0
iFXIT ETF;60;20170131;160000;2836;2836;2836;2836;5;0
iFXIT ETF;60;20170131;170000;2834;2834;2816;2816;18;0
iFXIT ETF;60;20170131;180000;2820;2822;2820;2822;14;0
iFXIT ETF;60;20170201;130000;2852;2852;2852;2852;7;0
iFXIT ETF;60;20170201;150000;2989;3021;2843;2843;12;0
iFXIT ETF;60;20170201;160000;2843;2843;2836;2843;7;0
iFXIT ETF;60;20170201;180000;2850;2852;2850;2852;6;0
iFXIT ETF;60;20170202;120000;2830;2830;2817;2817;7;0
iFXIT ETF;60;20170202;130000;2824;2824;2824;2824;10;0
iFXIT ETF;60;20170202;150000;2822;2822;2822;2822;1;0
iFXIT ETF;60;20170202;170000;2821;2821;2817;2817;2;0
iFXIT ETF;60;20170202;180000;2832;2835;2832;2835;29;0
iFXIT ETF;60;20170203;100000;2814;2821;2814;2821;4;0
iFXIT ETF;60;20170203;120000;2827;2827;2827;2827;2;0
iFXIT ETF;60;20170203;130000;2823;2823;2823;2823;6;0
iFXIT ETF;60;20170206;110000;2810;2810;2810;2810;10;0
iFXIT ETF;60;20170206;120000;2821;2821;2821;2821;1;0
iFXIT ETF;60;20170206;130000;2819;2819;2819;2819;35;0
iFXIT ETF;60;20170206;140000;2817;2817;2817;2817;5;0
iFXIT ETF;60;20170206;180000;2822;2822;2822;2822;5;0
iFXIT ETF;60;20170207;120000;2845;2846;2840;2846;7;0
iFXIT ETF;60;20170207;130000;2852;2852;2800;2800;6;0
iFXIT ETF;60;20170207;140000;2851;2851;2851;2851;1;0
iFXIT ETF;60;20170207;160000;2852;2855;2851;2851;41;0
iFXIT ETF;60;20170207;170000;2851;2854;2851;2854;5;0
iFXIT ETF;60;20170207;180000;2862;2862;2855;2855;5;0
iFXIT ETF;60;20170208;100000;2867;2867;2867;2867;100;0
iFXIT ETF;60;20170208;110000;2870;2870;2868;2868;29;0
iFXIT ETF;60;20170208;130000;2860;2868;2860;2868;6;0
iFXIT ETF;60;20170208;150000;2852;2852;2852;2852;4;0
iFXIT ETF;60;20170208;160000;2850;2850;2850;2850;10;0
iFXIT ETF;60;20170208;170000;2847;2847;2847;2847;2;0
iFXIT ETF;60;20170208;180000;2860;2860;2860;2860;8;0
iFXIT ETF;60;20170209;100000;2849;2849;2848;2849;102;0
iFXIT ETF;60;20170209;120000;2852;2852;2852;2852;1;0
iFXIT ETF;60;20170209;140000;2845;2845;2845;2845;1;0
iFXIT ETF;60;20170209;150000;2852;2852;2852;2852;28;0
iFXIT ETF;60;20170209;170000;2833;2833;2833;2833;1;0
iFXIT ETF;60;20170209;180000;2847;2847;2847;2847;2;0
iFXIT ETF;60;20170210;110000;2850;2850;2850;2850;21;0
iFXIT ETF;60;20170210;130000;2845;2845;2845;2845;16;0
iFXIT ETF;60;20170210;150000;2849;2849;2844;2844;33;0
iFXIT ETF;60;20170210;160000;2842;2842;2840;2840;23;0
iFXIT ETF;60;20170210;180000;2832;2835;2832;2835;6;0
iFXIT ETF;60;20170213;100000;2823;2823;2821;2822;5;0
iFXIT ETF;60;20170213;120000;2811;2811;2806;2806;10;0
iFXIT ETF;60;20170213;150000;2821;2821;2819;2819;5;0
iFXIT ETF;60;20170213;160000;2813;2813;2813;2813;3;0
iFXIT ETF;60;20170213;170000;2818;2818;2818;2818;15;0
iFXIT ETF;60;20170214;100000;2817;2817;2817;2817;1;0
iFXIT ETF;60;20170214;110000;2817;2817;2817;2817;1000;0
iFXIT ETF;60;20170214;120000;2808;2808;2808;2808;1;0
iFXIT ETF;60;20170214;130000;2815;2815;2815;2815;1;0
iFXIT ETF;60;20170214;140000;2805;2805;2803;2803;11;0
iFXIT ETF;60;20170214;150000;2792;2792;2792;2792;2;0
iFXIT ETF;60;20170214;180000;2790;2790;2790;2790;7;0
iFXIT ETF;60;20170215;100000;2789;2789;2785;2785;62;0
iFXIT ETF;60;20170215;120000;2815;2815;2808;2808;6;0
iFXIT ETF;60;20170215;130000;2806;2806;2806;2806;10;0
iFXIT ETF;60;20170215;140000;2809;2809;2809;2809;2;0
iFXIT ETF;60;20170215;150000;2815;2815;2815;2815;14;0
iFXIT ETF;60;20170215;160000;2831;2831;2831;2831;55;0
iFXIT ETF;60;20170215;180000;2809;2809;2806;2806;19;0
iFXIT ETF;60;20170216;100000;2823;2823;2823;2823;2;0
iFXIT ETF;60;20170216;110000;2812;2814;2812;2814;15;0
iFXIT ETF;60;20170216;130000;2811;2814;2811;2814;3;0
iFXIT ETF;60;20170217;110000;2838;2838;2838;2838;23;0
iFXIT ETF;60;20170217;130000;2858;2858;2856;2856;21;0
iFXIT ETF;60;20170217;140000;2858;2858;2852;2852;12;0
