<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
iQIWI;60;20170124;100000;715;715;711;715;285;0
iQIWI;60;20170124;110000;712;714;709;709;132;0
iQIWI;60;20170124;120000;712;715;707;715;436;0
iQIWI;60;20170124;130000;713;714;708;714;54;0
iQIWI;60;20170124;140000;710;713;710;712;59;0
iQIWI;60;20170124;150000;712;714;709;714;146;0
iQIWI;60;20170124;160000;713;714;712;713;326;0
iQIWI;60;20170124;170000;712;715;711;715;344;0
iQIWI;60;20170124;180000;711;713;706;712;421;0
iQIWI;60;20170125;100000;714;717;713;717;360;0
iQIWI;60;20170125;110000;716;720;716;716;391;0
iQIWI;60;20170125;120000;717;719;716;719;140;0
iQIWI;60;20170125;130000;719;722;718;721;649;0
iQIWI;60;20170125;140000;721;721;716;718;345;0
iQIWI;60;20170125;150000;716;721;716;721;318;0
iQIWI;60;20170125;160000;718;720;716;716;65;0
iQIWI;60;20170125;170000;718;736;717;731;2462;0
iQIWI;60;20170125;180000;730;737;730;736;1531;0
iQIWI;60;20170126;090000;738;738;738;738;8;0
iQIWI;60;20170126;100000;738;755;728;753;4710;0
iQIWI;60;20170126;110000;753;755;750;755;871;0
iQIWI;60;20170126;120000;752;756;751;754;452;0
iQIWI;60;20170126;130000;753;754;751;753;121;0
iQIWI;60;20170126;140000;753;756;752;756;528;0
iQIWI;60;20170126;150000;755;760;755;760;1481;0
iQIWI;60;20170126;160000;760;763;756;762;3683;0
iQIWI;60;20170126;170000;763;778;760;778;6294;0
iQIWI;60;20170126;180000;778;787;771;781;10901;0
iQIWI;60;20170127;090000;790;790;790;790;290;0
iQIWI;60;20170127;100000;791;794;790;793;5594;0
iQIWI;60;20170127;110000;793;798;790;795;1393;0
iQIWI;60;20170127;120000;793;795;791;791;1376;0
iQIWI;60;20170127;130000;791;793;791;793;600;0
iQIWI;60;20170127;140000;793;794;792;792;842;0
iQIWI;60;20170127;150000;792;794;792;794;1440;0
iQIWI;60;20170127;160000;793;794;792;792;888;0
iQIWI;60;20170127;170000;793;794;788;788;1171;0
iQIWI;60;20170127;180000;788;803;788;799;4950;0
iQIWI;60;20170130;090000;799;799;799;799;403;0
iQIWI;60;20170130;100000;800;805;799;804;613;0
iQIWI;60;20170130;110000;804;804;799;799;666;0
iQIWI;60;20170130;120000;799;805;790;803;1376;0
iQIWI;60;20170130;130000;801;801;799;799;249;0
iQIWI;60;20170130;140000;799;799;797;797;212;0
iQIWI;60;20170130;150000;797;799;797;797;116;0
iQIWI;60;20170130;160000;797;799;797;797;466;0
iQIWI;60;20170130;170000;797;807;797;802;952;0
iQIWI;60;20170130;180000;800;800;790;793;307;0
iQIWI;60;20170131;090000;800;800;800;800;56;0
iQIWI;60;20170131;100000;800;805;800;800;708;0
iQIWI;60;20170131;110000;802;805;802;805;223;0
iQIWI;60;20170131;120000;802;805;801;804;970;0
iQIWI;60;20170131;130000;803;804;803;803;91;0
iQIWI;60;20170131;140000;803;804;803;803;809;0
iQIWI;60;20170131;150000;804;806;804;806;376;0
iQIWI;60;20170131;160000;806;808;805;808;925;0
iQIWI;60;20170131;170000;808;808;804;804;845;0
iQIWI;60;20170131;180000;802;822;802;821;5510;0
iQIWI;60;20170201;100000;818;820;813;819;840;0
iQIWI;60;20170201;110000;820;825;819;819;1610;0
iQIWI;60;20170201;120000;819;819;818;818;41;0
iQIWI;60;20170201;130000;818;819;817;817;484;0
iQIWI;60;20170201;140000;817;818;817;817;28;0
iQIWI;60;20170201;150000;818;821;817;819;1443;0
iQIWI;60;20170201;160000;821;821;818;819;114;0
iQIWI;60;20170201;170000;819;828;818;825;1879;0
iQIWI;60;20170201;180000;824;827;820;820;185;0
iQIWI;60;20170202;100000;821;821;805;813;1094;0
iQIWI;60;20170202;110000;815;818;815;816;63;0
iQIWI;60;20170202;120000;816;819;813;813;229;0
iQIWI;60;20170202;130000;812;813;810;813;504;0
iQIWI;60;20170202;140000;813;813;810;810;629;0
iQIWI;60;20170202;150000;810;811;810;811;61;0
iQIWI;60;20170202;160000;812;813;810;810;61;0
iQIWI;60;20170202;170000;811;811;807;807;2042;0
iQIWI;60;20170202;180000;807;810;806;810;562;0
iQIWI;60;20170203;090000;805;805;805;805;3;0
iQIWI;60;20170203;100000;805;805;782;793;1475;0
iQIWI;60;20170203;110000;792;797;791;796;312;0
iQIWI;60;20170203;120000;796;800;796;800;447;0
iQIWI;60;20170203;130000;800;802;800;802;213;0
iQIWI;60;20170203;140000;801;801;800;800;25;0
iQIWI;60;20170203;150000;800;801;800;801;96;0
iQIWI;60;20170203;160000;801;801;800;800;54;0
iQIWI;60;20170203;170000;801;804;796;798;199;0
iQIWI;60;20170203;180000;801;801;794;800;460;0
iQIWI;60;20170206;100000;800;800;795;800;292;0
iQIWI;60;20170206;110000;797;797;792;793;140;0
iQIWI;60;20170206;120000;792;793;792;793;5;0
iQIWI;60;20170206;130000;794;795;794;795;7;0
iQIWI;60;20170206;140000;794;795;787;788;211;0
iQIWI;60;20170206;150000;793;797;792;797;74;0
iQIWI;60;20170206;160000;797;798;792;792;22;0
iQIWI;60;20170206;170000;796;796;788;788;424;0
iQIWI;60;20170206;180000;789;805;788;800;840;0
iQIWI;60;20170207;090000;805;805;805;805;6;0
iQIWI;60;20170207;100000;805;806;801;806;216;0
iQIWI;60;20170207;110000;806;806;803;806;33;0
iQIWI;60;20170207;120000;806;806;806;806;134;0
iQIWI;60;20170207;130000;806;806;805;805;164;0
iQIWI;60;20170207;140000;806;819;806;812;759;0
iQIWI;60;20170207;150000;811;813;805;805;118;0
iQIWI;60;20170207;160000;808;812;807;812;111;0
iQIWI;60;20170207;170000;810;822;809;822;2265;0
iQIWI;60;20170207;180000;820;830;816;822;6845;0
iQIWI;60;20170208;100000;823;823;820;820;39;0
iQIWI;60;20170208;110000;819;823;814;815;520;0
iQIWI;60;20170208;120000;815;823;812;821;501;0
iQIWI;60;20170208;130000;821;823;818;823;897;0
iQIWI;60;20170208;140000;823;824;820;820;501;0
iQIWI;60;20170208;150000;822;824;817;817;211;0
iQIWI;60;20170208;160000;818;818;817;818;287;0
iQIWI;60;20170208;170000;818;818;817;818;560;0
iQIWI;60;20170208;180000;819;823;815;815;356;0
iQIWI;60;20170209;100000;816;819;815;816;749;0
iQIWI;60;20170209;110000;816;817;813;814;755;0
iQIWI;60;20170209;120000;813;813;807;807;190;0
iQIWI;60;20170209;130000;807;812;800;810;476;0
iQIWI;60;20170209;140000;810;811;809;810;968;0
