<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
iАвиастКао;60;20170124;100000;0.53;0.538;0.5285;0.533;234;0
iАвиастКао;60;20170124;110000;0.5325;0.533;0.5325;0.533;3;0
iАвиастКао;60;20170124;120000;0.531;0.533;0.5285;0.532;86;0
iАвиастКао;60;20170124;130000;0.53;0.5325;0.53;0.5325;103;0
iАвиастКао;60;20170124;140000;0.53;0.533;0.5295;0.5325;72;0
iАвиастКао;60;20170124;150000;0.5305;0.533;0.5295;0.5295;121;0
iАвиастКао;60;20170124;160000;0.5295;0.5325;0.5285;0.5325;70;0
iАвиастКао;60;20170124;170000;0.532;0.537;0.532;0.5355;114;0
iАвиастКао;60;20170124;180000;0.536;0.536;0.5295;0.5295;115;0
iАвиастКао;60;20170125;100000;0.53;0.533;0.529;0.532;119;0
iАвиастКао;60;20170125;110000;0.531;0.532;0.529;0.5305;73;0
iАвиастКао;60;20170125;120000;0.5315;0.5325;0.5295;0.53;67;0
iАвиастКао;60;20170125;130000;0.5315;0.533;0.529;0.5295;73;0
iАвиастКао;60;20170125;140000;0.531;0.531;0.5275;0.528;238;0
iАвиастКао;60;20170125;150000;0.528;0.53;0.528;0.528;99;0
iАвиастКао;60;20170125;160000;0.5275;0.5305;0.5275;0.53;89;0
iАвиастКао;60;20170125;170000;0.531;0.533;0.5275;0.529;199;0
iАвиастКао;60;20170125;180000;0.5305;0.5305;0.5285;0.529;870;0
iАвиастКао;60;20170126;090000;0.53;0.53;0.53;0.53;7;0
iАвиастКао;60;20170126;100000;0.527;0.564;0.5255;0.541;764;0
iАвиастКао;60;20170126;110000;0.538;0.547;0.534;0.546;109;0
iАвиастКао;60;20170126;120000;0.544;0.545;0.54;0.545;115;0
iАвиастКао;60;20170126;130000;0.545;0.547;0.54;0.5435;143;0
iАвиастКао;60;20170126;140000;0.5435;0.5435;0.5385;0.5385;131;0
iАвиастКао;60;20170126;150000;0.5385;0.5385;0.53;0.53;126;0
iАвиастКао;60;20170126;160000;0.5365;0.5365;0.53;0.5335;135;0
iАвиастКао;60;20170126;170000;0.534;0.538;0.53;0.532;378;0
iАвиастКао;60;20170126;180000;0.5315;0.5355;0.5295;0.535;603;0
iАвиастКао;60;20170127;100000;0.5335;0.5465;0.53;0.5465;456;0
iАвиастКао;60;20170127;110000;0.541;0.5475;0.5395;0.545;361;0
iАвиастКао;60;20170127;120000;0.545;0.555;0.54;0.55;743;0
iАвиастКао;60;20170127;130000;0.5495;0.5495;0.54;0.5415;419;0
iАвиастКао;60;20170127;140000;0.5415;0.543;0.54;0.54;94;0
iАвиастКао;60;20170127;150000;0.54;0.5445;0.54;0.54;174;0
iАвиастКао;60;20170127;160000;0.5405;0.547;0.54;0.545;227;0
iАвиастКао;60;20170127;170000;0.544;0.5495;0.542;0.5495;384;0
iАвиастКао;60;20170127;180000;0.549;0.552;0.5455;0.55;163;0
iАвиастКао;60;20170130;100000;0.5495;0.5525;0.545;0.5485;586;0
iАвиастКао;60;20170130;110000;0.549;0.55;0.548;0.55;296;0
iАвиастКао;60;20170130;120000;0.55;0.551;0.5405;0.5495;424;0
iАвиастКао;60;20170130;130000;0.5495;0.5505;0.5495;0.5505;203;0
iАвиастКао;60;20170130;140000;0.5505;0.554;0.55;0.554;392;0
iАвиастКао;60;20170130;150000;0.553;0.5555;0.55;0.552;296;0
iАвиастКао;60;20170130;160000;0.552;0.563;0.549;0.5565;527;0
iАвиастКао;60;20170130;170000;0.5555;0.559;0.55;0.557;173;0
iАвиастКао;60;20170130;180000;0.554;0.558;0.551;0.555;135;0
iАвиастКао;60;20170131;100000;0.5555;0.559;0.5555;0.559;8;0
iАвиастКао;60;20170131;110000;0.559;0.5635;0.558;0.5625;117;0
iАвиастКао;60;20170131;120000;0.557;0.557;0.547;0.553;194;0
iАвиастКао;60;20170131;130000;0.554;0.5545;0.554;0.5545;16;0
iАвиастКао;60;20170131;140000;0.552;0.554;0.55;0.5515;37;0
iАвиастКао;60;20170131;150000;0.5505;0.555;0.55;0.555;21;0
iАвиастКао;60;20170131;160000;0.555;0.555;0.552;0.552;3;0
iАвиастКао;60;20170131;170000;0.555;0.555;0.55;0.55;380;0
iАвиастКао;60;20170131;180000;0.55;0.553;0.55;0.553;111;0
iАвиастКао;60;20170201;090000;0.554;0.554;0.554;0.554;3;0
