<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
iДонскЗР п;60;20170124;110000;1700;1700;1700;1700;17;0
iДонскЗР п;60;20170124;120000;1700;1700;1700;1700;22;0
iДонскЗР п;60;20170124;140000;1710;1720;1710;1720;16;0
iДонскЗР п;60;20170124;150000;1720;1720;1710;1710;37;0
iДонскЗР п;60;20170124;160000;1710;1710;1710;1710;3;0
iДонскЗР п;60;20170124;170000;1700;1700;1690;1690;13;0
iДонскЗР п;60;20170125;110000;1700;1720;1700;1720;28;0
iДонскЗР п;60;20170125;120000;1710;1710;1710;1710;1;0
iДонскЗР п;60;20170125;130000;1700;1700;1690;1690;6;0
iДонскЗР п;60;20170125;140000;1700;1700;1690;1690;4;0
iДонскЗР п;60;20170125;160000;1710;1710;1710;1710;1;0
iДонскЗР п;60;20170126;120000;1690;1690;1660;1660;53;0
iДонскЗР п;60;20170126;150000;1700;1710;1700;1710;2;0
iДонскЗР п;60;20170126;160000;1720;1720;1690;1690;5;0
iДонскЗР п;60;20170126;170000;1700;1720;1690;1720;8;0
iДонскЗР п;60;20170126;180000;1690;1690;1680;1690;7;0
iДонскЗР п;60;20170127;100000;1710;1710;1710;1710;1;0
iДонскЗР п;60;20170127;110000;1700;1700;1690;1690;7;0
iДонскЗР п;60;20170127;120000;1690;1690;1690;1690;3;0
iДонскЗР п;60;20170127;130000;1710;1720;1710;1720;2;0
iДонскЗР п;60;20170127;140000;1720;1720;1720;1720;1;0
iДонскЗР п;60;20170127;160000;1700;1710;1680;1690;34;0
iДонскЗР п;60;20170127;170000;1680;1680;1680;1680;2;0
iДонскЗР п;60;20170127;180000;1700;1700;1700;1700;2;0
iДонскЗР п;60;20170130;100000;1690;1690;1680;1680;2;0
iДонскЗР п;60;20170130;110000;1680;1680;1680;1680;3;0
iДонскЗР п;60;20170130;120000;1690;1690;1690;1690;1;0
iДонскЗР п;60;20170130;130000;1690;1690;1690;1690;3;0
iДонскЗР п;60;20170130;140000;1690;1690;1690;1690;1;0
iДонскЗР п;60;20170130;150000;1690;1700;1690;1700;5;0
iДонскЗР п;60;20170130;160000;1700;1700;1700;1700;1;0
iДонскЗР п;60;20170131;100000;1710;1710;1710;1710;3;0
iДонскЗР п;60;20170131;110000;1700;1700;1700;1700;1;0
iДонскЗР п;60;20170131;130000;1720;1730;1720;1730;17;0
iДонскЗР п;60;20170131;140000;1730;1730;1720;1720;32;0
iДонскЗР п;60;20170131;150000;1720;1720;1700;1700;5;0
iДонскЗР п;60;20170131;170000;1700;1700;1700;1700;10;0
iДонскЗР п;60;20170131;180000;1700;1700;1700;1700;3;0
iДонскЗР п;60;20170201;100000;1710;1710;1690;1710;31;0
iДонскЗР п;60;20170201;110000;1720;1720;1720;1720;1;0
iДонскЗР п;60;20170201;120000;1700;1720;1660;1720;13;0
iДонскЗР п;60;20170201;150000;1720;1720;1720;1720;1;0
iДонскЗР п;60;20170201;160000;1720;1720;1720;1720;14;0
iДонскЗР п;60;20170201;170000;1720;1720;1700;1700;52;0
iДонскЗР п;60;20170201;180000;1710;1720;1710;1720;2;0
iДонскЗР п;60;20170202;100000;1720;1720;1720;1720;2;0
iДонскЗР п;60;20170202;110000;1720;1720;1720;1720;1;0
iДонскЗР п;60;20170202;120000;1700;1700;1690;1690;14;0
iДонскЗР п;60;20170202;130000;1710;1720;1710;1720;8;0
iДонскЗР п;60;20170202;140000;1720;1720;1720;1720;10;0
iДонскЗР п;60;20170202;160000;1720;1720;1720;1720;1;0
iДонскЗР п;60;20170203;180000;1700;1710;1700;1710;2;0
iДонскЗР п;60;20170207;100000;1720;1730;1720;1730;3;0
iДонскЗР п;60;20170207;110000;1710;1710;1700;1700;10;0
iДонскЗР п;60;20170207;120000;1710;1710;1710;1710;2;0
iДонскЗР п;60;20170207;160000;1720;1720;1700;1700;4;0
iДонскЗР п;60;20170207;170000;1710;1710;1700;1700;37;0
iДонскЗР п;60;20170207;180000;1700;1700;1700;1700;3;0
iДонскЗР п;60;20170208;130000;1710;1710;1710;1710;1;0
