<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
iДонскЗР;60;20170124;110000;1850;1850;1850;1850;3;0
iДонскЗР;60;20170124;130000;1850;1850;1850;1850;4;0
iДонскЗР;60;20170124;160000;1870;1870;1870;1870;1;0
iДонскЗР;60;20170125;170000;1850;1850;1850;1850;1;0
iДонскЗР;60;20170126;120000;1850;1850;1850;1850;20;0
iДонскЗР;60;20170126;140000;1870;1880;1870;1880;108;0
iДонскЗР;60;20170126;180000;1890;1890;1880;1880;2;0
iДонскЗР;60;20170127;130000;1900;1920;1900;1920;4;0
iДонскЗР;60;20170127;140000;1910;1910;1900;1900;6;0
iДонскЗР;60;20170127;150000;1890;1890;1880;1880;6;0
iДонскЗР;60;20170130;100000;1880;1880;1880;1880;1;0
iДонскЗР;60;20170130;110000;1880;1880;1880;1880;1;0
iДонскЗР;60;20170130;120000;1900;1940;1900;1940;14;0
iДонскЗР;60;20170130;150000;1940;1950;1940;1950;3;0
iДонскЗР;60;20170131;130000;1920;1920;1920;1920;2;0
iДонскЗР;60;20170131;180000;1960;1960;1960;1960;1;0
iДонскЗР;60;20170201;090000;1950;1950;1950;1950;1;0
iДонскЗР;60;20170201;100000;1950;1950;1940;1940;2;0
iДонскЗР;60;20170202;130000;1960;1960;1960;1960;1;0
iДонскЗР;60;20170202;170000;1930;1930;1930;1930;1;0
iДонскЗР;60;20170203;110000;1920;1920;1900;1900;6;0
iДонскЗР;60;20170203;120000;1920;1930;1920;1930;3;0
iДонскЗР;60;20170206;140000;1920;1920;1920;1920;2;0
iДонскЗР;60;20170208;100000;1930;1930;1900;1930;7;0
iДонскЗР;60;20170208;110000;1940;1960;1940;1960;5;0
iДонскЗР;60;20170209;170000;1960;1970;1960;1970;4;0
iДонскЗР;60;20170210;100000;1940;2000;1790;2000;9;0
iДонскЗР;60;20170210;110000;2000;2000;2000;2000;18;0
iДонскЗР;60;20170210;130000;1950;1950;1770;1920;28;0
iДонскЗР;60;20170210;140000;1910;1950;1860;1950;26;0
iДонскЗР;60;20170210;150000;1950;1950;1950;1950;33;0
iДонскЗР;60;20170213;110000;1960;2000;1960;1970;9;0
iДонскЗР;60;20170213;140000;1990;1990;1990;1990;5;0
iДонскЗР;60;20170213;160000;1990;1990;1990;1990;1;0
iДонскЗР;60;20170213;170000;2000;2000;2000;2000;1;0
iДонскЗР;60;20170213;180000;1990;1990;1990;1990;1;0
iДонскЗР;60;20170214;110000;1970;1970;1960;1960;3;0
iДонскЗР;60;20170214;170000;1960;1960;1960;1960;1;0
iДонскЗР;60;20170215;130000;1950;1950;1950;1950;2;0
iДонскЗР;60;20170220;180000;1960;1960;1960;1960;1;0
iДонскЗР;60;20170224;100000;1950;1960;1670;1960;12;0
iДонскЗР;60;20170224;170000;1960;1960;1960;1960;4;0
iДонскЗР;60;20170227;120000;1940;1970;1940;1970;3;0
iДонскЗР;60;20170228;120000;1970;1970;1970;1970;4;0
iДонскЗР;60;20170228;130000;1860;1860;1860;1860;1;0
iДонскЗР;60;20170301;170000;1880;1880;1880;1880;1;0
iДонскЗР;60;20170302;130000;1950;1950;1940;1940;2;0
iДонскЗР;60;20170309;130000;1870;1870;1870;1870;1;0
