<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
iЗаводДИОД;60;20170124;100000;3.28;3.28;3.28;3.28;7;0
iЗаводДИОД;60;20170124;110000;3.29;3.29;3.28;3.28;3;0
iЗаводДИОД;60;20170124;120000;3.28;3.28;3.27;3.27;300;0
iЗаводДИОД;60;20170124;130000;3.28;3.28;3.27;3.27;19;0
iЗаводДИОД;60;20170124;150000;3.28;3.28;3.28;3.28;2;0
iЗаводДИОД;60;20170124;170000;3.28;3.28;3.27;3.28;103;0
iЗаводДИОД;60;20170124;180000;3.29;3.3;3.29;3.3;27;0
iЗаводДИОД;60;20170125;100000;3.3;3.3;3.3;3.3;101;0
iЗаводДИОД;60;20170125;110000;3.3;3.3;3.29;3.29;14;0
iЗаводДИОД;60;20170125;120000;3.29;3.3;3.29;3.3;10;0
iЗаводДИОД;60;20170125;130000;3.28;3.28;3.28;3.28;50;0
iЗаводДИОД;60;20170125;150000;3.3;3.3;3.3;3.3;15;0
iЗаводДИОД;60;20170125;160000;3.29;3.29;3.28;3.28;188;0
iЗаводДИОД;60;20170125;170000;3.29;3.3;3.29;3.3;15;0
iЗаводДИОД;60;20170125;180000;3.3;3.3;3.29;3.3;44;0
iЗаводДИОД;60;20170126;110000;3.29;3.29;3.29;3.29;11;0
iЗаводДИОД;60;20170126;120000;3.28;3.28;3.28;3.28;10;0
iЗаводДИОД;60;20170126;130000;3.28;3.28;3.28;3.28;27;0
iЗаводДИОД;60;20170126;140000;3.29;3.33;3.29;3.33;383;0
iЗаводДИОД;60;20170126;160000;3.31;3.32;3.31;3.32;26;0
iЗаводДИОД;60;20170126;170000;3.31;3.31;3.31;3.31;1;0
iЗаводДИОД;60;20170126;180000;3.31;3.47;3.31;3.4;837;0
iЗаводДИОД;60;20170127;100000;3.38;4.29;3.37;4.01;20075;0
iЗаводДИОД;60;20170127;110000;4.01;4.31;3.95;3.98;9344;0
iЗаводДИОД;60;20170127;120000;4.04;4.75;4.01;4.5;17887;0
iЗаводДИОД;60;20170127;130000;4.54;4.63;4.36;4.44;2434;0
iЗаводДИОД;60;20170127;140000;4.41;4.48;4.2;4.29;2931;0
iЗаводДИОД;60;20170127;150000;4.29;4.34;4.04;4.17;4588;0
iЗаводДИОД;60;20170127;160000;4.12;4.19;3.84;3.9;3162;0
iЗаводДИОД;60;20170127;170000;3.9;4.05;3.68;3.77;8425;0
iЗаводДИОД;60;20170127;180000;3.75;3.77;3.51;3.57;14736;0
iЗаводДИОД;60;20170130;090000;3.64;3.64;3.64;3.64;361;0
iЗаводДИОД;60;20170130;100000;3.64;3.95;3.46;3.7;11044;0
iЗаводДИОД;60;20170130;110000;3.7;3.75;3.55;3.6;1532;0
iЗаводДИОД;60;20170130;120000;3.59;3.59;3.49;3.51;3882;0
iЗаводДИОД;60;20170130;130000;3.51;3.73;3.51;3.68;2379;0
iЗаводДИОД;60;20170130;140000;3.68;3.69;3.6;3.63;262;0
iЗаводДИОД;60;20170130;150000;3.61;3.62;3.51;3.52;967;0
iЗаводДИОД;60;20170130;160000;3.54;3.58;3.51;3.54;423;0
iЗаводДИОД;60;20170130;170000;3.54;3.58;3.52;3.54;185;0
iЗаводДИОД;60;20170130;180000;3.53;3.57;3.52;3.57;1291;0
iЗаводДИОД;60;20170131;090000;3.57;3.57;3.57;3.57;20;0
iЗаводДИОД;60;20170131;100000;3.57;3.78;3.57;3.68;2695;0
iЗаводДИОД;60;20170131;110000;3.68;3.72;3.53;3.56;889;0
iЗаводДИОД;60;20170131;120000;3.56;3.62;3.55;3.6;330;0
iЗаводДИОД;60;20170131;130000;3.6;3.64;3.52;3.52;1897;0
iЗаводДИОД;60;20170131;140000;3.53;3.55;3.52;3.55;392;0
iЗаводДИОД;60;20170131;150000;3.54;3.59;3.52;3.58;769;0
iЗаводДИОД;60;20170131;160000;3.59;3.6;3.57;3.58;808;0
iЗаводДИОД;60;20170131;170000;3.58;3.6;3.53;3.6;1474;0
iЗаводДИОД;60;20170131;180000;3.6;3.68;3.54;3.57;2260;0
iЗаводДИОД;60;20170201;100000;3.54;3.57;3.48;3.52;903;0
iЗаводДИОД;60;20170201;110000;3.51;3.52;3.47;3.52;1353;0
iЗаводДИОД;60;20170201;120000;3.51;3.53;3.48;3.48;570;0
iЗаводДИОД;60;20170201;130000;3.48;3.5;3.45;3.5;1002;0
iЗаводДИОД;60;20170201;140000;3.5;3.5;3.45;3.46;1905;0
iЗаводДИОД;60;20170201;150000;3.46;3.53;3.43;3.47;4842;0
iЗаводДИОД;60;20170201;160000;3.47;3.47;3.46;3.46;26;0
iЗаводДИОД;60;20170201;170000;3.46;3.47;3.45;3.46;47;0
iЗаводДИОД;60;20170201;180000;3.45;3.47;3.45;3.47;453;0
iЗаводДИОД;60;20170202;100000;3.46;3.47;3.44;3.46;63;0
iЗаводДИОД;60;20170202;110000;3.45;3.47;3.45;3.46;252;0
iЗаводДИОД;60;20170202;120000;3.44;3.45;3.43;3.43;709;0
iЗаводДИОД;60;20170202;130000;3.44;3.44;3.42;3.42;251;0
iЗаводДИОД;60;20170202;140000;3.42;3.42;3.39;3.4;485;0
iЗаводДИОД;60;20170202;150000;3.4;3.4;3.38;3.38;348;0
iЗаводДИОД;60;20170202;160000;3.38;3.38;3.36;3.37;531;0
iЗаводДИОД;60;20170202;170000;3.37;3.4;3.37;3.37;209;0
iЗаводДИОД;60;20170202;180000;3.39;3.39;3.37;3.39;183;0
iЗаводДИОД;60;20170203;100000;3.38;3.41;3.36;3.41;1357;0
iЗаводДИОД;60;20170203;110000;3.4;3.4;3.38;3.4;826;0
iЗаводДИОД;60;20170203;120000;3.4;3.4;3.38;3.4;309;0
iЗаводДИОД;60;20170203;130000;3.4;3.4;3.38;3.38;168;0
iЗаводДИОД;60;20170203;140000;3.38;3.38;3.37;3.37;330;0
iЗаводДИОД;60;20170203;150000;3.38;3.4;3.38;3.4;291;0
iЗаводДИОД;60;20170203;160000;3.38;3.38;3.35;3.36;1191;0
iЗаводДИОД;60;20170203;170000;3.37;3.4;3.37;3.38;705;0
