<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
iИСКЧ ао;60;20170124;100000;17.45;17.45;17.4;17.4;2;0
iИСКЧ ао;60;20170124;110000;17.55;17.55;17.55;17.55;1;0
iИСКЧ ао;60;20170124;120000;17.55;17.55;17.55;17.55;1;0
iИСКЧ ао;60;20170124;130000;17.55;17.55;17.55;17.55;1;0
iИСКЧ ао;60;20170124;140000;17.6;17.6;17.5;17.5;15;0
iИСКЧ ао;60;20170124;150000;17.55;17.55;17.55;17.55;1;0
iИСКЧ ао;60;20170124;160000;17.6;17.6;17.6;17.6;7;0
iИСКЧ ао;60;20170124;170000;17.65;17.75;17.65;17.75;15;0
iИСКЧ ао;60;20170125;100000;17.7;17.7;17.6;17.7;20;0
iИСКЧ ао;60;20170125;110000;17.85;17.95;17.6;17.6;43;0
iИСКЧ ао;60;20170125;120000;17.6;17.6;17.6;17.6;8;0
iИСКЧ ао;60;20170125;150000;17.6;17.6;17.6;17.6;1;0
iИСКЧ ао;60;20170125;160000;17.6;17.6;17.6;17.6;20;0
iИСКЧ ао;60;20170125;170000;17.55;17.55;17.55;17.55;1;0
iИСКЧ ао;60;20170125;180000;17.6;17.6;17.6;17.6;1;0
iИСКЧ ао;60;20170126;100000;17.65;17.65;17.65;17.65;1;0
iИСКЧ ао;60;20170126;110000;17.65;17.65;17.6;17.6;14;0
iИСКЧ ао;60;20170126;120000;17.55;17.6;17.55;17.6;3;0
iИСКЧ ао;60;20170126;170000;17.6;17.6;17.6;17.6;1;0
iИСКЧ ао;60;20170126;180000;17.6;17.6;17.6;17.6;12;0
iИСКЧ ао;60;20170127;100000;17.7;17.7;17.7;17.7;5;0
iИСКЧ ао;60;20170127;130000;17.75;17.75;17.75;17.75;7;0
iИСКЧ ао;60;20170127;140000;17.75;17.75;17.6;17.6;42;0
iИСКЧ ао;60;20170127;160000;17.55;17.55;17.25;17.3;163;0
iИСКЧ ао;60;20170127;170000;17.25;17.25;17.25;17.25;70;0
iИСКЧ ао;60;20170127;180000;17.25;17.6;17.25;17.6;27;0
iИСКЧ ао;60;20170130;100000;17.5;17.5;17.45;17.45;24;0
iИСКЧ ао;60;20170130;130000;17.45;17.45;16.9;16.9;220;0
iИСКЧ ао;60;20170130;140000;16.95;17;16.95;17;93;0
iИСКЧ ао;60;20170130;150000;17.3;17.45;17.3;17.45;7;0
iИСКЧ ао;60;20170130;170000;17.2;17.3;17.2;17.3;2;0
iИСКЧ ао;60;20170130;180000;17.3;17.35;17.3;17.35;5;0
iИСКЧ ао;60;20170131;100000;17.15;17.15;17;17;6;0
iИСКЧ ао;60;20170131;120000;17.2;17.2;17;17;23;0
iИСКЧ ао;60;20170131;130000;17.3;17.35;17.3;17.35;5;0
iИСКЧ ао;60;20170131;180000;17.35;17.4;17.35;17.4;5;0
iИСКЧ ао;60;20170201;120000;17.2;17.2;16.85;16.85;49;0
iИСКЧ ао;60;20170201;130000;17.05;17.05;17.05;17.05;1;0
iИСКЧ ао;60;20170201;140000;17;17;16.95;16.95;106;0
iИСКЧ ао;60;20170201;150000;17;17.1;17;17.1;2;0
iИСКЧ ао;60;20170201;160000;17;17;17;17;1;0
iИСКЧ ао;60;20170201;170000;17.05;17.1;17.05;17.1;7;0
iИСКЧ ао;60;20170201;180000;17.05;17.05;17.05;17.05;2;0
iИСКЧ ао;60;20170202;100000;17.1;17.3;17.1;17.3;23;0
iИСКЧ ао;60;20170202;110000;17.05;17.05;17.05;17.05;1;0
