<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
iЛевенгук;60;20170124;110000;8.15;8.15;8.1;8.1;109;0
iЛевенгук;60;20170124;170000;8.1;8.1;8.1;8.1;1;0
iЛевенгук;60;20170124;180000;8.1;8.1;8.1;8.1;10;0
iЛевенгук;60;20170127;160000;8.2;8.2;8.2;8.2;1;0
iЛевенгук;60;20170130;150000;8.25;8.5;8.25;8.35;9;0
iЛевенгук;60;20170131;130000;8.45;8.45;8.35;8.35;4;0
iЛевенгук;60;20170131;150000;8.35;8.35;8.35;8.35;4;0
iЛевенгук;60;20170131;180000;8.35;8.35;8.3;8.3;3;0
iЛевенгук;60;20170201;170000;8.25;8.25;8.25;8.25;1;0
iЛевенгук;60;20170201;180000;8.35;8.4;8.35;8.4;2;0
iЛевенгук;60;20170202;100000;8.3;8.3;8.3;8.3;1;0
iЛевенгук;60;20170202;110000;8.5;8.6;8.5;8.6;4;0
iЛевенгук;60;20170202;120000;8.6;8.7;8.6;8.7;2;0
iЛевенгук;60;20170202;160000;8.7;8.8;8.7;8.8;5;0
iЛевенгук;60;20170202;170000;8.8;8.8;8.2;8.2;6;0
iЛевенгук;60;20170202;180000;8.05;8.05;8;8;2;0
iЛевенгук;60;20170203;100000;8.3;8.3;8.3;8.3;1;0
iЛевенгук;60;20170207;110000;8.3;8.3;8.25;8.25;2;0
iЛевенгук;60;20170208;100000;8.25;8.25;8.25;8.25;1;0
iЛевенгук;60;20170208;110000;8.2;8.2;8.15;8.15;2;0
iЛевенгук;60;20170208;160000;8.25;8.25;8.25;8.25;1;0
iЛевенгук;60;20170209;110000;8.15;8.15;8.15;8.15;1;0
iЛевенгук;60;20170209;140000;8.1;8.1;8.1;8.1;1;0
iЛевенгук;60;20170210;100000;8.9;8.9;8.3;8.3;2;0
iЛевенгук;60;20170213;110000;8.1;8.1;7.8;8;15;0
iЛевенгук;60;20170213;130000;8;8.05;8;8.05;2;0
iЛевенгук;60;20170213;140000;8.05;8.05;8.05;8.05;1;0
iЛевенгук;60;20170213;160000;8.1;8.1;8.1;8.1;1;0
iЛевенгук;60;20170213;170000;8.1;8.1;8.1;8.1;407;0
iЛевенгук;60;20170214;180000;8;8;7.35;7.9;14;0
iЛевенгук;60;20170215;110000;7.95;7.95;7.95;7.95;1;0
iЛевенгук;60;20170217;110000;7.95;7.95;7.95;7.95;1;0
iЛевенгук;60;20170220;100000;7.95;7.95;7.45;7.7;16;0
iЛевенгук;60;20170220;110000;7.75;7.75;7.75;7.75;1;0
iЛевенгук;60;20170220;120000;7.75;7.75;7.75;7.75;8;0
iЛевенгук;60;20170220;140000;7.65;7.65;7.65;7.65;2;0
iЛевенгук;60;20170220;150000;7.7;7.7;7.7;7.7;1;0
iЛевенгук;60;20170220;170000;7.7;7.7;7.7;7.7;2;0
iЛевенгук;60;20170220;180000;7.6;7.6;7.6;7.6;1;0
iЛевенгук;60;20170221;150000;7.7;7.7;7.7;7.7;1;0
iЛевенгук;60;20170227;100000;7.75;7.75;7.75;7.75;1;0
iЛевенгук;60;20170307;110000;7.75;7.75;7.75;7.75;1;0
iЛевенгук;60;20170309;170000;7.5;7.5;7.5;7.5;1;0
iЛевенгук;60;20170309;180000;7.5;7.5;7.5;7.5;1;0
iЛевенгук;60;20170310;100000;7.65;7.65;7.6;7.6;2;0
iЛевенгук;60;20170316;120000;7.55;7.55;7.55;7.55;1;0
iЛевенгук;60;20170322;140000;7.85;7.85;7.85;7.85;1;0
iЛевенгук;60;20170322;150000;7.85;7.9;7.35;7.65;10;0
iЛевенгук;60;20170322;180000;7.7;7.85;7.7;7.85;3;0
iЛевенгук;60;20170323;130000;7.5;7.7;7.45;7.7;5;0
iЛевенгук;60;20170323;140000;7.8;7.8;7.8;7.8;1;0
iЛевенгук;60;20170324;160000;7.6;7.6;7.6;7.6;1;0
iЛевенгук;60;20170330;180000;7.9;7.9;7.9;7.9;1;0
iЛевенгук;60;20170331;100000;7.75;7.75;7.75;7.75;1;0
iЛевенгук;60;20170411;110000;7.9;7.9;7.6;7.6;3;0
iЛевенгук;60;20170411;160000;7.6;7.6;7.6;7.6;5;0
iЛевенгук;60;20170413;100000;7.25;7.25;7.25;7.25;1;0
iЛевенгук;60;20170413;180000;7.3;7.3;7.3;7.3;1;0
iЛевенгук;60;20170414;160000;7.3;7.3;7.3;7.3;1;0
iЛевенгук;60;20170414;170000;7.25;7.25;7.25;7.25;1;0
iЛевенгук;60;20170417;100000;7.35;7.35;7.35;7.35;1;0
iЛевенгук;60;20170417;130000;7.45;7.45;7.45;7.45;1;0
iЛевенгук;60;20170417;180000;7.5;7.6;7.5;7.6;2;0
iЛевенгук;60;20170419;100000;6.9;7.75;6.9;7.75;3;0
iЛевенгук;60;20170419;110000;6.6;7.5;6.6;7.5;4;0
iЛевенгук;60;20170419;160000;7.45;7.45;7.25;7.25;5;0
iЛевенгук;60;20170420;100000;7.45;7.45;7.45;7.45;1;0
iЛевенгук;60;20170425;150000;7.35;7.35;7.05;7.05;7;0
iЛевенгук;60;20170428;180000;7.45;7.45;7.45;7.45;1;0
iЛевенгук;60;20170502;180000;7.3;7.3;7.3;7.3;1;0
iЛевенгук;60;20170503;100000;6.3;6.3;6.3;6.3;1;0
iЛевенгук;60;20170503;110000;7.45;7.45;7.45;7.45;1;0
iЛевенгук;60;20170504;110000;7.15;7.15;7.15;7.15;1;0
iЛевенгук;60;20170504;180000;7.3;7.3;7.3;7.3;1;0
iЛевенгук;60;20170505;180000;7.3;7.3;7.3;7.3;10;0
iЛевенгук;60;20170510;120000;7.3;7.3;7.3;7.3;6;0
iЛевенгук;60;20170510;140000;7.3;7.3;7.3;7.3;5;0
iЛевенгук;60;20170510;170000;7.25;7.25;7.1;7.1;5;0
iЛевенгук;60;20170511;100000;7.2;7.2;7.2;7.2;1;0
iЛевенгук;60;20170515;100000;7;7;7;7;1;0
iЛевенгук;60;20170516;120000;7.1;7.25;7.1;7.25;4;0
iЛевенгук;60;20170518;130000;7.2;7.2;7.2;7.2;1;0
iЛевенгук;60;20170519;100000;5.8;5.8;5.8;5.8;2;0
iЛевенгук;60;20170519;160000;7.15;7.15;7.15;7.15;1;0
iЛевенгук;60;20170519;170000;6.3;6.3;6.3;6.3;1;0
iЛевенгук;60;20170519;180000;6.35;7.2;6.35;7.2;2;0
iЛевенгук;60;20170523;170000;7.15;7.2;7.15;7.2;4;0
iЛевенгук;60;20170529;100000;7.25;7.25;7.25;7.25;1;0
iЛевенгук;60;20170530;100000;7.15;7.15;6.95;6.95;5;0
iЛевенгук;60;20170530;110000;7.05;7.1;7.05;7.1;3;0
iЛевенгук;60;20170530;170000;7;7;7;7;407;0
iЛевенгук;60;20170531;110000;7;7;7;7;1;0
iЛевенгук;60;20170531;170000;6.95;6.95;6.95;6.95;1;0
iЛевенгук;60;20170602;120000;6.9;6.9;6.9;6.9;1;0
iЛевенгук;60;20170605;100000;7.05;7.05;7.05;7.05;1;0
iЛевенгук;60;20170607;100000;7.1;7.1;7.1;7.1;1;0
iЛевенгук;60;20170608;100000;7.1;7.1;7.1;7.1;1;0
iЛевенгук;60;20170613;100000;7.05;7.05;7.05;7.05;1;0
iЛевенгук;60;20170613;120000;7.15;7.15;7.15;7.15;1;0
iЛевенгук;60;20170613;150000;7.05;7.05;5.35;6.95;7;0
iЛевенгук;60;20170613;170000;7;7;7;7;2;0
iЛевенгук;60;20170615;150000;7.1;7.1;6.95;6.95;4;0
iЛевенгук;60;20170615;160000;6.9;6.9;6.9;6.9;1;0
iЛевенгук;60;20170615;180000;6.8;6.8;6.8;6.8;1;0
iЛевенгук;60;20170616;130000;7;7;7;7;1;0
iЛевенгук;60;20170616;170000;7.05;7.05;7.05;7.05;1;0
iЛевенгук;60;20170619;110000;7.25;7.35;7.25;7.35;6;0
iЛевенгук;60;20170619;120000;7.1;7.1;7.1;7.1;1;0
iЛевенгук;60;20170619;140000;7;7.05;6.95;7.05;3;0
iЛевенгук;60;20170623;150000;7.1;7.1;7.1;7.1;1;0
iЛевенгук;60;20170623;170000;7.05;7.05;7.05;7.05;1;0
iЛевенгук;60;20170626;180000;7.1;7.1;7.1;7.1;1;0
iЛевенгук;60;20170627;180000;7.1;7.1;7.1;7.1;1;0
iЛевенгук;60;20170628;110000;7.15;7.15;7.15;7.15;1;0
iЛевенгук;60;20170628;170000;7.05;7.05;7.05;7.05;1;0
iЛевенгук;60;20170630;100000;7.05;7.05;5.4;6.8;87;0
iЛевенгук;60;20170630;110000;6.65;6.7;6.55;6.7;6;0
iЛевенгук;60;20170630;160000;6.7;6.7;6.65;6.65;4;0
iЛевенгук;60;20170630;180000;6.75;6.75;6.75;6.75;1;0
iЛевенгук;60;20170703;100000;6.8;6.8;6.8;6.8;1;0
iЛевенгук;60;20170703;110000;6.85;6.9;6.7;6.7;4;0
iЛевенгук;60;20170703;120000;6.7;6.7;6.7;6.7;1;0
iЛевенгук;60;20170703;130000;6.65;6.65;6.6;6.6;2;0
iЛевенгук;60;20170703;140000;6.75;6.75;6.6;6.7;5;0
iЛевенгук;60;20170703;180000;6.6;6.6;6.6;6.6;1;0
iЛевенгук;60;20170704;130000;6.7;6.8;6.7;6.7;4;0
iЛевенгук;60;20170706;100000;6.8;6.85;6.8;6.85;2;0
iЛевенгук;60;20170707;100000;6.9;6.95;6.9;6.95;16;0
iЛевенгук;60;20170707;180000;6.95;6.95;6.95;6.95;1;0
iЛевенгук;60;20170710;120000;7;9.1;7;7.05;31;0
iЛевенгук;60;20170710;130000;7;7.15;7;7;7;0
iЛевенгук;60;20170710;140000;7;7;6.9;6.9;2;0
iЛевенгук;60;20170710;150000;6.9;6.9;6.9;6.9;1;0
iЛевенгук;60;20170710;180000;7.05;7.05;7.05;7.05;1;0
iЛевенгук;60;20170711;170000;6.9;6.9;6.9;6.9;1;0
iЛевенгук;60;20170712;180000;7.05;7.05;6.55;6.55;4;0
iЛевенгук;60;20170714;100000;6.95;6.95;6.95;6.95;1;0
iЛевенгук;60;20170714;140000;7;7;7;7;1;0
iЛевенгук;60;20170714;180000;7;7;7;7;1;0
iЛевенгук;60;20170717;110000;6.85;6.85;6.85;6.85;2;0
iЛевенгук;60;20170717;130000;7;7;7;7;1;0
iЛевенгук;60;20170717;150000;6.8;6.8;6.8;6.8;2;0
iЛевенгук;60;20170719;100000;7;7.05;7;7.05;2;0
iЛевенгук;60;20170719;130000;6.85;6.85;6.8;6.8;3;0
iЛевенгук;60;20170721;120000;7.2;7.2;7.2;7.2;1;0
iЛевенгук;60;20170724;100000;7;7;7;7;1;0
iЛевенгук;60;20170724;120000;7;7.4;7;7.4;16;0
