<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
iМультиСис;60;20170124;160000;11.05;11.05;11.05;11.05;12;0
iМультиСис;60;20170124;180000;11.05;11.05;11.05;11.05;1;0
iМультиСис;60;20170125;120000;11;11;11;11;1;0
iМультиСис;60;20170125;130000;11;11;11;11;1;0
iМультиСис;60;20170126;100000;11.3;11.3;11.3;11.3;1;0
iМультиСис;60;20170126;140000;11.3;11.3;11.3;11.3;4;0
iМультиСис;60;20170201;140000;11.75;11.75;11;11;2;0
iМультиСис;60;20170201;160000;11.2;11.2;11.2;11.2;1;0
iМультиСис;60;20170201;170000;11;11;11;11;1;0
iМультиСис;60;20170201;180000;10.85;10.85;10.85;10.85;1;0
iМультиСис;60;20170202;100000;11;11;11;11;1;0
iМультиСис;60;20170203;110000;11.5;11.5;11.5;11.5;1;0
iМультиСис;60;20170203;180000;11;11;11;11;2;0
iМультиСис;60;20170207;100000;11.5;13.5;10.35;12;18;0
iМультиСис;60;20170207;110000;11.95;11.95;11.95;11.95;2;0
iМультиСис;60;20170207;130000;11.1;11.1;10.3;10.85;41;0
iМультиСис;60;20170207;160000;10.8;10.85;10.8;10.85;2;0
iМультиСис;60;20170207;170000;10.75;10.75;10.75;10.75;1;0
iМультиСис;60;20170207;180000;11.2;11.45;11.2;11.45;5;0
iМультиСис;60;20170208;100000;10.5;10.5;10.5;10.5;1;0
iМультиСис;60;20170208;140000;11;11;11;11;1;0
iМультиСис;60;20170208;180000;10.95;10.95;10.95;10.95;1;0
iМультиСис;60;20170209;170000;10.9;10.9;10.85;10.85;2;0
iМультиСис;60;20170210;100000;11.85;11.85;11.85;11.85;2;0
iМультиСис;60;20170210;130000;11.3;11.3;11.3;11.3;1;0
iМультиСис;60;20170213;140000;11;11;11;11;1;0
iМультиСис;60;20170213;150000;11;11;11;11;1;0
iМультиСис;60;20170213;160000;10.95;10.95;10.95;10.95;1;0
iМультиСис;60;20170214;100000;11.8;11.85;11.25;11.25;5;0
iМультиСис;60;20170214;110000;11.05;11.05;11.05;11.05;1;0
iМультиСис;60;20170214;160000;10.9;10.9;10.9;10.9;1;0
iМультиСис;60;20170216;100000;10.9;10.9;10.85;10.85;2;0
iМультиСис;60;20170216;120000;11;11;11;11;4;0
iМультиСис;60;20170216;150000;10.85;10.85;10.85;10.85;1;0
iМультиСис;60;20170217;180000;11;11;11;11;101;0
iМультиСис;60;20170220;170000;11.1;11.1;11.1;11.1;1;0
iМультиСис;60;20170221;110000;10.95;10.95;10.95;10.95;1;0
iМультиСис;60;20170222;140000;10.9;10.9;10.3;10.3;8;0
iМультиСис;60;20170222;160000;10.85;10.85;10.85;10.85;1;0
iМультиСис;60;20170222;180000;10.9;10.9;10.9;10.9;1;0
iМультиСис;60;20170227;160000;10.95;10.95;10.95;10.95;1;0
iМультиСис;60;20170227;170000;10.75;10.75;10.75;10.75;1;0
iМультиСис;60;20170227;180000;10.95;10.95;10.95;10.95;2;0
iМультиСис;60;20170228;100000;10.3;10.3;10.3;10.3;1;0
iМультиСис;60;20170228;130000;10.1;10.1;10.05;10.05;5;0
iМультиСис;60;20170301;170000;10;10;10;10;1;0
iМультиСис;60;20170302;140000;10.75;10.75;10.75;10.75;1;0
iМультиСис;60;20170302;160000;10.85;10.85;10;10;12;0
iМультиСис;60;20170303;110000;10.85;10.85;10.85;10.85;4;0
iМультиСис;60;20170303;170000;10.8;10.8;10.8;10.8;2;0
iМультиСис;60;20170309;100000;10.05;10.05;10.05;10.05;2;0
iМультиСис;60;20170313;100000;10.8;11.95;10.2;10.25;25;0
iМультиСис;60;20170313;150000;10.25;10.25;10.25;10.25;1;0
iМультиСис;60;20170313;160000;10.05;10.05;10.05;10.05;1;0
iМультиСис;60;20170314;100000;10.75;13.35;10.75;13.35;8;0
iМультиСис;60;20170314;110000;11;11;10.95;10.95;176;0
iМультиСис;60;20170314;180000;10.2;10.95;10.1;10.3;9;0
iМультиСис;60;20170315;100000;10.8;12.25;10.4;11;12;0
iМультиСис;60;20170316;100000;11.65;11.65;11.65;11.65;1;0
