<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
iНПОНаука;60;20170126;180000;271;271;271;271;2;0
iНПОНаука;60;20170127;160000;270;270;270;270;4;0
iНПОНаука;60;20170130;110000;264;264;263;263;2;0
iНПОНаука;60;20170130;150000;268;269;268;269;2;0
iНПОНаука;60;20170130;170000;270;270;270;270;2;0
iНПОНаука;60;20170202;130000;270;270;264;270;9;0
iНПОНаука;60;20170203;100000;265;265;260;260;2;0
iНПОНаука;60;20170203;130000;270;270;270;270;1;0
iНПОНаука;60;20170207;110000;264;264;264;264;1;0
iНПОНаука;60;20170207;180000;263;263;260;260;4;0
iНПОНаука;60;20170213;100000;260;260;260;260;1;0
iНПОНаука;60;20170215;150000;266;269;266;269;4;0
iНПОНаука;60;20170216;090000;265;265;265;265;1;0
iНПОНаука;60;20170217;090000;265;265;265;265;1;0
iНПОНаука;60;20170220;160000;265;265;260;260;2;0
iНПОНаука;60;20170221;110000;265;265;265;265;1;0
iНПОНаука;60;20170221;130000;265;265;265;265;1;0
iНПОНаука;60;20170222;110000;265;265;265;265;1;0
iНПОНаука;60;20170301;130000;247;247;247;247;1;0
iНПОНаука;60;20170302;100000;264;264;264;264;1;0
iНПОНаука;60;20170310;140000;263;263;261;261;3;0
iНПОНаука;60;20170313;140000;260;269;260;264;8;0
iНПОНаука;60;20170313;150000;269;269;269;269;1;0
iНПОНаука;60;20170314;120000;265;265;265;265;2;0
iНПОНаука;60;20170314;130000;265;273;265;266;8;0
iНПОНаука;60;20170314;140000;254;269;203;260;44;0
iНПОНаука;60;20170314;150000;260;261;260;261;5;0
iНПОНаука;60;20170314;170000;237;270;237;270;4;0
iНПОНаука;60;20170315;100000;271;271;255;255;2;0
iНПОНаука;60;20170315;110000;255;255;255;255;2;0
iНПОНаука;60;20170315;130000;231;250;227;227;14;0
iНПОНаука;60;20170315;140000;245;260;235;240;9;0
iНПОНаука;60;20170315;150000;240;240;240;240;1;0
iНПОНаука;60;20170316;150000;259;259;245;255;4;0
iНПОНаука;60;20170317;120000;259;265;259;265;3;0
iНПОНаука;60;20170321;130000;271;271;271;271;1;0
iНПОНаука;60;20170324;130000;258;258;212;225;61;0
iНПОНаука;60;20170324;140000;227;242;227;242;22;0
iНПОНаука;60;20170324;150000;235;235;235;235;1;0
iНПОНаука;60;20170324;160000;240;240;240;240;2;0
iНПОНаука;60;20170324;170000;240;240;240;240;4;0
iНПОНаука;60;20170324;180000;236;241;235;240;12;0
iНПОНаука;60;20170327;110000;235;235;235;235;1;0
iНПОНаука;60;20170327;120000;242;246;242;245;4;0
iНПОНаука;60;20170327;130000;239;240;228;240;6;0
iНПОНаука;60;20170327;140000;231;231;231;231;1;0
iНПОНаука;60;20170327;160000;234;253;234;244;13;0
iНПОНаука;60;20170327;170000;244;244;244;244;2;0
iНПОНаука;60;20170327;180000;240;240;200;228;90;0
iНПОНаука;60;20170328;100000;219;219;219;219;1;0
iНПОНаука;60;20170328;110000;222;232;222;232;11;0
iНПОНаука;60;20170328;130000;223;223;203;210;26;0
iНПОНаука;60;20170328;140000;209;221;203;219;22;0
iНПОНаука;60;20170328;150000;215;215;215;215;1;0
iНПОНаука;60;20170328;160000;219;228;219;228;8;0
iНПОНаука;60;20170329;100000;229;231;229;231;10;0
iНПОНаука;60;20170329;170000;224;225;202;211;58;0
iНПОНаука;60;20170329;180000;210;210;205;205;3;0
iНПОНаука;60;20170330;110000;207;216;203;210;10;0
iНПОНаука;60;20170330;120000;209;209;208;208;2;0
iНПОНаука;60;20170330;130000;212;212;212;212;3;0
iНПОНаука;60;20170331;100000;212;213;212;213;3;0
iНПОНаука;60;20170331;140000;208;208;200;200;10;0
iНПОНаука;60;20170331;150000;200;200;200;200;1;0
iНПОНаука;60;20170331;170000;206;206;200;200;3;0
iНПОНаука;60;20170403;110000;200;200;200;200;1;0
iНПОНаука;60;20170403;120000;207;207;207;207;1;0
iНПОНаука;60;20170403;150000;200;200;200;200;1;0
iНПОНаука;60;20170403;170000;199;199;190;190;5;0
iНПОНаука;60;20170403;180000;195;198;195;198;2;0
iНПОНаука;60;20170404;100000;194;194;193;193;2;0
iНПОНаука;60;20170404;130000;197;197;197;197;1;0
iНПОНаука;60;20170404;160000;198;198;198;198;1;0
iНПОНаука;60;20170404;170000;194;194;190;190;3;0
iНПОНаука;60;20170404;180000;197;198;197;198;2;0
iНПОНаука;60;20170405;100000;194;194;193;193;3;0
iНПОНаука;60;20170405;110000;191;195;189;195;11;0
iНПОНаука;60;20170405;140000;194;195;194;195;6;0
iНПОНаука;60;20170405;150000;197;197;197;197;1;0
iНПОНаука;60;20170405;180000;198;198;198;198;1;0
iНПОНаука;60;20170406;170000;195;195;188;188;7;0
iНПОНаука;60;20170407;110000;190;190;190;190;2;0
iНПОНаука;60;20170407;150000;188;188;186;186;4;0
iНПОНаука;60;20170407;160000;186;188;185;185;6;0
iНПОНаука;60;20170410;120000;183;183;180;180;5;0
iНПОНаука;60;20170411;100000;183;183;183;183;2;0
iНПОНаука;60;20170411;110000;179;179;179;179;5;0
iНПОНаука;60;20170411;120000;182;225;182;215;27;0
iНПОНаука;60;20170411;130000;202;204;200;204;6;0
iНПОНаука;60;20170411;160000;199;199;193;194;5;0
iНПОНаука;60;20170411;180000;189;189;183;187;9;0
iНПОНаука;60;20170412;110000;188;188;180;180;7;0
iНПОНаука;60;20170412;120000;179;179;178;178;12;0
iНПОНаука;60;20170412;140000;183;183;183;183;1;0
iНПОНаука;60;20170412;170000;180;180;180;180;1;0
iНПОНаука;60;20170413;110000;181;181;181;181;1;0
iНПОНаука;60;20170414;110000;183;184;183;184;2;0
iНПОНаука;60;20170414;120000;184;184;184;184;1;0
iНПОНаука;60;20170414;140000;184;184;184;184;1;0
iНПОНаука;60;20170414;170000;180;180;180;180;1;0
