<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
iНаукаСвяз;60;20170124;160000;349;349;349;349;1;0
iНаукаСвяз;60;20170126;130000;353;353;350;350;3;0
iНаукаСвяз;60;20170126;140000;350;350;350;350;1;0
iНаукаСвяз;60;20170127;160000;364;364;364;364;1;0
iНаукаСвяз;60;20170130;150000;386;386;386;386;1;0
iНаукаСвяз;60;20170202;130000;370;370;370;370;1;0
iНаукаСвяз;60;20170202;160000;360;360;360;360;1;0
iНаукаСвяз;60;20170203;100000;380;380;380;380;1;0
iНаукаСвяз;60;20170203;110000;353;353;353;353;1;0
iНаукаСвяз;60;20170206;160000;359;359;359;359;1;0
iНаукаСвяз;60;20170206;180000;357;393;340;393;11;0
iНаукаСвяз;60;20170207;160000;391;391;391;391;1;0
iНаукаСвяз;60;20170210;100000;355;364;355;364;2;0
iНаукаСвяз;60;20170215;130000;353;358;353;358;2;0
iНаукаСвяз;60;20170221;180000;346;349;346;349;2;0
iНаукаСвяз;60;20170224;150000;393;393;320;323;9;0
iНаукаСвяз;60;20170224;180000;314;317;313;317;3;0
iНаукаСвяз;60;20170313;180000;345;345;345;345;1;0
iНаукаСвяз;60;20170314;180000;382;387;382;387;23;0
iНаукаСвяз;60;20170316;130000;377;377;377;377;1;0
iНаукаСвяз;60;20170316;160000;367;367;367;367;1;0
iНаукаСвяз;60;20170331;120000;315;315;315;315;1;0
iНаукаСвяз;60;20170403;100000;335;335;335;335;2;0
iНаукаСвяз;60;20170412;130000;300;300;300;300;1;0
iНаукаСвяз;60;20170412;160000;309;309;306;306;2;0
iНаукаСвяз;60;20170412;180000;290;290;290;290;4;0
iНаукаСвяз;60;20170413;100000;250;263;250;263;6;0
iНаукаСвяз;60;20170413;110000;266;266;266;266;3;0
iНаукаСвяз;60;20170413;120000;274;274;274;274;1;0
iНаукаСвяз;60;20170413;140000;275;275;275;275;1;0
iНаукаСвяз;60;20170413;170000;271;271;271;271;1;0
iНаукаСвяз;60;20170413;180000;270;270;270;270;3;0
