<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
iРоллман;60;20170124;100000;122;123;120;120;14;0
iРоллман;60;20170124;110000;120;120;120;120;13;0
iРоллман;60;20170124;120000;120;121;120;121;21;0
iРоллман;60;20170124;130000;121;122;120;120;31;0
iРоллман;60;20170124;140000;120;120;120;120;3;0
iРоллман;60;20170124;160000;120;122;120;122;47;0
iРоллман;60;20170124;170000;121;121;120;120;24;0
iРоллман;60;20170124;180000;122;122;122;122;2;0
iРоллман;60;20170125;100000;122;122;121;122;24;0
iРоллман;60;20170125;110000;121;121;121;121;1;0
iРоллман;60;20170125;120000;120;121;120;121;45;0
iРоллман;60;20170125;130000;120;121;120;121;13;0
iРоллман;60;20170125;140000;120;121;120;121;11;0
iРоллман;60;20170125;150000;121;121;121;121;13;0
iРоллман;60;20170125;160000;121;123;120;122;184;0
iРоллман;60;20170125;170000;120;121;120;121;4;0
iРоллман;60;20170126;100000;120;120;120;120;8;0
iРоллман;60;20170126;110000;121;121;121;121;2;0
iРоллман;60;20170126;120000;120;120;120;120;2;0
iРоллман;60;20170126;130000;121;127;121;124;172;0
iРоллман;60;20170126;140000;124;124;123;123;35;0
iРоллман;60;20170126;150000;122;123;122;123;6;0
iРоллман;60;20170126;170000;121;121;121;121;2;0
iРоллман;60;20170126;180000;120;122;120;122;116;0
iРоллман;60;20170127;100000;121;121;120;121;47;0
iРоллман;60;20170127;110000;121;121;120;121;32;0
iРоллман;60;20170127;120000;120;121;118;121;124;0
iРоллман;60;20170127;130000;120;120;120;120;10;0
iРоллман;60;20170127;140000;119;119;119;119;1;0
iРоллман;60;20170127;150000;120;120;120;120;1;0
iРоллман;60;20170127;160000;120;120;118;118;42;0
iРоллман;60;20170127;170000;120;120;119;119;28;0
iРоллман;60;20170127;180000;120;120;120;120;7;0
iРоллман;60;20170130;100000;121;121;121;121;2;0
iРоллман;60;20170130;110000;120;121;120;121;9;0
iРоллман;60;20170130;120000;120;120;120;120;4;0
iРоллман;60;20170130;130000;120;120;120;120;7;0
