<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
iФармсинтз;60;20170124;100000;16.2;16.2;16.2;16.2;5;0
iФармсинтз;60;20170124;130000;16.25;16.25;16.25;16.25;4;0
iФармсинтз;60;20170125;110000;16.05;16.05;15.75;15.75;20;0
iФармсинтз;60;20170125;120000;16.25;16.25;16.25;16.25;1;0
iФармсинтз;60;20170125;140000;16;16;16;16;21;0
iФармсинтз;60;20170125;160000;15.95;16.15;15.85;16.15;30;0
iФармсинтз;60;20170125;170000;15.95;16.2;15.85;16.2;12;0
iФармсинтз;60;20170125;180000;16;16.2;16;16.15;8;0
iФармсинтз;60;20170126;100000;15.95;15.95;15.95;15.95;1;0
iФармсинтз;60;20170126;120000;15.95;15.95;15.9;15.9;4;0
iФармсинтз;60;20170126;130000;16.1;16.25;16.05;16.05;21;0
iФармсинтз;60;20170127;100000;16;16.2;15.95;16.2;22;0
iФармсинтз;60;20170127;110000;16;16;15.9;15.9;30;0
iФармсинтз;60;20170127;130000;16.1;16.15;16.1;16.15;7;0
iФармсинтз;60;20170127;150000;16.05;16.05;15.9;15.9;30;0
iФармсинтз;60;20170127;160000;16.05;16.05;16.05;16.05;1;0
iФармсинтз;60;20170130;100000;16;16;15.9;15.9;4;0
iФармсинтз;60;20170130;110000;16;16;15.75;15.9;18;0
iФармсинтз;60;20170130;130000;15.95;16;15.9;15.9;19;0
iФармсинтз;60;20170130;150000;16;16;15.9;15.9;7;0
iФармсинтз;60;20170130;160000;15.85;15.9;15.8;15.9;4;0
iФармсинтз;60;20170130;180000;15.95;15.95;15.95;15.95;1;0
iФармсинтз;60;20170131;100000;15.9;15.9;15.9;15.9;1;0
iФармсинтз;60;20170131;110000;15.85;15.85;15.8;15.8;23;0
iФармсинтз;60;20170131;120000;15.8;15.8;15.8;15.8;3;0
iФармсинтз;60;20170131;130000;15.85;15.9;15.85;15.9;2;0
iФармсинтз;60;20170131;150000;16;16;15.85;15.85;10;0
iФармсинтз;60;20170131;160000;15.8;15.8;15.75;15.75;10;0
iФармсинтз;60;20170131;170000;15.7;15.85;15.7;15.85;12;0
iФармсинтз;60;20170131;180000;15.75;15.9;15.7;15.9;19;0
iФармсинтз;60;20170201;100000;15.95;16.95;15.9;15.9;113;0
iФармсинтз;60;20170201;120000;15.9;15.9;15.85;15.85;11;0
iФармсинтз;60;20170201;130000;15.8;15.9;15.8;15.9;3;0
iФармсинтз;60;20170201;160000;15.95;15.95;15.95;15.95;1;0
iФармсинтз;60;20170203;130000;15.9;15.9;15.5;15.9;101;0
iФармсинтз;60;20170203;140000;15.9;15.9;15.9;15.9;69;0
iФармсинтз;60;20170203;170000;15.8;15.8;15.5;15.65;180;0
iФармсинтз;60;20170203;180000;15.65;16;15.65;16;18;0
iФармсинтз;60;20170206;110000;15.8;15.8;15.8;15.8;2;0
iФармсинтз;60;20170206;120000;15.85;15.85;15.7;15.7;40;0
iФармсинтз;60;20170206;160000;15.75;15.75;15.6;15.7;49;0
iФармсинтз;60;20170206;180000;15.8;15.95;15.8;15.95;6;0
iФармсинтз;60;20170207;100000;15.8;15.9;15.8;15.9;7;0
iФармсинтз;60;20170207;110000;15.75;15.75;15.75;15.75;1;0
iФармсинтз;60;20170207;120000;15.75;16;15.75;16;53;0
iФармсинтз;60;20170207;130000;16;16;16;16;7;0
iФармсинтз;60;20170207;140000;15.85;15.85;15.85;15.85;2;0
iФармсинтз;60;20170207;170000;15.85;15.85;15.85;15.85;21;0
iФармсинтз;60;20170207;180000;15.95;16.05;15.95;16;4;0
iФармсинтз;60;20170208;100000;15.95;15.95;15.9;15.9;7;0
iФармсинтз;60;20170208;140000;15.85;15.85;15.85;15.85;13;0
iФармсинтз;60;20170208;150000;15.8;15.8;15.8;15.8;2;0
iФармсинтз;60;20170208;160000;15.75;15.8;15.75;15.8;2;0
iФармсинтз;60;20170208;170000;15.85;15.85;15.5;15.5;23;0
iФармсинтз;60;20170208;180000;15.8;15.85;15.8;15.85;2;0
iФармсинтз;60;20170209;120000;15.7;15.7;15.65;15.65;2;0
iФармсинтз;60;20170209;130000;15.75;15.75;15.75;15.75;3;0
iФармсинтз;60;20170209;180000;15.8;15.8;15.8;15.8;1;0
iФармсинтз;60;20170210;100000;15.8;15.8;15.8;15.8;1;0
iФармсинтз;60;20170210;110000;15.85;15.95;15.85;15.95;25;0
iФармсинтз;60;20170210;120000;15.7;15.7;15;15.55;159;0
iФармсинтз;60;20170210;130000;15.95;15.95;15.95;15.95;1;0
iФармсинтз;60;20170210;140000;15.9;15.9;15.85;15.85;2;0
iФармсинтз;60;20170210;180000;15.3;15.3;15.3;15.3;5;0
iФармсинтз;60;20170213;100000;15.7;15.75;15.7;15.75;11;0
iФармсинтз;60;20170213;160000;15.75;15.75;15.75;15.75;9;0
iФармсинтз;60;20170213;170000;15.45;15.75;15.2;15.75;16;0
iФармсинтз;60;20170213;180000;15.65;15.7;15.65;15.7;2;0
iФармсинтз;60;20170214;110000;15.85;15.85;15.85;15.85;9;0
iФармсинтз;60;20170214;120000;15.7;15.75;15.6;15.75;29;0
iФармсинтз;60;20170214;130000;15.6;15.6;15.55;15.55;3;0
iФармсинтз;60;20170214;170000;15.75;15.75;15.75;15.75;2;0
iФармсинтз;60;20170214;180000;15.5;15.5;15.5;15.5;25;0
iФармсинтз;60;20170215;100000;15.55;15.65;15.55;15.65;15;0
iФармсинтз;60;20170215;110000;15.75;15.75;15.7;15.7;42;0
iФармсинтз;60;20170215;140000;15.7;15.75;15.7;15.75;46;0
iФармсинтз;60;20170215;150000;15.75;15.75;15.75;15.75;4;0
iФармсинтз;60;20170215;160000;15.75;15.75;15.75;15.75;1;0
iФармсинтз;60;20170215;170000;15.4;15.4;15.35;15.35;9;0
iФармсинтз;60;20170215;180000;15.65;15.65;15.65;15.65;1;0
iФармсинтз;60;20170217;120000;15.6;15.6;15.6;15.6;3;0
iФармсинтз;60;20170217;140000;15.65;15.8;15.65;15.8;100;0
iФармсинтз;60;20170220;100000;15.75;15.75;15.6;15.6;37;0
iФармсинтз;60;20170220;110000;15.55;15.55;15.55;15.55;1;0
iФармсинтз;60;20170220;130000;15.7;15.75;15.7;15.75;68;0
iФармсинтз;60;20170220;150000;15.7;15.7;15.7;15.7;37;0
