<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
АВТОВАЗ ао;60;20170124;090000;11.95;11.95;11.95;11.95;52;0
АВТОВАЗ ао;60;20170124;100000;11.95;12.03;11.58;11.79;2024;0
АВТОВАЗ ао;60;20170124;110000;11.77;12.1;11.71;11.9;1797;0
АВТОВАЗ ао;60;20170124;120000;11.9;12.23;11.76;12.22;2616;0
АВТОВАЗ ао;60;20170124;130000;12.14;12.2;11.97;12.04;2633;0
АВТОВАЗ ао;60;20170124;140000;12.04;12.95;12.02;12.95;10640;0
АВТОВАЗ ао;60;20170124;150000;12.95;13.18;12.43;12.61;23000;0
АВТОВАЗ ао;60;20170124;160000;12.59;13;12.55;13;5882;0
АВТОВАЗ ао;60;20170124;170000;13;13;12.6;12.68;6016;0
АВТОВАЗ ао;60;20170124;180000;12.67;12.74;12.6;12.74;3332;0
АВТОВАЗ ао;60;20170125;100000;12.74;12.91;12.28;12.41;3606;0
АВТОВАЗ ао;60;20170125;110000;12.35;12.44;11.86;12;11581;0
АВТОВАЗ ао;60;20170125;120000;12;12.2;11.95;12.13;975;0
АВТОВАЗ ао;60;20170125;130000;12.14;12.19;12.06;12.18;547;0
АВТОВАЗ ао;60;20170125;140000;12.1;12.15;11.98;12.04;2810;0
АВТОВАЗ ао;60;20170125;150000;12.04;12.06;11.99;12;662;0
АВТОВАЗ ао;60;20170125;160000;12;12.03;12;12.01;974;0
АВТОВАЗ ао;60;20170125;170000;12.01;12.15;12;12.13;673;0
АВТОВАЗ ао;60;20170125;180000;12.12;12.29;12.12;12.17;1978;0
АВТОВАЗ ао;60;20170126;090000;12.01;12.01;12.01;12.01;17;0
АВТОВАЗ ао;60;20170126;100000;12.31;12.38;11.9;12;2021;0
АВТОВАЗ ао;60;20170126;110000;11.98;11.99;11.56;11.94;3283;0
АВТОВАЗ ао;60;20170126;120000;11.85;11.93;11.52;11.9;907;0
АВТОВАЗ ао;60;20170126;130000;11.79;11.95;11.77;11.9;1389;0
АВТОВАЗ ао;60;20170126;140000;11.93;11.95;11.85;11.9;608;0
АВТОВАЗ ао;60;20170126;150000;11.9;11.95;11.86;11.9;447;0
АВТОВАЗ ао;60;20170126;160000;11.94;11.94;11.7;11.83;537;0
АВТОВАЗ ао;60;20170126;170000;11.83;11.93;11.76;11.93;688;0
АВТОВАЗ ао;60;20170126;180000;11.9;11.92;11.88;11.92;115;0
АВТОВАЗ ао;60;20170127;100000;11.76;11.95;11.74;11.84;255;0
АВТОВАЗ ао;60;20170127;110000;11.77;11.87;11.56;11.64;998;0
АВТОВАЗ ао;60;20170127;120000;11.64;11.77;11.62;11.77;174;0
АВТОВАЗ ао;60;20170127;130000;11.76;11.78;11.65;11.7;211;0
АВТОВАЗ ао;60;20170127;140000;11.69;11.98;11.66;11.92;481;0
АВТОВАЗ ао;60;20170127;150000;11.89;12.15;11.72;11.86;4344;0
АВТОВАЗ ао;60;20170127;160000;11.82;11.9;11.7;11.86;1009;0
