<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
АВТОВАЗ ап;60;20170124;100000;5.365;5.745;5.3;5.605;40399;0
АВТОВАЗ ап;60;20170124;110000;5.61;5.765;5.575;5.695;5003;0
АВТОВАЗ ап;60;20170124;120000;5.7;6.35;5.65;6.175;40001;0
АВТОВАЗ ап;60;20170124;130000;6.2;6.235;6;6.08;11331;0
АВТОВАЗ ап;60;20170124;140000;6.08;7.1;6.055;7.1;29400;0
АВТОВАЗ ап;60;20170124;150000;7.1;7.14;6.625;6.9;15347;0
АВТОВАЗ ап;60;20170124;160000;6.86;7.13;6.85;7;11859;0
АВТОВАЗ ап;60;20170124;170000;6.975;6.98;6.775;6.835;13501;0
АВТОВАЗ ап;60;20170124;180000;6.835;6.835;6.25;6.25;24207;0
АВТОВАЗ ап;60;20170125;090000;6.25;6.25;6.25;6.25;9;0
АВТОВАЗ ап;60;20170125;100000;6.245;6.775;6.02;6.45;13966;0
АВТОВАЗ ап;60;20170125;110000;6.47;6.495;6.45;6.455;2030;0
АВТОВАЗ ап;60;20170125;120000;6.455;6.455;6.15;6.3;3642;0
АВТОВАЗ ап;60;20170125;130000;6.315;6.315;6.17;6.2;414;0
АВТОВАЗ ап;60;20170125;140000;6.2;6.205;6.15;6.18;1803;0
АВТОВАЗ ап;60;20170125;150000;6.17;6.195;6.17;6.175;290;0
АВТОВАЗ ап;60;20170125;160000;6.18;6.19;6.175;6.19;196;0
АВТОВАЗ ап;60;20170125;170000;6.235;6.25;6.17;6.175;302;0
АВТОВАЗ ап;60;20170125;180000;6.185;6.36;6.17;6.17;2078;0
АВТОВАЗ ап;60;20170126;090000;6.1;6.1;6.1;6.1;31;0
АВТОВАЗ ап;60;20170126;100000;6.1;6.195;5.935;6;3276;0
АВТОВАЗ ап;60;20170126;110000;6;6.055;5.935;5.95;788;0
АВТОВАЗ ап;60;20170126;120000;5.94;6.045;5.935;6.03;1718;0
АВТОВАЗ ап;60;20170126;130000;5.965;5.97;5.805;5.9;2000;0
АВТОВАЗ ап;60;20170126;140000;5.9;6.185;5.87;6.09;1999;0
АВТОВАЗ ап;60;20170126;150000;6.09;6.15;6.055;6.105;615;0
АВТОВАЗ ап;60;20170126;160000;6.1;6.1;5.955;5.955;1932;0
АВТОВАЗ ап;60;20170126;170000;5.99;5.99;5.94;5.94;34;0
АВТОВАЗ ап;60;20170126;180000;5.98;5.98;5.85;5.88;886;0
АВТОВАЗ ап;60;20170127;100000;5.85;5.925;5.85;5.88;250;0
АВТОВАЗ ап;60;20170127;110000;5.88;5.885;5.7;5.76;946;0
АВТОВАЗ ап;60;20170127;120000;5.74;5.81;5.735;5.81;341;0
АВТОВАЗ ап;60;20170127;130000;5.815;6;5.815;6;3469;0
АВТОВАЗ ап;60;20170127;140000;6;6.49;6;6.49;2282;0
АВТОВАЗ ап;60;20170127;150000;6.395;6.945;6.2;6.27;10435;0
АВТОВАЗ ап;60;20170127;160000;6.295;6.5;6.295;6.39;2848;0
АВТОВАЗ ап;60;20170127;170000;6.41;6.41;6.25;6.265;3402;0
АВТОВАЗ ап;60;20170127;180000;6.25;6.49;6.25;6.46;2485;0
АВТОВАЗ ап;60;20170130;100000;6.395;6.48;6.05;6.13;2811;0
АВТОВАЗ ап;60;20170130;110000;6.13;6.25;6.125;6.2;1736;0
АВТОВАЗ ап;60;20170130;120000;6.2;6.245;6.165;6.19;825;0
АВТОВАЗ ап;60;20170130;130000;6.195;6.2;6.155;6.16;578;0
АВТОВАЗ ап;60;20170130;140000;6.17;6.2;6.155;6.2;176;0
АВТОВАЗ ап;60;20170130;150000;6.2;6.25;6.18;6.18;1641;0
АВТОВАЗ ап;60;20170130;160000;6.195;6.195;6.145;6.155;352;0
АВТОВАЗ ап;60;20170130;170000;6.145;6.19;6.075;6.125;249;0
АВТОВАЗ ап;60;20170130;180000;6.14;6.17;6.075;6.17;162;0
АВТОВАЗ ап;60;20170131;100000;6.07;6.255;5.955;6.215;8660;0
АВТОВАЗ ап;60;20170131;110000;6.215;6.39;6.2;6.305;5543;0
АВТОВАЗ ап;60;20170131;120000;6.305;6.34;6.3;6.31;296;0
АВТОВАЗ ап;60;20170131;130000;6.31;6.34;6.3;6.3;1661;0
АВТОВАЗ ап;60;20170131;140000;6.33;6.335;6.3;6.33;192;0
АВТОВАЗ ап;60;20170131;150000;6.33;6.5;6.33;6.49;4973;0
АВТОВАЗ ап;60;20170131;160000;6.49;6.49;6.375;6.41;442;0
АВТОВАЗ ап;60;20170131;170000;6.4;6.4;6.33;6.33;874;0
АВТОВАЗ ап;60;20170131;180000;6.33;6.425;6.33;6.425;817;0
АВТОВАЗ ап;60;20170201;100000;6.445;6.77;6.4;6.435;3397;0
АВТОВАЗ ап;60;20170201;110000;6.45;6.45;6.36;6.37;553;0
АВТОВАЗ ап;60;20170201;120000;6.405;6.435;6.36;6.39;2315;0
АВТОВАЗ ап;60;20170201;130000;6.37;6.385;6.365;6.365;539;0
АВТОВАЗ ап;60;20170201;140000;6.365;6.39;6.365;6.37;162;0
АВТОВАЗ ап;60;20170201;150000;6.395;6.5;6.395;6.455;3817;0
АВТОВАЗ ап;60;20170201;160000;6.495;6.5;6.435;6.435;288;0
АВТОВАЗ ап;60;20170201;170000;6.43;6.43;6.4;6.415;1037;0
АВТОВАЗ ап;60;20170201;180000;6.415;6.5;6.4;6.48;522;0
АВТОВАЗ ап;60;20170202;090000;6.42;6.42;6.42;6.42;1;0
АВТОВАЗ ап;60;20170202;100000;6.47;6.47;6.4;6.41;549;0
АВТОВАЗ ап;60;20170202;110000;6.41;6.43;6.4;6.43;581;0
АВТОВАЗ ап;60;20170202;120000;6.405;6.445;6.4;6.445;480;0
АВТОВАЗ ап;60;20170202;130000;6.415;6.43;6.4;6.43;641;0
АВТОВАЗ ап;60;20170202;140000;6.405;6.425;6.4;6.42;1143;0
АВТОВАЗ ап;60;20170202;150000;6.405;6.405;6.405;6.405;1;0
АВТОВАЗ ап;60;20170202;160000;6.415;6.43;6.4;6.4;850;0
АВТОВАЗ ап;60;20170202;170000;6.4;6.43;6.4;6.42;745;0
АВТОВАЗ ап;60;20170202;180000;6.42;6.425;6.4;6.425;571;0
АВТОВАЗ ап;60;20170203;100000;6.4;6.4;6.375;6.395;260;0
