<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
АЛРОСА ао;60;20170124;090000;102;102;102;102;42;0
АЛРОСА ао;60;20170124;100000;101.99;102.81;101.55;102.68;19559;0
АЛРОСА ао;60;20170124;110000;102.68;106.7;102.54;106.12;130105;0
АЛРОСА ао;60;20170124;120000;106.11;106.9;106.09;106.68;73860;0
АЛРОСА ао;60;20170124;130000;106.68;106.8;105.71;106.25;39993;0
АЛРОСА ао;60;20170124;140000;106.24;106.33;105.86;105.95;9417;0
АЛРОСА ао;60;20170124;150000;105.95;106.1;105.79;105.91;15732;0
АЛРОСА ао;60;20170124;160000;105.95;105.96;104.8;105.44;29993;0
АЛРОСА ао;60;20170124;170000;105.48;105.5;104.8;105.02;16136;0
АЛРОСА ао;60;20170124;180000;105.02;105.25;104.8;104.81;40082;0
АЛРОСА ао;60;20170125;090000;105.5;105.5;105.5;105.5;36;0
АЛРОСА ао;60;20170125;100000;105.12;106.8;105.03;106.25;25372;0
АЛРОСА ао;60;20170125;110000;106.36;106.36;105.51;105.86;9678;0
АЛРОСА ао;60;20170125;120000;105.91;106;105.36;105.41;18627;0
АЛРОСА ао;60;20170125;130000;105.41;105.45;104.82;105.25;11949;0
АЛРОСА ао;60;20170125;140000;105.21;105.28;104.51;105;10508;0
АЛРОСА ао;60;20170125;150000;104.99;105.06;104.6;104.65;6403;0
АЛРОСА ао;60;20170125;160000;104.65;104.92;104.6;104.65;8158;0
АЛРОСА ао;60;20170125;170000;104.65;104.79;103.81;104.01;15810;0
АЛРОСА ао;60;20170125;180000;104.06;104.21;103.7;103.7;15322;0
АЛРОСА ао;60;20170126;090000;104.49;104.49;104.49;104.49;50;0
АЛРОСА ао;60;20170126;100000;104.49;105.84;104;104.89;16158;0
АЛРОСА ао;60;20170126;110000;104.94;105.07;103.8;104.66;12385;0
АЛРОСА ао;60;20170126;120000;104.66;104.75;103.83;103.83;4995;0
АЛРОСА ао;60;20170126;130000;103.86;104.7;103.53;104.31;12333;0
АЛРОСА ао;60;20170126;140000;104.38;105;104.11;104.94;6034;0
АЛРОСА ао;60;20170126;150000;104.94;105.22;104.67;105.22;11298;0
АЛРОСА ао;60;20170126;160000;105.22;105.35;104.35;104.77;6660;0
АЛРОСА ао;60;20170126;170000;104.84;105.15;104.5;104.51;7171;0
АЛРОСА ао;60;20170126;180000;104.53;105.1;104.43;104.62;10580;0
АЛРОСА ао;60;20170127;090000;104.63;104.63;104.63;104.63;65;0
АЛРОСА ао;60;20170127;100000;104.63;106.5;104.14;106.25;26212;0
АЛРОСА ао;60;20170127;110000;106.23;107.68;106.2;107.36;34989;0
