<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
АЛРОСА-Нюр;60;20170124;110000;181000;181000;181000;181000;3;0
АЛРОСА-Нюр;60;20170124;120000;180000;180000;180000;180000;1;0
АЛРОСА-Нюр;60;20170124;130000;180000;180000;180000;180000;1;0
АЛРОСА-Нюр;60;20170124;140000;180000;180000;180000;180000;3;0
АЛРОСА-Нюр;60;20170126;100000;173500;179500;173500;179500;2;0
АЛРОСА-Нюр;60;20170126;120000;179000;179000;178500;178500;4;0
АЛРОСА-Нюр;60;20170126;160000;178500;178500;178500;178500;1;0
АЛРОСА-Нюр;60;20170126;170000;180000;180000;180000;180000;1;0
АЛРОСА-Нюр;60;20170126;180000;181000;181000;181000;181000;1;0
АЛРОСА-Нюр;60;20170127;120000;180000;180000;180000;180000;1;0
АЛРОСА-Нюр;60;20170127;140000;180000;180000;180000;180000;1;0
АЛРОСА-Нюр;60;20170127;150000;180000;180000;180000;180000;5;0
АЛРОСА-Нюр;60;20170130;120000;178500;178500;178500;178500;1;0
АЛРОСА-Нюр;60;20170130;180000;178000;178000;178000;178000;1;0
АЛРОСА-Нюр;60;20170131;160000;178500;178500;178000;178000;7;0
АЛРОСА-Нюр;60;20170201;160000;178000;178000;178000;178000;1;0
АЛРОСА-Нюр;60;20170202;100000;178000;179500;178000;179000;6;0
АЛРОСА-Нюр;60;20170202;120000;179500;179500;179500;179500;1;0
АЛРОСА-Нюр;60;20170203;110000;180000;180000;180000;180000;1;0
АЛРОСА-Нюр;60;20170203;140000;180000;180000;179500;179500;3;0
АЛРОСА-Нюр;60;20170206;100000;178500;178500;178500;178500;2;0
АЛРОСА-Нюр;60;20170207;110000;178000;178000;178000;178000;3;0
АЛРОСА-Нюр;60;20170207;120000;178500;178500;178500;178500;1;0
АЛРОСА-Нюр;60;20170207;150000;178500;178500;178500;178500;2;0
АЛРОСА-Нюр;60;20170208;100000;178500;178500;178500;178500;1;0
АЛРОСА-Нюр;60;20170208;110000;178000;178000;178000;178000;1;0
АЛРОСА-Нюр;60;20170208;120000;178000;178000;178000;178000;1;0
АЛРОСА-Нюр;60;20170208;140000;178000;178000;178000;178000;4;0
АЛРОСА-Нюр;60;20170208;150000;177500;177500;177500;177500;2;0
АЛРОСА-Нюр;60;20170208;170000;177500;177500;177500;177500;1;0
АЛРОСА-Нюр;60;20170209;150000;178000;178000;178000;178000;1;0
АЛРОСА-Нюр;60;20170209;170000;176500;176500;162000;169000;31;0
АЛРОСА-Нюр;60;20170209;180000;169000;171000;169000;170000;12;0
АЛРОСА-Нюр;60;20170210;100000;175000;175000;171000;171000;2;0
АЛРОСА-Нюр;60;20170210;120000;171000;171000;171000;171000;1;0
АЛРОСА-Нюр;60;20170210;150000;174000;174000;174000;174000;1;0
АЛРОСА-Нюр;60;20170213;100000;175000;175000;175000;175000;1;0
АЛРОСА-Нюр;60;20170213;180000;174500;174500;174500;174500;1;0
АЛРОСА-Нюр;60;20170214;150000;173000;173000;173000;173000;1;0
АЛРОСА-Нюр;60;20170214;170000;170500;170500;170500;170500;1;0
АЛРОСА-Нюр;60;20170215;100000;170000;170000;165000;165000;9;0
АЛРОСА-Нюр;60;20170215;110000;166000;166000;165000;165000;9;0
АЛРОСА-Нюр;60;20170215;120000;169500;169500;169500;169500;1;0
АЛРОСА-Нюр;60;20170215;140000;169500;169500;169500;169500;1;0
АЛРОСА-Нюр;60;20170215;160000;167500;167500;167500;167500;1;0
АЛРОСА-Нюр;60;20170216;100000;170000;170000;170000;170000;1;0
АЛРОСА-Нюр;60;20170216;150000;170000;170000;168500;168500;2;0
АЛРОСА-Нюр;60;20170216;180000;170000;170000;170000;170000;1;0
АЛРОСА-Нюр;60;20170217;100000;172500;186500;172500;186500;2;0
АЛРОСА-Нюр;60;20170217;120000;178000;178000;178000;178000;1;0
АЛРОСА-Нюр;60;20170217;170000;173500;173500;173000;173000;2;0
АЛРОСА-Нюр;60;20170217;180000;176500;176500;176500;176500;1;0
АЛРОСА-Нюр;60;20170221;140000;172000;172000;172000;172000;1;0
АЛРОСА-Нюр;60;20170221;170000;172000;172000;172000;172000;2;0
АЛРОСА-Нюр;60;20170221;180000;170000;170000;170000;170000;2;0
АЛРОСА-Нюр;60;20170222;120000;175000;175000;175000;175000;2;0
АЛРОСА-Нюр;60;20170224;100000;174000;174000;174000;174000;1;0
АЛРОСА-Нюр;60;20170224;110000;166000;166000;166000;166000;1;0
АЛРОСА-Нюр;60;20170224;150000;168500;168500;168500;168500;1;0
АЛРОСА-Нюр;60;20170224;160000;168000;168000;168000;168000;1;0
АЛРОСА-Нюр;60;20170224;180000;172000;172000;172000;172000;1;0
АЛРОСА-Нюр;60;20170227;110000;172500;172500;171000;171000;2;0
АЛРОСА-Нюр;60;20170227;180000;169000;169000;168000;168000;2;0
АЛРОСА-Нюр;60;20170228;100000;165500;165500;164500;164500;3;0
АЛРОСА-Нюр;60;20170228;110000;172000;172000;172000;172000;1;0
АЛРОСА-Нюр;60;20170301;130000;167500;167500;167500;167500;1;0
АЛРОСА-Нюр;60;20170302;140000;168000;168000;168000;168000;2;0
АЛРОСА-Нюр;60;20170302;150000;169000;169000;169000;169000;1;0
АЛРОСА-Нюр;60;20170302;160000;169500;169500;169500;169500;1;0
АЛРОСА-Нюр;60;20170302;180000;170000;170000;170000;170000;1;0
АЛРОСА-Нюр;60;20170303;120000;171500;171500;171500;171500;1;0
АЛРОСА-Нюр;60;20170303;150000;169000;169000;169000;169000;1;0
АЛРОСА-Нюр;60;20170306;150000;170500;170500;170500;170500;1;0
АЛРОСА-Нюр;60;20170306;170000;171000;171000;171000;171000;1;0
АЛРОСА-Нюр;60;20170307;100000;171500;172000;171500;172000;2;0
АЛРОСА-Нюр;60;20170307;120000;172500;172500;172500;172500;1;0
АЛРОСА-Нюр;60;20170307;140000;170000;170000;170000;170000;1;0
АЛРОСА-Нюр;60;20170307;180000;169000;169000;169000;169000;1;0
АЛРОСА-Нюр;60;20170309;110000;167000;167000;167000;167000;2;0
АЛРОСА-Нюр;60;20170309;140000;168000;168000;168000;168000;1;0
АЛРОСА-Нюр;60;20170309;150000;167000;167000;166500;166500;2;0
АЛРОСА-Нюр;60;20170310;100000;163000;163000;163000;163000;2;0
АЛРОСА-Нюр;60;20170310;120000;164500;164500;164500;164500;1;0
АЛРОСА-Нюр;60;20170310;130000;164500;164500;164500;164500;1;0
АЛРОСА-Нюр;60;20170310;150000;164000;164000;164000;164000;2;0
АЛРОСА-Нюр;60;20170310;170000;168000;168000;168000;168000;1;0
АЛРОСА-Нюр;60;20170313;100000;163000;163000;163000;163000;1;0
АЛРОСА-Нюр;60;20170314;150000;163500;163500;163500;163500;2;0
