<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
АбрауДюрсо;60;20170124;100000;101.5;104;99.5;104;8;0
АбрауДюрсо;60;20170124;110000;102;102;102;102;2;0
АбрауДюрсо;60;20170124;160000;103;105.5;103;105.5;20;0
АбрауДюрсо;60;20170124;180000;102.5;102.5;101;101;5;0
АбрауДюрсо;60;20170125;120000;100.5;100.5;100.5;100.5;1;0
АбрауДюрсо;60;20170125;150000;100.5;100.5;100.5;100.5;1;0
АбрауДюрсо;60;20170126;100000;96;96;96;96;1;0
АбрауДюрсо;60;20170126;110000;102.5;117;102.5;108.5;17;0
АбрауДюрсо;60;20170127;130000;107;108.5;107;108.5;3;0
АбрауДюрсо;60;20170127;160000;103.5;103.5;103.5;103.5;1;0
АбрауДюрсо;60;20170127;180000;103.5;104;103.5;104;2;0
АбрауДюрсо;60;20170130;100000;105;105;105;105;3;0
АбрауДюрсо;60;20170130;110000;105;109;104.5;109;21;0
АбрауДюрсо;60;20170130;130000;106.5;110;106.5;110;60;0
АбрауДюрсо;60;20170130;170000;110;110;110;110;1;0
АбрауДюрсо;60;20170130;180000;109;109;109;109;1;0
АбрауДюрсо;60;20170201;130000;103.5;103.5;100.5;100.5;2;0
АбрауДюрсо;60;20170201;140000;102;102;102;102;1;0
АбрауДюрсо;60;20170201;160000;104.5;105;104.5;105;3;0
АбрауДюрсо;60;20170201;170000;107;107;107;107;1;0
АбрауДюрсо;60;20170202;130000;107.5;116.5;107.5;111;16;0
АбрауДюрсо;60;20170202;150000;109.5;111;109.5;111;4;0
АбрауДюрсо;60;20170202;180000;111;111;111;111;1;0
АбрауДюрсо;60;20170203;170000;108;108;108;108;2;0
АбрауДюрсо;60;20170206;100000;109;109;109;109;1;0
АбрауДюрсо;60;20170206;110000;101.5;101.5;101.5;101.5;1;0
АбрауДюрсо;60;20170206;120000;106.5;108;106.5;108;4;0
АбрауДюрсо;60;20170207;160000;101.5;101.5;101.5;101.5;2;0
АбрауДюрсо;60;20170207;170000;103.5;105;103.5;105;2;0
АбрауДюрсо;60;20170208;100000;108;115;104.5;104.5;21;0
АбрауДюрсо;60;20170208;120000;107;107;107;107;1;0
АбрауДюрсо;60;20170208;130000;108.5;108.5;108.5;108.5;2;0
АбрауДюрсо;60;20170208;170000;108;108;108;108;5;0
АбрауДюрсо;60;20170208;180000;110;111.5;110;111.5;11;0
АбрауДюрсо;60;20170209;120000;102.5;115;102.5;115;10;0
АбрауДюрсо;60;20170209;140000;114.5;114.5;114.5;114.5;10;0
АбрауДюрсо;60;20170209;160000;115;115;106;106;12;0
АбрауДюрсо;60;20170209;180000;107.5;107.5;107.5;107.5;2;0
АбрауДюрсо;60;20170210;100000;102.5;103.5;102.5;103;3;0
АбрауДюрсо;60;20170210;110000;113.5;113.5;113;113;3;0
АбрауДюрсо;60;20170210;130000;109;109;104.5;104.5;9;0
АбрауДюрсо;60;20170210;150000;106.5;108;106.5;108;4;0
АбрауДюрсо;60;20170210;170000;107;109.5;107;107;4;0
АбрауДюрсо;60;20170210;180000;108;109;108;109;2;0
АбрауДюрсо;60;20170213;120000;112;115;112;115;15;0
АбрауДюрсо;60;20170213;160000;114;114;114;114;1;0
АбрауДюрсо;60;20170216;130000;107.5;111;107;111;15;0
АбрауДюрсо;60;20170217;180000;109.5;109.5;109.5;109.5;1;0
АбрауДюрсо;60;20170220;100000;112.5;117;106.5;106.5;21;0
АбрауДюрсо;60;20170220;130000;107;107;107;107;1;0
АбрауДюрсо;60;20170221;100000;114.5;117;114.5;117;19;0
АбрауДюрсо;60;20170221;120000;114.5;116;114.5;116;3;0
АбрауДюрсо;60;20170221;130000;115;115;115;115;1;0
АбрауДюрсо;60;20170221;140000;114;114;114;114;1;0
АбрауДюрсо;60;20170221;160000;115;115;115;115;3;0
АбрауДюрсо;60;20170221;170000;115;115;115;115;2;0
АбрауДюрсо;60;20170221;180000;111;111;110;110;3;0
АбрауДюрсо;60;20170222;120000;115;115;115;115;1;0
АбрауДюрсо;60;20170222;160000;108;110;107;110;13;0
АбрауДюрсо;60;20170224;100000;114;116.5;114;116.5;20;0
АбрауДюрсо;60;20170224;120000;108;108;108;108;5;0
АбрауДюрсо;60;20170227;160000;107;108.5;107;108.5;6;0
АбрауДюрсо;60;20170227;170000;107;108.5;107;108.5;2;0
АбрауДюрсо;60;20170228;110000;105;108;102.5;108;7;0
АбрауДюрсо;60;20170228;180000;104.5;107.5;104.5;107.5;2;0
АбрауДюрсо;60;20170301;110000;103;103;101;101;3;0
АбрауДюрсо;60;20170301;120000;102.5;105;101;105;12;0
АбрауДюрсо;60;20170301;160000;103.5;104;103.5;104;3;0
АбрауДюрсо;60;20170301;170000;106;106;106;106;2;0
АбрауДюрсо;60;20170302;120000;101;101;101;101;1;0
АбрауДюрсо;60;20170302;160000;104;105;104;105;2;0
АбрауДюрсо;60;20170302;180000;104;104;104;104;1;0
АбрауДюрсо;60;20170303;120000;105;114;105;114;31;0
АбрауДюрсо;60;20170303;130000;105.5;110;105;110;9;0
АбрауДюрсо;60;20170303;180000;106.5;106.5;106.5;106.5;1;0
АбрауДюрсо;60;20170306;100000;113;129.5;113;121;49;0
АбрауДюрсо;60;20170306;120000;113.5;113.5;110;110;14;0
АбрауДюрсо;60;20170306;130000;113;113.5;113;113.5;2;0
АбрауДюрсо;60;20170306;140000;118.5;118.5;118.5;118.5;1;0
АбрауДюрсо;60;20170306;150000;117.5;122.5;112.5;112.5;12;0
АбрауДюрсо;60;20170306;180000;115.5;117;114;117;4;0
АбрауДюрсо;60;20170307;120000;117.5;123;117.5;123;10;0
АбрауДюрсо;60;20170307;140000;115;115;115;115;3;0
