<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Авангрд-ао;60;20170126;150000;415;415;415;415;1;0
Авангрд-ао;60;20170126;180000;415;415;415;415;1;0
Авангрд-ао;60;20170131;130000;503;503;503;503;1;0
Авангрд-ао;60;20170131;140000;499;500;402;500;6;0
Авангрд-ао;60;20170131;150000;370;490;370;490;4;0
Авангрд-ао;60;20170131;160000;405;580;405;500;42;0
Авангрд-ао;60;20170201;100000;472;479;472;479;2;0
Авангрд-ао;60;20170201;160000;499;500;499;500;5;0
Авангрд-ао;60;20170201;170000;480;500;480;500;4;0
Авангрд-ао;60;20170201;180000;471;654;471;654;22;0
Авангрд-ао;60;20170202;130000;520;520;490;490;4;0
Авангрд-ао;60;20170202;150000;498;500;495;495;14;0
Авангрд-ао;60;20170202;160000;500;500;500;500;3;0
Авангрд-ао;60;20170202;180000;490;490;480;480;3;0
Авангрд-ао;60;20170203;110000;480;480;480;480;1;0
Авангрд-ао;60;20170203;130000;473;473;473;473;1;0
Авангрд-ао;60;20170203;140000;470;470;470;470;1;0
Авангрд-ао;60;20170206;100000;470;470;470;470;1;0
Авангрд-ао;60;20170206;140000;462;462;462;462;1;0
Авангрд-ао;60;20170206;160000;461;461;461;461;1;0
Авангрд-ао;60;20170207;140000;465;465;465;465;1;0
Авангрд-ао;60;20170207;180000;461;461;461;461;1;0
Авангрд-ао;60;20170208;110000;460;460;460;460;1;0
Авангрд-ао;60;20170208;120000;430;430;430;430;1;0
Авангрд-ао;60;20170214;170000;488;488;488;488;1;0
Авангрд-ао;60;20170215;100000;456;456;456;456;1;0
Авангрд-ао;60;20170301;150000;468;468;468;468;1;0
Авангрд-ао;60;20170322;140000;420;420;410;410;3;0
Авангрд-ао;60;20170322;170000;382;494;382;494;3;0
Авангрд-ао;60;20170322;180000;485;485;485;485;1;0
Авангрд-ао;60;20170323;100000;485;485;325;365;7;0
Авангрд-ао;60;20170323;180000;480;480;480;480;1;0
Авангрд-ао;60;20170330;160000;415;477;355;392;43;0
Авангрд-ао;60;20170330;170000;463;463;463;463;5;0
