<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Акрон;60;20170124;090000;3405;3405;3405;3405;11;0
Акрон;60;20170124;100000;3430;3430;3410;3415;88;0
Акрон;60;20170124;110000;3415;3415;3335;3410;997;0
Акрон;60;20170124;120000;3410;3415;3365;3365;614;0
Акрон;60;20170124;130000;3365;3380;3360;3365;171;0
Акрон;60;20170124;140000;3360;3365;3355;3365;281;0
Акрон;60;20170124;150000;3365;3375;3360;3375;112;0
Акрон;60;20170124;160000;3365;3400;3365;3385;1687;0
Акрон;60;20170124;170000;3385;3395;3380;3390;190;0
Акрон;60;20170124;180000;3390;3400;3385;3395;1151;0
Акрон;60;20170125;090000;3400;3400;3400;3400;29;0
Акрон;60;20170125;100000;3400;3425;3400;3415;140;0
Акрон;60;20170125;110000;3415;3420;3405;3415;91;0
Акрон;60;20170125;120000;3415;3425;3415;3420;24;0
Акрон;60;20170125;130000;3420;3420;3420;3420;20;0
Акрон;60;20170125;140000;3420;3420;3410;3420;231;0
Акрон;60;20170125;150000;3415;3420;3410;3415;310;0
Акрон;60;20170125;160000;3410;3410;3400;3405;163;0
Акрон;60;20170125;170000;3405;3425;3405;3405;208;0
Акрон;60;20170125;180000;3410;3415;3400;3400;79;0
Акрон;60;20170126;090000;3430;3430;3430;3430;1;0
Акрон;60;20170126;100000;3435;3440;3395;3395;224;0
Акрон;60;20170126;110000;3395;3410;3390;3390;90;0
Акрон;60;20170126;120000;3390;3405;3390;3405;29;0
Акрон;60;20170126;130000;3400;3410;3400;3405;33;0
Акрон;60;20170126;140000;3405;3405;3330;3360;2382;0
Акрон;60;20170126;150000;3360;3370;3350;3370;136;0
Акрон;60;20170126;160000;3375;3375;3335;3365;555;0
Акрон;60;20170126;170000;3375;3395;3360;3390;3493;0
Акрон;60;20170126;180000;3390;3470;3390;3470;1296;0
Акрон;60;20170127;090000;3450;3450;3450;3450;5;0
Акрон;60;20170127;100000;3485;3495;3445;3450;184;0
Акрон;60;20170127;110000;3455;3470;3450;3470;57;0
Акрон;60;20170127;120000;3455;3510;3440;3505;662;0
Акрон;60;20170127;130000;3505;3510;3500;3500;188;0
Акрон;60;20170127;140000;3500;3505;3500;3500;543;0
Акрон;60;20170127;150000;3490;3490;3460;3460;85;0
Акрон;60;20170127;160000;3465;3500;3465;3500;1587;0
Акрон;60;20170127;170000;3495;3500;3490;3500;1628;0
Акрон;60;20170127;180000;3500;3505;3490;3505;75;0
