<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Аптеки36и6;60;20170124;090000;10.15;10.15;10.15;10.15;4;0
Аптеки36и6;60;20170124;100000;10.15;10.16;10.12;10.14;3777;0
Аптеки36и6;60;20170124;110000;10.14;10.2;10.12;10.18;12388;0
Аптеки36и6;60;20170124;120000;10.17;10.21;10.15;10.21;7245;0
Аптеки36и6;60;20170124;130000;10.21;10.23;10.11;10.21;15795;0
Аптеки36и6;60;20170124;140000;10.22;10.22;10.11;10.16;9128;0
Аптеки36и6;60;20170124;150000;10.16;10.19;10.16;10.17;3522;0
Аптеки36и6;60;20170124;160000;10.18;10.2;10.17;10.19;6374;0
Аптеки36и6;60;20170124;170000;10.19;10.5;10.19;10.4;75981;0
Аптеки36и6;60;20170124;180000;10.4;10.47;10.19;10.25;83682;0
Аптеки36и6;60;20170125;090000;10.26;10.26;10.26;10.26;278;0
Аптеки36и6;60;20170125;100000;10.29;10.41;10.25;10.29;17974;0
Аптеки36и6;60;20170125;110000;10.29;10.29;10.22;10.27;5910;0
Аптеки36и6;60;20170125;120000;10.24;10.24;10.11;10.16;51179;0
Аптеки36и6;60;20170125;130000;10.16;10.17;10.1;10.17;21309;0
Аптеки36и6;60;20170125;140000;10.18;10.18;10.13;10.16;3445;0
Аптеки36и6;60;20170125;150000;10.16;10.18;10.1;10.16;26167;0
Аптеки36и6;60;20170125;160000;10.16;10.18;10.15;10.16;3556;0
Аптеки36и6;60;20170125;170000;10.16;10.17;10.12;10.15;7083;0
Аптеки36и6;60;20170125;180000;10.14;10.15;10.08;10.11;26610;0
Аптеки36и6;60;20170126;090000;10.11;10.11;10.11;10.11;2050;0
Аптеки36и6;60;20170126;100000;10.11;10.15;9.99;10;45795;0
Аптеки36и6;60;20170126;110000;10.04;10.13;10.01;10.12;5902;0
Аптеки36и6;60;20170126;120000;10.12;10.12;10.08;10.09;1674;0
Аптеки36и6;60;20170126;130000;10.12;10.17;10.12;10.13;5982;0
Аптеки36и6;60;20170126;140000;10.15;10.15;10.09;10.14;4816;0
Аптеки36и6;60;20170126;150000;10.14;10.15;10.11;10.13;3740;0
Аптеки36и6;60;20170126;160000;10.12;10.13;10.1;10.11;2252;0
Аптеки36и6;60;20170126;170000;10.11;10.16;10.08;10.15;10191;0
Аптеки36и6;60;20170126;180000;10.14;10.17;10.08;10.15;8487;0
Аптеки36и6;60;20170127;090000;10.16;10.16;10.16;10.16;1;0
Аптеки36и6;60;20170127;100000;10.17;10.23;10.16;10.23;16212;0
Аптеки36и6;60;20170127;110000;10.2;10.21;10.17;10.2;5117;0
Аптеки36и6;60;20170127;120000;10.2;10.21;10.13;10.18;10554;0
Аптеки36и6;60;20170127;130000;10.19;10.22;10.16;10.22;8473;0
Аптеки36и6;60;20170127;140000;10.2;10.23;10.18;10.18;5783;0
Аптеки36и6;60;20170127;150000;10.2;10.21;10.18;10.21;2092;0
Аптеки36и6;60;20170127;160000;10.21;10.22;10.18;10.21;3121;0
Аптеки36и6;60;20170127;170000;10.21;10.24;10.21;10.24;9153;0
Аптеки36и6;60;20170127;180000;10.23;10.24;10.2;10.24;4745;0
Аптеки36и6;60;20170130;090000;10.26;10.26;10.26;10.26;20;0
Аптеки36и6;60;20170130;100000;10.25;10.25;10.12;10.15;10562;0
Аптеки36и6;60;20170130;110000;10.16;10.18;10.14;10.17;1769;0
Аптеки36и6;60;20170130;120000;10.17;10.18;10.16;10.16;3593;0
Аптеки36и6;60;20170130;130000;10.16;10.18;10.12;10.16;16961;0
Аптеки36и6;60;20170130;140000;10.16;10.19;10.11;10.17;13397;0
Аптеки36и6;60;20170130;150000;10.13;10.17;10.12;10.17;4501;0
Аптеки36и6;60;20170130;160000;10.16;10.17;10.13;10.16;11651;0
Аптеки36и6;60;20170130;170000;10.15;10.17;10.12;10.15;17971;0
Аптеки36и6;60;20170130;180000;10.14;10.17;10.12;10.15;3265;0
Аптеки36и6;60;20170131;100000;10.16;10.18;10.15;10.17;3224;0
Аптеки36и6;60;20170131;110000;10.17;10.17;10.13;10.13;7174;0
Аптеки36и6;60;20170131;120000;10.15;10.16;10.12;10.15;3820;0
Аптеки36и6;60;20170131;130000;10.13;10.15;10.1;10.15;16498;0
