<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Армада;60;20170124;120000;20.7;20.7;20.7;20.7;1;0
Армада;60;20170124;130000;20.7;20.7;20.7;20.7;1;0
Армада;60;20170124;140000;20.5;20.5;20.3;20.3;11;0
Армада;60;20170124;150000;20.4;20.4;20.1;20.4;510;0
Армада;60;20170124;160000;20.4;20.4;20.4;20.4;10;0
Армада;60;20170124;170000;20.5;20.5;20.5;20.5;3;0
Армада;60;20170124;180000;20.4;20.5;20.1;20.5;581;0
Армада;60;20170125;100000;20.4;20.5;20.3;20.3;14;0
Армада;60;20170125;120000;20.3;20.3;20.3;20.3;14;0
Армада;60;20170125;130000;20.3;20.3;20.1;20.1;650;0
Армада;60;20170125;140000;20.2;20.4;20;20.4;447;0
Армада;60;20170125;150000;20.4;20.4;20.4;20.4;83;0
Армада;60;20170125;160000;20.4;20.4;20.3;20.3;50;0
Армада;60;20170125;170000;20.4;20.4;20.3;20.3;80;0
Армада;60;20170125;180000;20.3;20.4;20.1;20.3;225;0
Армада;60;20170126;100000;20;20;20;20;34;0
Армада;60;20170126;120000;20.1;21.7;20;20.9;785;0
Армада;60;20170126;130000;20.8;20.8;20.8;20.8;1;0
Армада;60;20170126;140000;20.7;20.7;20;20;2000;0
Армада;60;20170126;150000;20.3;20.6;20.3;20.6;481;0
Армада;60;20170126;160000;20.6;20.7;20.6;20.7;63;0
Армада;60;20170126;170000;20.7;20.7;20.5;20.5;4;0
Армада;60;20170126;180000;20.7;20.7;20.7;20.7;2;0
Армада;60;20170127;110000;20.6;20.6;20.4;20.5;20;0
Армада;60;20170127;120000;20.3;20.8;20.1;20.8;237;0
Армада;60;20170127;130000;20.8;20.9;20.8;20.8;90;0
Армада;60;20170127;150000;20.7;20.7;20.7;20.7;16;0
Армада;60;20170127;160000;20.5;20.5;20.3;20.3;35;0
Армада;60;20170127;170000;20.6;20.6;20;20.2;597;0
Армада;60;20170127;180000;20.2;20.5;20.2;20.5;24;0
Армада;60;20170130;100000;20.2;20.4;20.1;20.4;42;0
Армада;60;20170130;110000;20.4;20.5;20.4;20.5;9;0
Армада;60;20170130;130000;20.4;20.5;20;20.5;198;0
Армада;60;20170130;140000;20.5;20.6;20.5;20.6;100;0
Армада;60;20170130;160000;20.4;20.4;20.4;20.4;1;0
Армада;60;20170130;170000;20.4;20.4;20.4;20.4;1;0
Армада;60;20170130;180000;20.5;20.6;20.5;20.6;29;0
Армада;60;20170131;110000;20.5;20.7;20.5;20.5;139;0
Армада;60;20170131;120000;20.5;20.5;20.5;20.5;18;0
Армада;60;20170131;130000;20.5;20.6;20.3;20.6;245;0
Армада;60;20170131;140000;20.3;20.5;20.3;20.5;2;0
Армада;60;20170131;150000;20.4;20.5;20.3;20.5;6;0
Армада;60;20170131;160000;20.6;20.6;20.6;20.6;13;0
Армада;60;20170131;170000;20.5;20.5;20.5;20.5;12;0
Армада;60;20170131;180000;20.5;20.5;20.5;20.5;18;0
Армада;60;20170201;100000;20.4;20.4;20.4;20.4;3;0
Армада;60;20170201;110000;20.6;20.9;20.6;20.9;150;0
Армада;60;20170201;120000;20.6;20.6;20.5;20.5;47;0
Армада;60;20170201;130000;20.5;20.5;20.3;20.4;55;0
Армада;60;20170201;140000;20.2;20.5;20.1;20.4;245;0
Армада;60;20170201;150000;20.1;20.3;20.1;20.3;96;0
Армада;60;20170201;160000;20.3;20.5;20.3;20.3;66;0
Армада;60;20170201;170000;20.5;20.5;20.2;20.2;40;0
Армада;60;20170201;180000;20.5;20.5;20.2;20.4;60;0
Армада;60;20170202;100000;20.5;20.5;20.3;20.5;16;0
Армада;60;20170202;110000;20.5;20.5;20.5;20.5;4;0
Армада;60;20170202;120000;20.4;20.4;20.4;20.4;55;0
Армада;60;20170202;130000;20.4;20.4;20.4;20.4;3;0
Армада;60;20170202;140000;20.3;20.3;20.2;20.2;50;0
Армада;60;20170202;150000;20.5;20.5;20.5;20.5;59;0
Армада;60;20170202;160000;20.3;20.3;19.9;20.1;452;0
Армада;60;20170202;170000;20.2;21.4;20.2;21;1273;0
Армада;60;20170202;180000;20.9;21.4;20.8;21;1899;0
Армада;60;20170203;100000;21.1;21.1;20.5;20.5;387;0
Армада;60;20170203;110000;20.6;20.6;20;20.2;839;0
Армада;60;20170203;120000;20.2;20.2;20;20;275;0
Армада;60;20170203;130000;20.1;20.6;20.1;20.6;171;0
Армада;60;20170203;140000;20.4;20.5;20.1;20.5;332;0
Армада;60;20170203;150000;20.4;20.4;20.4;20.4;29;0
Армада;60;20170203;160000;20.5;20.5;20.4;20.5;21;0
Армада;60;20170203;170000;20.4;20.6;20.4;20.6;44;0
Армада;60;20170203;180000;20.5;20.5;20.5;20.5;19;0
Армада;60;20170206;100000;20.6;20.6;20.6;20.6;1;0
Армада;60;20170206;120000;20.6;21.1;20.6;21;390;0
Армада;60;20170206;130000;21;21.1;21;21;30;0
Армада;60;20170206;140000;20.6;20.6;20;20;688;0
Армада;60;20170206;150000;20.2;20.3;20;20;310;0
Армада;60;20170206;160000;20;20;20;20;10;0
Армада;60;20170206;170000;20;20.3;20;20.3;173;0
Армада;60;20170206;180000;20.3;20.4;20.3;20.4;59;0
Армада;60;20170207;100000;20.5;20.5;20.4;20.4;5;0
Армада;60;20170207;120000;20.4;20.4;20.4;20.4;1;0
Армада;60;20170207;130000;20.5;20.6;20.5;20.6;46;0
Армада;60;20170207;140000;20.7;20.7;20.7;20.7;10;0
Армада;60;20170207;150000;20.5;20.5;20.5;20.5;10;0
