<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Арсагера;60;20170124;130000;3.56;3.56;3.56;3.56;1;0
Арсагера;60;20170124;140000;3.59;3.63;3.59;3.63;14;0
Арсагера;60;20170124;160000;3.56;3.56;3.55;3.55;3;0
Арсагера;60;20170125;100000;3.57;3.58;3.57;3.58;31;0
Арсагера;60;20170125;110000;3.58;3.58;3.58;3.58;1;0
Арсагера;60;20170125;130000;3.59;3.88;3.59;3.65;8;0
Арсагера;60;20170125;140000;3.64;3.64;3.58;3.59;11;0
Арсагера;60;20170125;160000;3.59;3.59;3.59;3.59;2;0
Арсагера;60;20170125;170000;3.58;3.58;3.58;3.58;1;0
Арсагера;60;20170125;180000;3.57;3.63;3.57;3.63;28;0
Арсагера;60;20170126;100000;3.62;3.73;3.6;3.72;23;0
Арсагера;60;20170126;110000;3.83;3.89;3.78;3.89;14;0
Арсагера;60;20170126;120000;3.76;3.76;3.76;3.76;5;0
Арсагера;60;20170126;130000;3.77;3.77;3.71;3.71;4;0
Арсагера;60;20170126;160000;3.77;3.8;3.76;3.76;6;0
Арсагера;60;20170126;170000;3.73;3.73;3.7;3.7;21;0
Арсагера;60;20170126;180000;3.67;3.67;3.67;3.67;4;0
Арсагера;60;20170127;100000;3.69;3.7;3.69;3.7;3;0
Арсагера;60;20170127;110000;3.68;3.68;3.68;3.68;2;0
Арсагера;60;20170127;120000;3.7;3.7;3.69;3.69;10;0
Арсагера;60;20170127;140000;3.65;3.65;3.5;3.5;180;0
Арсагера;60;20170127;150000;3.48;3.69;3.34;3.69;111;0
Арсагера;60;20170127;170000;3.69;3.69;3.69;3.69;1;0
Арсагера;60;20170127;180000;3.59;3.67;3.58;3.67;6;0
Арсагера;60;20170130;120000;3.64;3.64;3.64;3.64;1;0
Арсагера;60;20170130;140000;3.66;3.67;3.66;3.67;3;0
Арсагера;60;20170131;110000;3.67;3.67;3.67;3.67;1;0
Арсагера;60;20170131;140000;3.67;3.67;3.67;3.67;10;0
Арсагера;60;20170131;150000;3.67;3.68;3.67;3.68;7;0
