<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
АстрЭнСб;60;20170124;100000;0.452;0.492;0.451;0.485;16;0
АстрЭнСб;60;20170124;130000;0.48;0.48;0.48;0.48;1;0
АстрЭнСб;60;20170124;140000;0.489;0.49;0.476;0.476;8;0
АстрЭнСб;60;20170124;170000;0.477;0.477;0.477;0.477;2;0
АстрЭнСб;60;20170124;180000;0.474;0.49;0.474;0.49;7;0
АстрЭнСб;60;20170125;100000;0.521;0.521;0.49;0.49;6;0
АстрЭнСб;60;20170125;110000;0.49;0.49;0.49;0.49;1;0
АстрЭнСб;60;20170125;150000;0.48;0.48;0.48;0.48;1;0
АстрЭнСб;60;20170125;160000;0.487;0.487;0.487;0.487;1;0
АстрЭнСб;60;20170126;100000;0.48;0.487;0.48;0.487;2;0
АстрЭнСб;60;20170126;110000;0.481;0.481;0.48;0.48;2;0
АстрЭнСб;60;20170126;120000;0.472;0.473;0.462;0.473;7;0
АстрЭнСб;60;20170126;140000;0.471;0.471;0.469;0.47;25;0
АстрЭнСб;60;20170126;170000;0.487;0.487;0.487;0.487;1;0
АстрЭнСб;60;20170127;100000;0.466;0.471;0.45;0.47;118;0
АстрЭнСб;60;20170127;110000;0.467;0.47;0.467;0.47;3;0
АстрЭнСб;60;20170127;120000;0.461;0.467;0.45;0.467;56;0
АстрЭнСб;60;20170127;130000;0.456;0.456;0.441;0.447;86;0
АстрЭнСб;60;20170127;140000;0.442;0.452;0.44;0.452;94;0
АстрЭнСб;60;20170127;150000;0.453;0.453;0.453;0.453;1;0
АстрЭнСб;60;20170127;160000;0.454;0.458;0.454;0.458;11;0
АстрЭнСб;60;20170127;170000;0.464;0.477;0.464;0.477;63;0
АстрЭнСб;60;20170127;180000;0.476;0.478;0.476;0.478;5;0
АстрЭнСб;60;20170130;100000;0.48;0.48;0.478;0.478;11;0
АстрЭнСб;60;20170130;130000;0.471;0.471;0.471;0.471;2;0
АстрЭнСб;60;20170130;160000;0.471;0.471;0.471;0.471;1;0
АстрЭнСб;60;20170130;170000;0.471;0.471;0.468;0.468;18;0
АстрЭнСб;60;20170130;180000;0.479;0.479;0.479;0.479;1;0
АстрЭнСб;60;20170131;100000;0.484;0.49;0.484;0.49;20;0
АстрЭнСб;60;20170131;160000;0.483;0.483;0.46;0.482;3;0
АстрЭнСб;60;20170201;100000;0.466;0.466;0.459;0.459;26;0
АстрЭнСб;60;20170201;110000;0.462;0.462;0.462;0.462;12;0
АстрЭнСб;60;20170201;120000;0.461;0.462;0.461;0.462;30;0
АстрЭнСб;60;20170201;140000;0.462;0.462;0.462;0.462;2;0
АстрЭнСб;60;20170201;150000;0.463;0.482;0.463;0.478;67;0
АстрЭнСб;60;20170201;160000;0.473;0.473;0.472;0.472;3;0
АстрЭнСб;60;20170201;180000;0.477;0.478;0.477;0.478;12;0
АстрЭнСб;60;20170202;110000;0.475;0.476;0.475;0.476;10;0
АстрЭнСб;60;20170202;120000;0.459;0.474;0.456;0.456;24;0
АстрЭнСб;60;20170202;140000;0.455;0.475;0.455;0.47;7;0
АстрЭнСб;60;20170203;100000;0.479;0.479;0.42;0.474;87;0
АстрЭнСб;60;20170203;110000;0.443;0.456;0.439;0.456;34;0
АстрЭнСб;60;20170203;150000;0.454;0.454;0.454;0.454;1;0
АстрЭнСб;60;20170203;160000;0.446;0.446;0.445;0.445;5;0
АстрЭнСб;60;20170203;170000;0.445;0.456;0.445;0.456;6;0
АстрЭнСб;60;20170206;100000;0.47;0.47;0.47;0.47;10;0
АстрЭнСб;60;20170206;130000;0.468;0.47;0.462;0.462;28;0
АстрЭнСб;60;20170206;140000;0.466;0.466;0.466;0.466;1;0
АстрЭнСб;60;20170206;160000;0.445;0.445;0.445;0.445;4;0
АстрЭнСб;60;20170206;170000;0.445;0.456;0.443;0.456;25;0
АстрЭнСб;60;20170207;100000;0.457;0.457;0.457;0.457;1;0
АстрЭнСб;60;20170207;110000;0.455;0.455;0.455;0.455;4;0
АстрЭнСб;60;20170208;110000;0.453;0.453;0.453;0.453;2;0
АстрЭнСб;60;20170208;140000;0.443;0.45;0.443;0.45;8;0
АстрЭнСб;60;20170208;160000;0.443;0.443;0.443;0.443;3;0
АстрЭнСб;60;20170209;100000;0.445;0.456;0.439;0.452;16;0
АстрЭнСб;60;20170209;110000;0.445;0.445;0.445;0.445;1;0
АстрЭнСб;60;20170209;120000;0.439;0.439;0.438;0.438;6;0
АстрЭнСб;60;20170209;150000;0.449;0.45;0.449;0.45;2;0
АстрЭнСб;60;20170210;100000;0.454;0.454;0.454;0.454;1;0
АстрЭнСб;60;20170210;110000;0.449;0.47;0.449;0.47;70;0
АстрЭнСб;60;20170210;120000;0.466;0.466;0.466;0.466;1;0
АстрЭнСб;60;20170210;140000;0.459;0.46;0.459;0.46;10;0
АстрЭнСб;60;20170213;110000;0.456;0.456;0.456;0.456;1;0
АстрЭнСб;60;20170213;120000;0.445;0.446;0.445;0.446;4;0
АстрЭнСб;60;20170213;130000;0.446;0.458;0.446;0.458;12;0
АстрЭнСб;60;20170213;180000;0.45;0.45;0.45;0.45;1;0
АстрЭнСб;60;20170214;130000;0.45;0.45;0.45;0.45;1;0
АстрЭнСб;60;20170215;110000;0.434;0.434;0.431;0.431;18;0
АстрЭнСб;60;20170215;120000;0.431;0.431;0.429;0.429;29;0
АстрЭнСб;60;20170215;130000;0.433;0.44;0.432;0.432;17;0
АстрЭнСб;60;20170215;140000;0.437;0.437;0.437;0.437;1;0
АстрЭнСб;60;20170215;150000;0.436;0.437;0.436;0.436;9;0
АстрЭнСб;60;20170215;160000;0.439;0.439;0.439;0.439;1;0
АстрЭнСб;60;20170216;100000;0.459;0.459;0.444;0.445;5;0
АстрЭнСб;60;20170216;110000;0.428;0.442;0.426;0.442;13;0
АстрЭнСб;60;20170216;120000;0.436;0.436;0.436;0.436;5;0
