<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Аэрофлот;60;20170124;090000;159.02;159.02;159.02;159.02;18;0
Аэрофлот;60;20170124;100000;159.02;161.39;159.02;160.2;4139;0
Аэрофлот;60;20170124;110000;160.1;160.8;159.33;160.25;4522;0
Аэрофлот;60;20170124;120000;160.36;160.95;159.77;160.87;1218;0
Аэрофлот;60;20170124;130000;160.88;161.57;160.53;161.25;1990;0
Аэрофлот;60;20170124;140000;161.18;161.3;160.53;160.72;1505;0
Аэрофлот;60;20170124;150000;160.72;161.57;160.72;161.25;3458;0
Аэрофлот;60;20170124;160000;161.4;161.4;160.14;160.98;1782;0
Аэрофлот;60;20170124;170000;161.11;161.65;161.11;161.3;1866;0
Аэрофлот;60;20170124;180000;161.3;161.4;160;161.4;6321;0
Аэрофлот;60;20170125;090000;161.3;161.3;161.3;161.3;2;0
Аэрофлот;60;20170125;100000;161.27;162.79;160.96;162.7;3803;0
Аэрофлот;60;20170125;110000;162.7;163;161.58;162.65;7317;0
Аэрофлот;60;20170125;120000;162.84;164.65;162.61;164.39;7898;0
Аэрофлот;60;20170125;130000;164.29;164.75;163.53;164.7;3442;0
Аэрофлот;60;20170125;140000;164.69;166.19;164.57;165.79;9508;0
Аэрофлот;60;20170125;150000;165.78;166.87;165.6;166.04;6516;0
Аэрофлот;60;20170125;160000;165.93;166.67;164.71;166.5;4404;0
Аэрофлот;60;20170125;170000;166.62;166.93;165.3;166.4;4919;0
Аэрофлот;60;20170125;180000;166.4;166.9;166.08;166.71;4167;0
Аэрофлот;60;20170126;090000;166.61;166.61;166.61;166.61;86;0
Аэрофлот;60;20170126;100000;166.66;168.57;166.6;167.87;5078;0
Аэрофлот;60;20170126;110000;167.88;168;167.32;167.82;2787;0
Аэрофлот;60;20170126;120000;167.86;169.13;167.77;168.75;5546;0
Аэрофлот;60;20170126;130000;168.74;168.82;167;167.08;4791;0
Аэрофлот;60;20170126;140000;167.18;167.36;166.5;167;2969;0
Аэрофлот;60;20170126;150000;167;167.85;166.61;166.93;2891;0
Аэрофлот;60;20170126;160000;166.71;167;166.56;166.7;1507;0
Аэрофлот;60;20170126;170000;166.71;167.3;166.65;166.71;2783;0
Аэрофлот;60;20170126;180000;166.71;166.81;165.09;165.5;6002;0
Аэрофлот;60;20170127;090000;165.5;165.5;165.5;165.5;26;0
Аэрофлот;60;20170127;100000;165.5;166.12;165.05;166.02;3442;0
Аэрофлот;60;20170127;110000;165.9;167.99;165.88;166.7;4139;0
Аэрофлот;60;20170127;120000;166.87;167.8;166.61;167.2;2284;0
Аэрофлот;60;20170127;130000;167.2;167.37;166.44;166.67;1327;0
Аэрофлот;60;20170127;140000;166.67;166.91;166.57;166.68;928;0
Аэрофлот;60;20170127;150000;166.68;166.82;165.33;165.99;4835;0
Аэрофлот;60;20170127;160000;165.99;166.38;165.63;166;3349;0
Аэрофлот;60;20170127;170000;166;166.95;165.9;166.5;4568;0
Аэрофлот;60;20170127;180000;166.49;168.5;166.45;168.5;8209;0
Аэрофлот;60;20170130;090000;168.5;168.5;168.5;168.5;28;0
Аэрофлот;60;20170130;100000;168.49;169.65;167.31;169.59;5992;0
Аэрофлот;60;20170130;110000;169.59;170;169.25;169.44;10183;0
Аэрофлот;60;20170130;120000;169.41;169.41;168.72;169.2;1722;0
Аэрофлот;60;20170130;130000;169.11;169.65;168.92;169.6;1562;0
Аэрофлот;60;20170130;140000;169.6;169.62;168.84;169.1;774;0
Аэрофлот;60;20170130;150000;169.17;169.63;169.14;169.47;1956;0
Аэрофлот;60;20170130;160000;169.47;169.67;169.25;169.62;2113;0
Аэрофлот;60;20170130;170000;169.6;171.95;169.36;171.95;8149;0
Аэрофлот;60;20170130;180000;171.95;172;170.66;170.9;5345;0
Аэрофлот;60;20170131;090000;171.3;171.3;171.3;171.3;21;0
Аэрофлот;60;20170131;100000;171.2;173.47;171;172.78;10114;0
Аэрофлот;60;20170131;110000;172.71;173.47;172;172.16;4580;0
Аэрофлот;60;20170131;120000;172.17;173.04;172.01;173.04;1797;0
Аэрофлот;60;20170131;130000;172.95;173.37;172.1;172.16;1448;0
Аэрофлот;60;20170131;140000;172.24;172.99;172.15;172.61;893;0
Аэрофлот;60;20170131;150000;172.65;173;172.5;172.94;1300;0
Аэрофлот;60;20170131;160000;172.94;172.94;172.11;172.8;2287;0
Аэрофлот;60;20170131;170000;172.79;173.3;172.61;173.04;1724;0
Аэрофлот;60;20170131;180000;172.97;174.17;172.37;174.17;5653;0
Аэрофлот;60;20170201;090000;174.15;174.15;174.15;174.15;7;0
Аэрофлот;60;20170201;100000;174.25;175.4;171.55;172.3;6280;0
Аэрофлот;60;20170201;110000;172.1;173.45;172;172.9;2232;0
Аэрофлот;60;20170201;120000;172.9;173.95;172.65;173.55;1692;0
Аэрофлот;60;20170201;130000;173.45;173.9;173;173.05;3327;0
Аэрофлот;60;20170201;140000;173.15;173.85;172.9;173.05;3634;0
Аэрофлот;60;20170201;150000;173.05;173.3;172.85;173.1;893;0
Аэрофлот;60;20170201;160000;173.1;173.65;172.85;173.25;1178;0
Аэрофлот;60;20170201;170000;173.25;174.85;173.2;174.55;2610;0
Аэрофлот;60;20170201;180000;174.6;175.35;174.15;175;5687;0
Аэрофлот;60;20170202;090000;175.25;175.25;175.25;175.25;4;0
Аэрофлот;60;20170202;100000;175.3;176.3;174.45;176.1;6873;0
Аэрофлот;60;20170202;110000;176.05;176.25;175.85;176.1;3128;0
Аэрофлот;60;20170202;120000;176;176.3;175;176.3;2839;0
Аэрофлот;60;20170202;130000;176.2;177.15;176.2;177.05;4802;0
Аэрофлот;60;20170202;140000;177.1;177.1;176.6;177;2149;0
Аэрофлот;60;20170202;150000;177.1;177.7;176.7;176.75;2626;0
Аэрофлот;60;20170202;160000;176.7;176.95;175.9;176.8;3295;0
Аэрофлот;60;20170202;170000;176.75;178.1;176.65;177.7;4626;0
Аэрофлот;60;20170202;180000;177.75;177.85;176.15;176.9;5728;0
Аэрофлот;60;20170203;090000;177.1;177.1;177.1;177.1;15;0
Аэрофлот;60;20170203;100000;177.1;179.5;176;176;9603;0
Аэрофлот;60;20170203;110000;176.2;176.5;173.15;174.5;14314;0
Аэрофлот;60;20170203;120000;174.35;176;173.85;175.45;5173;0
Аэрофлот;60;20170203;130000;175.45;175.75;174.25;175.45;1889;0
Аэрофлот;60;20170203;140000;175.6;177.1;174.5;177;4389;0
Аэрофлот;60;20170203;150000;176.9;178.6;176.7;178.3;5730;0
Аэрофлот;60;20170203;160000;178.25;178.45;177.2;177.7;2901;0
Аэрофлот;60;20170203;170000;177.7;178;175.35;176.85;4565;0
