<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
БСП ао;60;20170124;100000;71.75;73.1;71.75;72.8;1415;0
БСП ао;60;20170124;110000;72.7;72.7;72.55;72.6;356;0
БСП ао;60;20170124;120000;72.7;72.7;72.45;72.45;454;0
БСП ао;60;20170124;130000;72.5;72.5;72.25;72.25;72;0
БСП ао;60;20170124;140000;72.4;72.5;71.8;71.9;592;0
БСП ао;60;20170124;150000;72;72.1;71.9;71.9;473;0
БСП ао;60;20170124;160000;71.9;72.3;71.55;71.9;567;0
БСП ао;60;20170124;170000;71.9;71.9;71.4;71.85;392;0
БСП ао;60;20170124;180000;71.85;71.9;71.75;71.9;246;0
БСП ао;60;20170125;100000;72.1;72.35;71.45;71.85;1448;0
БСП ао;60;20170125;110000;71.8;71.95;71.45;71.85;495;0
БСП ао;60;20170125;120000;71.75;72;71.5;71.85;253;0
БСП ао;60;20170125;130000;71.9;72;71.6;71.9;532;0
БСП ао;60;20170125;140000;71.85;72.3;71.85;72;1019;0
БСП ао;60;20170125;150000;72;72.25;71.75;71.75;354;0
БСП ао;60;20170125;160000;71.95;71.95;71.65;71.9;203;0
БСП ао;60;20170125;170000;71.8;71.9;71.7;71.8;159;0
БСП ао;60;20170125;180000;71.8;72;71.7;72;328;0
БСП ао;60;20170126;090000;72.3;72.3;72.3;72.3;1;0
БСП ао;60;20170126;100000;72.3;72.4;71.75;72;604;0
БСП ао;60;20170126;110000;72;73.25;72;73.25;5810;0
БСП ао;60;20170126;120000;73.25;73.5;72.5;72.5;893;0
БСП ао;60;20170126;130000;72.45;73.45;72.45;73.25;3170;0
БСП ао;60;20170126;140000;73.4;74.5;73.35;74.45;2258;0
БСП ао;60;20170126;150000;73.85;74.65;73.75;74.15;784;0
БСП ао;60;20170126;160000;74.1;74.4;74;74;592;0
БСП ао;60;20170126;170000;73.95;74.45;73.75;74;235;0
БСП ао;60;20170126;180000;74;74.4;73.95;74.35;413;0
БСП ао;60;20170127;090000;75.5;75.5;75.5;75.5;10;0
БСП ао;60;20170127;100000;75.5;75.5;74.7;75.2;2922;0
