<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
БУДУЩЕЕ ао;60;20170124;100000;1231;1231;1230.1;1230.1;600;0
БУДУЩЕЕ ао;60;20170124;110000;1230;1230;1230;1230;1;0
БУДУЩЕЕ ао;60;20170124;140000;1230;1230;1230;1230;1;0
БУДУЩЕЕ ао;60;20170124;160000;1231;1231;1231;1231;1624;0
БУДУЩЕЕ ао;60;20170125;100000;1231;1231;1231;1231;300;0
БУДУЩЕЕ ао;60;20170125;110000;1232;1232;1232;1232;9;0
БУДУЩЕЕ ао;60;20170125;160000;1232.1;1232.1;1232.1;1232.1;1217;0
БУДУЩЕЕ ао;60;20170125;180000;1232.1;1232.1;1232.1;1232.1;568;0
БУДУЩЕЕ ао;60;20170126;140000;1232;1232.2;1232;1232.2;511;0
БУДУЩЕЕ ао;60;20170126;150000;1232.2;1232.2;1232;1232;464;0
БУДУЩЕЕ ао;60;20170126;170000;1232.1;1232.1;1232.1;1232.1;1055;0
БУДУЩЕЕ ао;60;20170127;100000;1225.1;1234.9;1225;1230;98;0
БУДУЩЕЕ ао;60;20170127;140000;1234.9;1235;1231.4;1231.4;977;0
БУДУЩЕЕ ао;60;20170127;150000;1239.9;1246.4;1239.9;1246.4;6;0
БУДУЩЕЕ ао;60;20170127;170000;1233;1233;1233;1233;973;0
БУДУЩЕЕ ао;60;20170130;100000;1232;1232;1227.1;1230.1;601;0
БУДУЩЕЕ ао;60;20170130;150000;1235.2;1235.2;1235.2;1235.2;10;0
БУДУЩЕЕ ао;60;20170130;160000;1235.5;1235.5;1235.5;1235.5;1943;0
БУДУЩЕЕ ао;60;20170131;140000;1237.5;1237.8;1237.5;1237.8;1024;0
БУДУЩЕЕ ао;60;20170131;150000;1237.7;1237.8;1237.7;1237.8;978;0
БУДУЩЕЕ ао;60;20170131;160000;1237.8;1237.8;1237.5;1237.5;2093;0
БУДУЩЕЕ ао;60;20170201;130000;1237.7;1237.7;1237.4;1237.4;859;0
БУДУЩЕЕ ао;60;20170201;150000;1236.9;1236.9;1236.9;1236.9;1;0
БУДУЩЕЕ ао;60;20170201;160000;1237;1237;1236;1236;256;0
БУДУЩЕЕ ао;60;20170201;170000;1236;1236;1236;1236;1051;0
БУДУЩЕЕ ао;60;20170202;110000;1235.2;1235.2;1235;1235;23;0
БУДУЩЕЕ ао;60;20170202;160000;1235.3;1235.3;1235.3;1235.3;1214;0
БУДУЩЕЕ ао;60;20170202;170000;1236;1236;1236;1236;815;0
БУДУЩЕЕ ао;60;20170203;100000;1235;1235;1235;1235;42;0
БУДУЩЕЕ ао;60;20170203;150000;1237;1237;1237;1237;1050;0
БУДУЩЕЕ ао;60;20170203;160000;1237;1237;1237;1237;1212;0
БУДУЩЕЕ ао;60;20170206;100000;1235.1;1235.1;1235;1235;5;0
БУДУЩЕЕ ао;60;20170206;130000;1235.5;1235.5;1235.5;1235.5;1300;0
БУДУЩЕЕ ао;60;20170206;150000;1238;1238;1235;1235;854;0
БУДУЩЕЕ ао;60;20170206;170000;1235;1235;1235;1235;40;0
БУДУЩЕЕ ао;60;20170207;140000;1236.9;1236.9;1236.9;1236.9;1300;0
БУДУЩЕЕ ао;60;20170207;150000;1236.9;1237;1236.9;1237;5;0
