<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
БанкАстаны;60;20171214;100000;234.95;234.95;232.5;233;814;0
БанкАстаны;60;20171214;110000;232.75;234;232.75;232.75;295;0
БанкАстаны;60;20171214;120000;233;233;232.7;233;1261;0
БанкАстаны;60;20171214;130000;232.1;232.1;232.1;232.1;20;0
БанкАстаны;60;20171214;140000;232.5;232.5;232.5;232.5;1;0
БанкАстаны;60;20171214;150000;232.6;232.6;232.6;232.6;1;0
БанкАстаны;60;20171214;160000;232.5;232.5;232.4;232.4;5;0
БанкАстаны;60;20171215;100000;232.4;232.4;232.4;232.4;902;0
БанкАстаны;60;20171215;110000;232.5;232.5;232.5;232.5;2;0
БанкАстаны;60;20171215;120000;232.5;232.5;232.5;232.5;10;0
БанкАстаны;60;20171215;130000;232.5;232.5;232.5;232.5;48;0
БанкАстаны;60;20171215;150000;232.95;232.95;232.95;232.95;13;0
БанкАстаны;60;20171215;160000;233;233.5;233;233.1;57;0
БанкАстаны;60;20171215;170000;233.1;233.6;233.1;233.6;21;0
БанкАстаны;60;20171215;180000;233.59;233.59;233.59;233.59;1;0
БанкАстаны;60;20171218;100000;233.6;233.65;233.6;233.6;60;0
БанкАстаны;60;20171218;110000;233.65;233.7;233.65;233.7;81;0
БанкАстаны;60;20171218;120000;233.62;233.63;233.62;233.63;6;0
БанкАстаны;60;20171218;130000;233.62;233.62;233.62;233.62;1;0
БанкАстаны;60;20171218;140000;233.62;233.62;233.6;233.6;465;0
БанкАстаны;60;20171218;150000;233.85;233.85;233.8;233.8;55;0
БанкАстаны;60;20171218;160000;233.85;233.85;233.85;233.85;120;0
БанкАстаны;60;20171218;180000;233.89;233.89;233.89;233.89;104;0
БанкАстаны;60;20171219;100000;233.99;233.99;233.59;233.59;9;0
БанкАстаны;60;20171219;110000;233.59;233.88;233.59;233.88;125;0
БанкАстаны;60;20171219;130000;233.88;233.89;233.88;233.89;107;0
БанкАстаны;60;20171219;150000;233.59;233.59;233.59;233.59;139;0
БанкАстаны;60;20171219;160000;233.59;233.59;233.1;233.1;930;0
БанкАстаны;60;20171219;170000;233.1;233.1;233.1;233.1;85;0
БанкАстаны;60;20171219;180000;233;233;232.75;232.75;12;0
БанкАстаны;60;20171220;100000;232.75;232.75;232.75;232.75;46;0
БанкАстаны;60;20171220;110000;232.75;232.75;232.6;232.6;132;0
БанкАстаны;60;20171220;120000;232.6;232.6;232.55;232.55;181;0
БанкАстаны;60;20171220;150000;233;233.47;233;233.47;11;0
БанкАстаны;60;20171220;160000;233.47;233.49;232.55;232.55;124;0
БанкАстаны;60;20171220;180000;232.55;232.55;232.55;232.55;93;0
БанкАстаны;60;20171221;110000;232.55;232.55;232.55;232.55;56;0
БанкАстаны;60;20171221;120000;232.55;232.55;232.55;232.55;93;0
БанкАстаны;60;20171221;130000;232.55;232.55;232.55;232.55;49;0
БанкАстаны;60;20171221;170000;232.56;232.56;232.55;232.55;49;0
БанкАстаны;60;20171222;090000;209.3;209.3;209.3;209.3;18;0
БанкАстаны;60;20171222;100000;233.4;233.4;233.39;233.39;2;0
БанкАстаны;60;20171222;110000;233.35;233.35;233.35;233.35;1;0
БанкАстаны;60;20171222;120000;232.1;232.1;232.1;232.1;102;0
БанкАстаны;60;20171222;130000;232.1;232.1;232.05;232.05;51;0
БанкАстаны;60;20171222;150000;232.05;232.05;232.05;232.05;466;0
БанкАстаны;60;20171222;160000;232.05;232.05;232.05;232.05;28;0
БанкАстаны;60;20171222;170000;232.05;232.05;232.05;232.05;1;0
БанкАстаны;60;20171225;100000;232;232;232;232;50;0
БанкАстаны;60;20171225;120000;232;232;231.93;231.93;209;0
БанкАстаны;60;20171225;130000;231.84;231.84;231.84;231.84;2;0
БанкАстаны;60;20171225;140000;231.84;231.84;231.67;231.67;632;0
БанкАстаны;60;20171225;170000;231.34;231.34;231.34;231.34;61;0
БанкАстаны;60;20171226;110000;231.31;231.31;231.31;231.31;16;0
БанкАстаны;60;20171226;140000;231.2;231.2;231.2;231.2;20;0
БанкАстаны;60;20171226;160000;231.05;231.05;231;231;433;0
БанкАстаны;60;20171226;170000;230.55;230.55;230.55;230.55;59;0
БанкАстаны;60;20171226;180000;230.55;230.55;230.5;230.5;347;0
БанкАстаны;60;20171227;100000;229.5;229.5;228.9;228.9;586;0
БанкАстаны;60;20171227;110000;228.9;228.9;228.7;228.7;96;0
БанкАстаны;60;20171227;120000;228.7;228.7;228.56;228.56;139;0
БанкАстаны;60;20171227;140000;228.56;228.56;228.49;228.49;139;0
БанкАстаны;60;20171227;150000;227.7;228.56;227.7;228.56;34;0
БанкАстаны;60;20171227;160000;228.56;228.56;228.49;228.49;438;0
БанкАстаны;60;20171228;100000;227.7;227.7;227.7;227.7;4;0
БанкАстаны;60;20171228;110000;227.7;227.7;227.7;227.7;3;0
БанкАстаны;60;20171228;180000;229.41;229.41;229.41;229.41;1;0
БанкАстаны;60;20171229;100000;227.91;227.91;227.91;227.91;61;0
БанкАстаны;60;20171229;130000;229.62;229.62;229.62;229.62;1;0
БанкАстаны;60;20171229;160000;229.56;229.56;229.56;229.56;7;0
