<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
БашИнСв ап;60;20170124;150000;4.24;4.24;4.24;4.24;2;0
БашИнСв ап;60;20170125;100000;4.3;4.3;4.3;4.3;2;0
БашИнСв ап;60;20170127;160000;4.33;4.33;4.33;4.33;1;0
БашИнСв ап;60;20170202;100000;4.32;4.34;4.32;4.34;5;0
БашИнСв ап;60;20170203;180000;4.31;4.31;4.27;4.27;2;0
БашИнСв ап;60;20170207;100000;4.32;4.32;4.32;4.32;1;0
БашИнСв ап;60;20170207;120000;4.32;4.32;4.32;4.32;2;0
БашИнСв ап;60;20170207;140000;4.33;4.33;4.33;4.33;1;0
БашИнСв ап;60;20170207;150000;4.34;4.44;4.32;4.32;11;0
БашИнСв ап;60;20170207;160000;4.28;4.28;4.28;4.28;1;0
БашИнСв ап;60;20170208;180000;4.33;4.33;4.33;4.33;1;0
БашИнСв ап;60;20170209;100000;4.33;4.36;4.33;4.36;5;0
БашИнСв ап;60;20170213;120000;4.38;4.39;4.38;4.39;3;0
БашИнСв ап;60;20170214;110000;4.4;4.4;4.4;4.4;1;0
БашИнСв ап;60;20170216;180000;4.27;4.4;4.26;4.35;7;0
БашИнСв ап;60;20170217;180000;4.36;4.36;4.36;4.36;4;0
БашИнСв ап;60;20170220;130000;4.22;4.35;4.22;4.35;2;0
БашИнСв ап;60;20170221;160000;4.35;4.35;4.35;4.35;2;0
БашИнСв ап;60;20170227;120000;4.25;4.25;4.25;4.25;1;0
БашИнСв ап;60;20170228;110000;4.2;4.27;4.2;4.27;3;0
БашИнСв ап;60;20170301;160000;4.16;4.16;4.16;4.16;1;0
БашИнСв ап;60;20170306;100000;4.21;4.21;4.07;4.15;20;0
БашИнСв ап;60;20170306;110000;4.16;4.16;4.15;4.15;3;0
БашИнСв ап;60;20170306;120000;4.22;4.44;4.22;4.44;20;0
БашИнСв ап;60;20170309;100000;4.23;4.23;4.22;4.22;3;0
БашИнСв ап;60;20170309;170000;4.22;4.22;4.1;4.1;4;0
БашИнСв ап;60;20170309;180000;4.1;4.1;3.8;3.8;57;0
БашИнСв ап;60;20170310;100000;4.23;4.23;4.23;4.23;1;0
БашИнСв ап;60;20170310;130000;4.22;4.22;4.22;4.22;5;0
БашИнСв ап;60;20170310;140000;4.05;4.05;4.02;4.02;5;0
БашИнСв ап;60;20170310;180000;4.18;4.18;4.18;4.18;1;0
БашИнСв ап;60;20170313;100000;4.15;4.15;4.15;4.15;1;0
БашИнСв ап;60;20170314;110000;4.1;4.1;4.1;4.1;6;0
БашИнСв ап;60;20170316;160000;4.16;4.16;4.16;4.16;1;0
БашИнСв ап;60;20170317;160000;4.21;4.21;4.21;4.21;3;0
БашИнСв ап;60;20170321;150000;4.15;4.15;4.1;4.1;29;0
БашИнСв ап;60;20170322;140000;4.1;4.1;4.1;4.1;3;0
БашИнСв ап;60;20170322;170000;4.1;4.1;4.1;4.1;16;0
БашИнСв ап;60;20170322;180000;4.1;4.1;4.1;4.1;11;0
БашИнСв ап;60;20170323;110000;4.16;4.16;4.16;4.16;1;0
БашИнСв ап;60;20170323;120000;4.16;4.17;4.16;4.17;2;0
БашИнСв ап;60;20170324;140000;4.15;4.15;4.06;4.06;3;0
БашИнСв ап;60;20170327;170000;4.15;4.16;4.15;4.16;2;0
БашИнСв ап;60;20170329;160000;4.1;4.1;4.1;4.1;1;0
БашИнСв ап;60;20170329;180000;4.08;4.08;4.08;4.08;1;0
БашИнСв ап;60;20170330;150000;4.09;4.09;3.82;4.04;57;0
БашИнСв ап;60;20170330;160000;3.95;3.98;3.88;3.98;11;0
БашИнСв ап;60;20170330;170000;3.89;3.94;3.89;3.94;2;0
БашИнСв ап;60;20170330;180000;3.9;3.9;3.8;3.8;184;0
БашИнСв ап;60;20170331;100000;3.88;3.91;3.83;3.83;7;0
БашИнСв ап;60;20170331;120000;3.91;3.91;3.91;3.91;2;0
БашИнСв ап;60;20170331;170000;3.84;3.84;3.84;3.84;4;0
БашИнСв ап;60;20170404;110000;3.83;3.83;3.83;3.83;7;0
БашИнСв ап;60;20170404;140000;3.85;3.85;3.84;3.84;5;0
БашИнСв ап;60;20170404;160000;3.9;3.9;3.9;3.9;2;0
БашИнСв ап;60;20170405;180000;3.9;3.9;3.9;3.9;1;0
БашИнСв ап;60;20170406;100000;3.9;3.9;3.9;3.9;2;0
БашИнСв ап;60;20170406;120000;3.9;3.9;3.9;3.9;1;0
БашИнСв ап;60;20170406;180000;3.91;3.91;3.91;3.91;1;0
БашИнСв ап;60;20170407;160000;3.89;3.89;3.89;3.89;1;0
БашИнСв ап;60;20170410;120000;3.8;3.8;3.8;3.8;11;0
БашИнСв ап;60;20170410;130000;3.8;3.8;3.77;3.77;26;0
БашИнСв ап;60;20170410;140000;3.77;3.77;3.77;3.77;10;0
БашИнСв ап;60;20170410;170000;3.72;3.72;3.72;3.72;5;0
БашИнСв ап;60;20170410;180000;3.77;3.77;3.77;3.77;4;0
БашИнСв ап;60;20170411;110000;3.8;3.8;3.8;3.8;4;0
БашИнСв ап;60;20170411;140000;3.84;3.85;3.84;3.85;20;0
БашИнСв ап;60;20170411;150000;3.85;3.85;3.85;3.85;42;0
БашИнСв ап;60;20170412;100000;3.78;3.78;3.71;3.71;18;0
БашИнСв ап;60;20170412;120000;3.84;3.87;3.84;3.85;9;0
БашИнСв ап;60;20170412;150000;3.85;3.85;3.85;3.85;2;0
БашИнСв ап;60;20170412;170000;3.87;3.88;3.87;3.88;10;0
БашИнСв ап;60;20170413;170000;3.85;3.85;3.85;3.85;1;0
БашИнСв ап;60;20170413;180000;3.84;4.11;3.84;4.08;34;0
БашИнСв ап;60;20170414;110000;3.83;3.83;3.71;3.71;34;0
БашИнСв ап;60;20170414;140000;3.99;4;3.99;4;5;0
БашИнСв ап;60;20170417;170000;3.85;3.85;3.85;3.85;2;0
БашИнСв ап;60;20170417;180000;3.9;3.9;3.9;3.9;1;0
БашИнСв ап;60;20170418;150000;3.81;3.81;3.81;3.81;10;0
БашИнСв ап;60;20170419;120000;3.94;3.94;3.94;3.94;2;0
БашИнСв ап;60;20170419;130000;3.92;3.93;3.92;3.93;3;0
БашИнСв ап;60;20170421;100000;3.77;3.77;3.71;3.71;12;0
БашИнСв ап;60;20170421;110000;3.9;3.9;3.9;3.9;1;0
БашИнСв ап;60;20170421;160000;3.92;3.92;3.86;3.86;2;0
БашИнСв ап;60;20170424;170000;3.88;3.88;3.88;3.88;4;0
БашИнСв ап;60;20170425;170000;3.88;3.88;3.85;3.85;9;0
БашИнСв ап;60;20170426;170000;3.85;3.85;3.73;3.75;13;0
БашИнСв ап;60;20170426;180000;3.83;3.84;3.83;3.84;3;0
БашИнСв ап;60;20170427;150000;3.81;3.81;3.77;3.77;21;0
БашИнСв ап;60;20170427;160000;3.77;3.77;3.76;3.76;8;0
БашИнСв ап;60;20170428;140000;3.9;3.98;3.9;3.98;3;0
БашИнСв ап;60;20170428;150000;3.98;3.98;3.98;3.98;4;0
БашИнСв ап;60;20170510;160000;3.93;3.93;3.93;3.93;1;0
БашИнСв ап;60;20170511;120000;3.94;3.94;3.93;3.93;11;0
БашИнСв ап;60;20170511;140000;3.94;3.94;3.94;3.94;1;0
БашИнСв ап;60;20170511;180000;3.94;3.94;3.94;3.94;2;0
БашИнСв ап;60;20170512;090000;3.8;3.8;3.8;3.8;1;0
БашИнСв ап;60;20170512;100000;3.95;3.95;3.95;3.95;1;0
БашИнСв ап;60;20170515;180000;3.9;3.9;3.9;3.9;4;0
БашИнСв ап;60;20170516;180000;3.81;3.81;3.81;3.81;4;0
БашИнСв ап;60;20170518;160000;3.84;3.84;3.84;3.84;1;0
БашИнСв ап;60;20170518;170000;3.81;3.81;3.8;3.8;11;0
БашИнСв ап;60;20170519;160000;3.93;3.93;3.93;3.93;1;0
БашИнСв ап;60;20170522;170000;3.95;3.95;3.95;3.95;1;0
БашИнСв ап;60;20170526;180000;3.81;3.81;3.71;3.71;11;0
БашИнСв ап;60;20170529;180000;3.75;3.75;3.71;3.71;11;0
БашИнСв ап;60;20170530;110000;3.89;3.89;3.89;3.89;1;0
БашИнСв ап;60;20170530;130000;3.75;3.75;3.75;3.75;1;0
БашИнСв ап;60;20170531;170000;3.74;3.74;3.74;3.74;2;0
БашИнСв ап;60;20170601;110000;3.84;3.85;3.68;3.7;12;0
БашИнСв ап;60;20170601;130000;3.84;3.85;3.84;3.85;5;0
БашИнСв ап;60;20170601;160000;3.84;3.84;3.84;3.84;1;0
БашИнСв ап;60;20170602;170000;3.84;3.84;3.84;3.84;1;0
БашИнСв ап;60;20170605;170000;3.84;3.84;3.84;3.84;2;0
БашИнСв ап;60;20170606;170000;3.84;3.84;3.84;3.84;2;0
БашИнСв ап;60;20170606;180000;3.7;3.7;3.7;3.7;6;0
БашИнСв ап;60;20170607;100000;3.83;3.83;3.83;3.83;1;0
БашИнСв ап;60;20170607;140000;3.71;3.71;3.71;3.71;1;0
БашИнСв ап;60;20170607;160000;3.83;3.83;3.83;3.83;2;0
БашИнСв ап;60;20170607;180000;3.82;3.82;3.82;3.82;1;0
БашИнСв ап;60;20170608;170000;3.75;3.75;3.7;3.7;4;0
БашИнСв ап;60;20170609;180000;3.82;3.82;3.73;3.73;3;0
БашИнСв ап;60;20170613;140000;3.78;3.78;3.78;3.78;1;0
БашИнСв ап;60;20170614;120000;3.72;3.72;3.7;3.7;5;0
БашИнСв ап;60;20170614;130000;3.73;3.73;3.73;3.73;1;0
БашИнСв ап;60;20170614;160000;3.74;3.75;3.74;3.75;2;0
БашИнСв ап;60;20170615;110000;3.77;3.77;3.77;3.77;1;0
БашИнСв ап;60;20170615;140000;3.67;3.67;3.67;3.67;1;0
БашИнСв ап;60;20170616;100000;3.76;3.76;3.76;3.76;3;0
БашИнСв ап;60;20170616;160000;3.76;3.76;3.76;3.76;2;0
БашИнСв ап;60;20170620;110000;3.85;3.85;3.77;3.77;3;0
БашИнСв ап;60;20170620;160000;3.78;3.78;3.78;3.78;1;0
БашИнСв ап;60;20170621;110000;3.74;3.78;3.66;3.78;15;0
БашИнСв ап;60;20170621;170000;3.8;3.8;3.8;3.8;1;0
БашИнСв ап;60;20170622;160000;3.72;3.72;3.72;3.72;1;0
БашИнСв ап;60;20170622;180000;3.8;3.8;3.8;3.8;1;0
БашИнСв ап;60;20170623;130000;3.77;3.82;3.77;3.82;25;0
БашИнСв ап;60;20170623;180000;3.77;3.82;3.77;3.82;2;0
БашИнСв ап;60;20170626;100000;3.72;3.72;3.72;3.72;10;0
БашИнСв ап;60;20170627;140000;3.8;3.8;3.8;3.8;1;0
БашИнСв ап;60;20170627;170000;3.8;3.8;3.8;3.8;1;0
БашИнСв ап;60;20170628;110000;3.84;3.84;3.84;3.84;2;0
БашИнСв ап;60;20170628;120000;3.84;3.84;3.84;3.84;1;0
БашИнСв ап;60;20170628;150000;3.79;3.79;3.78;3.78;9;0
БашИнСв ап;60;20170628;160000;3.83;3.83;3.83;3.83;2;0
БашИнСв ап;60;20170629;120000;3.79;3.79;3.79;3.79;1;0
БашИнСв ап;60;20170629;150000;3.86;3.88;3.86;3.88;5;0
БашИнСв ап;60;20170630;100000;3.87;3.87;3.87;3.87;3;0
БашИнСв ап;60;20170703;100000;3.93;3.93;3.93;3.93;1;0
БашИнСв ап;60;20170704;100000;3.82;3.82;3.8;3.8;16;0
БашИнСв ап;60;20170704;110000;3.79;3.79;3.77;3.77;9;0
БашИнСв ап;60;20170704;130000;3.78;3.78;3.78;3.78;15;0
БашИнСв ап;60;20170704;180000;3.87;3.87;3.87;3.87;2;0
БашИнСв ап;60;20170706;100000;3.89;3.89;3.89;3.89;2;0
БашИнСв ап;60;20170706;110000;3.89;3.9;3.89;3.89;8;0
БашИнСв ап;60;20170706;120000;3.89;3.89;3.89;3.89;2;0
БашИнСв ап;60;20170706;130000;3.89;3.89;3.88;3.88;8;0
БашИнСв ап;60;20170706;140000;3.89;3.89;3.89;3.89;2;0
БашИнСв ап;60;20170706;150000;3.89;3.89;3.89;3.89;4;0
БашИнСв ап;60;20170706;160000;3.89;3.89;3.89;3.89;3;0
БашИнСв ап;60;20170706;170000;3.88;3.89;3.88;3.89;4;0
БашИнСв ап;60;20170706;180000;3.89;3.89;3.89;3.89;8;0
БашИнСв ап;60;20170707;120000;3.91;3.91;3.91;3.91;1;0
БашИнСв ап;60;20170707;180000;3.91;3.91;3.89;3.89;6;0
БашИнСв ап;60;20170710;100000;3.63;3.64;3.58;3.64;8;0
БашИнСв ап;60;20170710;110000;3.65;3.68;3.65;3.68;6;0
БашИнСв ап;60;20170710;120000;3.72;3.73;3.65;3.73;3;0
БашИнСв ап;60;20170710;160000;3.7;3.7;3.7;3.7;1;0
