<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Башнефт ао;60;20170124;100000;3655;3655;3641.5;3645;3614;0
Башнефт ао;60;20170124;110000;3645;3649.5;3645;3646.5;1339;0
Башнефт ао;60;20170124;120000;3646.5;3649;3645;3649;4658;0
Башнефт ао;60;20170124;130000;3645.5;3648.5;3642.5;3647;286;0
Башнефт ао;60;20170124;140000;3644.5;3644.5;3641;3642;4161;0
Башнефт ао;60;20170124;150000;3642.5;3645;3600;3607.5;13613;0
Башнефт ао;60;20170124;160000;3618;3631;3610;3626.5;11615;0
Башнефт ао;60;20170124;170000;3628;3643;3625;3643;7926;0
Башнефт ао;60;20170124;180000;3640.5;3654.5;3637;3652.5;9839;0
Башнефт ао;60;20170125;090000;3621.5;3621.5;3621.5;3621.5;13;0
Башнефт ао;60;20170125;100000;3629.5;3647.5;3622.5;3623;1129;0
Башнефт ао;60;20170125;110000;3623;3627;3601;3624;2346;0
Башнефт ао;60;20170125;120000;3624;3628;3608;3619;1062;0
Башнефт ао;60;20170125;130000;3618.5;3624.5;3605;3617;904;0
Башнефт ао;60;20170125;140000;3614.5;3620;3606;3616;206;0
Башнефт ао;60;20170125;150000;3608.5;3619.5;3603;3619;2545;0
Башнефт ао;60;20170125;160000;3619;3619;3603;3603;10862;0
Башнефт ао;60;20170125;170000;3611;3615.5;3601;3605;1439;0
Башнефт ао;60;20170125;180000;3605;3606;3580.5;3581;5192;0
Башнефт ао;60;20170126;090000;3550;3550;3550;3550;759;0
Башнефт ао;60;20170126;100000;3549.5;3575;3404;3493.5;9672;0
Башнефт ао;60;20170126;110000;3486.5;3519;3449.5;3484;3520;0
Башнефт ао;60;20170126;120000;3483.5;3492;3460.5;3492;3344;0
Башнефт ао;60;20170126;130000;3494;3515;3494;3515;1297;0
Башнефт ао;60;20170126;140000;3512.5;3520;3504.5;3510;774;0
Башнефт ао;60;20170126;150000;3510;3519.5;3504.5;3519.5;392;0
Башнефт ао;60;20170126;160000;3513.5;3519.5;3500;3510;1556;0
Башнефт ао;60;20170126;170000;3510;3551.5;3510;3550;3405;0
Башнефт ао;60;20170126;180000;3554;3637;3553.5;3620.5;4403;0
Башнефт ао;60;20170127;090000;3600;3600;3600;3600;1;0
Башнефт ао;60;20170127;100000;3599;3619;3562;3595.5;2153;0
Башнефт ао;60;20170127;110000;3595.5;3603.5;3590;3597.5;1443;0
Башнефт ао;60;20170127;120000;3598;3690;3597.5;3644.5;3000;0
Башнефт ао;60;20170127;130000;3669.5;3675;3622;3629;558;0
Башнефт ао;60;20170127;140000;3622.5;3649.5;3620;3621;536;0
Башнефт ао;60;20170127;150000;3621.5;3625;3615.5;3621;1130;0
Башнефт ао;60;20170127;160000;3631;3684.5;3621;3684.5;608;0
Башнефт ао;60;20170127;170000;3684.5;3689;3630;3684.5;1649;0
Башнефт ао;60;20170127;180000;3682.5;3690;3651.5;3675;3687;0
Башнефт ао;60;20170130;090000;3652.5;3652.5;3652.5;3652.5;12;0
Башнефт ао;60;20170130;100000;3641;3651;3575;3592.5;920;0
Башнефт ао;60;20170130;110000;3582.5;3684;3580;3676.5;1683;0
Башнефт ао;60;20170130;120000;3676;3679.5;3653.5;3655.5;185;0
Башнефт ао;60;20170130;130000;3656;3695;3656;3695;726;0
Башнефт ао;60;20170130;140000;3695;3706;3653;3653;870;0
Башнефт ао;60;20170130;150000;3668.5;3704.5;3668.5;3700;721;0
Башнефт ао;60;20170130;160000;3704.5;3705;3684;3688.5;219;0
Башнефт ао;60;20170130;170000;3689;3704.5;3651;3653;1195;0
Башнефт ао;60;20170130;180000;3655;3704.5;3655;3672.5;825;0
Башнефт ао;60;20170131;090000;3672;3672;3672;3672;14;0
Башнефт ао;60;20170131;100000;3662.5;4199.5;3662.5;3953.5;4270;0
Башнефт ао;60;20170131;110000;3948.5;4090;3915.5;3974;4421;0
Башнефт ао;60;20170131;120000;3955;4050;3950;3950;1928;0
Башнефт ао;60;20170131;130000;3950.5;3976.5;3932.5;3945.5;1974;0
Башнефт ао;60;20170131;140000;3946;3954.5;3875;3915.5;3659;0
Башнефт ао;60;20170131;150000;3902;3926;3885;3899.5;5684;0
Башнефт ао;60;20170131;160000;3893.5;3923;3875;3923;5081;0
Башнефт ао;60;20170131;170000;3923;4099;3910;4094;2368;0
Башнефт ао;60;20170131;180000;4094;4095;4026;4051;3048;0
Башнефт ао;60;20170201;090000;4200;4200;4200;4200;117;0
Башнефт ао;60;20170201;100000;4200;4239.5;4025;4115.5;3717;0
Башнефт ао;60;20170201;110000;4103.5;4433;4100.5;4433;5390;0
Башнефт ао;60;20170201;120000;4439;4798;4427;4476;5865;0
Башнефт ао;60;20170201;130000;4481;4499;4333;4383.5;2546;0
Башнефт ао;60;20170201;140000;4382;4399.5;4260.5;4324.5;1073;0
Башнефт ао;60;20170201;150000;4335.5;4370.5;4303.5;4370.5;613;0
Башнефт ао;60;20170201;160000;4364;4402.5;4331.5;4372;747;0
Башнефт ао;60;20170201;170000;4372.5;4372.5;4052.5;4052.5;3205;0
Башнефт ао;60;20170201;180000;4053.5;4129.5;4010;4076.5;3820;0
Башнефт ао;60;20170202;100000;4086;4159.5;4004;4007;3372;0
Башнефт ао;60;20170202;110000;4004.5;4010;3861;3866;3840;0
Башнефт ао;60;20170202;120000;3863;3912.5;3860.5;3901;965;0
Башнефт ао;60;20170202;130000;3899;3995.5;3899;3987.5;1740;0
Башнефт ао;60;20170202;140000;3987;4000;3957.5;3985.5;338;0
Башнефт ао;60;20170202;150000;3997;3997;3963;3963;85;0
Башнефт ао;60;20170202;160000;3959;3976.5;3890;3952.5;255;0
Башнефт ао;60;20170202;170000;3931.5;3949;3882;3940;315;0
Башнефт ао;60;20170202;180000;3906.5;3939.5;3869;3919;591;0
Башнефт ао;60;20170203;100000;3913.5;4024;3824;3932;864;0
Башнефт ао;60;20170203;110000;3936.5;3955;3890;3890.5;395;0
Башнефт ао;60;20170203;120000;3892;3905.5;3863.5;3869;264;0
Башнефт ао;60;20170203;130000;3861.5;3885.5;3756;3780;2184;0
Башнефт ао;60;20170203;140000;3775;3800;3769.5;3795;1330;0
Башнефт ао;60;20170203;150000;3773.5;3791;3750;3755;308;0
Башнефт ао;60;20170203;160000;3755;3799;3750;3799;241;0
Башнефт ао;60;20170203;170000;3799;3800;3757.5;3792.5;348;0
Башнефт ао;60;20170203;180000;3785.5;3800;3744.5;3749.5;2119;0
Башнефт ао;60;20170206;090000;3799;3799;3799;3799;1;0
Башнефт ао;60;20170206;100000;3781;3788.5;3669;3673.5;1676;0
Башнефт ао;60;20170206;110000;3674;3674;3631.5;3633.5;1700;0
Башнефт ао;60;20170206;120000;3633;3636.5;3601;3604.5;1067;0
Башнефт ао;60;20170206;130000;3604.5;3604.5;3595.5;3597;691;0
Башнефт ао;60;20170206;140000;3597.5;3622;3591;3612;257;0
Башнефт ао;60;20170206;150000;3612;3626.5;3606;3608;131;0
Башнефт ао;60;20170206;160000;3608;3608;3582;3587.5;553;0
Башнефт ао;60;20170206;170000;3585.5;3601.5;3554.5;3562;1731;0
Башнефт ао;60;20170206;180000;3562;3582.5;3507;3507.5;3481;0
Башнефт ао;60;20170207;090000;3539;3539;3539;3539;11;0
Башнефт ао;60;20170207;100000;3539;3539;3500;3501;1008;0
Башнефт ао;60;20170207;110000;3501;3501;3450;3468;1103;0
Башнефт ао;60;20170207;120000;3468;3479.5;3438;3443;1054;0
Башнефт ао;60;20170207;130000;3442.5;3470;3442;3463;260;0
Башнефт ао;60;20170207;140000;3463;3476.5;3452.5;3455.5;466;0
Башнефт ао;60;20170207;150000;3456;3498;3455.5;3491;542;0
Башнефт ао;60;20170207;160000;3498;3575;3492;3557;2866;0
Башнефт ао;60;20170207;170000;3559;3574.5;3557;3571.5;656;0
Башнефт ао;60;20170207;180000;3572;3575;3566;3575;560;0
Башнефт ао;60;20170208;100000;3564.5;3591;3507.5;3520.5;472;0
Башнефт ао;60;20170208;110000;3520.5;3524.5;3500;3516;401;0
Башнефт ао;60;20170208;120000;3525;3580;3518;3580;879;0
Башнефт ао;60;20170208;130000;3574.5;3580;3545;3570;354;0
Башнефт ао;60;20170208;140000;3570;3579.5;3548;3548;160;0
Башнефт ао;60;20170208;150000;3550.5;3568.5;3515;3532;229;0
Башнефт ао;60;20170208;160000;3543;3543.5;3515;3516;366;0
Башнефт ао;60;20170208;170000;3516;3516;3477;3494;683;0
Башнефт ао;60;20170208;180000;3481.5;3537.5;3481;3515;319;0
Башнефт ао;60;20170209;090000;3487;3487;3487;3487;1;0
Башнефт ао;60;20170209;100000;3487;3585;3487;3529.5;840;0
Башнефт ао;60;20170209;110000;3535;3548.5;3485.5;3491.5;322;0
Башнефт ао;60;20170209;120000;3491.5;3545;3485.5;3545;966;0
Башнефт ао;60;20170209;130000;3545;3585;3542.5;3585;1280;0
Башнефт ао;60;20170209;140000;3585;3717.5;3518.5;3690;7778;0
Башнефт ао;60;20170209;150000;3689;3700;3674;3700;2630;0
Башнефт ао;60;20170209;160000;3700;3720;3697.5;3720;4162;0
Башнефт ао;60;20170209;170000;3719.5;3724.5;3711;3723.5;6836;0
Башнефт ао;60;20170209;180000;3723.5;3780.5;3695;3780.5;3881;0
