<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Башнефт ап;60;20170124;100000;1322;1327;1305.5;1323.5;2643;0
Башнефт ап;60;20170124;110000;1322;1332;1321.5;1331.5;2475;0
Башнефт ап;60;20170124;120000;1331.5;1333;1323;1329.5;1378;0
Башнефт ап;60;20170124;130000;1330;1330;1326.5;1327;281;0
Башнефт ап;60;20170124;140000;1327;1330;1326.5;1329.5;359;0
Башнефт ап;60;20170124;150000;1327.5;1330;1324;1325;1285;0
Башнефт ап;60;20170124;160000;1323.5;1328;1322.5;1325.5;1153;0
Башнефт ап;60;20170124;170000;1325.5;1328.5;1325;1327.5;519;0
Башнефт ап;60;20170124;180000;1326;1326;1321.5;1321.5;1767;0
Башнефт ап;60;20170125;090000;1315;1315;1315;1315;54;0
Башнефт ап;60;20170125;100000;1321;1334.5;1315;1317;3830;0
Башнефт ап;60;20170125;110000;1318;1325;1314;1324;2215;0
Башнефт ап;60;20170125;120000;1324;1328;1321;1327.5;839;0
Башнефт ап;60;20170125;130000;1327.5;1330;1321.5;1326;1756;0
Башнефт ап;60;20170125;140000;1326;1329;1318;1320;931;0
Башнефт ап;60;20170125;150000;1325;1327;1319;1325;745;0
Башнефт ап;60;20170125;160000;1325;1329.5;1325;1325;684;0
Башнефт ап;60;20170125;170000;1327;1328.5;1317.5;1317.5;4069;0
Башнефт ап;60;20170125;180000;1316;1320;1316;1316;959;0
Башнефт ап;60;20170126;090000;1316;1316;1316;1316;35;0
Башнефт ап;60;20170126;100000;1321.5;1328.5;1317;1324;3837;0
Башнефт ап;60;20170126;110000;1324.5;1328.5;1317;1326.5;3084;0
Башнефт ап;60;20170126;120000;1324;1325.5;1319.5;1325.5;2259;0
Башнефт ап;60;20170126;130000;1325;1325;1316;1321;6636;0
Башнефт ап;60;20170126;140000;1321;1325;1315.5;1324;3492;0
Башнефт ап;60;20170126;150000;1324;1326.5;1317.5;1319.5;5488;0
Башнефт ап;60;20170126;160000;1320;1322;1318.5;1319;1295;0
Башнефт ап;60;20170126;170000;1319;1322;1318.5;1320;1371;0
Башнефт ап;60;20170126;180000;1320;1323.5;1318;1323.5;3312;0
Башнефт ап;60;20170127;090000;1329;1329;1329;1329;100;0
Башнефт ап;60;20170127;100000;1321;1336.5;1318;1336.5;7720;0
Башнефт ап;60;20170127;110000;1336;1361;1330;1358;9103;0
Башнефт ап;60;20170127;120000;1358;1366.5;1352;1365;11152;0
Башнефт ап;60;20170127;130000;1362.5;1367;1361.5;1362.5;1983;0
Башнефт ап;60;20170127;140000;1364;1364;1350.5;1353;5129;0
Башнефт ап;60;20170127;150000;1353;1360;1335;1360;12364;0
Башнефт ап;60;20170127;160000;1357.5;1362.5;1351;1362.5;4242;0
Башнефт ап;60;20170127;170000;1362;1362;1351;1355;1839;0
Башнефт ап;60;20170127;180000;1353.5;1356;1351.5;1355.5;3094;0
Башнефт ап;60;20170130;090000;1354.5;1354.5;1354.5;1354.5;15;0
Башнефт ап;60;20170130;100000;1350.5;1379.5;1341;1374;10045;0
Башнефт ап;60;20170130;110000;1374;1375.5;1363;1366;3183;0
Башнефт ап;60;20170130;120000;1366;1369;1363;1369;830;0
Башнефт ап;60;20170130;130000;1369.5;1377.5;1364.5;1376;2852;0
Башнефт ап;60;20170130;140000;1376;1377;1357;1361;4165;0
Башнефт ап;60;20170130;150000;1361;1364;1350;1359.5;6571;0
Башнефт ап;60;20170130;160000;1359;1361.5;1355.5;1360.5;1028;0
Башнефт ап;60;20170130;170000;1362;1365;1356;1356;2200;0
Башнефт ап;60;20170130;180000;1356;1359.5;1352;1353;2539;0
Башнефт ап;60;20170131;100000;1354.5;1388.5;1354.5;1364;10928;0
Башнефт ап;60;20170131;110000;1363.5;1370;1358;1364;10154;0
Башнефт ап;60;20170131;120000;1363.5;1368;1363;1367.5;4038;0
Башнефт ап;60;20170131;130000;1368;1373;1365;1370;7195;0
Башнефт ап;60;20170131;140000;1372.5;1376;1369;1369.5;4582;0
Башнефт ап;60;20170131;150000;1370;1371.5;1367.5;1368.5;2000;0
Башнефт ап;60;20170131;160000;1368.5;1373.5;1356;1362;9624;0
Башнефт ап;60;20170131;170000;1362.5;1367;1358;1361;3993;0
Башнефт ап;60;20170131;180000;1361;1363;1359.5;1362;2882;0
Башнефт ап;60;20170201;100000;1359;1389;1359;1381;12523;0
Башнефт ап;60;20170201;110000;1382;1394.5;1382;1387.5;11232;0
Башнефт ап;60;20170201;120000;1387.5;1398.5;1386;1394;18871;0
Башнефт ап;60;20170201;130000;1393.5;1413.5;1392;1402.5;16549;0
Башнефт ап;60;20170201;140000;1409;1487;1399;1466;38326;0
Башнефт ап;60;20170201;150000;1465;1465.5;1444;1453.5;32580;0
Башнефт ап;60;20170201;160000;1452;1456.5;1445;1448;7083;0
Башнефт ап;60;20170201;170000;1448;1448.5;1422;1425;17592;0
Башнефт ап;60;20170201;180000;1425;1430.5;1407;1415;14111;0
Башнефт ап;60;20170202;090000;1439;1439;1439;1439;100;0
Башнефт ап;60;20170202;100000;1435;1435;1400;1412;19386;0
Башнефт ап;60;20170202;110000;1413.5;1434;1405;1424;8860;0
Башнефт ап;60;20170202;120000;1424;1441;1422.5;1439;5969;0
Башнефт ап;60;20170202;130000;1439;1445;1438;1441.5;12592;0
Башнефт ап;60;20170202;140000;1441.5;1441.5;1422;1430.5;6485;0
Башнефт ап;60;20170202;150000;1430;1431.5;1424.5;1425.5;2781;0
Башнефт ап;60;20170202;160000;1425;1429.5;1417;1428.5;5163;0
Башнефт ап;60;20170202;170000;1428.5;1440;1428.5;1435.5;6520;0
Башнефт ап;60;20170202;180000;1431;1440;1423;1440;6722;0
Башнефт ап;60;20170203;090000;1447;1447;1447;1447;5;0
Башнефт ап;60;20170203;100000;1439.5;1465.5;1439.5;1451;10382;0
Башнефт ап;60;20170203;110000;1453.5;1454;1425;1434;5108;0
Башнефт ап;60;20170203;120000;1431.5;1440;1427.5;1433;6406;0
Башнефт ап;60;20170203;130000;1432.5;1445;1432.5;1441;7828;0
Башнефт ап;60;20170203;140000;1440.5;1455;1440.5;1455;7613;0
Башнефт ап;60;20170203;150000;1454.5;1460;1452;1455;13302;0
Башнефт ап;60;20170203;160000;1455;1460;1453.5;1458;5833;0
Башнефт ап;60;20170203;170000;1459.5;1460;1457;1457.5;4717;0
Башнефт ап;60;20170203;180000;1458;1459.5;1455.5;1459.5;5785;0
Башнефт ап;60;20170206;090000;1461;1461;1461;1461;15;0
Башнефт ап;60;20170206;100000;1464;1479.5;1436.5;1436.5;18112;0
Башнефт ап;60;20170206;110000;1436.5;1440;1431;1439.5;5684;0
Башнефт ап;60;20170206;120000;1439;1445.5;1433;1438.5;7943;0
Башнефт ап;60;20170206;130000;1438;1448;1435.5;1445;887;0
Башнефт ап;60;20170206;140000;1445.5;1450;1445.5;1449;1054;0
Башнефт ап;60;20170206;150000;1447;1448;1442.5;1444;654;0
Башнефт ап;60;20170206;160000;1445;1448;1437.5;1438.5;768;0
Башнефт ап;60;20170206;170000;1441.5;1446.5;1415;1430.5;9805;0
Башнефт ап;60;20170206;180000;1430;1434.5;1414.5;1420;11791;0
Башнефт ап;60;20170207;090000;1420;1420;1420;1420;71;0
Башнефт ап;60;20170207;100000;1420;1425.5;1402;1404;7124;0
Башнефт ап;60;20170207;110000;1404;1410;1400;1402;9490;0
Башнефт ап;60;20170207;120000;1402;1412;1401;1408;5967;0
Башнефт ап;60;20170207;130000;1408.5;1412.5;1406.5;1412.5;2997;0
Башнефт ап;60;20170207;140000;1412.5;1416;1410.5;1412.5;1383;0
Башнефт ап;60;20170207;150000;1412;1416;1409.5;1413;2971;0
Башнефт ап;60;20170207;160000;1413;1429.5;1412.5;1429;7603;0
Башнефт ап;60;20170207;170000;1429;1440;1420;1436;12169;0
Башнефт ап;60;20170207;180000;1435;1443.5;1434.5;1434.5;23426;0
Башнефт ап;60;20170208;090000;1438;1438;1438;1438;4;0
Башнефт ап;60;20170208;100000;1438;1450;1430.5;1437;4916;0
