<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Белон ао;60;20170124;100000;4.6;4.61;4.59;4.59;26;0
Белон ао;60;20170124;110000;4.6;4.62;4.59;4.62;115;0
Белон ао;60;20170124;120000;4.62;4.65;4.6;4.64;249;0
Белон ао;60;20170124;130000;4.64;4.67;4.6;4.67;292;0
Белон ао;60;20170124;140000;4.65;4.65;4.63;4.63;6;0
Белон ао;60;20170124;150000;4.63;4.63;4.62;4.62;45;0
Белон ао;60;20170124;160000;4.64;4.67;4.64;4.67;13;0
Белон ао;60;20170124;170000;4.65;4.68;4.65;4.66;80;0
Белон ао;60;20170124;180000;4.68;4.68;4.66;4.68;83;0
Белон ао;60;20170125;100000;4.69;4.69;4.54;4.58;1209;0
Белон ао;60;20170125;110000;4.56;4.58;4.53;4.57;1667;0
Белон ао;60;20170125;120000;4.57;4.57;4.57;4.57;16;0
Белон ао;60;20170125;130000;4.58;4.59;4.58;4.59;102;0
Белон ао;60;20170125;140000;4.59;4.59;4.55;4.58;345;0
Белон ао;60;20170125;150000;4.56;4.56;4.56;4.56;9;0
Белон ао;60;20170125;160000;4.59;4.62;4.59;4.62;605;0
Белон ао;60;20170125;170000;4.62;4.62;4.62;4.62;1;0
Белон ао;60;20170125;180000;4.61;4.62;4.6;4.62;123;0
Белон ао;60;20170126;110000;4.59;4.62;4.53;4.55;652;0
Белон ао;60;20170126;120000;4.55;4.61;4.55;4.61;209;0
Белон ао;60;20170126;140000;4.61;4.64;4.6;4.64;323;0
Белон ао;60;20170126;150000;4.61;4.63;4.59;4.62;196;0
Белон ао;60;20170126;160000;4.6;4.63;4.59;4.63;125;0
Белон ао;60;20170126;170000;4.63;4.63;4.63;4.63;50;0
Белон ао;60;20170126;180000;4.6;4.64;4.59;4.61;318;0
Белон ао;60;20170127;100000;4.59;4.6;4.51;4.56;886;0
Белон ао;60;20170127;110000;4.59;4.6;4.59;4.6;241;0
Белон ао;60;20170127;120000;4.6;4.62;4.57;4.62;98;0
Белон ао;60;20170127;130000;4.62;4.62;4.6;4.6;228;0
Белон ао;60;20170127;140000;4.6;4.6;4.6;4.6;42;0
Белон ао;60;20170127;150000;4.58;4.58;4.58;4.58;27;0
Белон ао;60;20170127;160000;4.6;4.64;4.6;4.64;158;0
Белон ао;60;20170127;170000;4.64;4.64;4.63;4.64;256;0
Белон ао;60;20170127;180000;4.64;4.65;4.64;4.65;821;0
Белон ао;60;20170130;100000;4.62;4.7;4.62;4.7;291;0
Белон ао;60;20170130;110000;4.65;4.7;4.65;4.65;254;0
Белон ао;60;20170130;120000;4.69;4.77;4.69;4.77;1047;0
Белон ао;60;20170130;130000;4.77;4.77;4.75;4.77;254;0
Белон ао;60;20170130;140000;4.78;4.78;4.76;4.76;56;0
Белон ао;60;20170130;150000;4.77;4.77;4.73;4.73;23;0
Белон ао;60;20170130;160000;4.73;4.74;4.73;4.74;403;0
Белон ао;60;20170130;170000;4.73;4.74;4.7;4.74;130;0
Белон ао;60;20170130;180000;4.7;4.73;4.69;4.73;216;0
Белон ао;60;20170131;100000;4.72;4.73;4.68;4.73;218;0
Белон ао;60;20170131;110000;4.73;4.73;4.73;4.73;7;0
Белон ао;60;20170131;120000;4.73;4.74;4.73;4.73;56;0
Белон ао;60;20170131;130000;4.72;4.73;4.69;4.72;114;0
Белон ао;60;20170131;140000;4.73;4.73;4.73;4.73;3;0
Белон ао;60;20170131;160000;4.72;4.73;4.72;4.73;25;0
Белон ао;60;20170131;170000;4.73;4.73;4.7;4.7;3;0
Белон ао;60;20170131;180000;4.72;4.72;4.72;4.72;10;0
Белон ао;60;20170201;100000;4.7;4.7;4.65;4.67;378;0
Белон ао;60;20170201;110000;4.68;4.7;4.66;4.7;250;0
Белон ао;60;20170201;130000;4.7;4.7;4.67;4.67;71;0
Белон ао;60;20170201;140000;4.66;4.66;4.65;4.66;151;0
Белон ао;60;20170201;150000;4.65;4.72;4.65;4.72;169;0
Белон ао;60;20170201;160000;4.72;4.74;4.65;4.65;438;0
Белон ао;60;20170201;170000;4.65;4.65;4.64;4.65;62;0
Белон ао;60;20170201;180000;4.65;4.65;4.63;4.63;58;0
Белон ао;60;20170202;100000;4.64;4.66;4.64;4.66;201;0
Белон ао;60;20170202;110000;4.66;4.72;4.66;4.72;433;0
Белон ао;60;20170202;120000;4.67;4.67;4.66;4.66;35;0
Белон ао;60;20170202;130000;4.71;4.74;4.7;4.7;91;0
Белон ао;60;20170202;140000;4.73;4.8;4.71;4.71;796;0
Белон ао;60;20170202;150000;4.72;4.72;4.68;4.71;389;0
Белон ао;60;20170202;160000;4.68;4.7;4.66;4.7;68;0
Белон ао;60;20170202;170000;4.67;4.68;4.64;4.64;854;0
Белон ао;60;20170202;180000;4.63;4.67;4.63;4.67;566;0
Белон ао;60;20170203;100000;4.69;4.7;4.68;4.7;18;0
Белон ао;60;20170203;110000;4.7;4.7;4.68;4.7;15;0
Белон ао;60;20170203;120000;4.7;4.73;4.7;4.73;48;0
Белон ао;60;20170203;130000;4.7;4.73;4.7;4.73;40;0
Белон ао;60;20170203;140000;4.74;4.74;4.7;4.7;87;0
Белон ао;60;20170203;160000;4.71;4.71;4.66;4.66;168;0
Белон ао;60;20170203;180000;4.69;4.69;4.66;4.69;27;0
Белон ао;60;20170206;100000;4.68;4.68;4.67;4.67;47;0
Белон ао;60;20170206;110000;4.71;4.72;4.67;4.72;47;0
Белон ао;60;20170206;120000;4.72;4.77;4.7;4.71;617;0
Белон ао;60;20170206;130000;4.71;4.71;4.7;4.7;64;0
Белон ао;60;20170206;140000;4.72;4.73;4.71;4.71;30;0
Белон ао;60;20170206;150000;4.71;4.72;4.71;4.72;47;0
Белон ао;60;20170206;160000;4.7;4.73;4.7;4.7;41;0
Белон ао;60;20170206;170000;4.7;4.7;4.65;4.65;269;0
Белон ао;60;20170206;180000;4.69;4.7;4.69;4.7;143;0
Белон ао;60;20170207;100000;4.71;4.71;4.71;4.71;24;0
Белон ао;60;20170207;110000;4.71;4.73;4.71;4.73;82;0
Белон ао;60;20170207;120000;4.71;4.73;4.71;4.73;14;0
Белон ао;60;20170207;130000;4.73;4.75;4.7;4.71;600;0
Белон ао;60;20170207;140000;4.71;4.71;4.71;4.71;5;0
Белон ао;60;20170207;150000;4.7;4.7;4.7;4.7;107;0
Белон ао;60;20170207;160000;4.71;4.71;4.71;4.71;1;0
Белон ао;60;20170207;170000;4.7;4.7;4.7;4.7;9;0
Белон ао;60;20170207;180000;4.7;4.73;4.67;4.73;93;0
Белон ао;60;20170208;100000;4.71;4.72;4.67;4.68;300;0
Белон ао;60;20170208;110000;4.71;4.71;4.69;4.69;13;0
Белон ао;60;20170208;120000;4.68;4.68;4.65;4.66;612;0
Белон ао;60;20170208;130000;4.67;4.67;4.66;4.67;23;0
Белон ао;60;20170208;140000;4.67;4.67;4.67;4.67;7;0
Белон ао;60;20170208;150000;4.67;4.67;4.67;4.67;1;0
Белон ао;60;20170208;160000;4.67;4.67;4.67;4.67;1;0
Белон ао;60;20170208;180000;4.66;4.68;4.66;4.68;22;0
Белон ао;60;20170209;100000;4.66;4.66;4.57;4.6;1159;0
Белон ао;60;20170209;110000;4.59;4.6;4.57;4.57;144;0
Белон ао;60;20170209;120000;4.58;4.59;4.55;4.55;663;0
Белон ао;60;20170209;130000;4.55;4.56;4.5;4.56;418;0
Белон ао;60;20170209;140000;4.52;4.53;4.32;4.53;10440;0
Белон ао;60;20170209;150000;4.53;4.53;4.51;4.51;253;0
Белон ао;60;20170209;160000;4.51;4.54;4.51;4.54;329;0
Белон ао;60;20170209;170000;4.53;4.54;4.52;4.54;38;0
Белон ао;60;20170209;180000;4.54;4.56;4.53;4.56;343;0
Белон ао;60;20170210;100000;4.51;4.58;4.5;4.56;326;0
Белон ао;60;20170210;110000;4.55;4.56;4.5;4.54;269;0
Белон ао;60;20170210;120000;4.53;4.53;4.52;4.53;221;0
Белон ао;60;20170210;130000;4.53;4.53;4.53;4.53;1;0
Белон ао;60;20170210;140000;4.52;4.53;4.51;4.53;108;0
Белон ао;60;20170210;150000;4.53;4.53;4.5;4.5;71;0
Белон ао;60;20170210;160000;4.53;4.53;4.53;4.53;3;0
Белон ао;60;20170210;180000;4.51;4.53;4.5;4.53;132;0
Белон ао;60;20170213;100000;4.54;4.54;4.52;4.53;163;0
Белон ао;60;20170213;110000;4.54;4.54;4.53;4.54;111;0
Белон ао;60;20170213;120000;4.55;4.55;4.53;4.55;3300;0
Белон ао;60;20170213;130000;4.52;4.55;4.52;4.55;1149;0
Белон ао;60;20170213;140000;4.53;4.53;4.53;4.53;49;0
Белон ао;60;20170213;150000;4.53;4.53;4.52;4.52;21;0
Белон ао;60;20170213;160000;4.54;4.55;4.54;4.54;105;0
Белон ао;60;20170213;170000;4.55;4.56;4.55;4.56;72;0
Белон ао;60;20170213;180000;4.55;4.56;4.55;4.56;15;0
Белон ао;60;20170214;100000;4.54;4.54;4.53;4.54;43;0
Белон ао;60;20170214;110000;4.54;4.54;4.49;4.49;520;0
Белон ао;60;20170214;120000;4.52;4.52;4.5;4.5;6;0
Белон ао;60;20170214;130000;4.49;4.5;4.48;4.5;12;0
Белон ао;60;20170214;140000;4.48;4.48;4.46;4.48;193;0
Белон ао;60;20170214;150000;4.48;4.48;4.44;4.45;296;0
Белон ао;60;20170214;160000;4.49;4.52;4.49;4.5;44;0
Белон ао;60;20170214;170000;4.51;4.55;4.49;4.52;234;0
Белон ао;60;20170214;180000;4.52;4.52;4.52;4.52;8;0
Белон ао;60;20170215;100000;4.43;4.45;4.26;4.35;3035;0
Белон ао;60;20170215;110000;4.35;4.37;4.3;4.37;649;0
Белон ао;60;20170215;120000;4.35;4.37;4.35;4.37;144;0
Белон ао;60;20170215;130000;4.38;4.38;4.36;4.37;97;0
Белон ао;60;20170215;140000;4.37;4.38;4.35;4.38;130;0
Белон ао;60;20170215;150000;4.37;4.37;4.35;4.37;320;0
Белон ао;60;20170215;160000;4.35;4.38;4.26;4.33;1252;0
Белон ао;60;20170215;170000;4.34;4.37;4.32;4.32;217;0
Белон ао;60;20170215;180000;4.36;4.36;4.34;4.34;58;0
Белон ао;60;20170216;100000;4.34;4.34;4.3;4.32;361;0
Белон ао;60;20170216;110000;4.3;4.3;4.29;4.29;158;0
Белон ао;60;20170216;120000;4.29;4.34;4.29;4.3;3312;0
Белон ао;60;20170216;130000;4.33;4.34;4.33;4.34;92;0
Белон ао;60;20170216;140000;4.34;4.34;4.32;4.32;12;0
Белон ао;60;20170216;150000;4.35;4.4;4.35;4.4;454;0
Белон ао;60;20170216;170000;4.39;4.4;4.24;4.32;1146;0
Белон ао;60;20170216;180000;4.34;4.4;4.29;4.36;1100;0
Белон ао;60;20170217;100000;4.36;4.4;4.36;4.4;178;0
Белон ао;60;20170217;110000;4.4;4.43;4.35;4.35;371;0
Белон ао;60;20170217;120000;4.35;4.39;4.34;4.39;75;0
Белон ао;60;20170217;140000;4.38;4.39;4.36;4.36;194;0
Белон ао;60;20170217;150000;4.35;4.35;4.35;4.35;10;0
Белон ао;60;20170217;160000;4.34;4.39;4.34;4.39;168;0
Белон ао;60;20170217;170000;4.37;4.37;4.34;4.34;121;0
Белон ао;60;20170217;180000;4.37;4.37;4.33;4.37;57;0
Белон ао;60;20170220;100000;4.34;4.35;4.28;4.3;788;0
Белон ао;60;20170220;110000;4.29;4.34;4.27;4.34;168;0
Белон ао;60;20170220;120000;4.3;4.3;4.29;4.3;305;0
Белон ао;60;20170220;130000;4.28;4.33;4.28;4.33;127;0
Белон ао;60;20170220;140000;4.3;4.3;4.3;4.3;18;0
Белон ао;60;20170220;150000;4.31;4.31;4.3;4.31;99;0
Белон ао;60;20170220;160000;4.32;4.33;4.32;4.33;16;0
Белон ао;60;20170220;170000;4.33;4.33;4.31;4.31;64;0
Белон ао;60;20170220;180000;4.31;4.33;4.29;4.29;1138;0
Белон ао;60;20170221;100000;4.3;4.3;4.3;4.3;5;0
Белон ао;60;20170221;130000;4.3;4.3;4.29;4.29;6;0
