<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Белуга ао;60;20170721;120000;622;622;622;622;1;0
Белуга ао;60;20170724;170000;605;605;605;605;1;0
Белуга ао;60;20170725;100000;613;615;613;615;5;0
Белуга ао;60;20170725;110000;615;615;615;615;1;0
Белуга ао;60;20170725;130000;616;616;616;616;1;0
Белуга ао;60;20170725;150000;619;622;619;622;3;0
Белуга ао;60;20170725;170000;625;625;625;625;2;0
Белуга ао;60;20170726;140000;625;625;625;625;1;0
Белуга ао;60;20170728;100000;666;683;600;600;9052;0
Белуга ао;60;20170728;110000;601;603;600;600;2426;0
Белуга ао;60;20170728;120000;606;606;600;606;8;0
Белуга ао;60;20170728;140000;604;605;604;605;2;0
Белуга ао;60;20170728;150000;604;605;604;605;7;0
Белуга ао;60;20170728;180000;603;604;603;604;7;0
Белуга ао;60;20170731;110000;620;620;600;602;9;0
Белуга ао;60;20170731;130000;601;601;601;601;2;0
Белуга ао;60;20170731;140000;605;605;605;605;1;0
Белуга ао;60;20170731;180000;602;602;602;602;1;0
Белуга ао;60;20170801;100000;640;842;630;820;76;0
Белуга ао;60;20170801;110000;820;830;650;650;105;0
Белуга ао;60;20170801;120000;699;699;674;699;9;0
Белуга ао;60;20170801;130000;670;685;670;685;2;0
Белуга ао;60;20170801;140000;680;684;669;670;7;0
Белуга ао;60;20170801;150000;669;679;669;679;7;0
Белуга ао;60;20170801;160000;680;680;680;680;2;0
Белуга ао;60;20170801;170000;698;698;694;694;2;0
Белуга ао;60;20170801;180000;685;685;679;679;66;0
Белуга ао;60;20170802;110000;670;670;650;650;2;0
Белуга ао;60;20170802;120000;640;640;618;618;10;0
Белуга ао;60;20170802;130000;635;669;622;622;5;0
Белуга ао;60;20170802;160000;621;621;621;621;3;0
Белуга ао;60;20170802;170000;626;650;626;650;32;0
Белуга ао;60;20170802;180000;652;652;652;652;21;0
Белуга ао;60;20170803;100000;680;680;679;679;12;0
Белуга ао;60;20170803;120000;650;650;650;650;2;0
Белуга ао;60;20170803;140000;650;650;650;650;8;0
Белуга ао;60;20170803;150000;650;650;650;650;10;0
Белуга ао;60;20170803;160000;630;630;630;630;1;0
Белуга ао;60;20170803;170000;631;631;628;628;17;0
Белуга ао;60;20170803;180000;650;650;650;650;1;0
Белуга ао;60;20170804;140000;648;648;648;648;1;0
Белуга ао;60;20170804;150000;646;646;646;646;1;0
Белуга ао;60;20170807;130000;620;620;620;620;1;0
Белуга ао;60;20170807;140000;619;619;619;619;1;0
Белуга ао;60;20170807;150000;615;615;615;615;2;0
Белуга ао;60;20170807;160000;633;633;633;633;1;0
Белуга ао;60;20170808;100000;614;625;612;612;69;0
Белуга ао;60;20170808;120000;611;619;606;619;34;0
Белуга ао;60;20170808;160000;618;628;618;628;13;0
Белуга ао;60;20170809;100000;616;616;616;616;2;0
Белуга ао;60;20170809;110000;621;621;621;621;1;0
Белуга ао;60;20170809;140000;621;621;600;600;5500;0
Белуга ао;60;20170809;150000;618;618;618;618;1;0
Белуга ао;60;20170809;180000;603;617;601;617;19;0
Белуга ао;60;20170810;100000;617;617;615;615;2;0
Белуга ао;60;20170810;110000;615;615;615;615;15;0
Белуга ао;60;20170810;150000;610;610;601;601;132;0
Белуга ао;60;20170810;160000;602;613;601;602;12;0
Белуга ао;60;20170810;170000;601;613;601;613;9;0
Белуга ао;60;20170810;180000;601;601;600;600;4;0
Белуга ао;60;20170811;090000;651;651;651;651;83;0
Белуга ао;60;20170811;110000;621;634;621;621;1003;0
Белуга ао;60;20170811;130000;634;635;634;635;2;0
Белуга ао;60;20170811;160000;625;625;625;625;2;0
Белуга ао;60;20170814;100000;631;631;630;630;6;0
Белуга ао;60;20170814;110000;620;620;611;611;7;0
Белуга ао;60;20170814;180000;615;615;615;615;1;0
Белуга ао;60;20170815;130000;637;637;637;637;1;0
Белуга ао;60;20170816;120000;610;610;610;610;2;0
Белуга ао;60;20170816;130000;610;610;600;600;10005;0
Белуга ао;60;20170816;140000;600;605;600;605;10033;0
Белуга ао;60;20170816;150000;615;618;615;618;9;0
Белуга ао;60;20170816;160000;617;630;606;606;26;0
Белуга ао;60;20170816;170000;614;614;614;614;1;0
Белуга ао;60;20170816;180000;614;614;614;614;5;0
Белуга ао;60;20170817;100000;602;602;600;600;11001;0
Белуга ао;60;20170817;110000;604;604;603;603;2;0
Белуга ао;60;20170817;130000;614;618;614;618;15;0
Белуга ао;60;20170817;140000;618;618;618;618;7;0
Белуга ао;60;20170817;150000;618;618;618;618;3;0
Белуга ао;60;20170817;160000;618;618;618;618;7;0
Белуга ао;60;20170817;170000;618;618;606;606;21;0
Белуга ао;60;20170817;180000;606;612;603;612;45;0
Белуга ао;60;20170818;100000;606;606;606;606;1;0
Белуга ао;60;20170818;150000;605;605;604;604;15;0
Белуга ао;60;20170818;170000;604;604;604;604;10;0
Белуга ао;60;20170821;150000;603;603;600;600;5000;0
Белуга ао;60;20170821;180000;602;602;602;602;2;0
Белуга ао;60;20170822;120000;601;601;601;601;2;0
Белуга ао;60;20170822;130000;601;608;600;608;30;0
Белуга ао;60;20170823;110000;608;608;602;602;2;0
Белуга ао;60;20170823;120000;602;602;601;601;2;0
