<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
БурЗолото;60;20170124;100000;1340;1340;1340;1340;2;0
БурЗолото;60;20170124;110000;1330;1330;1320;1320;7;0
БурЗолото;60;20170124;160000;1320;1320;1315;1315;3;0
БурЗолото;60;20170125;100000;1315;1315;1300;1305;13;0
БурЗолото;60;20170125;110000;1305;1305;1300;1300;5;0
БурЗолото;60;20170125;120000;1300;1300;1300;1300;1;0
БурЗолото;60;20170125;150000;1315;1315;1315;1315;1;0
БурЗолото;60;20170125;160000;1320;1320;1320;1320;1;0
БурЗолото;60;20170125;180000;1305;1305;1300;1300;5;0
БурЗолото;60;20170126;100000;1300;1300;1300;1300;5;0
БурЗолото;60;20170126;120000;1295;1295;1295;1295;7;0
БурЗолото;60;20170126;140000;1300;1315;1300;1315;3;0
БурЗолото;60;20170126;150000;1305;1305;1300;1300;3;0
БурЗолото;60;20170126;170000;1315;1315;1315;1315;1;0
БурЗолото;60;20170127;100000;1300;1300;1295;1295;2;0
БурЗолото;60;20170127;120000;1300;1305;1300;1300;94;0
БурЗолото;60;20170127;130000;1300;1300;1300;1300;2;0
БурЗолото;60;20170127;140000;1295;1295;1295;1295;193;0
БурЗолото;60;20170127;160000;1310;1310;1310;1310;1;0
БурЗолото;60;20170127;180000;1300;1315;1300;1315;5;0
БурЗолото;60;20170130;130000;1305;1305;1295;1295;7;0
БурЗолото;60;20170130;140000;1295;1295;1295;1295;10;0
БурЗолото;60;20170130;160000;1310;1310;1310;1310;1;0
БурЗолото;60;20170131;110000;1310;1310;1310;1310;1;0
БурЗолото;60;20170131;150000;1300;1300;1300;1300;1;0
БурЗолото;60;20170131;170000;1300;1310;1300;1300;60;0
БурЗолото;60;20170131;180000;1300;1300;1295;1295;2;0
БурЗолото;60;20170201;120000;1295;1295;1290;1290;2;0
БурЗолото;60;20170201;180000;1310;1310;1310;1310;10;0
БурЗолото;60;20170202;130000;1300;1300;1295;1295;5;0
БурЗолото;60;20170202;140000;1295;1295;1290;1290;9;0
БурЗолото;60;20170202;170000;1290;1290;1290;1290;8;0
БурЗолото;60;20170202;180000;1290;1290;1285;1285;2;0
БурЗолото;60;20170203;120000;1300;1300;1300;1300;1;0
БурЗолото;60;20170203;180000;1290;1290;1290;1290;5;0
БурЗолото;60;20170206;100000;1290;1310;1290;1310;11;0
БурЗолото;60;20170206;120000;1310;1325;1310;1325;235;0
БурЗолото;60;20170206;130000;1325;1330;1315;1315;30;0
БурЗолото;60;20170206;150000;1320;1320;1320;1320;7;0
БурЗолото;60;20170206;160000;1320;1320;1300;1300;153;0
БурЗолото;60;20170206;180000;1310;1310;1310;1310;1;0
БурЗолото;60;20170207;140000;1325;1325;1325;1325;1;0
БурЗолото;60;20170207;160000;1310;1310;1305;1305;28;0
БурЗолото;60;20170207;170000;1305;1305;1305;1305;3;0
БурЗолото;60;20170207;180000;1300;1305;1300;1305;4;0
БурЗолото;60;20170208;110000;1300;1300;1290;1290;7;0
БурЗолото;60;20170208;120000;1290;1300;1290;1290;14;0
БурЗолото;60;20170208;150000;1290;1290;1285;1285;2;0
БурЗолото;60;20170208;180000;1300;1300;1300;1300;5;0
БурЗолото;60;20170209;110000;1300;1300;1300;1300;5;0
БурЗолото;60;20170209;180000;1285;1300;1285;1300;6;0
БурЗолото;60;20170210;100000;1300;1300;1300;1300;5;0
БурЗолото;60;20170210;110000;1290;1290;1275;1280;18;0
БурЗолото;60;20170210;120000;1275;1275;1275;1275;4;0
БурЗолото;60;20170210;160000;1290;1300;1290;1300;70;0
БурЗолото;60;20170213;100000;1300;1300;1300;1300;5;0
БурЗолото;60;20170213;140000;1300;1300;1300;1300;1;0
БурЗолото;60;20170213;160000;1285;1285;1275;1275;5;0
БурЗолото;60;20170213;180000;1275;1275;1275;1275;2;0
БурЗолото;60;20170214;100000;1295;1295;1295;1295;3;0
БурЗолото;60;20170214;110000;1300;1300;1300;1300;2;0
БурЗолото;60;20170214;120000;1295;1295;1295;1295;47;0
БурЗолото;60;20170214;130000;1295;1295;1295;1295;8;0
БурЗолото;60;20170214;140000;1295;1295;1295;1295;12;0
БурЗолото;60;20170214;170000;1295;1300;1295;1295;36;0
БурЗолото;60;20170214;180000;1300;1300;1300;1300;4;0
БурЗолото;60;20170215;100000;1300;1300;1300;1300;5;0
БурЗолото;60;20170215;110000;1300;1300;1300;1300;28;0
БурЗолото;60;20170215;140000;1300;1300;1300;1300;3;0
БурЗолото;60;20170215;150000;1300;1300;1300;1300;2;0
БурЗолото;60;20170215;170000;1300;1300;1300;1300;40;0
БурЗолото;60;20170215;180000;1285;1300;1285;1300;4;0
БурЗолото;60;20170216;100000;1300;1300;1300;1300;1;0
БурЗолото;60;20170216;120000;1295;1300;1295;1295;18;0
БурЗолото;60;20170216;180000;1300;1300;1300;1300;280;0
БурЗолото;60;20170217;100000;1300;1315;1300;1315;11;0
БурЗолото;60;20170217;120000;1315;1315;1300;1300;10;0
БурЗолото;60;20170217;140000;1300;1315;1300;1315;399;0
БурЗолото;60;20170217;160000;1300;1300;1300;1300;3;0
БурЗолото;60;20170217;170000;1295;1295;1295;1295;5;0
БурЗолото;60;20170217;180000;1310;1310;1310;1310;1;0
БурЗолото;60;20170220;100000;1310;1310;1310;1310;2;0
БурЗолото;60;20170220;120000;1315;1315;1315;1315;7;0
БурЗолото;60;20170220;130000;1320;1320;1320;1320;2;0
БурЗолото;60;20170220;140000;1315;1315;1315;1315;5;0
БурЗолото;60;20170220;170000;1315;1315;1315;1315;8;0
БурЗолото;60;20170221;100000;1305;1305;1300;1300;9;0
БурЗолото;60;20170222;100000;1315;1320;1315;1320;5;0
БурЗолото;60;20170222;110000;1320;1320;1320;1320;15;0
БурЗолото;60;20170222;120000;1310;1310;1300;1300;700;0
БурЗолото;60;20170224;120000;1295;1295;1290;1290;3;0
БурЗолото;60;20170224;130000;1290;1290;1290;1290;4;0
БурЗолото;60;20170224;150000;1295;1295;1295;1295;30;0
БурЗолото;60;20170224;160000;1295;1295;1295;1295;20;0
БурЗолото;60;20170224;180000;1295;1295;1295;1295;10;0
БурЗолото;60;20170227;130000;1285;1285;1285;1285;2;0
БурЗолото;60;20170227;140000;1280;1280;1280;1280;3;0
БурЗолото;60;20170227;150000;1280;1280;1275;1275;5;0
БурЗолото;60;20170227;160000;1275;1275;1275;1275;3;0
БурЗолото;60;20170227;180000;1285;1285;1285;1285;34;0
БурЗолото;60;20170301;180000;1285;1295;1285;1295;6;0
