<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ВСМПО-АВСМ;60;20170124;100000;14730;14730;14710;14730;5;0
ВСМПО-АВСМ;60;20170124;110000;14720;14730;14700;14700;8;0
ВСМПО-АВСМ;60;20170124;130000;14740;14740;14740;14740;25;0
ВСМПО-АВСМ;60;20170124;140000;14740;14740;14700;14700;6;0
ВСМПО-АВСМ;60;20170124;160000;14700;14730;14700;14730;9;0
ВСМПО-АВСМ;60;20170124;170000;14670;14700;14580;14700;13;0
ВСМПО-АВСМ;60;20170125;100000;14630;14650;14620;14630;7;0
ВСМПО-АВСМ;60;20170125;110000;14680;14680;14580;14580;26;0
ВСМПО-АВСМ;60;20170125;120000;14600;14680;14600;14670;28;0
ВСМПО-АВСМ;60;20170125;130000;14620;14620;14620;14620;2;0
ВСМПО-АВСМ;60;20170125;140000;14630;14630;14620;14620;2;0
ВСМПО-АВСМ;60;20170125;150000;14680;14680;14650;14650;2;0
ВСМПО-АВСМ;60;20170125;160000;14680;14690;14650;14690;6;0
ВСМПО-АВСМ;60;20170125;180000;14630;14690;14630;14690;13;0
ВСМПО-АВСМ;60;20170126;100000;14660;14680;14650;14680;10;0
ВСМПО-АВСМ;60;20170126;110000;14670;14670;14670;14670;1;0
ВСМПО-АВСМ;60;20170126;120000;14670;14670;14550;14570;15;0
ВСМПО-АВСМ;60;20170126;130000;14640;14650;14600;14650;14;0
ВСМПО-АВСМ;60;20170126;140000;14630;14630;14620;14620;2;0
ВСМПО-АВСМ;60;20170126;150000;14620;14630;14620;14630;8;0
ВСМПО-АВСМ;60;20170126;160000;14640;14650;14640;14650;4;0
ВСМПО-АВСМ;60;20170126;170000;14650;14650;14540;14540;36;0
ВСМПО-АВСМ;60;20170126;180000;14620;14640;14580;14580;3;0
ВСМПО-АВСМ;60;20170127;100000;14600;14600;14600;14600;2;0
ВСМПО-АВСМ;60;20170127;110000;14580;14580;14550;14550;7;0
ВСМПО-АВСМ;60;20170127;120000;14550;14580;14550;14550;14;0
ВСМПО-АВСМ;60;20170127;130000;14570;14620;14570;14620;32;0
ВСМПО-АВСМ;60;20170127;140000;14620;14620;14620;14620;15;0
ВСМПО-АВСМ;60;20170127;150000;14630;14660;14630;14660;7;0
ВСМПО-АВСМ;60;20170127;160000;14640;14670;14640;14670;8;0
ВСМПО-АВСМ;60;20170127;170000;14660;14680;14660;14680;3;0
ВСМПО-АВСМ;60;20170127;180000;14680;14700;14680;14700;9;0
ВСМПО-АВСМ;60;20170130;100000;14710;14730;14670;14720;11;0
ВСМПО-АВСМ;60;20170130;110000;14730;14750;14730;14740;168;0
ВСМПО-АВСМ;60;20170130;120000;14740;14750;14740;14750;136;0
ВСМПО-АВСМ;60;20170130;130000;14730;14750;14730;14740;12;0
ВСМПО-АВСМ;60;20170130;140000;14750;14750;14750;14750;10;0
ВСМПО-АВСМ;60;20170130;150000;14750;14750;14730;14730;40;0
ВСМПО-АВСМ;60;20170130;160000;14730;14730;14730;14730;2;0
ВСМПО-АВСМ;60;20170130;170000;14730;14740;14730;14740;7;0
ВСМПО-АВСМ;60;20170130;180000;14720;14730;14710;14730;15;0
ВСМПО-АВСМ;60;20170131;100000;14710;14790;14700;14740;24;0
ВСМПО-АВСМ;60;20170131;110000;14740;14750;14740;14740;21;0
ВСМПО-АВСМ;60;20170131;120000;14740;14740;14670;14670;21;0
ВСМПО-АВСМ;60;20170131;130000;14670;14670;14610;14610;8;0
ВСМПО-АВСМ;60;20170131;150000;14670;14670;14670;14670;7;0
ВСМПО-АВСМ;60;20170131;160000;14650;14660;14630;14660;4;0
ВСМПО-АВСМ;60;20170131;180000;14670;14670;14670;14670;2;0
ВСМПО-АВСМ;60;20170201;120000;14700;14750;14700;14750;170;0
ВСМПО-АВСМ;60;20170201;140000;14740;14740;14740;14740;3;0
ВСМПО-АВСМ;60;20170201;150000;14710;14710;14710;14710;1;0
ВСМПО-АВСМ;60;20170201;170000;14710;14710;14670;14670;21;0
ВСМПО-АВСМ;60;20170201;180000;14680;14690;14680;14690;4;0
ВСМПО-АВСМ;60;20170202;100000;14740;14750;14600;14600;47;0
ВСМПО-АВСМ;60;20170202;110000;14680;14740;14680;14740;20;0
ВСМПО-АВСМ;60;20170202;120000;14730;14750;14610;14610;30;0
ВСМПО-АВСМ;60;20170202;140000;14670;14700;14670;14700;3;0
ВСМПО-АВСМ;60;20170202;150000;14700;14730;14700;14730;4;0
ВСМПО-АВСМ;60;20170202;170000;14690;14690;14660;14660;7;0
ВСМПО-АВСМ;60;20170202;180000;14630;14660;14600;14600;51;0
ВСМПО-АВСМ;60;20170203;110000;14620;14640;14610;14640;6;0
ВСМПО-АВСМ;60;20170203;120000;14640;14640;14640;14640;1;0
ВСМПО-АВСМ;60;20170203;130000;14650;14650;14650;14650;3;0
ВСМПО-АВСМ;60;20170203;140000;14650;14680;14620;14620;5;0
ВСМПО-АВСМ;60;20170203;150000;14680;14690;14630;14630;6;0
ВСМПО-АВСМ;60;20170203;160000;14690;14690;14640;14640;3;0
ВСМПО-АВСМ;60;20170203;170000;14690;14700;14640;14680;7;0
ВСМПО-АВСМ;60;20170206;100000;14660;14690;14610;14610;21;0
ВСМПО-АВСМ;60;20170206;110000;14620;14670;14600;14670;3;0
ВСМПО-АВСМ;60;20170206;120000;14670;14700;14590;14600;41;0
ВСМПО-АВСМ;60;20170206;130000;14600;14600;14600;14600;2;0
ВСМПО-АВСМ;60;20170206;140000;14620;14620;14600;14600;2;0
ВСМПО-АВСМ;60;20170206;150000;14620;14630;14620;14630;3;0
ВСМПО-АВСМ;60;20170206;160000;14620;14630;14620;14630;5;0
ВСМПО-АВСМ;60;20170206;170000;14610;14610;14610;14610;1;0
ВСМПО-АВСМ;60;20170206;180000;14630;14630;14630;14630;7;0
ВСМПО-АВСМ;60;20170207;100000;14660;14750;14600;14600;54;0
ВСМПО-АВСМ;60;20170207;110000;14600;14610;14600;14610;21;0
ВСМПО-АВСМ;60;20170207;120000;14610;14620;14560;14560;39;0
ВСМПО-АВСМ;60;20170207;130000;14600;14600;14560;14560;17;0
ВСМПО-АВСМ;60;20170207;140000;14590;14600;14500;14520;98;0
ВСМПО-АВСМ;60;20170207;150000;14520;14520;14490;14490;68;0
ВСМПО-АВСМ;60;20170207;160000;14490;14500;14490;14500;13;0
ВСМПО-АВСМ;60;20170207;170000;14490;14490;14430;14490;12;0
ВСМПО-АВСМ;60;20170207;180000;14490;14500;14490;14500;11;0
ВСМПО-АВСМ;60;20170208;100000;14510;14510;14470;14470;28;0
ВСМПО-АВСМ;60;20170208;110000;14490;14500;14380;14430;123;0
ВСМПО-АВСМ;60;20170208;120000;14370;14400;14350;14400;18;0
ВСМПО-АВСМ;60;20170208;130000;14400;14400;14370;14370;21;0
ВСМПО-АВСМ;60;20170208;140000;14370;14400;14370;14400;16;0
ВСМПО-АВСМ;60;20170208;150000;14400;14400;14390;14390;5;0
ВСМПО-АВСМ;60;20170208;170000;14390;14390;14300;14300;53;0
ВСМПО-АВСМ;60;20170208;180000;14310;14320;14200;14200;53;0
ВСМПО-АВСМ;60;20170209;100000;14180;14180;13990;14100;125;0
