<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ВТБ ао;60;20170124;090000;0.06868;0.06868;0.06868;0.06868;173;0
ВТБ ао;60;20170124;100000;0.06869;0.06907;0.06854;0.06905;109829;0
ВТБ ао;60;20170124;110000;0.069;0.0693;0.06862;0.06866;167747;0
ВТБ ао;60;20170124;120000;0.06868;0.06887;0.06865;0.06885;61065;0
ВТБ ао;60;20170124;130000;0.06883;0.06899;0.0687;0.06896;101143;0
ВТБ ао;60;20170124;140000;0.06895;0.06897;0.0687;0.06876;56595;0
ВТБ ао;60;20170124;150000;0.06873;0.06893;0.06872;0.06887;38240;0
ВТБ ао;60;20170124;160000;0.06886;0.069;0.06875;0.06893;116797;0
ВТБ ао;60;20170124;170000;0.06893;0.06894;0.0688;0.0689;86625;0
ВТБ ао;60;20170124;180000;0.0689;0.0689;0.06836;0.0685;550009;0
ВТБ ао;60;20170125;090000;0.06865;0.06865;0.06865;0.06865;213;0
ВТБ ао;60;20170125;100000;0.06865;0.06882;0.06844;0.06852;69932;0
ВТБ ао;60;20170125;110000;0.06847;0.06869;0.06827;0.06869;68160;0
ВТБ ао;60;20170125;120000;0.06869;0.06878;0.06856;0.06866;56997;0
ВТБ ао;60;20170125;130000;0.06868;0.06875;0.06857;0.06871;10476;0
ВТБ ао;60;20170125;140000;0.06873;0.06886;0.06866;0.06877;36106;0
ВТБ ао;60;20170125;150000;0.06875;0.069;0.0687;0.06888;207116;0
ВТБ ао;60;20170125;160000;0.06888;0.06909;0.06887;0.06896;166459;0
ВТБ ао;60;20170125;170000;0.06896;0.0692;0.06891;0.06897;214890;0
ВТБ ао;60;20170125;180000;0.06894;0.06899;0.06848;0.0685;382468;0
ВТБ ао;60;20170126;090000;0.0687;0.0687;0.0687;0.0687;1276;0
ВТБ ао;60;20170126;100000;0.06875;0.0692;0.06862;0.06887;156886;0
ВТБ ао;60;20170126;110000;0.06888;0.06909;0.06888;0.06906;115294;0
ВТБ ао;60;20170126;120000;0.06908;0.06915;0.06897;0.06913;74712;0
ВТБ ао;60;20170126;130000;0.06913;0.06995;0.06911;0.06932;979938;0
ВТБ ао;60;20170126;140000;0.06931;0.06943;0.06885;0.06905;464210;0
ВТБ ао;60;20170126;150000;0.06905;0.06912;0.06895;0.069;282731;0
ВТБ ао;60;20170126;160000;0.069;0.06927;0.06891;0.06895;183696;0
ВТБ ао;60;20170126;170000;0.06895;0.06917;0.0689;0.06895;474843;0
ВТБ ао;60;20170126;180000;0.06894;0.0691;0.06893;0.06909;133313;0
ВТБ ао;60;20170127;090000;0.06937;0.06937;0.06937;0.06937;1802;0
ВТБ ао;60;20170127;100000;0.06931;0.06937;0.06885;0.06912;155053;0
ВТБ ао;60;20170127;110000;0.06911;0.06917;0.06896;0.0691;127106;0
ВТБ ао;60;20170127;120000;0.06913;0.06977;0.0691;0.06976;310672;0
ВТБ ао;60;20170127;130000;0.06972;0.07015;0.06953;0.06962;489380;0
ВТБ ао;60;20170127;140000;0.06963;0.06963;0.06935;0.06935;132407;0
ВТБ ао;60;20170127;150000;0.0694;0.0696;0.06917;0.0692;327067;0
ВТБ ао;60;20170127;160000;0.0692;0.0698;0.06907;0.06971;439221;0
ВТБ ао;60;20170127;170000;0.06974;0.06995;0.06962;0.0697;412855;0
ВТБ ао;60;20170127;180000;0.06971;0.06995;0.06954;0.0697;417631;0
ВТБ ао;60;20170130;090000;0.06985;0.06985;0.06985;0.06985;2521;0
ВТБ ао;60;20170130;100000;0.06981;0.07075;0.0697;0.07029;493463;0
ВТБ ао;60;20170130;110000;0.07029;0.07057;0.07004;0.07008;249697;0
ВТБ ао;60;20170130;120000;0.07008;0.0702;0.06985;0.07005;145964;0
ВТБ ао;60;20170130;130000;0.07008;0.0703;0.07005;0.07026;101332;0
ВТБ ао;60;20170130;140000;0.07025;0.07026;0.07002;0.07002;48727;0
ВТБ ао;60;20170130;150000;0.07005;0.07011;0.06971;0.06975;109494;0
ВТБ ао;60;20170130;160000;0.06976;0.06987;0.06942;0.06956;162084;0
ВТБ ао;60;20170130;170000;0.06956;0.06974;0.06941;0.06955;74074;0
ВТБ ао;60;20170130;180000;0.06954;0.06964;0.06935;0.0694;107111;0
ВТБ ао;60;20170131;090000;0.0693;0.0693;0.0693;0.0693;1934;0
ВТБ ао;60;20170131;100000;0.0693;0.0697;0.0693;0.06954;81131;0
ВТБ ао;60;20170131;110000;0.06952;0.0696;0.06851;0.06881;384316;0
ВТБ ао;60;20170131;120000;0.0688;0.06885;0.06859;0.06877;110370;0
ВТБ ао;60;20170131;130000;0.06877;0.06895;0.06865;0.06884;58516;0
ВТБ ао;60;20170131;140000;0.06885;0.06892;0.06872;0.06876;54588;0
ВТБ ао;60;20170131;150000;0.06875;0.06877;0.06865;0.06869;59270;0
ВТБ ао;60;20170131;160000;0.06869;0.06916;0.06867;0.06915;91183;0
ВТБ ао;60;20170131;170000;0.06913;0.06928;0.06904;0.06913;74518;0
ВТБ ао;60;20170131;180000;0.06917;0.06928;0.06885;0.06897;78714;0
