<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ВТОРРЕСао;60;20170124;100000;1.1;1.1;0.85;0.88;2031;0
ВТОРРЕСао;60;20170124;110000;0.86;0.88;0.85;0.86;2547;0
ВТОРРЕСао;60;20170124;120000;0.87;0.88;0.86;0.87;1144;0
ВТОРРЕСао;60;20170124;130000;0.87;0.87;0.86;0.87;230;0
ВТОРРЕСао;60;20170124;140000;0.87;0.96;0.87;0.96;12856;0
ВТОРРЕСао;60;20170124;150000;0.94;0.95;0.88;0.88;9734;0
ВТОРРЕСао;60;20170124;160000;0.89;0.9;0.88;0.88;2235;0
ВТОРРЕСао;60;20170124;170000;0.88;0.89;0.88;0.88;814;0
ВТОРРЕСао;60;20170124;180000;0.89;0.89;0.88;0.88;1040;0
ВТОРРЕСао;60;20170125;100000;0.6;0.92;0.6;0.89;1817;0
ВТОРРЕСао;60;20170125;110000;0.88;0.97;0.87;0.9;4320;0
ВТОРРЕСао;60;20170125;120000;0.9;0.9;0.88;0.88;622;0
ВТОРРЕСао;60;20170125;130000;0.88;0.88;0.85;0.88;4204;0
ВТОРРЕСао;60;20170125;140000;0.88;0.88;0.86;0.88;2121;0
ВТОРРЕСао;60;20170125;150000;0.88;0.88;0.88;0.88;35;0
ВТОРРЕСао;60;20170125;160000;0.87;0.92;0.87;0.92;2842;0
ВТОРРЕСао;60;20170125;170000;0.92;0.94;0.9;0.93;1901;0
ВТОРРЕСао;60;20170125;180000;0.92;0.93;0.92;0.92;625;0
ВТОРРЕСао;60;20170126;100000;0.91;0.95;0.89;0.91;1813;0
ВТОРРЕСао;60;20170126;110000;0.89;0.9;0.89;0.9;702;0
ВТОРРЕСао;60;20170126;120000;0.9;0.92;0.9;0.91;1170;0
ВТОРРЕСао;60;20170126;130000;0.9;0.91;0.89;0.91;732;0
ВТОРРЕСао;60;20170126;140000;0.89;0.9;0.89;0.9;203;0
ВТОРРЕСао;60;20170126;150000;0.89;0.91;0.89;0.91;162;0
ВТОРРЕСао;60;20170126;160000;0.9;0.91;0.89;0.9;595;0
ВТОРРЕСао;60;20170126;170000;0.9;0.91;0.89;0.9;1137;0
ВТОРРЕСао;60;20170126;180000;0.9;0.91;0.89;0.91;149;0
ВТОРРЕСао;60;20170127;100000;1.18;1.18;0.89;0.91;371;0
ВТОРРЕСао;60;20170127;110000;0.91;0.93;0.91;0.93;1830;0
ВТОРРЕСао;60;20170127;120000;0.93;0.93;0.92;0.93;941;0
ВТОРРЕСао;60;20170127;130000;0.92;0.93;0.91;0.91;382;0
ВТОРРЕСао;60;20170127;140000;0.92;0.92;0.91;0.91;45;0
ВТОРРЕСао;60;20170127;150000;0.92;0.93;0.91;0.93;128;0
ВТОРРЕСао;60;20170127;160000;0.92;0.94;0.91;0.94;7388;0
ВТОРРЕСао;60;20170127;170000;0.94;1.1;0.93;1.06;31881;0
ВТОРРЕСао;60;20170127;180000;1.07;1.22;1.06;1.15;51374;0
ВТОРРЕСао;60;20170130;100000;1.3;1.3;1.03;1.08;23952;0
ВТОРРЕСао;60;20170130;110000;1.08;1.1;1.06;1.09;2122;0
ВТОРРЕСао;60;20170130;120000;1.07;1.16;1.06;1.14;6189;0
ВТОРРЕСао;60;20170130;130000;1.14;1.15;1.06;1.12;6924;0
ВТОРРЕСао;60;20170130;140000;1.1;1.11;1.06;1.09;2208;0
ВТОРРЕСао;60;20170130;150000;1.11;1.15;1.1;1.12;2901;0
ВТОРРЕСао;60;20170130;160000;1.12;1.13;1.09;1.13;973;0
ВТОРРЕСао;60;20170130;170000;1.13;1.13;1.1;1.11;1167;0
ВТОРРЕСао;60;20170130;180000;1.11;1.22;1.11;1.2;16188;0
ВТОРРЕСао;60;20170131;100000;1.18;1.26;1.17;1.2;8175;0
ВТОРРЕСао;60;20170131;110000;1.2;1.2;1.13;1.17;3642;0
ВТОРРЕСао;60;20170131;120000;1.17;1.23;1.17;1.23;3377;0
ВТОРРЕСао;60;20170131;130000;1.23;1.28;1.21;1.27;18926;0
ВТОРРЕСао;60;20170131;140000;1.27;1.28;1.22;1.28;7182;0
ВТОРРЕСао;60;20170131;150000;1.27;1.28;1.26;1.27;6388;0
ВТОРРЕСао;60;20170131;160000;1.27;1.27;1.22;1.22;3398;0
ВТОРРЕСао;60;20170131;170000;1.24;1.25;1.23;1.25;293;0
ВТОРРЕСао;60;20170131;180000;1.24;1.25;1.2;1.22;5590;0
ВТОРРЕСао;60;20170201;100000;1.25;1.28;1.17;1.27;12323;0
