<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ВХЗ-ао;60;20170124;100000;104;104;104;104;53;0
ВХЗ-ао;60;20170124;110000;104;104;103;103;129;0
ВХЗ-ао;60;20170124;120000;103;104;102.5;104;157;0
ВХЗ-ао;60;20170124;130000;103;104;103;104;26;0
ВХЗ-ао;60;20170124;140000;104;104.5;104;104;106;0
ВХЗ-ао;60;20170124;150000;103.5;104;103.5;104;32;0
ВХЗ-ао;60;20170124;160000;103.5;103.5;103.5;103.5;1;0
ВХЗ-ао;60;20170124;170000;104;104;104;104;56;0
ВХЗ-ао;60;20170124;180000;104;104;104;104;13;0
ВХЗ-ао;60;20170125;100000;104;104;102.5;103;144;0
ВХЗ-ао;60;20170125;110000;103;104;103;104;133;0
ВХЗ-ао;60;20170125;120000;103.5;103.5;103.5;103.5;1;0
ВХЗ-ао;60;20170125;130000;104;104;104;104;1;0
ВХЗ-ао;60;20170125;140000;103.5;103.5;103;103;42;0
ВХЗ-ао;60;20170125;150000;103;103;101;102.5;398;0
ВХЗ-ао;60;20170125;160000;102;103;102;102;34;0
ВХЗ-ао;60;20170125;170000;102;102.5;101.5;102;119;0
ВХЗ-ао;60;20170125;180000;102;103;102;103;39;0
ВХЗ-ао;60;20170126;090000;102.5;102.5;102.5;102.5;1;0
ВХЗ-ао;60;20170126;100000;102.5;102.5;101.5;101.5;27;0
ВХЗ-ао;60;20170126;110000;102;102;99.5;100.5;921;0
ВХЗ-ао;60;20170126;120000;100;102;100;101.5;317;0
ВХЗ-ао;60;20170126;130000;101.5;102;101.5;101.5;53;0
ВХЗ-ао;60;20170126;140000;100.5;101.5;100.5;101;86;0
ВХЗ-ао;60;20170126;150000;101;101;100;100;161;0
ВХЗ-ао;60;20170126;160000;100.5;101;100;101;77;0
ВХЗ-ао;60;20170126;170000;100.5;102.5;100;101;272;0
ВХЗ-ао;60;20170126;180000;102;102.5;102;102.5;3;0
ВХЗ-ао;60;20170127;100000;102;102;101;102;22;0
ВХЗ-ао;60;20170127;110000;102;102;101.5;101.5;4;0
ВХЗ-ао;60;20170127;120000;101.5;102;101.5;102;27;0
ВХЗ-ао;60;20170127;130000;102;102;102;102;4;0
ВХЗ-ао;60;20170127;140000;101.5;101.5;101.5;101.5;2;0
ВХЗ-ао;60;20170127;150000;102.5;102.5;102.5;102.5;4;0
ВХЗ-ао;60;20170127;160000;102;102;101.5;102;12;0
ВХЗ-ао;60;20170127;180000;102.5;103.5;102.5;102.5;25;0
ВХЗ-ао;60;20170130;090000;103;103;103;103;1;0
ВХЗ-ао;60;20170130;100000;103;103;103;103;4;0
ВХЗ-ао;60;20170130;110000;102.5;103;102.5;103;2;0
ВХЗ-ао;60;20170130;130000;102.5;102.5;102;102;8;0
ВХЗ-ао;60;20170130;140000;103;103;103;103;2;0
ВХЗ-ао;60;20170130;160000;102;102;102;102;1;0
ВХЗ-ао;60;20170130;180000;103;103;103;103;33;0
ВХЗ-ао;60;20170131;100000;103.5;103.5;103.5;103.5;3;0
ВХЗ-ао;60;20170131;110000;103.5;104;103.5;104;7;0
ВХЗ-ао;60;20170131;120000;103;103.5;103;103.5;57;0
ВХЗ-ао;60;20170131;140000;103.5;103.5;103.5;103.5;1;0
ВХЗ-ао;60;20170131;150000;104;105;104;105;300;0
ВХЗ-ао;60;20170131;160000;104.5;105;104.5;104.5;210;0
ВХЗ-ао;60;20170131;170000;104.5;104.5;104;104;22;0
ВХЗ-ао;60;20170131;180000;104;104;103;104;237;0
ВХЗ-ао;60;20170201;100000;104;104;103;103;30;0
ВХЗ-ао;60;20170201;110000;103;103;103;103;6;0
ВХЗ-ао;60;20170201;120000;103;103;103;103;10;0
ВХЗ-ао;60;20170201;130000;103.5;103.5;102.5;102.5;6;0
ВХЗ-ао;60;20170201;150000;103;103.5;103;103;16;0
ВХЗ-ао;60;20170201;160000;103;103;103;103;151;0
ВХЗ-ао;60;20170201;170000;103;103;103;103;1;0
ВХЗ-ао;60;20170201;180000;103;103.5;103;103.5;10;0
ВХЗ-ао;60;20170202;100000;104;104;104;104;14;0
ВХЗ-ао;60;20170202;110000;103;104;102.5;104;20;0
ВХЗ-ао;60;20170202;120000;103;103.5;103;103.5;6;0
ВХЗ-ао;60;20170202;140000;103;103;102.5;102.5;13;0
ВХЗ-ао;60;20170202;160000;103;103;103;103;2;0
ВХЗ-ао;60;20170202;170000;103.5;103.5;103.5;103.5;3;0
ВХЗ-ао;60;20170203;100000;104;104;103.5;103.5;6;0
ВХЗ-ао;60;20170203;110000;103;103.5;102.5;103.5;11;0
ВХЗ-ао;60;20170203;120000;103;103;102.5;102.5;10;0
ВХЗ-ао;60;20170203;130000;103;103;103;103;2;0
ВХЗ-ао;60;20170203;150000;103;103.5;103;103.5;17;0
ВХЗ-ао;60;20170203;160000;103.5;103.5;103.5;103.5;2;0
ВХЗ-ао;60;20170203;170000;103;103;103;103;5;0
ВХЗ-ао;60;20170203;180000;102.5;103.5;102;103.5;56;0
ВХЗ-ао;60;20170206;090000;103.5;103.5;103.5;103.5;2;0
ВХЗ-ао;60;20170206;100000;103;103;102;102;4;0
ВХЗ-ао;60;20170206;110000;103;104;102.5;103;217;0
ВХЗ-ао;60;20170206;120000;103.5;103.5;103.5;103.5;1;0
ВХЗ-ао;60;20170206;150000;103;103;103;103;1;0
ВХЗ-ао;60;20170206;160000;103;103;102.5;102.5;54;0
ВХЗ-ао;60;20170206;170000;102.5;103;102.5;103;16;0
ВХЗ-ао;60;20170206;180000;102.5;103;102;103;11;0
ВХЗ-ао;60;20170207;100000;103.5;104;103;103;37;0
ВХЗ-ао;60;20170207;130000;103;103;103;103;1;0
ВХЗ-ао;60;20170207;140000;103;103;103;103;3;0
ВХЗ-ао;60;20170207;150000;103;103;103;103;10;0
ВХЗ-ао;60;20170207;160000;103;103;103;103;19;0
ВХЗ-ао;60;20170207;170000;102.5;103;102.5;103;13;0
ВХЗ-ао;60;20170207;180000;103;103.5;102.5;103;39;0
ВХЗ-ао;60;20170208;100000;103;103;101;103;28;0
ВХЗ-ао;60;20170208;110000;102.5;102.5;102.5;102.5;9;0
ВХЗ-ао;60;20170208;120000;102.5;102.5;102.5;102.5;1;0
ВХЗ-ао;60;20170208;140000;103;104;101.5;101.5;86;0
ВХЗ-ао;60;20170208;150000;102;103;102;102;3;0
ВХЗ-ао;60;20170208;160000;103;103;103;103;1;0
ВХЗ-ао;60;20170208;180000;102.5;103;102.5;103;2;0
ВХЗ-ао;60;20170209;100000;102;102;101.5;102;120;0
ВХЗ-ао;60;20170209;110000;102;102;101.5;102;71;0
ВХЗ-ао;60;20170209;120000;101.5;102;101.5;102;20;0
ВХЗ-ао;60;20170209;130000;101.5;102;101.5;102;19;0
ВХЗ-ао;60;20170209;140000;101.5;102;101.5;102;4;0
ВХЗ-ао;60;20170209;150000;102;102;102;102;28;0
ВХЗ-ао;60;20170209;160000;102;102;102;102;3;0
ВХЗ-ао;60;20170209;170000;102;102;101.5;101.5;21;0
ВХЗ-ао;60;20170209;180000;102;102;102;102;29;0
ВХЗ-ао;60;20170210;100000;101.5;102.5;101;101.5;164;0
ВХЗ-ао;60;20170210;110000;101.5;101.5;100.5;101;65;0
ВХЗ-ао;60;20170210;120000;101;101;101;101;13;0
ВХЗ-ао;60;20170210;130000;100.5;101;100;101;261;0
ВХЗ-ао;60;20170210;140000;101;101;101;101;2;0
ВХЗ-ао;60;20170210;150000;100.5;100.5;99.5;99.5;111;0
ВХЗ-ао;60;20170210;160000;99.5;100.5;98;99;383;0
ВХЗ-ао;60;20170210;170000;99;99.5;99;99;29;0
ВХЗ-ао;60;20170210;180000;99;99.5;99;99.5;83;0
ВХЗ-ао;60;20170213;100000;100;100;99;99;12;0
ВХЗ-ао;60;20170213;120000;99;99;99;99;6;0
ВХЗ-ао;60;20170213;130000;99.5;99.5;99.5;99.5;2;0
ВХЗ-ао;60;20170213;140000;99;99.5;98.5;98.5;39;0
ВХЗ-ао;60;20170213;150000;99.5;99.5;99.5;99.5;1;0
ВХЗ-ао;60;20170213;160000;99.5;100;99;99.5;39;0
ВХЗ-ао;60;20170213;170000;99.5;99.5;99.5;99.5;5;0
ВХЗ-ао;60;20170213;180000;99.5;99.5;99.5;99.5;1;0
ВХЗ-ао;60;20170214;100000;99.5;100;99.5;100;5;0
ВХЗ-ао;60;20170214;110000;100;100.5;100;100;10;0
ВХЗ-ао;60;20170214;130000;100.5;100.5;100.5;100.5;3;0
ВХЗ-ао;60;20170214;160000;100;100;100;100;5;0
ВХЗ-ао;60;20170214;170000;100;100;99;99;33;0
ВХЗ-ао;60;20170214;180000;99.5;99.5;99;99;13;0
ВХЗ-ао;60;20170215;100000;100;100;100;100;1;0
ВХЗ-ао;60;20170215;110000;99.5;99.5;98.5;99.5;16;0
ВХЗ-ао;60;20170215;120000;99.5;100;99.5;99.5;13;0
ВХЗ-ао;60;20170215;140000;99;99;98;98;58;0
ВХЗ-ао;60;20170215;150000;99;99;99;99;9;0
ВХЗ-ао;60;20170215;160000;99;102;99;101.5;189;0
ВХЗ-ао;60;20170215;170000;101;101;100.5;100.5;2;0
ВХЗ-ао;60;20170215;180000;100.5;100.5;100;100;6;0
ВХЗ-ао;60;20170216;100000;100.5;100.5;100;100;4;0
ВХЗ-ао;60;20170216;110000;101;101.5;101;101.5;5;0
ВХЗ-ао;60;20170216;120000;102;107.5;102;105;491;0
ВХЗ-ао;60;20170216;130000;104;104;103;104;6;0
ВХЗ-ао;60;20170216;140000;103;103;100;101.5;97;0
ВХЗ-ао;60;20170216;150000;101.5;102.5;101.5;102.5;5;0
ВХЗ-ао;60;20170216;170000;102;102.5;102;102.5;2;0
ВХЗ-ао;60;20170216;180000;101.5;101.5;101.5;101.5;31;0
ВХЗ-ао;60;20170217;100000;101.5;101.5;101.5;101.5;2;0
ВХЗ-ао;60;20170217;110000;102.5;102.5;101.5;101.5;3;0
ВХЗ-ао;60;20170217;130000;102;102;102;102;1;0
ВХЗ-ао;60;20170217;140000;101.5;101.5;101.5;101.5;2;0
ВХЗ-ао;60;20170217;150000;102;102.5;102;102.5;2;0
ВХЗ-ао;60;20170217;160000;101.5;101.5;100;101.5;117;0
ВХЗ-ао;60;20170217;170000;102;102;102;102;2;0
ВХЗ-ао;60;20170217;180000;102;103;102;103;20;0
ВХЗ-ао;60;20170220;100000;102;102.5;101.5;102.5;19;0
ВХЗ-ао;60;20170220;110000;101.5;101.5;99;101;194;0
ВХЗ-ао;60;20170220;130000;100;100;100;100;1;0
ВХЗ-ао;60;20170220;140000;100.5;100.5;100.5;100.5;50;0
ВХЗ-ао;60;20170220;150000;101;101;101;101;5;0
ВХЗ-ао;60;20170220;170000;100.5;100.5;100.5;100.5;4;0
ВХЗ-ао;60;20170220;180000;101;101.5;101;101.5;2;0
ВХЗ-ао;60;20170221;110000;100.5;100.5;100.5;100.5;2;0
ВХЗ-ао;60;20170221;120000;100;100;100;100;17;0
ВХЗ-ао;60;20170221;130000;100;100;100;100;12;0
ВХЗ-ао;60;20170221;140000;100;100;100;100;5;0
ВХЗ-ао;60;20170221;160000;100.5;100.5;100.5;100.5;7;0
ВХЗ-ао;60;20170221;180000;100.5;100.5;99;100;40;0
ВХЗ-ао;60;20170222;100000;100;100;100;100;1;0
ВХЗ-ао;60;20170222;110000;99.5;99.5;99.5;99.5;1;0
ВХЗ-ао;60;20170222;130000;99.5;99.5;99.5;99.5;1;0
ВХЗ-ао;60;20170222;150000;99.5;99.5;98;99;115;0
ВХЗ-ао;60;20170222;160000;98.5;98.5;96;96;478;0
ВХЗ-ао;60;20170222;170000;96;97;96;96;43;0
ВХЗ-ао;60;20170222;180000;96;97;96;97;144;0
ВХЗ-ао;60;20170224;100000;98;98;96.5;96.5;9;0
ВХЗ-ао;60;20170224;110000;97;97.5;96;96;39;0
ВХЗ-ао;60;20170224;120000;96;97;96;97;24;0
ВХЗ-ао;60;20170224;130000;96.5;96.5;96.5;96.5;1;0
ВХЗ-ао;60;20170224;140000;96.5;96.5;96.5;96.5;3;0
ВХЗ-ао;60;20170224;160000;96.5;96.5;96.5;96.5;1;0
ВХЗ-ао;60;20170224;170000;96.5;96.5;96.5;96.5;2;0
ВХЗ-ао;60;20170227;090000;98.5;98.5;98.5;98.5;1;0
ВХЗ-ао;60;20170227;100000;98;98;96;96.5;69;0
ВХЗ-ао;60;20170227;110000;96.5;96.5;96;96;6;0
ВХЗ-ао;60;20170227;120000;97;97;96;96;4;0
ВХЗ-ао;60;20170227;130000;96.5;96.5;96;96;3;0
ВХЗ-ао;60;20170227;140000;96.5;96.5;95.5;95.5;25;0
ВХЗ-ао;60;20170227;150000;95.5;96;95;96;10;0
ВХЗ-ао;60;20170227;160000;96;96.5;95.5;95.5;7;0
ВХЗ-ао;60;20170227;170000;96.5;96.5;95;95;106;0
ВХЗ-ао;60;20170227;180000;95.5;95.5;93.5;94;225;0
ВХЗ-ао;60;20170228;100000;95.5;95.5;94;94;20;0
ВХЗ-ао;60;20170228;110000;94.5;95;93;95;33;0
ВХЗ-ао;60;20170228;130000;94.5;94.5;94.5;94.5;1;0
ВХЗ-ао;60;20170228;140000;94;95;91;95;56;0
ВХЗ-ао;60;20170228;150000;94;94;94;94;146;0
ВХЗ-ао;60;20170228;160000;94.5;94.5;93.5;94;11;0
ВХЗ-ао;60;20170228;170000;94.5;95.5;93.5;93.5;23;0
ВХЗ-ао;60;20170228;180000;93.5;96;91.5;96;78;0
ВХЗ-ао;60;20170301;100000;96;96;96;96;1;0
ВХЗ-ао;60;20170301;120000;94.5;96;94;96;8;0
ВХЗ-ао;60;20170301;130000;94.5;94.5;94.5;94.5;1;0
ВХЗ-ао;60;20170301;140000;94;96;93.5;96;6;0
ВХЗ-ао;60;20170301;150000;95.5;95.5;95.5;95.5;2;0
ВХЗ-ао;60;20170301;160000;95;95.5;95;95.5;3;0
ВХЗ-ао;60;20170301;170000;95;95;95;95;1;0
ВХЗ-ао;60;20170301;180000;95.5;96;95.5;96;4;0
ВХЗ-ао;60;20170302;100000;96;96;95;96;4;0
ВХЗ-ао;60;20170302;120000;95.5;95.5;95.5;95.5;1;0
ВХЗ-ао;60;20170302;140000;95;95;95;95;2;0
ВХЗ-ао;60;20170302;150000;95;95;95;95;2;0
ВХЗ-ао;60;20170302;180000;94.5;95;94.5;95;4;0
ВХЗ-ао;60;20170303;100000;94;95.5;93.5;95;7;0
ВХЗ-ао;60;20170303;110000;94.5;94.5;94.5;94.5;3;0
ВХЗ-ао;60;20170303;120000;94;94;94;94;1;0
ВХЗ-ао;60;20170303;130000;94.5;94.5;94.5;94.5;1;0
ВХЗ-ао;60;20170303;150000;94;95;94;95;3;0
ВХЗ-ао;60;20170303;160000;93.5;94.5;93;94.5;8;0
ВХЗ-ао;60;20170303;170000;94.5;95;94.5;95;18;0
ВХЗ-ао;60;20170303;180000;94.5;95.5;93.5;95.5;5;0
ВХЗ-ао;60;20170306;100000;93.5;95;93.5;94.5;6;0
ВХЗ-ао;60;20170306;110000;94.5;94.5;94.5;94.5;1;0
ВХЗ-ао;60;20170306;130000;95;95;95;95;2;0
ВХЗ-ао;60;20170306;150000;94.5;95.5;94.5;95.5;7;0
ВХЗ-ао;60;20170306;160000;95;95;95;95;4;0
ВХЗ-ао;60;20170306;170000;94.5;95.5;94.5;95.5;5;0
ВХЗ-ао;60;20170307;110000;95.5;96;95.5;96;10;0
ВХЗ-ао;60;20170307;130000;95.5;95.5;95.5;95.5;3;0
ВХЗ-ао;60;20170307;140000;95.5;96;95.5;96;24;0
ВХЗ-ао;60;20170307;150000;95.5;95.5;94;95;10;0
ВХЗ-ао;60;20170307;160000;95;95.5;95;95.5;4;0
ВХЗ-ао;60;20170307;180000;96;96;96;96;3;0
ВХЗ-ао;60;20170309;120000;94.5;94.5;93;93;8;0
ВХЗ-ао;60;20170309;130000;93.5;93.5;90;93.5;113;0
ВХЗ-ао;60;20170309;140000;93;93;90.5;90.5;20;0
ВХЗ-ао;60;20170309;150000;93.5;93.5;92;92;11;0
ВХЗ-ао;60;20170309;160000;92;94.5;92;92;37;0
ВХЗ-ао;60;20170309;170000;93;94;89;89;174;0
ВХЗ-ао;60;20170309;180000;89.5;89.5;89;89.5;64;0
ВХЗ-ао;60;20170310;100000;90.5;91;89;91;25;0
ВХЗ-ао;60;20170310;130000;91;91;91;91;1;0
ВХЗ-ао;60;20170310;150000;91;91;91;91;1;0
ВХЗ-ао;60;20170310;180000;91;91.5;89;91.5;43;0
ВХЗ-ао;60;20170313;100000;91.5;91.5;91.5;91.5;1;0
ВХЗ-ао;60;20170313;110000;91;91;91;91;3;0
ВХЗ-ао;60;20170313;120000;91;91;91;91;2;0
ВХЗ-ао;60;20170313;140000;92;92;92;92;5;0
ВХЗ-ао;60;20170313;150000;92.5;92.5;92.5;92.5;1;0
ВХЗ-ао;60;20170313;160000;93;93;93;93;1;0
ВХЗ-ао;60;20170313;170000;92;92;92;92;2;0
ВХЗ-ао;60;20170313;180000;92;92.5;92;92.5;17;0
ВХЗ-ао;60;20170314;100000;94;106.5;88.5;92.5;262;0
ВХЗ-ао;60;20170314;110000;92.5;92.5;92;92;4;0
ВХЗ-ао;60;20170314;120000;91.5;92;91.5;92;25;0
ВХЗ-ао;60;20170314;130000;91;91;91;91;12;0
ВХЗ-ао;60;20170314;140000;91;91;91;91;4;0
ВХЗ-ао;60;20170314;150000;92;92;92;92;1;0
ВХЗ-ао;60;20170314;160000;91.5;91.5;91.5;91.5;3;0
ВХЗ-ао;60;20170314;170000;92;92;90;91.5;21;0
ВХЗ-ао;60;20170314;180000;90.5;90.5;90;90;15;0
ВХЗ-ао;60;20170315;100000;92.5;92.5;92.5;92.5;1;0
ВХЗ-ао;60;20170315;120000;92;92;92;92;33;0
ВХЗ-ао;60;20170315;130000;92;92;92;92;2;0
ВХЗ-ао;60;20170315;150000;92;92.5;92;92;3;0
ВХЗ-ао;60;20170315;160000;91.5;92.5;91.5;92;6;0
ВХЗ-ао;60;20170316;100000;94;95;94;95;6;0
