<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ВЭК 01 ао;60;20170124;100000;13.9;13.9;13.8;13.8;3;0
ВЭК 01 ао;60;20170124;170000;13.95;14.05;13.95;14.05;3;0
ВЭК 01 ао;60;20170125;140000;14;14;13.8;13.8;5;0
ВЭК 01 ао;60;20170126;100000;13.9;13.9;13.9;13.9;1;0
ВЭК 01 ао;60;20170126;120000;14;14;14;14;1;0
ВЭК 01 ао;60;20170126;150000;14;14;14;14;3;0
ВЭК 01 ао;60;20170126;170000;13.9;13.9;13.9;13.9;15;0
ВЭК 01 ао;60;20170127;110000;13.75;13.75;13.75;13.75;1;0
ВЭК 01 ао;60;20170127;170000;13.8;13.8;13;13;10;0
ВЭК 01 ао;60;20170127;180000;13.45;13.45;13.45;13.45;1;0
ВЭК 01 ао;60;20170130;170000;14;14;14;14;4;0
ВЭК 01 ао;60;20170131;120000;13.95;13.95;13.8;13.8;4;0
ВЭК 01 ао;60;20170131;130000;13.95;14;13.95;14;2;0
ВЭК 01 ао;60;20170201;100000;13.9;13.9;13.8;13.8;3;0
ВЭК 01 ао;60;20170201;160000;13.95;13.95;13.95;13.95;1;0
ВЭК 01 ао;60;20170201;180000;14;14;14;14;1;0
ВЭК 01 ао;60;20170206;130000;14.05;14.05;14.05;14.05;1;0
ВЭК 01 ао;60;20170206;160000;14;14;14;14;1;0
ВЭК 01 ао;60;20170207;170000;14;14;14;14;4;0
ВЭК 01 ао;60;20170208;100000;14;14;14;14;1;0
ВЭК 01 ао;60;20170208;170000;14;14;14;14;1;0
ВЭК 01 ао;60;20170208;180000;14;14;14;14;13;0
ВЭК 01 ао;60;20170209;130000;14;14;14;14;1;0
ВЭК 01 ао;60;20170210;180000;14.15;14.15;14.15;14.15;1;0
ВЭК 01 ао;60;20170213;100000;14;14;14;14;1;0
ВЭК 01 ао;60;20170213;180000;14.1;14.1;14.05;14.05;2;0
ВЭК 01 ао;60;20170215;120000;14.15;15.05;14.15;15;31;0
ВЭК 01 ао;60;20170216;100000;15.1;15.5;15.1;15.5;15;0
ВЭК 01 ао;60;20170216;110000;15.45;16.45;15;16.2;136;0
ВЭК 01 ао;60;20170216;120000;15.35;15.35;14.45;15.05;44;0
ВЭК 01 ао;60;20170216;130000;15.1;15.1;15.1;15.1;7;0
ВЭК 01 ао;60;20170216;150000;15;15;15;15;12;0
ВЭК 01 ао;60;20170216;160000;15.55;16;15.55;16;20;0
ВЭК 01 ао;60;20170216;170000;15.05;15.05;15;15;2;0
ВЭК 01 ао;60;20170216;180000;15.95;15.95;15.9;15.9;20;0
ВЭК 01 ао;60;20170217;100000;15.05;15.05;15;15;3;0
ВЭК 01 ао;60;20170217;110000;14.95;14.95;14.85;14.85;3;0
ВЭК 01 ао;60;20170217;120000;14.9;16.1;14.9;16.1;6;0
ВЭК 01 ао;60;20170217;150000;15.15;16.1;15.05;16.1;10;0
ВЭК 01 ао;60;20170217;160000;16.05;16.1;16.05;16.1;51;0
ВЭК 01 ао;60;20170217;170000;16.1;16.1;16.1;16.1;19;0
ВЭК 01 ао;60;20170217;180000;15.2;15.2;14.5;15.1;12;0
ВЭК 01 ао;60;20170220;100000;16;16.5;16;16.5;3;0
ВЭК 01 ао;60;20170220;110000;15.3;16.45;14.95;14.95;89;0
ВЭК 01 ао;60;20170220;130000;14.9;14.9;14.9;14.9;1;0
ВЭК 01 ао;60;20170220;140000;14.85;14.85;14.8;14.8;2;0
ВЭК 01 ао;60;20170220;180000;14.75;15.25;14.5;15.25;12;0
ВЭК 01 ао;60;20170221;100000;14.9;15.05;14.9;14.9;5;0
ВЭК 01 ао;60;20170221;110000;14.9;14.9;14.9;14.9;18;0
ВЭК 01 ао;60;20170221;150000;15.05;15.8;15.05;15.8;5;0
ВЭК 01 ао;60;20170222;160000;15.65;15.65;15.65;15.65;1;0
ВЭК 01 ао;60;20170224;100000;15.7;15.7;15.7;15.7;1;0
ВЭК 01 ао;60;20170224;170000;15.6;15.6;15.6;15.6;1;0
ВЭК 01 ао;60;20170224;180000;15.45;15.45;15.35;15.35;13;0
ВЭК 01 ао;60;20170228;100000;15.9;15.9;15.05;15.8;202;0
ВЭК 01 ао;60;20170228;110000;15.85;15.85;15.85;15.85;1;0
ВЭК 01 ао;60;20170228;120000;15.85;15.85;14.95;15.05;21;0
ВЭК 01 ао;60;20170228;150000;15.85;15.85;15.05;15.05;8;0
ВЭК 01 ао;60;20170228;170000;15.05;15.05;14;14.85;100;0
ВЭК 01 ао;60;20170301;120000;15.15;15.15;15.15;15.15;1;0
ВЭК 01 ао;60;20170301;150000;15.25;15.3;15.25;15.3;3;0
ВЭК 01 ао;60;20170301;170000;15.3;15.3;15.05;15.05;3;0
ВЭК 01 ао;60;20170301;180000;15;15;15;15;1;0
