<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Варьеган-п;60;20170124;130000;392;394;392;394;12;0
Варьеган-п;60;20170130;130000;387;387;383;384;4;0
Варьеган-п;60;20170130;140000;383;383;383;383;1;0
Варьеган-п;60;20170201;140000;388;401;388;401;25;0
Варьеган-п;60;20170201;150000;404;404;404;404;1;0
Варьеган-п;60;20170201;170000;401;401;401;401;1;0
Варьеган-п;60;20170201;180000;401;401;401;401;15;0
Варьеган-п;60;20170203;110000;393;393;393;393;1;0
Варьеган-п;60;20170206;130000;398;398;398;398;2;0
Варьеган-п;60;20170207;100000;408;408;393;393;3;0
Варьеган-п;60;20170207;160000;394;394;394;394;1;0
Варьеган-п;60;20170209;150000;400;400;400;400;1;0
Варьеган-п;60;20170209;170000;394;394;394;394;2;0
Варьеган-п;60;20170216;110000;393;393;389;389;18;0
Варьеган-п;60;20170216;120000;389;400;389;400;36;0
Варьеган-п;60;20170220;160000;400;419;400;419;51;0
Варьеган-п;60;20170220;170000;416;416;416;416;4;0
Варьеган-п;60;20170220;180000;416;416;416;416;3;0
Варьеган-п;60;20170221;100000;428;428;428;428;1;0
Варьеган-п;60;20170221;120000;433;434;433;434;2;0
Варьеган-п;60;20170222;110000;439;440;439;440;4;0
Варьеган-п;60;20170222;120000;443;444;443;444;2;0
Варьеган-п;60;20170222;150000;463;487;463;487;3;0
Варьеган-п;60;20170222;160000;457;457;434;447;1505;0
Варьеган-п;60;20170222;180000;454;464;437;437;5;0
Варьеган-п;60;20170224;100000;464;464;464;464;1;0
Варьеган-п;60;20170224;120000;455;455;455;455;1;0
Варьеган-п;60;20170224;140000;458;463;458;463;2;0
Варьеган-п;60;20170224;150000;453;453;453;453;1;0
Варьеган-п;60;20170224;160000;458;463;458;463;80;0
Варьеган-п;60;20170224;170000;487;609;487;590;37;0
Варьеган-п;60;20170224;180000;595;610;570;610;45;0
Варьеган-п;60;20170227;100000;562;620;550;620;18;0
Варьеган-п;60;20170227;110000;560;560;550;550;3;0
Варьеган-п;60;20170227;120000;550;550;550;550;4;0
Варьеган-п;60;20170227;130000;543;543;530;530;2;0
Варьеган-п;60;20170227;150000;548;548;548;548;1;0
Варьеган-п;60;20170227;170000;533;550;533;550;13;0
Варьеган-п;60;20170227;180000;568;568;568;568;1;0
Варьеган-п;60;20170228;150000;553;553;536;536;3;0
Варьеган-п;60;20170301;100000;544;544;544;544;1;0
Варьеган-п;60;20170301;120000;527;534;527;534;6;0
Варьеган-п;60;20170301;140000;530;530;527;527;2;0
Варьеган-п;60;20170301;150000;534;534;534;534;1;0
Варьеган-п;60;20170301;160000;523;523;462;508;12;0
Варьеган-п;60;20170301;180000;528;610;528;610;10;0
Варьеган-п;60;20170302;100000;547;554;500;515;25;0
Варьеган-п;60;20170302;110000;500;500;500;500;1;0
Варьеган-п;60;20170302;130000;505;505;505;505;1;0
Варьеган-п;60;20170302;140000;495;499;495;499;2;0
Варьеган-п;60;20170302;150000;495;495;480;494;11;0
Варьеган-п;60;20170302;160000;496;496;496;496;1;0
Варьеган-п;60;20170302;170000;496;496;496;496;1;0
Варьеган-п;60;20170302;180000;485;485;485;485;1;0
Варьеган-п;60;20170303;130000;489;489;489;489;1;0
Варьеган-п;60;20170303;160000;485;485;480;480;2;0
Варьеган-п;60;20170306;120000;475;475;466;466;3;0
Варьеган-п;60;20170306;170000;462;462;439;457;15;0
Варьеган-п;60;20170307;120000;454;464;454;464;2;0
Варьеган-п;60;20170309;100000;457;457;457;457;1;0
Варьеган-п;60;20170309;160000;450;450;450;450;1;0
Варьеган-п;60;20170310;100000;462;518;462;494;23;0
Варьеган-п;60;20170315;100000;481;488;481;488;2;0
Варьеган-п;60;20170315;120000;480;480;480;480;1;0
Варьеган-п;60;20170317;100000;467;467;467;467;73;0
Варьеган-п;60;20170317;180000;470;470;467;467;17;0
Варьеган-п;60;20170320;130000;455;455;440;440;25;0
Варьеган-п;60;20170321;160000;449;480;449;480;14;0
Варьеган-п;60;20170322;100000;467;467;467;467;1;0
Варьеган-п;60;20170323;150000;474;480;474;480;7;0
Варьеган-п;60;20170324;150000;479;479;479;479;1;0
Варьеган-п;60;20170327;120000;480;480;480;480;10;0
Варьеган-п;60;20170328;160000;480;540;480;540;100;0
Варьеган-п;60;20170329;140000;510;510;493;499;3;0
Варьеган-п;60;20170329;180000;517;517;517;517;1;0
Варьеган-п;60;20170330;110000;500;500;462;468;5;0
Варьеган-п;60;20170330;170000;493;500;482;488;66;0
Варьеган-п;60;20170404;100000;476;476;476;476;1;0
Варьеган-п;60;20170404;110000;476;476;476;476;7;0
Варьеган-п;60;20170404;120000;460;460;460;460;6;0
