<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Варьеган;60;20170125;110000;605;605;605;605;7;0
Варьеган;60;20170125;120000;608;622;608;622;4;0
Варьеган;60;20170126;120000;622;622;622;622;3;0
Варьеган;60;20170126;130000;606;606;606;606;1;0
Варьеган;60;20170201;130000;605;605;605;605;1;0
Варьеган;60;20170201;140000;605;625;605;625;23;0
Варьеган;60;20170201;150000;625;625;625;625;23;0
Варьеган;60;20170201;180000;625;625;625;625;3;0
Варьеган;60;20170202;120000;607;607;605;605;9;0
Варьеган;60;20170202;180000;605;605;605;605;20;0
Варьеган;60;20170207;160000;619;621;619;620;27;0
Варьеган;60;20170207;180000;620;620;620;620;24;0
Варьеган;60;20170209;150000;615;625;615;625;110;0
Варьеган;60;20170214;150000;617;650;617;650;41;0
Варьеган;60;20170214;180000;650;650;650;650;3;0
Варьеган;60;20170216;130000;649;650;649;650;19;0
Варьеган;60;20170220;100000;660;670;660;670;4;0
Варьеган;60;20170220;150000;650;650;650;650;4;0
Варьеган;60;20170220;160000;658;700;658;700;200;0
Варьеган;60;20170221;150000;690;690;690;690;10;0
Варьеган;60;20170222;150000;707;710;707;710;13;0
Варьеган;60;20170222;180000;710;710;710;710;7;0
Варьеган;60;20170224;170000;716;716;716;716;1;0
Варьеган;60;20170224;180000;717;778;717;764;45;0
Варьеган;60;20170227;100000;727;745;635;669;42;0
Варьеган;60;20170227;110000;656;656;655;655;2;0
Варьеган;60;20170227;130000;662;662;662;662;2;0
Варьеган;60;20170227;150000;687;732;687;732;11;0
Варьеган;60;20170227;160000;665;665;665;665;1;0
Варьеган;60;20170228;140000;664;664;623;623;9;0
Варьеган;60;20170228;160000;660;660;660;660;1;0
Варьеган;60;20170301;130000;632;632;623;623;4;0
Варьеган;60;20170301;140000;638;638;638;638;1;0
Варьеган;60;20170302;130000;630;630;630;630;2;0
Варьеган;60;20170302;140000;623;623;623;623;1;0
Варьеган;60;20170303;100000;638;638;638;638;1;0
Варьеган;60;20170303;120000;673;673;673;673;1;0
Варьеган;60;20170303;180000;632;639;632;639;2;0
Варьеган;60;20170307;130000;632;632;632;632;1;0
Варьеган;60;20170307;150000;630;630;630;630;49;0
Варьеган;60;20170310;100000;638;720;638;720;121;0
Варьеган;60;20170310;120000;634;634;634;634;1;0
Варьеган;60;20170317;100000;633;633;633;633;18;0
Варьеган;60;20170317;180000;635;635;635;635;1;0
Варьеган;60;20170323;170000;635;635;635;635;16;0
Варьеган;60;20170324;180000;635;635;635;635;14;0
Варьеган;60;20170327;180000;654;654;654;654;1;0
Варьеган;60;20170328;160000;637;637;637;637;1;0
Варьеган;60;20170329;140000;620;628;620;628;2;0
Варьеган;60;20170330;100000;636;699;636;699;10;0
Варьеган;60;20170330;110000;648;648;600;600;30;0
Варьеган;60;20170330;160000;648;648;648;648;1;0
Варьеган;60;20170405;160000;650;650;650;650;50;0
Варьеган;60;20170405;170000;664;664;664;664;1;0
Варьеган;60;20170411;130000;603;603;603;603;1;0
Варьеган;60;20170420;120000;603;603;600;600;2;0
Варьеган;60;20170420;130000;613;614;613;614;3;0
Варьеган;60;20170420;160000;650;750;650;750;8;0
Варьеган;60;20170421;100000;610;652;606;652;10;0
Варьеган;60;20170503;100000;610;610;610;610;1;0
Варьеган;60;20170503;180000;669;669;669;669;1;0
Варьеган;60;20170505;120000;699;700;699;700;50;0
Варьеган;60;20170511;150000;699;699;699;699;1;0
Варьеган;60;20170607;130000;613;615;600;615;6;0
Варьеган;60;20170607;140000;626;626;626;626;1;0
Варьеган;60;20170616;170000;600;600;600;600;1;0
Варьеган;60;20170616;180000;610;610;610;610;1;0
Варьеган;60;20170622;120000;527;527;519;519;30;0
Варьеган;60;20170622;130000;501;502;501;502;2;0
Варьеган;60;20170622;160000;530;595;530;595;13;0
Варьеган;60;20170622;170000;560;560;560;560;1;0
Варьеган;60;20170626;100000;550;550;525;525;10;0
Варьеган;60;20170626;110000;554;554;547;547;3;0
Варьеган;60;20170706;180000;567;569;564;564;9;0
Варьеган;60;20170726;150000;550;550;550;550;2;0
Варьеган;60;20170727;160000;550;550;550;550;26;0
Варьеган;60;20170728;120000;594;594;594;594;1;0
Варьеган;60;20170731;180000;625;625;625;625;1;0
Варьеган;60;20170801;170000;533;533;533;533;1;0
Варьеган;60;20170802;150000;590;590;590;590;1;0
Варьеган;60;20170803;110000;600;600;600;600;1;0
Варьеган;60;20170808;110000;600;600;600;600;1;0
Варьеган;60;20170818;140000;541;609;541;570;5;0
Варьеган;60;20170906;100000;527;560;527;560;2;0
Варьеган;60;20170907;140000;625;625;625;625;1;0
Варьеган;60;20170912;100000;525;544;410;544;26;0
Варьеган;60;20170912;110000;624;624;624;624;1;0
Варьеган;60;20170912;180000;531;548;531;548;3;0
Варьеган;60;20170914;180000;600;600;600;600;1;0
Варьеган;60;20170921;100000;626;626;626;626;1;0
Варьеган;60;20170929;170000;600;600;600;600;1;0
Варьеган;60;20171004;120000;560;560;540;540;6;0
Варьеган;60;20171004;140000;543;599;525;599;5;0
Варьеган;60;20171004;160000;511;524;510;510;5;0
Варьеган;60;20171004;170000;540;540;520;530;3;0
Варьеган;60;20171005;110000;515;530;515;520;3;0
Варьеган;60;20171005;120000;514;514;510;510;4;0
