<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Возрожд-ао;60;20170124;120000;753;753;753;753;9;0
Возрожд-ао;60;20170124;150000;753;753;753;753;3;0
Возрожд-ао;60;20170125;100000;753.5;753.5;753.5;753.5;7;0
Возрожд-ао;60;20170125;120000;753;753;753;753;1;0
Возрожд-ао;60;20170126;100000;753;753;753;753;8;0
Возрожд-ао;60;20170126;150000;758;762;758;762;279;0
Возрожд-ао;60;20170130;100000;756.5;756.5;755;755;10;0
Возрожд-ао;60;20170131;160000;759;759.5;753;753;126;0
Возрожд-ао;60;20170131;170000;755;755;751;751;349;0
Возрожд-ао;60;20170201;150000;754;755;754;755;17;0
Возрожд-ао;60;20170201;160000;756;756;756;756;5;0
Возрожд-ао;60;20170201;170000;759.5;760;759.5;760;3;0
Возрожд-ао;60;20170202;120000;766;768.5;766;768.5;3;0
Возрожд-ао;60;20170202;130000;768;768;768;768;61;0
Возрожд-ао;60;20170202;150000;767;767;767;767;4;0
Возрожд-ао;60;20170202;170000;768;768;768;768;1;0
Возрожд-ао;60;20170203;110000;768;768.5;768;768.5;5;0
Возрожд-ао;60;20170206;140000;776;776;776;776;2;0
Возрожд-ао;60;20170206;170000;777;777;776.5;776.5;2;0
Возрожд-ао;60;20170206;180000;776;780;775;780;217;0
Возрожд-ао;60;20170207;110000;777;777;775;775;2;0
Возрожд-ао;60;20170207;130000;775;775;775;775;1;0
Возрожд-ао;60;20170207;140000;773.5;773.5;773;773;250;0
Возрожд-ао;60;20170207;150000;773;773;773;773;249;0
Возрожд-ао;60;20170207;170000;778;778;778;778;1;0
Возрожд-ао;60;20170207;180000;773;773;765;765;6;0
Возрожд-ао;60;20170208;100000;765.5;765.5;765;765;5;0
Возрожд-ао;60;20170208;110000;765;765;765;765;21;0
Возрожд-ао;60;20170208;140000;766;770.5;766;770.5;390;0
Возрожд-ао;60;20170208;160000;767.5;767.5;765;765;5;0
Возрожд-ао;60;20170209;100000;770;771.5;767;771.5;53;0
Возрожд-ао;60;20170210;100000;772;772;770;770;2;0
Возрожд-ао;60;20170210;130000;767;767;766.5;766.5;13;0
Возрожд-ао;60;20170210;150000;767;767;767;767;1;0
Возрожд-ао;60;20170210;160000;766.5;766.5;766;766;336;0
Возрожд-ао;60;20170213;110000;765;765;765;765;20;0
Возрожд-ао;60;20170213;120000;765;765;764;764;20;0
Возрожд-ао;60;20170213;160000;764;764;762;762;57;0
Возрожд-ао;60;20170215;120000;761;761;761;761;1;0
Возрожд-ао;60;20170215;150000;762;762;762;762;1;0
Возрожд-ао;60;20170215;160000;763.5;763.5;763.5;763.5;1;0
Возрожд-ао;60;20170217;110000;767;767;767;767;1;0
Возрожд-ао;60;20170217;120000;761.5;761.5;761.5;761.5;1;0
Возрожд-ао;60;20170217;130000;761;761;761;761;6;0
Возрожд-ао;60;20170217;140000;760.5;760.5;760;760;400;0
Возрожд-ао;60;20170220;180000;765;765;765;765;78;0
Возрожд-ао;60;20170222;100000;759.5;759.5;759.5;759.5;1;0
