<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Возрожд-п;60;20170124;110000;177.5;180;177.5;180;6;0
Возрожд-п;60;20170124;120000;180;180;180;180;1;0
Возрожд-п;60;20170124;140000;180;180;180;180;1;0
Возрожд-п;60;20170124;150000;180;180;180;180;40;0
Возрожд-п;60;20170124;160000;180;180;180;180;1;0
Возрожд-п;60;20170124;170000;180;180;180;180;6;0
Возрожд-п;60;20170125;100000;175.5;175.5;175.5;175.5;1;0
Возрожд-п;60;20170125;110000;180;180;180;180;1;0
Возрожд-п;60;20170125;130000;180.5;180.5;180.5;180.5;1;0
Возрожд-п;60;20170125;140000;180.5;180.5;180;180;29;0
Возрожд-п;60;20170126;180000;181;181;181;181;10;0
Возрожд-п;60;20170127;100000;181.5;181.5;181.5;181.5;1;0
Возрожд-п;60;20170127;130000;181.5;181.5;181.5;181.5;7;0
Возрожд-п;60;20170127;150000;180;180;180;180;26;0
Возрожд-п;60;20170127;180000;182;183;182;183;4;0
Возрожд-п;60;20170130;160000;177;177;177;177;1;0
Возрожд-п;60;20170130;180000;180.5;180.5;180;180;2;0
Возрожд-п;60;20170131;150000;180;180;180;180;15;0
Возрожд-п;60;20170131;170000;185;185;185;185;1;0
Возрожд-п;60;20170201;100000;185;185;185;185;15;0
Возрожд-п;60;20170201;140000;180;180;180;180;11;0
Возрожд-п;60;20170201;160000;177;177;177;177;1;0
Возрожд-п;60;20170201;170000;179.5;179.5;179.5;179.5;1;0
Возрожд-п;60;20170201;180000;180;180;180;180;1;0
Возрожд-п;60;20170202;100000;179;180;179;180;5;0
Возрожд-п;60;20170202;180000;180;180;180;180;2;0
Возрожд-п;60;20170206;140000;184;184;170;170;31;0
Возрожд-п;60;20170206;150000;175;175;174.5;175;12;0
Возрожд-п;60;20170206;170000;180;180;180;180;1;0
Возрожд-п;60;20170209;100000;185;185;185;185;400;0
Возрожд-п;60;20170209;140000;184.5;185;184.5;185;18;0
Возрожд-п;60;20170209;160000;185.5;194;185.5;194;45;0
