<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ВолгЭнСб-п;60;20170124;100000;1.385;1.405;1.385;1.405;6;0
ВолгЭнСб-п;60;20170124;120000;1.39;1.39;1.375;1.375;4;0
ВолгЭнСб-п;60;20170124;130000;1.37;1.37;1.37;1.37;1;0
ВолгЭнСб-п;60;20170124;160000;1.37;1.37;1.365;1.365;2;0
ВолгЭнСб-п;60;20170124;170000;1.36;1.36;1.35;1.35;4;0
ВолгЭнСб-п;60;20170125;170000;1.37;1.37;1.37;1.37;1;0
ВолгЭнСб-п;60;20170126;180000;1.375;1.375;1.375;1.375;1;0
ВолгЭнСб-п;60;20170127;130000;1.36;1.36;1.36;1.36;1;0
ВолгЭнСб-п;60;20170130;110000;1.375;1.38;1.375;1.38;2;0
ВолгЭнСб-п;60;20170130;120000;1.385;1.385;1.385;1.385;1;0
ВолгЭнСб-п;60;20170130;170000;1.39;1.395;1.39;1.395;2;0
ВолгЭнСб-п;60;20170131;170000;1.38;1.38;1.38;1.38;1;0
ВолгЭнСб-п;60;20170201;120000;1.395;1.4;1.395;1.4;18;0
ВолгЭнСб-п;60;20170201;130000;1.385;1.385;1.385;1.385;1;0
ВолгЭнСб-п;60;20170202;120000;1.465;1.47;1.465;1.47;2;0
ВолгЭнСб-п;60;20170202;130000;1.4;1.4;1.4;1.4;1;0
ВолгЭнСб-п;60;20170203;110000;1.385;1.405;1.385;1.405;7;0
ВолгЭнСб-п;60;20170203;160000;1.39;1.39;1.35;1.35;33;0
ВолгЭнСб-п;60;20170203;170000;1.35;1.35;1.35;1.35;23;0
ВолгЭнСб-п;60;20170206;100000;1.365;1.365;1.365;1.365;1;0
ВолгЭнСб-п;60;20170206;110000;1.37;1.37;1.37;1.37;2;0
ВолгЭнСб-п;60;20170207;100000;1.38;1.395;1.38;1.395;4;0
ВолгЭнСб-п;60;20170207;160000;1.38;1.38;1.325;1.325;7;0
ВолгЭнСб-п;60;20170209;120000;1.365;1.365;1.365;1.365;1;0
ВолгЭнСб-п;60;20170209;130000;1.36;1.36;1.36;1.36;1;0
ВолгЭнСб-п;60;20170209;180000;1.375;1.375;1.375;1.375;1;0
ВолгЭнСб-п;60;20170213;110000;1.38;1.38;1.38;1.38;1;0
ВолгЭнСб-п;60;20170213;130000;1.385;1.385;1.385;1.385;1;0
ВолгЭнСб-п;60;20170215;120000;1.39;1.39;1.39;1.39;1;0
ВолгЭнСб-п;60;20170217;110000;1.385;1.385;1.385;1.385;1;0
ВолгЭнСб-п;60;20170217;120000;1.385;1.385;1.385;1.385;1;0
