<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ВолгЭнСб;60;20170124;130000;1.45;1.45;1.45;1.45;11;0
ВолгЭнСб;60;20170124;140000;1.44;1.45;1.42;1.45;31;0
ВолгЭнСб;60;20170124;150000;1.44;1.44;1.44;1.44;10;0
ВолгЭнСб;60;20170124;160000;1.44;1.44;1.42;1.44;27;0
ВолгЭнСб;60;20170125;130000;1.445;1.445;1.445;1.445;4;0
ВолгЭнСб;60;20170126;120000;1.435;1.435;1.345;1.425;12;0
ВолгЭнСб;60;20170126;130000;1.42;1.42;1.41;1.41;3;0
ВолгЭнСб;60;20170126;180000;1.405;1.405;1.405;1.405;1;0
ВолгЭнСб;60;20170127;140000;1.4;1.4;1.375;1.375;11;0
ВолгЭнСб;60;20170127;150000;1.39;1.4;1.39;1.4;3;0
ВолгЭнСб;60;20170127;180000;1.405;1.41;1.405;1.41;5;0
ВолгЭнСб;60;20170130;100000;1.41;1.41;1.41;1.41;1;0
ВолгЭнСб;60;20170131;100000;1.41;1.41;1.41;1.41;3;0
ВолгЭнСб;60;20170201;110000;1.42;1.66;1.42;1.44;21;0
ВолгЭнСб;60;20170201;120000;1.445;1.445;1.445;1.445;1;0
ВолгЭнСб;60;20170201;170000;1.435;1.435;1.435;1.435;1;0
ВолгЭнСб;60;20170202;120000;1.53;1.53;1.53;1.53;2;0
ВолгЭнСб;60;20170202;140000;1.415;1.415;1.405;1.405;3;0
ВолгЭнСб;60;20170206;100000;1.43;1.43;1.43;1.43;1;0
ВолгЭнСб;60;20170206;110000;1.43;1.43;1.43;1.43;1;0
ВолгЭнСб;60;20170206;120000;1.445;1.445;1.445;1.445;1;0
ВолгЭнСб;60;20170207;100000;1.43;1.43;1.43;1.43;1;0
ВолгЭнСб;60;20170207;110000;1.43;1.43;1.43;1.43;1;0
ВолгЭнСб;60;20170208;100000;1.43;1.43;1.43;1.43;1;0
ВолгЭнСб;60;20170209;100000;1.445;1.445;1.425;1.425;4;0
ВолгЭнСб;60;20170209;110000;1.44;1.44;1.44;1.44;1;0
ВолгЭнСб;60;20170209;130000;1.425;1.425;1.42;1.42;2;0
ВолгЭнСб;60;20170209;150000;1.435;1.495;1.435;1.495;13;0
ВолгЭнСб;60;20170209;170000;1.445;1.445;1.44;1.44;2;0
ВолгЭнСб;60;20170213;130000;1.38;1.38;1.38;1.38;1;0
ВолгЭнСб;60;20170214;110000;1.435;1.435;1.43;1.43;2;0
ВолгЭнСб;60;20170215;100000;1.43;1.43;1.43;1.43;1;0
ВолгЭнСб;60;20170215;120000;1.425;1.45;1.425;1.45;4;0
ВолгЭнСб;60;20170215;170000;1.435;1.435;1.435;1.435;1;0
ВолгЭнСб;60;20170216;150000;1.43;1.43;1.425;1.425;4;0
ВолгЭнСб;60;20170216;170000;1.42;1.42;1.415;1.415;5;0
ВолгЭнСб;60;20170217;160000;1.43;1.445;1.43;1.445;12;0
ВолгЭнСб;60;20170220;100000;1.435;1.435;1.43;1.43;3;0
ВолгЭнСб;60;20170220;110000;1.425;1.425;1.425;1.425;1;0
ВолгЭнСб;60;20170220;170000;1.42;1.42;1.415;1.415;3;0
ВолгЭнСб;60;20170220;180000;1.43;1.435;1.43;1.435;3;0
ВолгЭнСб;60;20170221;140000;1.42;1.42;1.36;1.41;19;0
ВолгЭнСб;60;20170221;160000;1.41;1.42;1.41;1.42;2;0
ВолгЭнСб;60;20170221;180000;1.405;1.405;1.405;1.405;1;0
ВолгЭнСб;60;20170222;120000;1.405;1.405;1.405;1.405;1;0
ВолгЭнСб;60;20170222;140000;1.4;1.4;1.395;1.395;4;0
ВолгЭнСб;60;20170222;150000;1.405;1.405;1.385;1.385;9;0
ВолгЭнСб;60;20170222;160000;1.395;1.4;1.385;1.395;4;0
ВолгЭнСб;60;20170222;180000;1.38;1.385;1.355;1.355;51;0
ВолгЭнСб;60;20170224;150000;1.35;1.35;1.35;1.35;8;0
ВолгЭнСб;60;20170227;090000;1.385;1.385;1.385;1.385;1;0
ВолгЭнСб;60;20170227;100000;1.385;1.39;1.38;1.38;5;0
ВолгЭнСб;60;20170227;130000;1.375;1.375;1.37;1.37;2;0
ВолгЭнСб;60;20170227;180000;1.365;1.365;1.355;1.355;3;0
ВолгЭнСб;60;20170228;100000;1.35;1.35;1.345;1.345;3;0
ВолгЭнСб;60;20170228;110000;1.345;1.345;1.34;1.34;2;0
ВолгЭнСб;60;20170228;130000;1.335;1.335;1.335;1.335;1;0
ВолгЭнСб;60;20170228;140000;1.33;1.33;1.325;1.325;2;0
