<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ВыбСудЗ ап;60;20170124;110000;7000;7000;7000;7000;1;0
ВыбСудЗ ап;60;20170126;110000;6900;6900;6900;6900;1;0
ВыбСудЗ ап;60;20170127;110000;6900;6900;6900;6900;1;0
ВыбСудЗ ап;60;20170130;110000;6900;6900;6900;6900;1;0
ВыбСудЗ ап;60;20170130;120000;6700;6700;6700;6700;1;0
ВыбСудЗ ап;60;20170130;130000;6600;6600;6600;6600;1;0
ВыбСудЗ ап;60;20170130;150000;6800;6800;6800;6800;1;0
ВыбСудЗ ап;60;20170130;170000;6600;6600;6600;6600;1;0
ВыбСудЗ ап;60;20170131;160000;6600;6600;6600;6600;1;0
ВыбСудЗ ап;60;20170201;100000;6500;6500;6500;6500;1;0
ВыбСудЗ ап;60;20170202;170000;6500;6500;6500;6500;1;0
ВыбСудЗ ап;60;20170203;180000;6500;6500;6500;6500;1;0
ВыбСудЗ ап;60;20170206;130000;6400;6400;6400;6400;1;0
ВыбСудЗ ап;60;20170206;180000;6300;6300;6200;6200;3;0
ВыбСудЗ ап;60;20170207;140000;6100;6300;6100;6100;6;0
ВыбСудЗ ап;60;20170207;150000;6100;6100;6100;6100;1;0
ВыбСудЗ ап;60;20170207;170000;6000;6000;5800;5800;4;0
ВыбСудЗ ап;60;20170207;180000;6000;6100;6000;6100;2;0
ВыбСудЗ ап;60;20170208;140000;6300;6700;6300;6500;7;0
ВыбСудЗ ап;60;20170208;150000;6500;6500;6500;6500;1;0
ВыбСудЗ ап;60;20170209;100000;6400;6400;6400;6400;1;0
ВыбСудЗ ап;60;20170209;120000;6600;6600;6600;6600;1;0
ВыбСудЗ ап;60;20170220;160000;6400;6400;6200;6200;3;0
ВыбСудЗ ап;60;20170224;110000;6400;6400;6400;6400;1;0
ВыбСудЗ ап;60;20170302;120000;6500;6500;6500;6500;1;0
ВыбСудЗ ап;60;20170324;130000;6500;6500;6500;6500;1;0
ВыбСудЗ ап;60;20170404;110000;6400;6400;6400;6400;1;0
ВыбСудЗ ап;60;20170406;130000;6300;6300;6300;6300;1;0
ВыбСудЗ ап;60;20170411;140000;6200;6200;6100;6100;2;0
ВыбСудЗ ап;60;20170425;100000;6000;6000;6000;6000;1;0
ВыбСудЗ ап;60;20170426;120000;6000;6100;6000;6100;2;0
ВыбСудЗ ап;60;20170427;130000;4400;4400;4400;4400;1;0
ВыбСудЗ ап;60;20170427;140000;4800;4800;4800;4800;1;0
ВыбСудЗ ап;60;20170427;170000;6100;6100;6100;6100;1;0
ВыбСудЗ ап;60;20170505;180000;5900;5900;5900;5900;1;0
ВыбСудЗ ап;60;20170510;110000;5900;5900;4500;4500;2;0
ВыбСудЗ ап;60;20170515;100000;5700;5700;5700;5700;1;0
ВыбСудЗ ап;60;20170518;150000;5400;5400;5400;5400;1;0
ВыбСудЗ ап;60;20170519;180000;5400;5400;5400;5400;1;0
ВыбСудЗ ап;60;20170803;180000;4000;4800;4000;4800;6;0
ВыбСудЗ ап;60;20170804;150000;4600;4600;4600;4600;1;0
ВыбСудЗ ап;60;20170807;140000;4000;4000;4000;4000;2;0
ВыбСудЗ ап;60;20170807;150000;4000;4000;4000;4000;1;0
ВыбСудЗ ап;60;20170807;170000;4100;4100;4100;4100;4;0
ВыбСудЗ ап;60;20170809;120000;4100;4500;4100;4500;2;0
ВыбСудЗ ап;60;20170809;160000;4100;4100;4100;4100;1;0
ВыбСудЗ ап;60;20170809;180000;4000;4000;4000;4000;1;0
