<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ГАЗ ао;60;20170124;100000;573;573;573;573;1;0
ГАЗ ао;60;20170124;120000;583;584;583;584;101;0
ГАЗ ао;60;20170124;140000;584;584;584;584;150;0
ГАЗ ао;60;20170124;150000;581;584;580;584;108;0
ГАЗ ао;60;20170124;160000;584;584;584;584;382;0
ГАЗ ао;60;20170125;150000;570;570;570;570;1;0
ГАЗ ао;60;20170125;180000;571;571;564;564;3;0
ГАЗ ао;60;20170126;100000;556;556;556;556;1;0
ГАЗ ао;60;20170126;130000;577;577;577;577;2;0
ГАЗ ао;60;20170126;160000;578;578;578;578;1;0
ГАЗ ао;60;20170126;170000;583;583;583;583;1;0
ГАЗ ао;60;20170127;100000;584;584;584;584;1;0
ГАЗ ао;60;20170127;110000;577;577;575;575;2;0
ГАЗ ао;60;20170127;130000;579;584;575;575;76;0
ГАЗ ао;60;20170127;150000;584;584;584;584;5;0
ГАЗ ао;60;20170127;170000;584;584;584;584;1;0
ГАЗ ао;60;20170130;100000;588;637;584;584;29;0
ГАЗ ао;60;20170130;110000;584;584;578;578;55;0
ГАЗ ао;60;20170130;120000;576;576;557;557;6;0
ГАЗ ао;60;20170130;130000;570;570;560;560;5;0
ГАЗ ао;60;20170130;170000;581;581;581;581;1;0
ГАЗ ао;60;20170131;170000;569;584;568;584;11;0
ГАЗ ао;60;20170201;150000;583;584;583;583;6;0
ГАЗ ао;60;20170201;160000;570;584;570;584;3;0
ГАЗ ао;60;20170201;170000;584;584;584;584;11;0
ГАЗ ао;60;20170201;180000;584;584;584;584;2;0
ГАЗ ао;60;20170202;110000;584;584;568;584;23;0
ГАЗ ао;60;20170202;130000;571;577;563;577;12;0
ГАЗ ао;60;20170202;140000;583;584;580;580;81;0
ГАЗ ао;60;20170203;100000;559;559;559;559;1;0
ГАЗ ао;60;20170203;130000;570;570;570;570;4;0
ГАЗ ао;60;20170203;170000;562;562;561;561;3;0
ГАЗ ао;60;20170206;120000;571;584;571;584;15;0
ГАЗ ао;60;20170206;140000;580;580;580;580;1;0
ГАЗ ао;60;20170206;150000;572;572;572;572;1;0
ГАЗ ао;60;20170206;160000;583;584;583;584;40;0
ГАЗ ао;60;20170206;180000;580;580;580;580;1;0
ГАЗ ао;60;20170207;100000;584;584;575;582;6;0
ГАЗ ао;60;20170207;110000;570;582;570;582;6;0
ГАЗ ао;60;20170207;130000;572;583;571;583;81;0
ГАЗ ао;60;20170207;140000;574;574;574;574;1;0
ГАЗ ао;60;20170207;170000;573;573;572;572;2;0
ГАЗ ао;60;20170208;100000;571;571;571;571;9;0
ГАЗ ао;60;20170208;120000;569;569;569;569;6;0
ГАЗ ао;60;20170208;130000;569;569;569;569;51;0
ГАЗ ао;60;20170208;150000;558;558;558;558;2;0
ГАЗ ао;60;20170208;160000;560;560;557;557;3;0
ГАЗ ао;60;20170208;170000;559;560;559;560;21;0
ГАЗ ао;60;20170208;180000;559;559;555;555;11;0
ГАЗ ао;60;20170209;100000;555;555;555;555;1;0
ГАЗ ао;60;20170209;110000;555;555;555;555;1;0
ГАЗ ао;60;20170209;140000;553;553;553;553;1;0
ГАЗ ао;60;20170209;170000;560;560;560;560;50;0
ГАЗ ао;60;20170210;100000;559;589;559;589;113;0
